iteration,median,low_q,high_q,mean,std,EF,top_percent,AF,AF_low,AF_high
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.03999680025597952,,
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.07998720204767237,0.07998720204767237,0.07998720204767237
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.11997120691034152,0.11997120691034152,0.11997120691034152
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.1599488163787588,0.1599488163787588,0.1599488163787588
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1999200319872051,0.1999200319872051,0.1999200319872051
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.23988485526947065,0.23988485526947065,0.23988485526947065
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.27984328775885503,0.27984328775885503,0.27984328775885503
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.3197953309881676,0.3197953309881676,0.3197953309881676
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.3597409864897274,0.3597409864897274,0.3597409864897274
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.3996802557953637,0.3996802557953637,0.3996802557953637
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.439613140436416,0.439613140436416,0.439613140436416
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.479539641943734,0.479539641943734,0.479539641943734
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.5194597618476784,0.5194597618476784,0.5194597618476784
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.5593735016781205,0.5593735016781205,0.5593735016781205
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000006,0.5992808629644426,0.5992808629644426,0.5992808629644426
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03200000000000001,0.6391818472355385,0.6391818472355385,0.6391818472355385
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03400000000000001,0.679076456019813,0.679076456019813,0.679076456019813
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600000000000001,0.7189646908451829,0.7189646908451829,0.7189646908451829
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03800000000000001,0.7588465532390766,0.7588465532390766,0.7588465532390766
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.7987220447284346,0.7987220447284346,0.7987220447284346
