fcomp_additive_wt_pct,fcomp_salt_wt_pct,material_LiTFSI,material_NaTFSI,print_type_PCB,ionic_conductivity_final
0.0,0.0,0,1,1,5.143213533971551e-07
0.0,0.0,1,0,1,5.143213533971551e-07
0.0,2.9,0,1,1,1.3026842053851887e-06
0.0,4.3,1,0,1,2.7397996565085853e-06
0.0,5.7,0,1,1,1.6145834482868041e-06
0.0,8.6,0,1,1,2.924461961667246e-06
0.0,8.6,1,0,1,4.316212275242162e-06
0.0,10.0,0,1,1,2.6721847541941526e-06
0.0,10.0,1,0,1,4.605377670927276e-06
0.0,13.0,1,0,1,5.106726241220242e-06
0.0,14.0,0,1,1,2.7106373659861376e-06
0.0,17.0,0,1,1,2.7971579848808526e-06
0.0,17.0,1,0,1,5.531033351614626e-06
0.0,20.0,0,1,1,3.4996054926234018e-06
0.0,20.0,1,0,1,3.5379217028573847e-06
0.0,21.0,1,0,1,5.675271269729147e-06
0.0,26.0,1,0,1,4.730223252648234e-06
0.0,30.0,1,0,1,3.815573813602094e-06
1.4,0.0,0,1,1,3.708343595221389e-07
1.4,0.0,1,0,1,3.708343595221389e-07
1.4,20.0,0,1,1,4.7276553417854225e-06
2.1,0.0,0,1,1,1.465938303099821e-08
2.1,0.0,1,0,1,1.465938303099821e-08
2.1,10.0,1,0,1,9.9844225279647e-06
2.1,20.0,1,0,1,3.6527846446118273e-06
2.1,30.0,1,0,1,3.4373445661460875e-06
2.9,0.0,0,1,1,3.206213812218517e-07
2.9,0.0,1,0,1,3.206213812218517e-07
4.3,0.0,0,1,1,9.242318697805722e-08
4.3,0.0,1,0,1,9.242318697805722e-08
4.3,10.0,0,1,1,2.3948103468470143e-06
4.3,10.0,1,0,1,5.762776442955033e-06
4.3,20.0,0,1,1,3.6004965715062e-06
4.3,20.0,1,0,1,3.902064027395954e-06
4.3,30.0,1,0,1,3.16586791198833e-06
5.0,0.0,0,1,1,6.728076127168374e-08
5.0,0.0,1,0,1,6.728076127168374e-08
5.0,11.0,0,1,1,2.3141785673524374e-06
5.0,14.0,0,1,1,2.723469297771248e-06
5.0,17.0,0,1,1,2.662751760970443e-06
5.0,20.0,0,1,1,2.677300941999093e-06
5.7,0.0,0,1,1,3.198446983151381e-07
5.7,0.0,1,0,1,3.198446983151381e-07
5.7,20.0,0,1,1,3.280544675566735e-06
6.4,0.0,0,1,1,1.3819419159022317e-08
6.4,0.0,1,0,1,1.3819419159022317e-08
6.4,10.0,1,0,1,6.148399471496764e-06
6.4,20.0,1,0,1,3.878509933545104e-06
6.4,30.0,1,0,1,3.5745785317562524e-06
7.1,0.0,0,1,1,3.180060310160472e-07
7.1,0.0,1,0,1,3.180060310160472e-07
7.1,10.0,0,1,1,1.6205362466829675e-06
7.5,0.0,0,1,1,3.5208778920414145e-07
7.5,0.0,1,0,1,3.5208778920414145e-07
7.5,4.3,1,0,1,1.7647346262440855e-06
7.5,8.6,1,0,1,3.329265373917897e-06
7.5,13.0,1,0,1,3.4257989361033726e-06
7.5,17.0,1,0,1,4.18754388402922e-06
7.5,21.0,1,0,1,3.903910940240969e-06
7.5,26.0,1,0,1,4.51820845867986e-06
7.5,30.0,1,0,1,3.409027736865916e-06
8.6,0.0,0,1,1,1.5335518058654816e-07
8.6,0.0,1,0,1,1.5335518058654816e-07
8.6,10.0,0,1,1,1.657921464832186e-06
8.6,10.0,1,0,1,1.4611609971011803e-05
8.6,20.0,0,1,1,3.0971633183325886e-06
8.6,20.0,1,0,1,4.193743164900578e-06
8.6,30.0,1,0,1,3.704749609298299e-06
10.0,0.0,0,1,1,1.630305625418186e-07
10.0,0.0,1,0,1,1.630305625418186e-07
10.0,2.9,0,1,1,7.469961288974719e-07
10.0,5.7,0,1,1,1.382304462919904e-06
10.0,8.6,0,1,1,1.1805856995408194e-06
10.0,10.0,0,1,1,1.5678061563583758e-06
10.0,11.0,0,1,1,1.579268120643102e-06
10.0,14.0,0,1,1,1.9081160493200587e-06
10.0,20.0,0,1,1,2.4774545926398657e-06
11.0,0.0,0,1,1,1.497277360314842e-08
11.0,0.0,1,0,1,1.497277360314842e-08
11.0,10.0,1,0,1,8.740767958062252e-06
11.0,20.0,1,0,1,3.988141314254068e-06
11.0,30.0,1,0,1,3.791702905734199e-06
13.0,0.0,0,1,1,1.2757944457042305e-08
13.0,0.0,1,0,1,1.2757944457042305e-08
13.0,10.0,1,0,1,2.0243209114690918e-05
13.0,20.0,1,0,1,3.6125121644249274e-06
13.0,30.0,1,0,1,3.8762360635133506e-06
15.0,0.0,0,1,1,6.439669730272885e-08
15.0,0.0,1,0,1,6.439669730272885e-08
15.0,4.3,1,0,1,8.318149988700529e-07
15.0,8.6,1,0,1,2.00101078584217e-06
15.0,10.0,1,0,1,1.0346091351987758e-05
15.0,13.0,1,0,1,2.551485277023515e-06
15.0,17.0,1,0,1,2.36513808996639e-06
15.0,20.0,1,0,1,3.6918160073941516e-06
15.0,21.0,1,0,1,5.751356010077783e-06
15.0,26.0,1,0,1,5.710516197840703e-06
15.0,30.0,1,0,1,2.660973636108567e-06
