datetime,hourly_relative_humidity_2m,hourly_temperature
2021-01-01T08:00:00Z,92,4.7
2021-01-01T09:00:00Z,91,4.3
2021-01-01T10:00:00Z,91,3.8
2021-01-01T11:00:00Z,89,3.7
2021-01-01T12:00:00Z,81,4.6
2021-01-01T13:00:00Z,75,5.4
2021-01-01T14:00:00Z,75,4.8
2021-01-01T15:00:00Z,58,8.6
2021-01-01T16:00:00Z,69,6
2021-01-01T17:00:00Z,65,7.2
2021-01-01T18:00:00Z,64,8.8
2021-01-01T19:00:00Z,52,11
2021-01-01T20:00:00Z,48,12.4
2021-01-01T21:00:00Z,46,13
2021-01-01T22:00:00Z,47,13.3
2021-01-01T23:00:00Z,48,13.5
2021-01-02T00:00:00Z,50,13.2
2021-01-02T01:00:00Z,66,11.7
2021-01-02T02:00:00Z,69,11.1
2021-01-02T03:00:00Z,84,7.7
2021-01-02T04:00:00Z,87,6.9
2021-01-02T05:00:00Z,92,6.1
2021-01-02T06:00:00Z,96,5.6
2021-01-02T07:00:00Z,96,5.6
2021-01-02T08:00:00Z,95,6.7
2021-01-02T09:00:00Z,88,7.4
2021-01-02T10:00:00Z,78,8.8
2021-01-02T11:00:00Z,85,8.2
2021-01-02T12:00:00Z,86,8.6
2021-01-02T13:00:00Z,89,8.2
2021-01-02T14:00:00Z,92,8.3
2021-01-02T15:00:00Z,93,8.2
2021-01-02T16:00:00Z,93,8.1
2021-01-02T17:00:00Z,93,8
2021-01-02T18:00:00Z,94,7.9
2021-01-02T19:00:00Z,93,8.4
2021-01-02T20:00:00Z,87,9.8
2021-01-02T21:00:00Z,85,10.7
2021-01-02T22:00:00Z,85,11.6
2021-01-02T23:00:00Z,86,11.4
2021-01-03T00:00:00Z,88,10.8
2021-01-03T01:00:00Z,96,8.1
2021-01-03T02:00:00Z,95,8.6
2021-01-03T03:00:00Z,96,8.8
2021-01-03T04:00:00Z,97,8.7
2021-01-03T05:00:00Z,98,9.6
2021-01-03T06:00:00Z,99,9.4
2021-01-03T07:00:00Z,98,9.3
2021-01-03T08:00:00Z,97,9.5
2021-01-03T09:00:00Z,97,9.5
2021-01-03T10:00:00Z,97,9.4
2021-01-03T11:00:00Z,98,8.8
2021-01-03T12:00:00Z,98,8.5
2021-01-03T13:00:00Z,100,7.9
2021-01-03T14:00:00Z,100,7.5
2021-01-03T15:00:00Z,100,7.6
2021-01-03T16:00:00Z,100,7.4
2021-01-03T17:00:00Z,99,7.7
2021-01-03T18:00:00Z,97,8.9
2021-01-03T19:00:00Z,93,10
2021-01-03T20:00:00Z,85,11.7
2021-01-03T21:00:00Z,78,12.8
2021-01-03T22:00:00Z,75,13.5
2021-01-03T23:00:00Z,75,13.7
2021-01-04T00:00:00Z,77,13.3
2021-01-04T01:00:00Z,77,13.2
2021-01-04T02:00:00Z,82,12.3
2021-01-04T03:00:00Z,85,11.6
2021-01-04T04:00:00Z,93,9.7
2021-01-04T05:00:00Z,94,9.2
2021-01-04T06:00:00Z,90,10.3
2021-01-04T07:00:00Z,96,8.1
2021-01-04T08:00:00Z,95,8.5
2021-01-04T09:00:00Z,95,8.9
2021-01-04T10:00:00Z,95,9.1
2021-01-04T11:00:00Z,94,8.7
2021-01-04T12:00:00Z,92,8.6
2021-01-04T13:00:00Z,90,9.5
2021-01-04T14:00:00Z,86,9.3
2021-01-04T15:00:00Z,76,10.8
2021-01-04T16:00:00Z,81,10.7
2021-01-04T17:00:00Z,79,12.4
2021-01-04T18:00:00Z,75,13.7
2021-01-04T19:00:00Z,74,14.3
2021-01-04T20:00:00Z,75,14.8
2021-01-04T21:00:00Z,88,13.4
2021-01-04T22:00:00Z,86,13.7
2021-01-04T23:00:00Z,92,13
2021-01-05T00:00:00Z,82,13.7
2021-01-05T01:00:00Z,82,12.4
2021-01-05T02:00:00Z,85,11.2
2021-01-05T03:00:00Z,90,9.5
2021-01-05T04:00:00Z,89,10.2
2021-01-05T05:00:00Z,92,9.1
2021-01-05T06:00:00Z,92,8.8
2021-01-05T07:00:00Z,93,8.1
2021-01-05T08:00:00Z,95,7.7
2021-01-05T09:00:00Z,96,7.6
2021-01-05T10:00:00Z,98,6.9
2021-01-05T11:00:00Z,98,6.5
2021-01-05T12:00:00Z,99,6.4
2021-01-05T13:00:00Z,100,7.1
2021-01-05T14:00:00Z,99,6.8
2021-01-05T15:00:00Z,99,6.8
2021-01-05T16:00:00Z,99,6.2
2021-01-05T17:00:00Z,96,6.9
2021-01-05T18:00:00Z,92,7.8
2021-01-05T19:00:00Z,89,8.9
2021-01-05T20:00:00Z,86,9.9
2021-01-05T21:00:00Z,81,10.1
2021-01-05T22:00:00Z,81,10
2021-01-05T23:00:00Z,80,10.2
2021-01-06T00:00:00Z,79,10.3
2021-01-06T01:00:00Z,83,10.2
2021-01-06T02:00:00Z,92,8.7
2021-01-06T03:00:00Z,95,8.4
2021-01-06T04:00:00Z,97,7.8
2021-01-06T05:00:00Z,95,6.8
2021-01-06T06:00:00Z,85,8.1
2021-01-06T07:00:00Z,90,5.4
2021-01-06T08:00:00Z,80,6.8
2021-01-06T09:00:00Z,85,5.5
2021-01-06T10:00:00Z,73,9.1
2021-01-06T11:00:00Z,74,8.8
2021-01-06T12:00:00Z,79,7.2
2021-01-06T13:00:00Z,95,4.3
2021-01-06T14:00:00Z,97,3.2
2021-01-06T15:00:00Z,89,6.6
2021-01-06T16:00:00Z,96,6
2021-01-06T17:00:00Z,91,4.3
2021-01-06T18:00:00Z,78,7
2021-01-06T19:00:00Z,80,8.3
2021-01-06T20:00:00Z,65,11
2021-01-06T21:00:00Z,49,13
2021-01-06T22:00:00Z,37,14.9
2021-01-06T23:00:00Z,35,15.7
2021-01-07T00:00:00Z,45,14.6
2021-01-07T01:00:00Z,60,12.4
2021-01-07T02:00:00Z,72,10.7
2021-01-07T03:00:00Z,74,10.3
2021-01-07T04:00:00Z,75,9.5
2021-01-07T05:00:00Z,73,9.5
2021-01-07T06:00:00Z,73,9.3
2021-01-07T07:00:00Z,79,8.7
2021-01-07T08:00:00Z,81,8.3
2021-01-07T09:00:00Z,89,4.9
2021-01-07T10:00:00Z,87,5.9
2021-01-07T11:00:00Z,84,7.4
2021-01-07T12:00:00Z,89,6.3
2021-01-07T13:00:00Z,97,7.3
2021-01-07T14:00:00Z,99,6.8
2021-01-07T15:00:00Z,99,6.2
2021-01-07T16:00:00Z,99,5.8
2021-01-07T17:00:00Z,98,5.9
2021-01-07T18:00:00Z,97,6.5
2021-01-07T19:00:00Z,91,7.8
2021-01-07T20:00:00Z,84,9.5
2021-01-07T21:00:00Z,83,9.6
2021-01-07T22:00:00Z,79,10.6
2021-01-07T23:00:00Z,76,11
2021-01-08T00:00:00Z,72,11.2
2021-01-08T01:00:00Z,89,9.5
2021-01-08T02:00:00Z,96,8
2021-01-08T03:00:00Z,99,7
2021-01-08T04:00:00Z,100,4.8
2021-01-08T05:00:00Z,98,6.6
2021-01-08T06:00:00Z,96,6.9
2021-01-08T07:00:00Z,100,3.7
2021-01-08T08:00:00Z,99,4.6
2021-01-08T09:00:00Z,98,5.7
2021-01-08T10:00:00Z,96,5.7
2021-01-08T11:00:00Z,93,7.3
2021-01-08T12:00:00Z,93,6.9
2021-01-08T13:00:00Z,91,7.6
2021-01-08T14:00:00Z,92,7
2021-01-08T15:00:00Z,97,5.4
2021-01-08T16:00:00Z,89,7.1
2021-01-08T17:00:00Z,90,6.9
2021-01-08T18:00:00Z,80,9.9
2021-01-08T19:00:00Z,69,13
2021-01-08T20:00:00Z,70,14.1
2021-01-08T21:00:00Z,76,14
2021-01-08T22:00:00Z,83,13.4
2021-01-08T23:00:00Z,84,13.5
2021-01-09T00:00:00Z,83,13.8
2021-01-09T01:00:00Z,78,14
2021-01-09T02:00:00Z,89,11.3
2021-01-09T03:00:00Z,93,9.9
2021-01-09T04:00:00Z,94,9.5
2021-01-09T05:00:00Z,96,8.4
2021-01-09T06:00:00Z,98,7.1
2021-01-09T07:00:00Z,94,8.8
2021-01-09T08:00:00Z,95,8.1
2021-01-09T09:00:00Z,95,7.3
2021-01-09T10:00:00Z,95,6.7
2021-01-09T11:00:00Z,95,5.1
2021-01-09T12:00:00Z,92,4.6
2021-01-09T13:00:00Z,89,4.7
2021-01-09T14:00:00Z,86,4.4
2021-01-09T15:00:00Z,84,4.6
2021-01-09T16:00:00Z,84,4.5
2021-01-09T17:00:00Z,84,5
2021-01-09T18:00:00Z,68,7.8
2021-01-09T19:00:00Z,56,9.3
2021-01-09T20:00:00Z,49,10.7
2021-01-09T21:00:00Z,44,11.9
2021-01-09T22:00:00Z,39,13.4
2021-01-09T23:00:00Z,35,14.5
2021-01-10T00:00:00Z,34,14.8
2021-01-10T01:00:00Z,45,13.8
2021-01-10T02:00:00Z,46,12.8
2021-01-10T03:00:00Z,51,11.4
2021-01-10T04:00:00Z,53,10.8
2021-01-10T05:00:00Z,53,10.5
2021-01-10T06:00:00Z,52,10.1
2021-01-10T07:00:00Z,76,5.6
2021-01-10T08:00:00Z,80,5
2021-01-10T09:00:00Z,79,4.7
2021-01-10T10:00:00Z,85,4.3
2021-01-10T11:00:00Z,83,4.6
2021-01-10T12:00:00Z,69,6.8
2021-01-10T13:00:00Z,74,5.9
2021-01-10T14:00:00Z,89,3.2
2021-01-10T15:00:00Z,75,6.3
2021-01-10T16:00:00Z,65,8
2021-01-10T17:00:00Z,69,7.7
2021-01-10T18:00:00Z,63,9.6
2021-01-10T19:00:00Z,53,13
2021-01-10T20:00:00Z,51,14.2
2021-01-10T21:00:00Z,54,13.6
2021-01-10T22:00:00Z,58,13.2
2021-01-10T23:00:00Z,64,12.4
2021-01-11T00:00:00Z,67,12.3
2021-01-11T01:00:00Z,77,11.3
2021-01-11T02:00:00Z,84,10.1
2021-01-11T03:00:00Z,88,9.5
2021-01-11T04:00:00Z,86,9.5
2021-01-11T05:00:00Z,84,9.5
2021-01-11T06:00:00Z,86,9.1
2021-01-11T07:00:00Z,94,7.6
2021-01-11T08:00:00Z,95,7
2021-01-11T09:00:00Z,95,6.4
2021-01-11T10:00:00Z,95,6.2
2021-01-11T11:00:00Z,93,6.4
2021-01-11T12:00:00Z,91,6.7
2021-01-11T13:00:00Z,94,4.3
2021-01-11T14:00:00Z,94,3.4
2021-01-11T15:00:00Z,90,4.8
2021-01-11T16:00:00Z,89,5.5
