orig_filename,new_filename
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN1/2024_8_21_15_17_34_A1_RUN1.mps,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_1.mps"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN1/2024_8_21_15_17_34_A1_RUN1_C01.mgr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_1_C01.mgr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN1/2024_8_21_15_17_34_A1_RUN1_C01.mpr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_1_C01.mpr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN1/2024_8_21_15_17_34_A1_RUN1_DUSB0_C01.sta,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_1_DUSB0_C01.sta"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN2/2024_8_21_15_20_26_A1_RUN2.mps,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_2.mps"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN2/2024_8_21_15_20_26_A1_RUN2_C01.mgr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_2_C01.mgr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN2/2024_8_21_15_20_26_A1_RUN2_C01.mpr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_2_C01.mpr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN2/2024_8_21_15_20_26_A1_RUN2_DUSB0_C01.sta,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_2_DUSB0_C01.sta"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN3/2024_8_21_15_23_18_A1_RUN3.mps,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_3.mps"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN3/2024_8_21_15_23_18_A1_RUN3_C01.mgr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_3_C01.mgr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN3/2024_8_21_15_23_18_A1_RUN3_C01.mpr,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_3_C01.mpr"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN3/2024_8_21_15_23_18_A1_RUN3_DUSB0_C01.sta,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_3_DUSB0_C01.sta"
C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\20240821_9_PEGMEA_1_PEGDA_0to15_Aerosil380_20_LiTFSI_100ppm_Inhibitor/08212024_A2_RUN4/2024_8_21_15_26_9_A1_RUN4.mps,"C:\Users\jimenez45\OneDrive - LLNL\General - High-Throughput Polymer Electrolytes DIW\Database of polymer electrolytes\mpr_new_names\08212024_9_PEGMEA_1_PEGDA_15,00_Aerosil380_20_LiTFSI_A2_RUN_4.mps"
