Filename	Relaxation-10Aeorosil20Sodium Viscosity 200 gap
Instrument name	5332-2724
Operator	MS
rundate	5/24/2024
Sample name	Relaxation-10Aeorosil20Sodium Viscosity 200 gap
Geometry name	20mm UV parallel plate, UHP Aluminium, Disposable
Procedure name	Flow sweep
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	min	°C	MPa
-3.67175e-8	0.100018	-0.367109	0.52		-3.15404e-5
-3.72844e-8	0.125901	-0.296140	1.04		-2.82633e-5
-2.25880e-8	0.158508	-0.142504	1.56		-2.46166e-5
2.15741e-8	0.251142	0.0859038	2.59		-2.22449e-5
6.97254e-8	0.316219	0.220497	3.11		-2.54236e-5
1.43668e-7	0.398141	0.360847	3.63		-2.61320e-5
2.31818e-7	0.501239	0.462491	4.15		-2.24985e-5
1.60595e-7	0.631109	0.254465	4.67		-2.10408e-5
1.46345e-7	0.794504	0.184197	5.18		-2.12492e-5
1.17464e-7	1.00024	0.117436	5.70		-2.49696e-5
1.23471e-7	1.25904	0.0980672	6.22		-2.55439e-5
3.14230e-7	1.58517	0.198231	6.74		-2.05487e-5
3.15989e-7	1.99537	0.158361	7.26		-2.04988e-5
4.51377e-7	2.51218	0.179675	7.78		-1.85765e-5
5.40768e-7	3.16261	0.170988	8.30		-2.11391e-5
6.60664e-7	3.98097	0.165956	8.81		-1.67295e-5
8.73531e-7	5.01274	0.174262	9.33		-1.73485e-5
1.02639e-6	6.30937	0.162678	9.85		-1.67197e-5
1.30187e-6	7.94387	0.163883	10.37		-1.92795e-5
1.61133e-6	10.0014	0.161110	10.89		-1.82669e-5
2.00411e-6	12.5914	0.159165	11.41		-1.65798e-5
2.49357e-6	15.8513	0.157311	11.92		-1.82987e-5
3.10408e-6	19.9545	0.155558	12.44		-1.66390e-5
3.88322e-6	25.1216	0.154577	12.96		-1.54729e-5
4.87039e-6	31.6238	0.154010	13.48		-1.36805e-5
6.11862e-6	39.8123	0.153687	14.00		-1.48112e-5
7.75724e-6	50.1240	0.154761	14.52		-2.62060e-5
9.88533e-6	63.1014	0.156658	15.04		-3.94510e-5
1.26824e-5	79.4403	0.159647	15.55		-5.16342e-5
1.63971e-5	100.010	0.163955	16.07		-6.28554e-5
2.14940e-5	125.915	0.170703	16.59		-7.67803e-5
2.85206e-5	158.500	0.179941	17.11		-8.80883e-5
3.83544e-5	199.533	0.192221	17.63		-9.71785e-5
5.33320e-5	251.196	0.212312	18.14		-1.02900e-4
7.54465e-5	316.235	0.238577	18.66		-1.04544e-4
1.08043e-4	398.131	0.271375	19.18		-9.93173e-5
1.58746e-4	501.245	0.316703	19.70		-7.48743e-5
1.88859e-5	631.065	0.0299270	20.22		2.15173e-4
9.85648e-6	794.366	0.0124080	20.74		2.03970e-4
1.08495e-5	1000.10	0.0108484	21.25		2.12476e-4

