True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,704.7416,2117.7356,2231.9194,-71.59355,2.469482010608772,0.025105942,3.2980646e-05,1.0736167e-05,9.665752e-06,1.0,40,0.010119207,4.533859e-06,0,1.0336990886918961e-08,1.0
1,1,6057573.0,916.78894,2296.747,2472.9636,-68.23968,3.021480890136445,0.025190027,-7.262922e-06,1.1439534e-05,9.86732e-06,1.0,40,0.014403284,5.8243004e-06,0,1.2031070514442237e-08,1.0
2,2,5242039.0,1038.3749,2721.7522,2913.101,-69.11766,3.437499149906216,0.025245586,-1.1417379e-06,1.1155044e-05,9.7377215e-06,1.0,40,0.020183409,6.928496e-06,0,1.33315120935625e-08,1.0
3,3,4536288.0,982.9163,3101.3047,3253.339,-72.414696,4.669479021773441,0.02520631,-6.611711e-06,1.1312929e-05,1.0280288e-05,1.0,40,0.021701172,6.67043e-06,0,2.3639942528107996e-08,1.0
4,4,3925558.5,1216.6841,3537.5344,3740.9182,-71.02008,5.085484774870565,0.025167538,-3.6906733e-06,1.1460881e-05,1.0248562e-05,1.0,40,0.01970409,5.2671803e-06,0,2.2214793226541788e-08,1.0
5,5,3397055.0,1417.3643,3841.8115,4094.9282,-69.749405,5.501483647938585,0.025138734,-4.6767627e-06,1.21949915e-05,1.0733986e-05,1.0,40,0.020525616,5.012448e-06,0,2.274620583587724e-08,1.0
6,6,2939708.2,1632.313,4274.9463,4575.982,-69.101524,6.053477594192373,0.02509493,2.1966154e-05,1.2664417e-05,1.1052944e-05,1.0,40,0.020011228,4.3731e-06,0,2.836899774102777e-08,1.0
7,7,2543924.5,1923.8905,5088.9023,5440.43,-69.290596,6.7724830949737225,0.025160775,-2.9745777e-06,1.229396e-05,1.0756564e-05,1.0,41,0.019688146,3.6188585e-06,0,2.6866610330150328e-08,1.0
8,8,2201436.2,2266.3176,5683.287,6118.492,-68.25943,7.324491547857178,0.025121164,3.0272408e-06,1.27208e-05,1.0975512e-05,1.0,41,0.020534962,3.3562128e-06,0,2.7047816685937835e-08,1.0
9,9,1905053.1,2893.4246,6236.7,6875.1973,-65.111755,7.8764944274153095,0.02511781,2.5356246e-06,1.3395475e-05,1.1022943e-05,1.0,41,0.02058614,2.9942619e-06,0,2.7739930842509844e-08,1.0
10,10,1648567.4,3504.6416,7034.007,7858.7383,-63.51556,8.42848717365996,0.025129624,2.972848e-07,1.3724946e-05,1.0995388e-05,1.0,41,0.019881241,2.5298261e-06,0,2.8300582861214074e-08,1.0
11,11,1426616.2,4268.8135,7706.7246,8810.016,-61.017597,8.980487173161237,0.025110656,2.2860938e-06,1.447582e-05,1.1077186e-05,1.0,41,0.020597244,2.337935e-06,0,2.882566500836169e-08,1.0
12,12,1234551.2,5275.559,8380.17,9902.463,-57.8084,9.532493626087671,0.025101805,2.546799e-06,1.5383606e-05,1.1017356e-05,1.0,41,0.020496706,2.0698594e-06,0,2.8321533165543163e-08,1.0
