True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,654.7104,3877.3794,3932.266,-80.415794,80.5694966801384,-0.027874159,7.356801e-06,5.8638475e-06,5.7012944e-06,2.0,41,0.009813314,2.4955875e-06,0,1.9165982187081297e-09,2.0
111,111,6057573.0,838.82983,3937.0327,4025.402,-77.97233,81.12150353300967,-0.027718639,4.770236e-06,6.673482e-06,6.383693e-06,2.0,41,0.01385137,3.4409904e-06,0,2.0471730229208635e-09,2.0
112,112,5242039.0,928.43646,4515.965,4610.4155,-78.38245,81.5375043527747,-0.027630288,-6.360008e-06,6.7230967e-06,6.4504543e-06,2.0,41,0.019171942,4.158398e-06,0,1.968789811619508e-09,2.0
113,113,4536288.0,890.5094,5337.21,5410.99,-80.5275,82.90548716441845,-0.027761027,6.636142e-06,6.5736294e-06,6.3955854e-06,2.0,41,0.019547537,3.6125618e-06,0,3.775330835349817e-09,2.0
114,114,3925558.5,1361.3502,5926.5767,6080.92,-77.063416,83.32150625085342,-0.027781727,4.7218214e-06,6.8409245e-06,6.4980645e-06,2.0,41,0.018722327,3.0788642e-06,0,4.126636461377429e-09,2.0
115,115,3397055.0,1508.3696,6445.006,6619.16,-76.82775,83.73748117728974,-0.02772298,-3.3302426e-06,7.2693274e-06,6.8918384e-06,2.0,41,0.019769818,2.9867563e-06,0,3.6416540682987867e-09,2.0
116,116,2939708.2,1814.2262,7142.206,7369.0244,-75.74746,84.15350706371828,-0.027718322,-4.2166394e-06,7.5802495e-06,7.1207915e-06,2.0,41,0.0217422,2.9504856e-06,0,3.6639765082464333e-09,2.0
117,117,2543924.5,1828.7983,8202.472,8403.871,-77.43108,84.70548508994398,-0.02772136,-1.3507456e-06,7.627306e-06,7.2661087e-06,2.0,41,0.020641863,2.4562328e-06,0,4.04731183617773e-09,2.0
118,118,2201436.2,2079.684,9185.661,9418.1455,-77.24299,85.25750300948857,-0.027787875,5.9992767e-06,7.870523e-06,7.4867553e-06,2.0,41,0.020907698,2.2199379e-06,0,4.040586866622675e-09,2.0
119,119,1905053.1,2505.5293,10554.1875,10847.514,-76.645386,85.80950482239132,-0.027733844,-3.471768e-06,7.91568e-06,7.493374e-06,2.0,41,0.020580921,1.8972938e-06,0,4.0990819226544145e-09,2.0
120,120,1648567.4,3110.2053,12567.096,12946.245,-76.0993,86.3614971152565,-0.027810717,7.662202e-06,7.682074e-06,7.2387024e-06,2.0,41,0.019920882,1.5387382e-06,0,5.569164927753908e-09,2.0
