True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,THD_I,NSD_I,NSR_I,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
42,42,7000018.5,110.34253,222.9053,248.72122,-63.66368,49.39947815964115,-0.19276164,-0.0004087339,0.000102000085,8.192485e-05,2.0,39,0.011355012,4.565357e-05,0,-2.741740837421571e-07,7.065318,0.16472392,5.402998,0.00014140645,2.8242255e-05,0.00037469494,0.0006944275,1.00871985e-05,8.732711e-06,14.143627,0.39151248,10.702384,8.636424e-07,2.5253522e-07,1.149742e-06,6.285151e-06,1.9028641e-07,7.739461e-08,2.0
43,43,4765894.0,167.68813,300.59543,344.20477,-60.844894,50.84048548145802,-0.19275297,-0.00026191736,0.000111094705,8.4727486e-05,2.0,39,0.018597025,5.402896e-05,0,-3.75667392521285e-07,2.7841496,0.11903853,1.8910141,0.00051277323,2.9183266e-05,8.754368e-06,1.1366879e-05,5.526188e-05,3.0471545e-05,5.8756647,0.23930013,6.062559,3.1239763e-06,1.2213184e-07,2.1129323e-07,1.424005e-07,4.2180625e-07,2.3048567e-07,2.0
44,44,3244822.5,253.07187,384.8639,460.61435,-56.6726,51.51948754032492,-0.1927802,-0.00022050283,0.00012744476,8.897365e-05,2.0,39,0.020963827,4.5512752e-05,0,-4.0551921700858173e-07,3.6886096,0.0766617,1.6322902,0.00075211667,0.00017908214,9.495999e-06,8.603128e-06,1.9333488e-06,4.9313157e-06,9.194137,0.124906294,5.8083873,4.1279222e-06,6.6323355e-07,6.385636e-08,5.772145e-08,7.202075e-08,9.519137e-08,2.0
45,45,2209211.8,385.93683,463.56958,603.1948,-50.22151,52.634490579977864,-0.19278578,-2.3058865e-05,0.00015540603,9.178728e-05,2.0,40,0.019046936,3.1576757e-05,0,-4.226322309454081e-07,2.409315,0.06410206,1.9641579,0.00037380386,0.00025410886,7.57562e-05,1.15803605e-05,1.2574718e-05,1.2799737e-05,4.388518,0.06336446,3.6845853,9.946792e-07,8.398097e-07,4.2570218e-07,9.8808115e-08,1.421697e-07,1.05075095e-07,2.0
46,46,1504119.6,525.16156,529.4636,745.73883,-45.233723,53.44847915196442,-0.19277675,-2.4122191e-05,0.00019984884,0.000100739635,2.0,40,0.020816375,2.791376e-05,0,-4.162100256995305e-07,1.4841443,0.06556279,1.7582226,0.00022372458,0.00015453687,0.00013594808,3.315868e-05,4.3075306e-05,3.393042e-06,3.3587391,0.102139495,2.9601614,4.864264e-07,4.5578915e-07,5.0157337e-07,3.067012e-07,1.3694077e-07,9.9732965e-08,2.0
47,47,1024068.44,691.21924,577.495,900.7133,-39.877846,54.2624980439723,-0.19279224,-1.8973016e-05,0.00026911809,0.00011062829,2.0,40,0.02068779,2.296823e-05,0,-3.9813772972158447e-07,0.8746265,0.060324136,1.8128678,0.00013668479,7.713873e-05,7.287708e-05,2.3308341e-05,4.5315057e-05,1.0791932e-05,1.7543949,0.06997519,2.5444107,2.1033523e-07,1.5874456e-07,1.5394515e-07,1.4181775e-07,1.6728642e-07,8.902996e-08,2.0
48,48,697233.1,876.414,594.6385,1059.1017,-34.156517,55.07649784264504,-0.19278748,-1.9327477e-05,0.00038387434,0.000121009594,2.0,40,0.021012299,1.9839737e-05,0,-4.00134779682653e-07,0.62289256,0.06331234,1.7642909,9.268627e-05,6.120041e-05,5.4745447e-05,1.834315e-05,3.3536497e-05,1.7121303e-05,1.0917494,0.066353746,2.1042397,1.2636191e-07,6.993889e-08,8.640256e-08,4.899035e-08,7.3951725e-08,7.488117e-08,2.0
49,49,474706.8,1068.738,570.69885,1211.5685,-28.101915,55.89048820131575,-0.19279584,-2.766679e-05,0.0005874727,0.00013034842,2.0,40,0.021063497,1.7385313e-05,0,-4.145995490969436e-07,0.3964587,0.07068472,1.7508124,6.221284e-05,4.0846797e-05,3.3140175e-05,1.1665851e-05,1.2150138e-05,3.3662957e-06,0.6942115,0.073939666,1.8806458,7.351457e-08,4.0375152e-08,5.5854983e-08,3.451423e-08,5.0462e-08,2.1477005e-08,2.0
50,50,323198.12,1241.1882,505.88174,1340.3225,-22.174757,56.704504346620524,-0.19278286,-1.7032728e-05,0.0009734245,0.00013866973,2.0,40,0.021004638,1.567133e-05,0,-4.4658529628132724e-07,0.25943676,0.043915905,1.7409894,3.8821312e-05,2.2935525e-05,1.9120158e-05,1.8203347e-05,1.0570156e-05,1.0000155e-05,0.42842504,0.08937231,1.8013209,4.0041204e-08,1.9124496e-08,2.1053742e-08,1.1175506e-08,2.612985e-08,2.721665e-08,2.0
51,51,220049.0,1371.8942,410.93967,1432.119,-16.675158,57.518481531966245,-0.19278818,-1.8021494e-05,0.0017600406,0.00014491742,2.0,40,0.021173643,1.4784835e-05,0,-4.2220125222694093e-07,0.20796533,0.07577788,1.7415584,3.1034266e-05,2.02493e-05,1.5080453e-05,4.2049746e-06,9.97606e-06,1.0930136e-05,0.3017107,0.049359675,1.7165132,2.3068822e-08,2.18392e-08,1.9582457e-08,6.055436e-09,1.5753498e-08,1.5724945e-08,2.0
