True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,119.62409,1162.7124,1168.8499,-84.12587,82.56450122824754,0.07462282,1.4672942e-05,1.9554587e-05,1.934977e-05,2.0,40,0.0099253245,8.491531e-06,0,-2.989612950936365e-08,2.0
111,111,6057573.0,182.07918,1338.1692,1350.4998,-82.25159,83.11650725445361,0.07465434,-2.0472753e-05,1.9634075e-05,1.927718e-05,2.0,40,0.013950114,1.0329594e-05,0,-3.0058044430378557e-08,2.0
112,112,5242039.0,158.7548,1567.3209,1575.3406,-84.2162,83.53249183422304,0.07469006,-1.3458493e-05,1.9371442e-05,1.9174715e-05,2.0,40,0.019267224,1.2230514e-05,0,-3.027749068006595e-08,2.0
113,113,4536288.0,121.77389,1818.3408,1822.4138,-86.16863,84.90048163253232,0.07464553,-9.681598e-06,1.9294976e-05,1.9208825e-05,2.0,40,0.018476548,1.0138503e-05,0,-3.6417242416961907e-08,2.0
114,114,3925558.5,173.15251,2105.7378,2112.845,-85.29921,85.31650255896966,0.07463018,-1.4537608e-05,1.9253708e-05,1.9124394e-05,2.0,40,0.01808004,8.557202e-06,0,-3.994437910399916e-08,2.0
115,115,3397055.0,216.42796,2411.6865,2421.3784,-84.87194,85.73249255205155,0.074603364,-4.7697768e-06,1.9426596e-05,1.9271392e-05,2.0,40,0.01922065,7.937896e-06,0,-4.295040061112587e-08,2.0
116,116,2939708.2,230.70705,2762.6052,2772.2217,-85.226265,86.14848369182437,0.07461654,-1.5858586e-05,1.9597337e-05,1.9461611e-05,2.0,40,0.021159632,7.632734e-06,0,-4.145987030752549e-08,2.0
117,117,2543924.5,229.78917,3171.8818,3180.1946,-85.85641,86.70048790468718,0.07460972,-1.69377e-05,1.9724177e-05,1.9621199e-05,2.0,40,0.020682292,6.5034674e-06,0,-3.645863935548811e-08,2.0
118,118,2201436.2,277.87927,3629.3394,3639.9617,-85.621704,87.2524907575862,0.07458021,-5.7744646e-06,1.9919868e-05,1.9803774e-05,2.0,40,0.020992381,5.7671987e-06,0,-3.9275118660806954e-08,2.0
119,119,1905053.1,285.62976,4216.678,4226.3413,-86.12481,87.80449582377332,0.07458591,-1.1411899e-05,1.9812649e-05,1.9722154e-05,2.0,40,0.020403642,4.827732e-06,0,-4.381984429776193e-08,2.0
120,120,1648567.4,332.6073,4855.155,4866.534,-86.08102,88.35650283665746,0.0745945,-1.9058714e-05,1.9884303e-05,1.9791421e-05,2.0,40,0.019993754,4.1084177e-06,0,-4.019290792726101e-08,2.0
121,121,1426616.2,202.9252,5696.36,5699.973,-87.95978,89.0754937241727,0.07459081,-2.7790468e-06,1.9584639e-05,1.9559817e-05,2.0,41,0.019346416,3.3941242e-06,0,-4.660931724203405e-08,2.0
122,122,1234551.2,224.79587,6584.5596,6588.3955,-88.04469,89.62748183039366,0.074569754,1.4611505e-06,1.9578718e-05,1.9555926e-05,2.0,41,0.020680184,3.1388802e-06,0,-4.541504517294549e-08,2.0
123,123,1068345.5,267.3924,7589.748,7594.457,-87.98226,90.17949289662647,0.07457013,1.4276316e-06,1.9628225e-05,1.9603893e-05,2.0,41,0.020714704,2.7276083e-06,0,-4.4929452442284107e-08,2.0
124,124,924510.06,285.98087,8751.186,8755.857,-88.12829,90.73148545614094,0.074586675,1.8987624e-06,1.9671686e-05,1.9650699e-05,2.0,41,0.020253077,2.313089e-06,0,-4.4783391361768566e-08,2.0
125,125,800039.0,361.5231,10028.273,10034.788,-87.935356,91.28349470903049,0.0745792,1.2097563e-06,1.983731e-05,1.9811561e-05,2.0,41,0.02065605,2.058444e-06,0,-4.406602765659863e-08,2.0
126,126,692334.1,455.68423,11638.37,11647.287,-87.757805,91.8355027352518,0.074618645,1.3475576e-06,1.9752053e-05,1.9721821e-05,2.0,41,0.020383019,1.7500229e-06,0,-4.325940011131735e-08,2.0
127,127,599122.25,537.50116,13492.015,13502.717,-87.71863,92.3875003081339,0.074599974,2.1799517e-06,1.9689192e-05,1.9657993e-05,2.0,41,0.020577986,1.5239885e-06,0,-4.278457538005635e-08,2.0
128,128,518454.94,643.3601,15458.037,15471.42,-87.61674,92.93949828101904,0.07460119,1.5635704e-06,1.985888e-05,1.982454e-05,2.0,41,0.020510292,1.325689e-06,0,-4.226708096478246e-08,2.0
129,129,448662.03,839.9859,17882.951,17902.668,-87.310715,93.4914993205748,0.074607946,-1.9991414e-07,1.9836343e-05,1.9792675e-05,2.0,41,0.02026532,1.1319721e-06,0,-4.289272027503523e-08,2.0
130,130,388258.97,1086.4214,20710.922,20739.396,-86.99722,94.0434850534366,0.07460176,-1.0956218e-06,1.9792435e-05,1.9738123e-05,2.0,41,0.020978069,1.0115082e-06,0,-4.2577219477699654e-08,2.0
131,131,335983.9,1567.7267,23814.117,23865.664,-86.23355,94.59550667970325,0.074591294,1.4257685e-06,1.9891482e-05,1.980565e-05,2.0,41,0.02025983,8.489112e-07,0,-4.2154805799748534e-08,2.0
