True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,192.86484,1344.5854,1358.3472,-81.83728,82.63649715165957,-0.019571632,-3.8208123e-06,1.690957e-05,1.6568676e-05,2.0,40,0.010071179,7.4142895e-06,0,6.895293417655231e-09,2.0
111,111,6057573.0,244.48499,1559.4252,1578.4739,-81.08976,83.18849203121499,-0.01956213,-1.0890977e-05,1.6848333e-05,1.6444143e-05,2.0,40,0.014251784,9.028838e-06,0,5.573409875682013e-09,2.0
112,112,5242039.0,228.0186,1817.0149,1831.2661,-82.8473,83.60448239764082,-0.019519594,-2.9682395e-05,1.6709422e-05,1.6450362e-05,2.0,40,0.01971712,1.0766933e-05,0,1.6869093860303084e-09,2.0
113,113,4536288.0,185.7598,2111.8066,2119.961,-84.97306,84.97248411594774,-0.019573867,-1.7458657e-05,1.6613662e-05,1.6486101e-05,2.0,40,0.018391632,8.675458e-06,0,1.22508184117139e-08,2.0
114,114,3925558.5,257.51056,2433.3901,2446.9775,-83.95923,85.52449494219036,-0.019575695,-2.1068092e-05,1.6661224e-05,1.6476708e-05,2.0,40,0.020217301,8.262153e-06,0,6.916059700763342e-09,2.0
115,115,3397055.0,316.23688,2791.753,2809.6067,-83.537346,85.9404825885722,-0.01959481,-1.9356397e-05,1.6781878e-05,1.6569275e-05,2.0,40,0.021146538,7.526512e-06,0,6.106021171749557e-09,2.0
116,116,2939708.2,346.34045,3190.435,3209.1787,-83.80447,86.49248680149321,-0.019604648,-2.2054182e-05,1.696938e-05,1.6771735e-05,2.0,40,0.020438865,6.368877e-06,0,7.55397764763536e-09,2.0
117,117,2543924.5,404.75964,3677.1135,3699.3235,-83.71844,87.04449168100837,-0.01960502,-8.1559565e-06,1.7014096e-05,1.681041e-05,2.0,40,0.02061194,5.5718133e-06,0,5.127290796129897e-09,2.0
118,118,2201436.2,497.50027,4217.9785,4247.217,-83.27318,87.59648845394258,-0.019598797,-1.3328253e-05,1.7139953e-05,1.690478e-05,2.0,40,0.020785118,4.8938205e-06,0,4.140403251988945e-09,2.0
119,119,1905053.1,529.66064,4855.704,4884.5063,-83.77478,88.14848576011718,-0.019609995,-1.807263e-05,1.7205244e-05,1.7002934e-05,2.0,40,0.020345978,4.1654116e-06,0,2.3594691857817323e-09,2.0
120,120,1648567.4,458.499,5683.3,5701.7646,-85.387665,88.86748411427834,-0.019627584,-2.5593106e-06,1.698685e-05,1.6877008e-05,2.0,41,0.018922353,3.3186836e-06,0,4.140520203435521e-10,2.0
121,121,1426616.2,544.40485,6554.9004,6577.4688,-85.252304,89.28348874740186,-0.0196094,-1.64124e-06,1.7019504e-05,1.690291e-05,2.0,41,0.021820372,3.3174422e-06,0,6.78432436053342e-10,2.0
122,122,1234551.2,608.26227,7546.3833,7570.8574,-85.39174,89.83550234694849,-0.01965542,7.889027e-07,1.7083315e-05,1.6973043e-05,2.0,41,0.021010203,2.7751419e-06,0,1.6762248520103056e-09,2.0
123,123,1068345.5,848.5453,8838.696,8879.335,-84.51621,90.38749453311902,-0.019638091,1.4890824e-06,1.6854669e-05,1.6700742e-05,2.0,41,0.02079796,2.342288e-06,0,1.4178202217815826e-09,2.0
124,124,924510.06,1101.1844,10085.077,10145.018,-83.768585,90.93949845267343,-0.01963319,4.0901782e-07,1.7069833e-05,1.6868718e-05,2.0,41,0.020273052,1.998326e-06,0,1.3447706356705237e-09,2.0
125,125,800039.0,1376.7107,10944.591,11030.839,-82.83047,91.4915058389015,-0.01962941,5.9337407e-07,1.8176464e-05,1.7893339e-05,2.0,41,0.020713355,1.8777679e-06,0,1.412983001991429e-09,2.0
126,126,692334.1,1746.6406,13361.118,13474.8,-82.55221,92.04348682516138,-0.019601239,6.6599864e-07,1.7205275e-05,1.691619e-05,2.0,41,0.020369116,1.5116452e-06,0,7.849531773669316e-10,2.0
127,127,599122.25,2311.4072,15233.762,15408.118,-81.37236,92.5954924247053,-0.019627156,1.1445784e-06,1.7438035e-05,1.7045613e-05,2.0,41,0.020626413,1.3386717e-06,0,2.638209594421317e-10,2.0
128,128,518454.94,3026.287,17333.143,17595.348,-80.09625,93.1475062109239,-0.01960038,-4.5130884e-07,1.7710541e-05,1.7186629e-05,2.0,41,0.020544447,1.1676068e-06,0,9.830343618962967e-10,2.0
129,129,448662.03,3805.2117,19914.22,20274.512,-79.18231,93.69948970378027,-0.019623242,-1.0378961e-06,1.7813016e-05,1.7185544e-05,2.0,41,0.020257998,9.991855e-07,0,2.9772546213312365e-10,2.0
130,130,388258.97,4988.8643,22919.799,23456.469,-77.72019,94.25149831667659,-0.019643495,5.6544104e-07,1.7884955e-05,1.7075923e-05,2.0,41,0.0207806,8.8592196e-07,0,9.119563249833096e-10,2.0
131,131,335983.9,6045.891,28345.242,28982.85,-77.95954,94.80350106288097,-0.01966766,3.2898088e-06,1.6711732e-05,1.5984522e-05,2.0,41,0.02033814,7.017302e-07,0,1.851654407408359e-09,2.0
132,132,290751.2,8694.981,29599.166,30849.852,-73.62945,95.35550436910125,-0.019645525,7.6096944e-07,1.8493502e-05,1.7024406e-05,2.0,41,0.020510243,6.648409e-07,0,1.7586505450238013e-09,2.0
133,133,251605.19,11149.608,33201.61,35023.715,-71.43716,95.90750796868815,-0.01964139,3.6212762e-06,1.9052037e-05,1.7121241e-05,2.0,41,0.020349223,5.810127e-07,0,1.8948409668943326e-09,2.0
134,134,217729.38,14221.911,36874.832,39522.348,-68.90933,96.45950095486478,-0.019576756,1.878276e-06,1.9823168e-05,1.72563e-05,2.0,41,0.020324238,5.142467e-07,0,1.4335317371485277e-09,2.0
135,135,188418.58,17619.688,40828.457,44468.15,-66.65719,97.01148714110604,-0.01965281,2.798193e-06,2.068871e-05,1.7440594e-05,2.0,41,0.020679189,4.6503374e-07,0,8.653041258371482e-10,2.0
136,136,163051.14,22760.11,44601.027,50072.688,-62.96457,97.56348900732701,-0.019616088,1.706955e-06,2.1885246e-05,1.7363584e-05,2.0,41,0.020326985,4.0594955e-07,0,1.0095210751870859e-09,2.0
137,137,141098.2,26498.408,49663.87,56290.902,-61.917625,98.28250224146177,-0.019609828,-3.9584998e-07,2.271214e-05,1.7679207e-05,2.0,42,0.019120727,3.3967703e-07,0,3.5786176145300197e-10,2.0
138,138,122105.11,32530.72,53394.41,62523.684,-58.648,98.69848924790858,-0.019583575,-3.5710963e-07,2.4411278e-05,1.7802991e-05,2.0,42,0.020590581,3.293245e-07,0,3.655748003313055e-10,2.0
139,139,105663.59,39942.004,55665.598,68512.94,-54.339245,99.11450462767971,-0.019599058,-1.457144e-07,2.7058759e-05,1.7862261e-05,2.0,42,0.02197052,3.2067695e-07,0,3.0314295187447746e-10,2.0
140,140,91439.65,47460.137,59035.484,75747.3,-51.20331,99.6664834805706,-0.019617895,-2.7311037e-07,2.9483053e-05,1.7908716e-05,2.0,42,0.020409621,2.6944355e-07,0,3.6296963811676006e-10,2.0
141,141,79127.08,56326.883,60185.035,82431.52,-46.896587,100.08248435365385,-0.01963364,-1.2969686e-07,3.3420005e-05,1.7815453e-05,2.0,42,0.021394512,2.5954284e-07,0,3.015280375432293e-10,2.0
142,142,68475.36,65029.87,60653.965,88925.74,-43.00595,100.63449339321232,-0.019641036,-5.8548938e-08,3.8320097e-05,1.7827482e-05,2.0,42,0.02026598,2.2789779e-07,0,2.797235151805497e-10,2.0
143,143,59252.523,72914.49,59674.04,94220.56,-39.29728,101.05048898627865,-0.01962477,-7.1435613e-09,4.501195e-05,1.8055409e-05,2.0,42,0.020893639,2.2175243e-07,0,3.2336669826728127e-10,2.0
144,144,51282.285,81207.47,58441.61,100050.36,-35.740982,101.46649972602609,-0.01963211,7.145448e-08,5.3104413e-05,1.8119143e-05,2.0,42,0.021422856,2.1412073e-07,0,2.645657635591794e-10,2.0
145,145,44369.8,89264.76,54213.297,104437.914,-31.271627,101.88348667920218,-0.019627752,-3.0983657e-08,6.616477e-05,1.78288e-05,2.0,42,0.021810047,2.0883266e-07,0,2.4841496945677336e-10,2.0
146,146,38403.727,95528.766,49605.312,107640.29,-27.441542,102.43548627875862,-0.019641427,-1.3304926e-07,8.354463e-05,1.7742927e-05,2.0,42,0.020236872,1.8800462e-07,0,3.4767835946496957e-10,2.0
147,147,33226.32,101077.34,45994.48,111050.086,-24.467548,102.85148619182291,-0.019599356,-3.7200942e-07,0.000104143495,1.7865115e-05,2.0,42,0.02043535,1.8401921e-07,0,3.691875834289772e-10,2.0
148,148,28754.086,105915.04,41781.508,113858.2,-21.528309,103.26750677157543,-0.019618137,-4.9083995e-09,0.00013247576,1.7839227e-05,2.0,42,0.020533882,1.8034609e-07,0,3.9191430077326986e-10,2.0
149,149,24884.947,110341.81,37353.785,116493.01,-18.702394,103.68349900466274,-0.019642694,-4.178588e-08,0.00017121776,1.7604281e-05,2.0,42,0.02062473,1.7704694e-07,0,3.5738707668738397e-10,2.0
150,150,21553.963,112902.18,33245.758,117695.3,-16.407866,104.1004900111293,-0.019601667,-2.5709213e-07,0.00022210418,1.772193e-05,2.0,42,0.020590492,1.7494744e-07,0,3.658729900805439e-10,2.0
151,151,18631.234,114866.2,29441.658,118579.32,-14.376146,104.5164868842403,-0.019633882,5.5223435e-09,0.00029014578,1.7886396e-05,2.0,42,0.020511493,1.7297698e-07,0,4.240273786660303e-10,2.0
152,152,16126.037,116718.88,26310.322,119647.52,-12.703077,104.93249391732388,-0.01963446,4.966415e-08,0.00037511662,1.8138911e-05,2.0,42,0.020338288,1.6998503e-07,0,3.497117424822912e-10,2.0
153,153,13954.87,117890.3,22219.514,119965.945,-10.673678,105.34850607041153,-0.019621026,-1.4850677e-07,0.00051328645,1.7608118e-05,2.0,42,0.020096455,1.67518e-07,0,2.640348383991458e-10,2.0
154,154,12080.609,119220.32,19573.705,120816.45,-9.323694,105.76449014354148,-0.019645488,2.1654574e-07,0.0006730669,1.7666567e-05,2.0,42,0.01979875,1.6387462e-07,0,1.6388726829430488e-10,2.0
155,155,10447.592,119653.74,16446.38,120778.73,-7.826253,106.18049210993922,-0.019619832,3.8862183e-08,0.0009262615,1.7174867e-05,2.0,42,0.019294342,1.597495e-07,0,1.9409385160145613e-10,2.0
156,156,9045.586,119681.75,14517.59,120559.04,-6.9162807,106.61226199709927,-0.01962179,-3.8617962e-08,0.0012119617,1.7574313e-05,2.0,42,0.021878725,1.8147726e-07,0,2.899408661347882e-10,2.0
157,157,7827.7437,120237.445,12520.032,120887.53,-5.944647,107.2489353340643,-0.01961279,-1.2168601e-07,0.0016239703,1.741911e-05,2.0,42,0.02017602,1.668991e-07,0,3.785904710585807e-10,2.0
158,158,6770.8345,120478.23,11007.546,120980.04,-5.2203603,107.7874227729335,-0.019610312,2.0276335e-07,0.0021354405,1.7678321e-05,2.0,42,0.02025465,1.6742142e-07,0,5.092873946971949e-10,2.0
159,159,5860.798,120346.375,9959.197,120757.76,-4.730701,108.39398013509344,-0.019595202,-3.2544474e-07,0.0027267104,1.8546314e-05,2.0,42,0.020311005,1.6819628e-07,0,4.985812228909382e-10,2.0
160,160,5071.625,120388.664,8807.45,120710.41,-4.184217,109.07470760746219,-0.019592332,-9.8777036e-08,0.0035630574,1.8968534e-05,2.0,42,0.020359334,1.6866262e-07,0,5.148744788578469e-10,2.0
161,161,4388.5933,120707.49,7850.555,120962.516,-3.7211533,109.75482089308207,-0.01962544,-2.632506e-08,0.0046194945,1.9457791e-05,2.0,42,0.020448186,1.6904563e-07,0,4.939734327398002e-10,2.0
162,162,3798.7827,120666.79,7322.588,120888.766,-3.4726996,110.43484311205975,-0.019637197,7.8348215e-08,0.005721516,2.0992704e-05,2.0,42,0.020469084,1.6932164e-07,0,4.000036992869808e-10,2.0
163,163,3286.0488,120420.69,7021.4785,120625.22,-3.3370187,111.11470007768366,-0.019598536,-1.5632784e-07,0.0068979105,2.3372138e-05,2.0,42,0.020483842,1.6981393e-07,0,5.27520512593095e-10,2.0
164,164,2844.088,120592.56,6814.2476,120784.93,-3.2341373,111.79382058994088,-0.01963334,6.8284467e-09,0.008212194,2.613783e-05,2.0,42,0.020529259,1.699654e-07,0,4.44935014120857e-10,2.0
165,165,2460.7852,120550.28,6427.4556,120721.51,-3.0519855,112.47370659557055,-0.019618882,-8.108199e-08,0.010062533,2.852438e-05,2.0,42,0.020533811,1.700924e-07,0,5.751189608515074e-10,2.0
166,166,2129.3164,120600.69,6762.0938,120790.12,-3.2092204,113.153839054532,-0.019588085,9.1945346e-08,0.011053473,3.464163e-05,2.0,42,0.02053753,1.7002657e-07,0,4.749799803505588e-10,2.0
167,167,1843.2289,120889.12,6925.8594,121087.35,-3.2789485,113.83393324681674,-0.019623354,2.0425485e-07,0.012467151,4.0786552e-05,2.0,42,0.020559298,1.6978898e-07,0,6.498582430355023e-10,2.0
168,168,1594.4913,121085.52,7238.257,121301.67,-3.4209592,114.51380895913462,-0.019605337,1.05541886e-07,0.013789991,4.910191e-05,2.0,42,0.020573882,1.6960922e-07,0,7.995729222068556e-10,2.0
169,169,1380.4436,121240.64,7575.9453,121477.11,-3.5755837,115.1936952847609,-0.019643681,2.3349638e-07,0.015218246,5.9190144e-05,2.0,42,0.020574372,1.693683e-07,0,7.704392998691596e-10,2.0
