True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,163.71754,1140.8835,1152.5704,-81.83376,2.4664969704754185,-0.013315786,7.695924e-06,1.9928731e-05,1.9526631e-05,1.0,40,0.010050273,8.719877e-06,0,6.220368532530705e-09,1.0
1,1,6057573.0,208.87183,1318.2145,1334.6598,-80.99631,3.018480463331798,-0.013303693,-7.3931615e-06,1.993129e-05,1.9443141e-05,1.0,40,0.014156561,1.0606869e-05,0,6.442291396840321e-09,1.0
2,2,5242039.0,208.59383,1529.8055,1543.9613,-82.23542,3.43450037643197,-0.013268722,-1.3570124e-05,1.9846488e-05,1.9484232e-05,1.0,40,0.0195671,1.267331e-05,0,4.081652594262803e-09,1.0
3,3,4536288.0,191.96863,1782.4434,1792.751,-83.85296,4.802489268098725,-0.013294023,-1.26770665e-05,1.9683564e-05,1.9457872e-05,1.0,40,0.01826979,1.01909245e-05,0,1.954322135866783e-09,1.0
4,4,3925558.5,242.94476,2050.2866,2064.6301,-83.242355,5.354502120957477,-0.013302073,-1.1467713e-05,1.9774436e-05,1.9500634e-05,1.0,40,0.020356376,9.859576e-06,0,-4.263045936644024e-10,1.0
5,5,3397055.0,306.7285,2344.1702,2364.1523,-82.54535,5.770481714076595,-0.013301476,-3.6029667e-07,1.9986117e-05,1.9649693e-05,1.0,40,0.021163726,8.95193e-06,0,3.463035150856639e-09,1.0
6,6,2939708.2,353.70224,2687.7434,2710.9167,-82.50306,6.322492166917073,-0.01329939,-1.1690974e-05,2.0143181e-05,1.980028e-05,1.0,40,0.020238124,7.4654167e-06,0,-2.7984087398446417e-09,1.0
7,7,2543924.5,394.48914,3090.242,3115.3198,-82.725174,6.874493153154617,-0.01334228,9.4208093e-07,2.0245263e-05,1.9920632e-05,1.0,40,0.02085913,6.6956623e-06,0,-7.146094856551599e-09,1.0
8,8,2201436.2,509.64774,3481.747,3518.8499,-81.672356,7.426496166066499,-0.013325195,-1.8667997e-05,2.0764277e-05,2.0328707e-05,1.0,40,0.020305319,5.770442e-06,0,-2.3241251677619505e-09,1.0
9,9,1905053.1,574.87994,4086.9126,4127.147,-81.9931,7.9784944322600495,-0.013324318,-1.135608e-05,2.0441732e-05,2.0045114e-05,1.0,40,0.02067501,5.009516e-06,0,-4.154687847809492e-09,1.0
10,10,1648567.4,684.8301,4691.664,4741.382,-81.695335,8.530500618478982,-0.013332424,-1.3179408e-05,2.0577212e-05,2.0147932e-05,1.0,40,0.019941704,4.2058846e-06,0,-9.324055881450022e-09,1.0
11,11,1426616.2,738.5519,5412.3374,5462.495,-82.229576,9.249478572659427,-0.013346416,-3.3395622e-06,2.0612379e-05,2.0235582e-05,1.0,41,0.019364156,3.5449286e-06,0,-8.43331267253886e-09,1.0
12,12,1234551.2,875.5194,6248.918,6309.953,-82.02435,9.801480092195561,-0.013322083,-2.6933712e-06,2.0630328e-05,2.0233152e-05,1.0,41,0.020686414,3.2783785e-06,0,-7.853138766032922e-09,1.0
13,13,1068345.5,1102.6385,7189.171,7273.238,-81.28021,10.353502225043485,-0.013344963,2.079044e-07,2.0721902e-05,2.0245647e-05,1.0,41,0.020448793,2.8115116e-06,0,-8.720773326847582e-09,1.0
14,14,924510.06,1410.9838,8224.314,8344.473,-80.26497,10.905489957978716,-0.013327188,9.155325e-07,2.0931906e-05,2.0333418e-05,1.0,41,0.020274395,2.4296796e-06,0,-8.160725745376061e-09,1.0
15,15,800039.0,1676.2379,9144.774,9297.133,-79.61298,11.457498917501653,-0.013354428,2.807507e-06,2.175384e-05,2.1046693e-05,1.0,41,0.020574216,2.2129634e-06,0,-7.892682669330656e-09,1.0
16,16,692334.1,2288.4517,10640.002,10883.32,-77.86174,12.009489610412857,-0.013346919,3.6380388e-06,2.160542e-05,2.0650154e-05,1.0,41,0.020302663,1.8654843e-06,0,-8.726494555759246e-09,1.0
17,17,599122.25,2939.2263,12179.32,12528.962,-76.432274,12.561499076633481,-0.013354689,2.6529467e-06,2.1811304e-05,2.0610929e-05,1.0,41,0.02063608,1.6470702e-06,0,-7.945673293800186e-09,1.0
18,18,518454.94,3680.6042,13876.628,14356.45,-75.14505,13.113480862841243,-0.01331763,1.4592896e-06,2.212204e-05,2.0668022e-05,1.0,41,0.020537639,1.4305514e-06,0,-8.541504452299224e-09,1.0
19,19,448662.03,4668.78,15487.413,16175.83,-73.22423,13.666483689070446,-0.013356831,2.9676548e-06,2.2904558e-05,2.0996482e-05,1.0,41,0.020055905,1.2398687e-06,0,-8.837463483220946e-09,1.0
20,20,388258.97,6061.4585,17630.555,18643.438,-71.02682,14.218496355315438,-0.013329126,4.5803026e-06,2.3250519e-05,2.0792784e-05,1.0,41,0.020924041,1.1223274e-06,0,-8.031903194699275e-09,1.0
21,21,335983.9,7189.322,19084.057,20393.322,-69.357666,14.770493101532338,-0.013304457,1.3922512e-06,2.4821667e-05,2.1736838e-05,1.0,41,0.020355035,9.981226e-07,0,-7.761842173985024e-09,1.0
22,22,290751.2,9526.565,21805.65,23795.836,-66.4002,15.322481981100282,-0.013327039,4.0902077e-07,2.5103229e-05,2.1079764e-05,1.0,41,0.020603945,8.658635e-07,0,-8.374401091243853e-09,1.0
23,23,251605.19,11826.742,23987.086,26744.197,-63.75457,15.874487473949557,-0.01333356,2.563206e-07,2.6370784e-05,2.121382e-05,1.0,41,0.020230293,7.5643675e-07,0,-7.4370387842779764e-09,1.0
24,24,217729.38,14715.943,26100.008,29962.8,-60.584435,16.427490486908937,-0.013326443,5.952376e-07,2.8006734e-05,2.1250979e-05,1.0,41,0.020448005,6.824464e-07,0,-6.872579435639162e-09,1.0
25,25,188418.58,17977.88,27960.861,33241.75,-57.260365,16.979501099762274,-0.013345075,1.8466224e-06,3.0209661e-05,2.1373675e-05,1.0,41,0.02078076,6.251404e-07,0,-6.868140741334609e-09,1.0
26,26,163051.14,21587.473,29578.291,36618.223,-53.876472,17.531504592654528,-0.013348522,1.5523972e-06,3.3000706e-05,2.1531529e-05,1.0,41,0.02022401,5.522936e-07,0,-6.269834904521253e-09,1.0
27,27,141098.2,25653.12,30572.604,39909.48,-50.000378,18.083482912246836,-0.013340995,1.0309866e-06,3.689489e-05,2.1651047e-05,1.0,41,0.020283345,5.0823377e-07,0,-6.075230006904538e-09,1.0
28,28,122105.11,29779.277,31015.693,42997.426,-46.165092,18.499495065334486,-0.013320872,9.993311e-07,4.202472e-05,2.1866683e-05,1.0,41,0.022021288,5.1215363e-07,0,-6.180286890767661e-09,1.0
29,29,105663.59,33849.824,31397.926,46169.69,-42.847935,19.0515042381885,-0.013371271,4.4406356e-06,4.797266e-05,2.2186141e-05,1.0,41,0.020434396,4.425933e-07,0,-5.723406540615687e-09,1.0
30,30,91439.65,38530.723,31246.564,49608.11,-39.04039,19.467504151311005,-0.01333928,2.2004353e-06,5.5703607e-05,2.2099503e-05,1.0,41,0.021725269,4.3793784e-07,0,-5.450580835926644e-09,1.0
31,31,79127.08,42505.527,32107.05,53268.965,-37.066006,20.186501358781243,-0.01334336,-3.496594e-07,6.2646184e-05,2.2758672e-05,1.0,42,0.01863186,3.4976952e-07,0,-5.0589133743122896e-09,1.0
