True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,157.96268,1263.192,1273.0304,-82.87214,2.4684791305626277,0.0007242507,3.0375893e-05,1.7999133e-05,1.7722003e-05,1.0,40,0.010088854,7.9250685e-06,0,1.0362102289650387e-08,1.0
1,1,6057573.0,251.21762,1460.031,1481.486,-80.2371,3.020487556786975,0.0007301384,1.4816079e-06,1.7995313e-05,1.7477869e-05,1.0,40,0.01427449,9.635251e-06,0,1.7441503065229983e-08,1.0
2,2,5242039.0,226.43404,1689.0344,1704.1449,-82.36439,3.4365000031830277,0.00082326,-1.86494e-05,1.7975517e-05,1.7658156e-05,1.0,40,0.019748524,1.1588524e-05,0,1.6967600150173388e-08,1.0
3,3,4536288.0,199.9919,1958.0977,1968.2843,-84.168274,4.668477288360009,0.00072810776,2.905482e-05,1.791782e-05,1.7732837e-05,1.0,40,0.021024847,1.0681814e-05,0,2.6218861419440346e-08,1.0
4,4,3925558.5,271.57016,2277.2698,2293.4053,-83.19945,5.084500668133842,0.00073228125,-5.346542e-06,1.780345e-05,1.7553815e-05,1.0,40,0.019687794,8.584525e-06,0,2.914365920580369e-08,1.0
5,5,3397055.0,343.02313,2583.367,2606.041,-82.43643,5.500494127889397,0.00065162446,3.4580622e-05,1.813558e-05,1.7821372e-05,1.0,40,0.020803772,7.982902e-06,0,3.131897213268076e-08,1.0
6,6,2939708.2,354.58228,2924.9885,2946.4023,-83.088036,6.052496607444482,0.0007185124,-4.30464e-06,1.8509374e-05,1.8241308e-05,1.0,40,0.020702243,7.026278e-06,0,2.5461578159277248e-08,1.0
7,7,2543924.5,394.44623,3346.497,3369.6633,-83.27766,6.6044895136437844,0.0006495191,3.113863e-05,1.8695e-05,1.843883e-05,1.0,40,0.02094005,6.214286e-06,0,2.825976551143741e-08,1.0
8,8,2201436.2,480.93185,3794.7068,3825.0615,-82.776985,7.156486953230342,0.000711451,2.746804e-06,1.9051791e-05,1.875061e-05,1.0,40,0.020763256,5.428215e-06,0,3.0421811242680024e-08,1.0
9,9,1905053.1,527.54803,4393.576,4425.135,-83.15313,7.708494472753955,0.00070196745,-1.2081691e-05,1.9014935e-05,1.8744688e-05,1.0,40,0.020376131,4.6046353e-06,0,3.388672187129929e-08,1.0
10,10,1648567.4,665.6236,5086.769,5130.134,-82.54498,8.260500525677344,0.000712159,-1.732841e-05,1.8978917e-05,1.8659417e-05,1.0,40,0.019869976,3.8731887e-06,0,3.6605961426958956e-08,1.0
11,11,1426616.2,560.4031,5963.583,5989.856,-84.63163,8.979498853121186,0.0007238597,-5.1998804e-06,1.8707067e-05,1.854332e-05,1.0,41,0.01941054,3.2405687e-06,0,3.6524406324007136e-08,1.0
12,12,1234551.2,639.3537,6831.361,6861.2144,-84.653206,9.531481439335039,0.0006578661,4.338217e-06,1.8871386e-05,1.8707522e-05,1.0,41,0.020670494,3.0126582e-06,0,3.698743454260662e-08,1.0
13,13,1068345.5,760.64404,7807.256,7844.222,-84.435356,10.084484185645124,0.0006769264,1.1799619e-06,1.908139e-05,1.890197e-05,1.0,41,0.020734128,2.6432356e-06,0,3.5903245612903196e-08,1.0
14,14,924510.06,995.61115,8980.891,9035.908,-83.67409,10.63648831853061,0.0007102958,-2.8367604e-06,1.9168541e-05,1.8935827e-05,1.0,41,0.020236924,2.2396116e-06,0,3.5482882444613195e-08,1.0
15,15,800039.0,1269.715,10239.988,10318.407,-82.93165,11.188483064732281,0.00061238604,1.0505757e-05,1.9427169e-05,1.9133e-05,1.0,41,0.020905703,2.026059e-06,0,3.683294612832495e-08,1.0
16,16,692334.1,1475.0992,11897.427,11988.522,-82.93227,11.740494024270447,0.0007407773,-3.4121736e-06,1.9321968e-05,1.9029445e-05,1.0,41,0.020175101,1.6828681e-06,0,3.803818696478187e-08,1.0
17,17,599122.25,1867.2594,13736.328,13862.661,-82.258896,12.292502583848545,0.00069865095,8.8387566e-07,1.9339e-05,1.8988127e-05,1.0,41,0.020750653,1.4968737e-06,0,3.799655600889314e-08,1.0
18,18,518454.94,2271.8577,15575.783,15740.596,-81.701454,12.844496396690374,0.00070459454,1.5970894e-06,1.9708756e-05,1.9298195e-05,1.0,41,0.020465434,1.300169e-06,0,3.762548804134901e-08,1.0
19,19,448662.03,2906.6917,17840.021,18075.266,-80.746056,13.39649735626881,0.00060450484,8.127752e-06,1.9884077e-05,1.9369874e-05,1.0,41,0.020194177,1.1172272e-06,0,3.769659091455285e-08,1.0
20,20,388258.97,3800.7139,20363.6,20715.25,-79.42781,13.948494369135005,0.000694198,1.496532e-06,2.0130015e-05,1.9452384e-05,1.0,41,0.020806778,1.0044184e-06,0,3.776698373935814e-08,1.0
21,21,335983.9,3967.703,23378.094,23712.4,-80.367615,14.500485302036395,0.0006578661,3.75908e-06,2.0262476e-05,1.9695168e-05,1.0,41,0.020424522,8.6134355e-07,0,3.8524074353205154e-08,1.0
22,22,290751.2,5829.2837,26612.982,27243.924,-77.6451,15.052504181599943,0.00073025044,-1.3917087e-06,2.0568616e-05,1.9626952e-05,1.0,41,0.020646773,7.5784874e-07,0,3.7960742547404103e-08,1.0
23,23,251605.19,7578.92,29914.945,30860.07,-75.7833,15.604486581141828,0.00072223874,-2.0363836e-07,2.1145226e-05,1.9869865e-05,1.0,41,0.020427734,6.6194707e-07,0,3.8896788253966166e-08,1.0
24,24,217729.38,9329.938,34133.805,35385.934,-74.71252,16.15649775401107,0.0006260431,8.334453e-06,2.1415015e-05,1.9926292e-05,1.0,41,0.020268328,5.7277924e-07,0,3.9115024043007275e-08,1.0
25,25,188418.58,11643.083,38714.562,40427.45,-73.26178,16.708481166890124,0.0006222236,1.0356781e-05,2.1818358e-05,2.0008663e-05,1.0,41,0.020706963,5.122006e-07,0,3.934015373551208e-08,1.0
26,26,163051.14,15143.045,43048.445,45634.203,-70.61978,17.260495593160158,0.0006540652,5.036533e-06,2.2674558e-05,2.0177755e-05,1.0,41,0.02033479,4.4560412e-07,0,3.995219743232149e-08,1.0
27,27,141098.2,18740.398,48421.332,51921.363,-68.84218,17.812493086006725,0.00067932985,4.334491e-06,2.3294957e-05,2.0260175e-05,1.0,41,0.020334769,3.916455e-07,0,4.0793437912253376e-08,1.0
28,28,122105.11,22277.191,52006.117,56576.582,-66.81178,18.531496080191573,0.0007281822,-1.7029976e-07,2.5062931e-05,2.117714e-05,1.0,42,0.01883312,3.3287836e-07,0,4.006415417572108e-08,1.0
29,29,105663.59,26464.756,59895.066,65481.312,-66.16167,18.947483566618757,0.000712867,-2.7720785e-07,2.5148014e-05,2.1040258e-05,1.0,42,0.020223806,3.088485e-07,0,4.0048766535670037e-08,1.0
30,30,91439.65,32958.992,65905.5,73687.38,-63.430607,19.36348755969084,0.00065590977,5.8416873e-08,2.6409727e-05,2.112618e-05,1.0,42,0.02142963,2.9081818e-07,0,4.00071670297171e-08,1.0
31,31,79127.08,40514.57,71545.6,82220.46,-60.478157,19.91548793259426,0.000686205,1.4502359e-07,2.8113316e-05,2.128718e-05,1.0,42,0.020254754,2.4634687e-07,0,3.998681531086964e-08,1.0
32,32,68475.36,49206.492,77382.945,91702.77,-57.548416,20.331478645646712,0.0007113951,-4.1074986e-07,3.0035893e-05,2.1387801e-05,1.0,42,0.021121122,2.3032152e-07,0,3.9990250556435964e-08,1.0
33,33,59252.523,58343.668,81940.414,100589.336,-54.54816,20.747491038782755,0.00065756805,4.251454e-07,3.2780466e-05,2.1752418e-05,1.0,42,0.021854559,2.1726517e-07,0,3.9966387260320915e-08,1.0
34,34,51282.285,67992.77,87070.39,110472.94,-52.013927,21.299496958294185,0.0006523138,1.8097006e-07,3.564366e-05,2.2141725e-05,1.0,42,0.020261273,1.8340485e-07,0,3.9982648207077534e-08,1.0
35,35,44369.8,81271.56,88453.664,120121.266,-47.423084,21.71549004476401,0.0006175657,1.0075527e-06,4.0552422e-05,2.198916e-05,1.0,42,0.02065355,1.7193916e-07,0,3.999140027204401e-08,1.0
36,36,38403.727,92628.07,89807.445,129016.805,-44.114223,22.131481317832367,0.00075845886,-6.443087e-07,4.6146037e-05,2.2359729e-05,1.0,42,0.020971714,1.6255025e-07,0,3.999490072272138e-08,1.0
37,37,33226.32,104700.46,89937.13,138024.9,-40.6624,22.54749843091122,0.0006164664,8.5650305e-07,5.325972e-05,2.26132e-05,1.0,42,0.021181574,1.5346197e-07,0,3.997210662534398e-08,1.0
38,38,28754.086,116552.11,88563.08,146382.42,-37.229683,22.963500130659668,0.0007442615,-2.649151e-07,6.249825e-05,2.2876808e-05,1.0,42,0.021317488,1.4562873e-07,0,4.0016405604178886e-08,1.0
39,39,24884.947,128051.77,86429.695,154490.61,-34.01774,23.37949543041759,0.0007223133,-2.6770883e-07,7.3998075e-05,2.3160195e-05,1.0,42,0.021374084,1.38352e-07,0,4.0024334122843893e-08,1.0
40,40,21553.963,137561.34,82624.61,160467.9,-30.99064,23.79647883688449,0.00064092985,8.1534176e-07,8.936831e-05,2.3693327e-05,1.0,42,0.021358473,1.3310121e-07,0,4.010584812582982e-08,1.0
41,41,18631.234,146807.44,78305.33,166385.55,-28.074926,24.2124903233198,0.0006729019,3.873367e-07,0.00010909057,2.4162318e-05,1.0,42,0.021259965,1.2777531e-07,0,4.009593267056546e-08,1.0
42,42,16126.037,156077.11,74152.55,172796.6,-25.412487,24.628483383072307,0.0007376472,-2.759036e-07,0.00013309643,2.4510275e-05,1.0,42,0.021102617,1.2212404e-07,0,4.0175570060660626e-08,1.0
43,43,13954.87,166109.75,68638.2,179732.17,-22.450901,25.044487722829217,0.0006197456,9.716067e-07,0.00016616075,2.4233079e-05,1.0,42,0.02093638,1.1648654e-07,0,4.02058310858416e-08,1.0
44,44,12080.609,171409.31,63656.723,182847.83,-20.373617,25.460486409283476,0.0007036629,-6.879217e-08,0.00020696028,2.5083951e-05,1.0,42,0.020567065,1.12481864e-07,0,4.031271160193138e-08,1.0
45,45,10447.592,176282.58,57522.562,185430.3,-18.071962,25.876485469023464,0.0006457182,1.3869175e-07,0.0002648291,2.5484773e-05,1.0,42,0.02001727,1.0795038e-07,0,4.035841033463792e-08,1.0
46,46,9045.586,180308.58,52814.31,187884.36,-16.325872,26.449260082939873,0.0006916082,2.3628756e-07,0.00033314386,2.6324115e-05,1.0,42,0.020292284,1.08004116e-07,0,4.04101051623913e-08,1.0
47,47,7827.7437,178764.55,52328.832,186266.12,-16.316067,26.929930799116846,0.0006764233,1.1950821e-07,0.00038854606,3.066598e-05,1.0,42,0.02022335,1.08572344e-07,0,4.046532656980685e-08,1.0
48,48,6770.8345,187839.67,43085.316,192717.64,-12.91863,27.468424398015486,0.0006678527,4.0354132e-07,0.0005455677,2.7268692e-05,1.0,42,0.020359755,1.0564551e-07,0,4.0513350549690607e-08,1.0
49,49,5860.798,190727.8,38934.445,194661.2,-11.5376215,28.074991840170696,0.0006937322,7.182817e-08,0.0006974762,2.7902208e-05,1.0,42,0.020408342,1.0484032e-07,0,4.0582238504734746e-08,1.0
50,50,5071.625,192937.61,35622.266,196198.55,-10.460774,28.755707525844628,0.0006754358,1.953128e-07,0.0008809504,2.9040426e-05,1.0,42,0.020412944,1.0404228e-07,0,4.064310997346452e-08,1.0
51,51,4388.5933,195246.42,32671.912,197961.16,-9.499677,29.435804464810644,0.0006861491,2.4839437e-07,0.0011099931,3.023496e-05,1.0,42,0.02045919,1.03349514e-07,0,4.063644522244086e-08,1.0
52,52,3798.7827,196608.61,29044.213,198742.33,-8.403302,30.115807483773096,0.00071609026,1.167149e-07,0.0014425009,3.0807365e-05,1.0,42,0.02046048,1.0294979e-07,0,4.0594391621589743e-08,1.0
53,53,3286.0488,198409.52,27292.387,200277.83,-7.8322163,30.79567906273587,0.0007171523,1.7426663e-07,0.0017746169,3.2955042e-05,1.0,42,0.020487327,1.02294536e-07,0,4.0529205277904265e-08,1.0
54,54,2844.088,199533.56,24295.367,201007.23,-6.942207,31.475814908364555,0.0006989491,9.790353e-08,0.0023033165,3.364939e-05,1.0,42,0.02050513,1.020119e-07,0,4.0520531835195525e-08,1.0
55,55,2460.7852,201279.9,22263.44,202507.44,-6.311792,32.155689634004375,0.00064284896,2.4334394e-08,0.0029050536,3.5112094e-05,1.0,42,0.020534862,1.01403e-07,0,4.044613769541626e-08,1.0
56,56,2129.3164,201396.11,20467.822,202433.5,-5.8030276,32.83580302630435,0.0007093829,9.0511617e-07,0.003651811,3.7332476e-05,1.0,42,0.020515572,1.01344746e-07,0,4.054869964820599e-08,1.0
57,57,1843.2289,202239.11,19690.262,203195.39,-5.5608644,33.515940125245834,0.00069421664,1.4316272e-07,0.0043852,4.1177944e-05,1.0,42,0.020504948,1.00912466e-07,0,4.049657994074253e-08,1.0
58,58,1594.4913,203461.8,18199.48,204274.14,-5.111454,34.195819144224515,0.0006798702,-3.1836768e-07,0.0054845246,4.353416e-05,1.0,42,0.020525817,1.0048172e-07,0,4.0358129248256385e-08,1.0
59,59,1380.4436,204149.45,16915.168,204849.02,-4.7365255,34.87569520319812,0.00066205824,1.6234644e-07,0.0068159304,4.6473997e-05,1.0,42,0.02052527,1.0019706e-07,0,4.0290988521310844e-08,1.0
60,60,1194.6187,204108.12,16086.343,204741.05,-4.5063286,35.55580355548591,0.00069149636,1.4334903e-07,0.008281968,5.112559e-05,1.0,42,0.02048284,1.0004266e-07,0,4.032041933361115e-08,1.0
61,61,1033.3434,205615.48,15513.066,206199.86,-4.314619,36.236072814441286,0.00068676396,2.3088691e-07,0.009928367,5.6194833e-05,1.0,42,0.020538785,9.9606204e-08,0,4.0347280348948187e-08,1.0
62,62,894.71045,205594.06,16540.033,206258.31,-4.599537,36.91584815341048,0.0006802987,1.0777494e-07,0.010754773,6.915938e-05,1.0,42,0.020524085,9.95067e-08,0,4.044002049274889e-08,1.0
63,63,774.2569,206788.39,15578.09,207374.34,-4.308153,37.59596202571993,0.00068668945,2.0257676e-07,0.013195349,7.4462776e-05,1.0,42,0.020549545,9.909396e-08,0,4.043191605741252e-08,1.0
64,64,669.7856,206470.36,14922.04,207008.88,-4.1336975,38.275845658019534,0.0006737962,2.5770728e-07,0.015924146,8.274364e-05,1.0,42,0.020499988,9.902951e-08,0,4.042235266508776e-08,1.0
65,65,579.81464,207350.67,16180.409,207981.03,-4.4619784,38.955816703644814,0.00067791383,1.6737525e-07,0.016964516,0.00010267696,1.0,42,0.020510545,9.8617384e-08,0,4.053337882218777e-08,1.0
