True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,164.52565,1312.7563,1323.026,-82.85646,2.465495903714327,0.0236321,1.5361344e-05,1.7319559e-05,1.7051725e-05,1.0,40,0.010075908,7.6158053e-06,0,3.935414761207549e-09,1.0
1,1,6057573.0,255.41022,1469.3398,1491.3732,-80.13901,3.0174840899708215,0.023668077,-1.4208331e-06,1.7881306e-05,1.7356857e-05,1.0,40,0.014201224,9.522247e-06,0,1.4381407783490533e-09,1.0
2,2,5242039.0,214.84273,1753.8312,1766.9412,-83.01611,3.433487203059485,0.02368164,2.6537714e-06,1.7311397e-05,1.7055463e-05,1.0,40,0.019688496,1.1142701e-05,0,2.870481661198533e-09,1.0
3,3,4536288.0,194.58655,2043.2671,2052.5117,-84.55995,4.801492601371137,0.023637746,1.03005905e-05,1.717095e-05,1.7016622e-05,1.0,40,0.020563567,1.00187335e-05,0,1.8428312051481853e-08,1.0
4,4,3925558.5,268.02643,2355.1003,2370.303,-83.507286,5.217489714472322,0.023636905,-7.802455e-06,1.7215089e-05,1.6994969e-05,1.0,40,0.01904854,8.036332e-06,0,1.9025404294691524e-08,1.0
5,5,3397055.0,333.30594,2675.2874,2695.9702,-82.898285,5.633499520859914,0.023609685,-1.117003e-05,1.7512459e-05,1.7244785e-05,1.0,40,0.0199303,7.392626e-06,0,1.61829626558756e-08,1.0
6,6,2939708.2,355.08914,3053.0596,3073.6396,-83.36596,6.049488100659801,0.023589954,5.928325e-06,1.7732935e-05,1.7496262e-05,1.0,40,0.021669379,7.0500714e-06,0,1.584297144977932e-08,1.0
7,7,2543924.5,387.28214,3544.6406,3565.7349,-83.76468,6.6024811669194605,0.0235681,-2.7045762e-06,1.764996e-05,1.744175e-05,1.0,40,0.020721043,5.8111564e-06,0,1.3966885393939618e-08,1.0
8,8,2201436.2,465.24213,4007.987,4034.8992,-83.37881,7.154502926481655,0.023589972,-1.5988824e-05,1.8037972e-05,1.7798153e-05,1.0,40,0.020757634,5.1445236e-06,0,1.4616092894740183e-08,1.0
9,9,1905053.1,492.57874,4698.8174,4724.5654,-84.01552,7.706500179338036,0.023616597,-1.0742107e-05,1.7779701e-05,1.7586437e-05,1.0,40,0.020448655,4.3281557e-06,0,9.031518697434473e-09,1.0
10,10,1648567.4,521.1875,5473.9277,5498.6836,-84.56111,8.425490933499532,0.023620473,-4.808823e-06,1.7636581e-05,1.7478133e-05,1.0,41,0.018929869,3.4426184e-06,0,5.3966560187019595e-09,1.0
11,11,1426616.2,571.9571,6289.5293,6315.482,-84.80393,8.841478926566197,0.023580844,2.4127246e-06,1.7737599e-05,1.7592118e-05,1.0,41,0.02179732,3.4514103e-06,0,5.283563681691324e-09,1.0
12,12,1234551.2,752.67505,7236.552,7275.5894,-84.062004,9.393501219485188,0.023570986,1.3196242e-06,1.7814733e-05,1.7624074e-05,1.0,41,0.020979373,2.883529e-06,0,5.268999814489916e-09,1.0
