True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,211.65276,1340.1201,1356.731,-81.025085,82.66349672627985,-0.0044975164,9.97981e-07,1.6965912e-05,1.6553018e-05,2.0,40,0.010107433,7.4498435e-06,0,8.33241599923361e-10,2.0
111,111,6057573.0,242.58727,1557.889,1576.6632,-81.14925,83.2154894725245,-0.004491405,-3.7893244e-07,1.6864946e-05,1.6465698e-05,2.0,40,0.0142816985,9.05818e-06,0,1.186583921980776e-09,2.0
112,112,5242039.0,237.67267,1805.9879,1821.5599,-82.50281,83.63148397227633,-0.004480077,2.839826e-06,1.6811446e-05,1.652524e-05,2.0,40,0.019702546,1.0816304e-05,0,2.9094398775440943e-09,2.0
113,113,4536288.0,198.91016,2102.2625,2111.6516,-84.594925,84.8635060841043,-0.004460886,-3.1189425e-05,1.6689088e-05,1.6541006e-05,2.0,40,0.020742856,9.8230485e-06,0,9.692185120186596e-09,2.0
114,114,3925558.5,280.13907,2423.6528,2439.789,-83.4067,85.2794867172197,-0.004532451,2.7654053e-06,1.6728163e-05,1.6507622e-05,2.0,40,0.01960884,8.037105e-06,0,9.093079019074363e-09,2.0
115,115,3397055.0,319.48947,2723.53,2742.205,-83.30937,85.69550564364181,-0.004542996,-9.328095e-06,1.7202256e-05,1.696875e-05,2.0,40,0.020751853,7.5675785e-06,0,1.0149916963978711e-08,2.0
116,116,2939708.2,380.13544,3170.4307,3193.1384,-83.16286,86.2475010031776,-0.0045445613,-4.918618e-06,1.707645e-05,1.683444e-05,2.0,40,0.020742102,6.4958354e-06,0,9.185264702884648e-09,2.0
117,117,2543924.5,448.75986,3628.5735,3656.218,-82.94981,86.79948612270528,-0.004498746,-2.2407685e-05,1.7241697e-05,1.6981954e-05,2.0,40,0.02087833,5.7103625e-06,0,5.550754881353173e-09,2.0
118,118,2201436.2,517.04877,4132.662,4164.8813,-82.86862,87.35150729559246,-0.004566957,4.0677855e-06,1.74938e-05,1.7224183e-05,2.0,40,0.020685857,4.9667337e-06,0,5.5366746777750895e-09,2.0
119,119,1905053.1,629.83826,4722.8467,4764.659,-82.40386,87.90349830847117,-0.0045503373,-7.635005e-06,1.768924e-05,1.7380136e-05,2.0,40,0.02047223,4.296683e-06,0,5.346675604328431e-10,2.0
120,120,1648567.4,526.28784,5642.6987,5667.1885,-84.67151,88.62250244928873,-0.004539922,-4.024846e-06,1.7109076e-05,1.6961529e-05,2.0,41,0.018816477,3.3202489e-06,0,-7.006902717712254e-09,2.0
121,121,1426616.2,725.53625,6436.3745,6477.138,-83.56852,89.03848924240447,-0.0045440956,2.4555545e-06,1.7332917e-05,1.7115435e-05,2.0,41,0.021695213,3.349506e-06,0,-7.066307166939209e-09,2.0
122,122,1234551.2,892.7683,7401.499,7455.1475,-83.122215,89.5904921486217,-0.0045710183,1.3661787e-06,1.741772e-05,1.716794e-05,2.0,41,0.021050973,2.823683e-06,0,-6.310083273939189e-09,2.0
123,123,1068345.5,1132.5752,8528.904,8603.774,-82.4358,90.14249918816495,-0.0045418036,-6.635972e-07,1.7466873e-05,1.7164202e-05,2.0,41,0.020777136,2.4148862e-06,0,-6.221894515508808e-09,2.0
124,124,924510.06,1365.9546,9773.387,9868.38,-82.043724,90.69450070770108,-0.0045395307,-1.1611666e-07,1.761422e-05,1.7276743e-05,2.0,41,0.020327425,2.0598543e-06,0,-6.475674788896176e-09,2.0
125,125,800039.0,1600.1954,11424.994,11536.513,-82.02696,91.24650417393423,-0.0045157755,-2.1086487e-06,1.7412172e-05,1.7077167e-05,2.0,41,0.020559037,1.7820843e-06,0,-5.948222226730514e-09,2.0
126,126,692334.1,2203.247,12780.563,12969.082,-80.218895,91.79849977351842,-0.0045746514,3.4853383e-06,1.798682e-05,1.7467708e-05,2.0,41,0.020407662,1.5735626e-06,0,-6.8109429335364445e-09,2.0
127,127,599122.25,2925.2083,14709.064,14997.113,-78.75227,92.35048595970147,-0.004515272,-1.1645234e-06,1.806008e-05,1.7372984e-05,2.0,41,0.02049407,1.3665343e-06,0,-6.3303639680868505e-09,2.0
128,128,518454.94,3598.9954,16576.268,16962.47,-77.75021,92.90250625260524,-0.004530159,-7.6415483e-07,1.8519206e-05,1.7685512e-05,2.0,41,0.020537524,1.2107625e-06,0,-6.194864560216315e-09,2.0
129,129,448662.03,4588.937,19068.314,19612.725,-76.46864,93.4544880654721,-0.0045925193,3.889431e-06,1.8603236e-05,1.7584793e-05,2.0,41,0.020251831,1.0325863e-06,0,-5.707660649395763e-09,2.0
