True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,127.37705,1122.0729,1129.2797,-83.523544,2.4644754770270083,-0.02079421,2.881304e-05,2.026282e-05,2.000502e-05,1.0,40,0.010013556,8.867207e-06,0,8.088981896264613e-09,1.0
1,1,6057573.0,213.65564,1303.451,1320.8457,-80.691124,3.016500756581081,-0.02077364,7.90047e-06,2.015704e-05,1.9629628e-05,1.0,40,0.014138948,1.0704466e-05,0,9.121069629360237e-09,1.0
2,2,5242039.0,202.14032,1515.8623,1529.2806,-82.40442,3.4324888296832796,-0.020742971,-1.0835131e-05,2.002904e-05,1.96791e-05,1.0,40,0.019527845,1.2769301e-05,0,7.795336242210738e-09,1.0
3,3,4536288.0,191.18036,1757.5524,1767.9198,-83.79198,4.800493561342591,-0.020788116,8.402842e-06,1.996233e-05,1.972889e-05,1.0,40,0.018891338,1.06856305e-05,0,7.73097024409708e-09,1.0
4,4,3925558.5,244.43443,2037.8259,2052.4333,-83.160126,5.2164869410626125,-0.020783981,-4.304643e-06,1.9895351e-05,1.9613162e-05,1.0,40,0.018107112,8.822266e-06,0,9.673510496017773e-09,1.0
5,5,3397055.0,291.7328,2307.0488,2325.421,-82.79304,5.6325019474898,-0.02076015,-9.532755e-06,2.0307702e-05,1.9988085e-05,1.0,40,0.018995196,8.1684975e-06,0,8.615921391664313e-09,1.0
6,6,2939708.2,361.9655,2662.3772,2686.87,-82.25778,6.0484961006150115,-0.020785453,-2.398914e-05,2.0335101e-05,1.9966048e-05,1.0,40,0.020711686,7.708481e-06,0,5.705108402038503e-09,1.0
7,7,2543924.5,384.87863,3043.392,3067.632,-82.79243,6.600498526793672,-0.020784577,-2.326353e-05,2.0556918e-05,2.0233327e-05,1.0,40,0.020689921,6.7445903e-06,0,-2.688115512796685e-09,1.0
8,8,2201436.2,449.50522,3480.2383,3509.1472,-82.64046,7.1524933263717685,-0.020791993,5.7608795e-06,2.077328e-05,2.043242e-05,1.0,40,0.020324301,5.7918064e-06,0,-1.6710123114652081e-09,1.0
9,9,1905053.1,560.8662,3972.0645,4011.467,-81.962814,7.704495912563289,-0.020790279,-2.3765875e-05,2.1032783e-05,2.0621625e-05,1.0,40,0.02061477,5.13896e-06,0,-6.028841586536752e-09,1.0
10,10,1648567.4,663.6138,4639.438,4686.6587,-81.85977,8.256499592127511,-0.02079583,-1.208169e-05,2.080885e-05,2.039164e-05,1.0,40,0.01996833,4.2606753e-06,0,-9.708058204992654e-09,1.0
11,11,1426616.2,682.23083,5360.4316,5403.6714,-82.746864,8.975479732936947,-0.020768609,-4.8293055e-06,2.081197e-05,2.0480233e-05,1.0,41,0.019359015,3.5825672e-06,0,-9.161252101343898e-09,1.0
12,12,1234551.2,848.7654,6169.271,6227.384,-82.16645,9.527482825826155,-0.020807344,7.3303937e-07,2.0896672e-05,2.0508485e-05,1.0,41,0.020477183,3.288248e-06,0,-1.036910065976018e-08,1.0
