True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,161.42242,1180.8099,1191.7925,-82.215645,2.4644775570195634,0.019665645,7.6773185e-06,1.9254887e-05,1.8901648e-05,1.0,40,0.009940487,8.340787e-06,0,1.406204186057241e-09,1.0
1,1,6057573.0,241.46904,1336.2363,1357.8788,-79.75672,3.016484809893882,0.019644797,1.3699765e-06,1.9662477e-05,1.9040694e-05,1.0,40,0.014007614,1.0315806e-05,0,1.5449566896879535e-10,1.0
2,2,5242039.0,238.3351,1544.9656,1563.241,-81.23036,3.4325027229788247,0.01972605,-3.323602e-05,1.9651743e-05,1.9194944e-05,1.0,40,0.01925574,1.2317832e-05,0,-3.6692851830113997e-09,1.0
3,3,4536288.0,227.29733,1797.3601,1811.6753,-82.792534,4.80049660129589,0.01965838,-7.93269e-06,1.9520206e-05,1.9212943e-05,1.0,40,0.019000735,1.0487936e-05,0,-1.2477380100916788e-08,1.0
4,4,3925558.5,302.0884,2069.412,2091.345,-81.69475,5.2164904877136,0.019658491,-4.174403e-06,1.959168e-05,1.9182902e-05,1.0,40,0.018350575,8.774533e-06,0,-1.2461776069282374e-08,1.0
5,5,3397055.0,364.05594,2363.373,2391.2483,-81.24294,5.632477334147552,0.01962963,-1.4537605e-05,1.9823725e-05,1.936424e-05,1.0,40,0.019402292,8.113876e-06,0,-1.204146767188124e-08,1.0
6,6,2939708.2,426.3583,2674.7087,2708.477,-80.94304,6.048477913922397,0.019648336,-2.0193642e-05,2.0241347e-05,1.973977e-05,1.0,40,0.021300623,7.864428e-06,0,-1.0857771891147017e-08,1.0
7,7,2543924.5,514.3402,3083.0198,3125.629,-80.52857,6.600490953453118,0.019640623,-1.3123592e-05,2.029269e-05,1.9743193e-05,1.0,40,0.020604372,6.592072e-06,0,-6.948019751714835e-09,1.0
8,8,2201436.2,601.4188,3508.2583,3559.4355,-80.27237,7.1525019663677085,0.019602688,1.2583705e-06,2.0607366e-05,2.0019042e-05,1.0,40,0.020860054,5.8604946e-06,0,-1.1066246717095711e-08,1.0
9,9,1905053.1,710.2808,4007.498,4069.9558,-79.94939,7.70448292591027,0.019627543,-2.2147206e-05,2.0846815e-05,2.0211892e-05,1.0,40,0.020698247,5.0856197e-06,0,-1.0957531095666835e-08,1.0
10,10,1648567.4,821.5185,4631.1094,4703.41,-79.94087,8.256478712108219,0.01960239,4.7003678e-06,2.0846272e-05,2.02103e-05,1.0,40,0.019934893,4.2383913e-06,0,-1.605167697288026e-08,1.0
11,11,1426616.2,913.95703,5360.2725,5437.632,-80.3238,8.97548282626667,0.01962132,-7.872108e-06,2.081259e-05,2.0224614e-05,1.0,41,0.019356355,3.5597031e-06,0,-2.0347380071554096e-08,1.0
12,12,1234551.2,1118.0435,6148.9175,6249.737,-79.694626,9.527482612495078,0.019596912,-2.0471946e-06,2.0965843e-05,2.0294867e-05,1.0,41,0.020533273,3.285462e-06,0,-2.0663416136670776e-08,1.0
13,13,1068345.5,1371.1107,7061.521,7193.4014,-79.0118,10.079495332058286,0.01959259,1.4909463e-06,2.1096488e-05,2.0330033e-05,1.0,41,0.020859549,2.8998172e-06,0,-2.1050531341614943e-08,1.0
