True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,151.51497,1173.9836,1183.7206,-82.64603,82.78049563852255,0.0032538066,-1.5691048e-05,1.9366846e-05,1.9049545e-05,2.0,40,0.00993054,8.38926e-06,0,1.593770011874381e-08,2.0
111,111,6057573.0,222.98605,1381.6521,1399.5304,-80.83204,83.3325029980333,0.0033010198,-2.3728695e-05,1.9016159e-05,1.8533417e-05,2.0,40,0.014018259,1.0016402e-05,0,1.297219753006572e-08,2.0
112,112,5242039.0,216.57054,1628.8057,1643.1405,-82.426216,83.74849235112197,0.0033450094,-2.9831232e-05,1.8640201e-05,1.8316385e-05,2.0,40,0.019377604,1.1793029e-05,0,8.415514613109841e-09,2.0
113,113,4536288.0,207.50226,1877.8796,1889.3092,-83.6945,85.1164922027674,0.0033204528,-3.8426922e-05,1.868322e-05,1.8457853e-05,2.0,40,0.02079594,1.1007166e-05,0,6.4289691763941035e-09,2.0
114,114,3925558.5,252.74384,2156.6187,2171.3782,-83.31574,85.53249422254157,0.0032793512,-2.1923945e-05,1.8799457e-05,1.8544755e-05,2.0,40,0.019010197,8.7549e-06,0,6.099919517980328e-09,2.0
115,115,3397055.0,337.3672,2443.5552,2466.7344,-82.139206,85.94850634897011,0.0032375974,-3.399884e-05,1.9173234e-05,1.8814597e-05,2.0,40,0.019850103,8.047118e-06,0,2.5263222284193334e-09,2.0
116,116,2939708.2,379.00183,2788.9526,2814.587,-82.26125,86.36450426207739,0.0031770442,-8.230376e-06,1.94122e-05,1.9060211e-05,2.0,40,0.021587223,7.669766e-06,0,2.0199315027922025e-11,2.0
117,117,2543924.5,442.71237,3230.6052,3260.798,-82.19696,86.91649324828177,0.0032228224,-2.298445e-05,1.9365649e-05,1.9008681e-05,2.0,40,0.020796727,6.377803e-06,0,-1.0006406684394046e-08,2.0
118,118,2201436.2,491.73508,3687.4534,3720.0962,-82.40422,87.46849599448615,0.0032104696,-2.633342e-05,1.9605932e-05,1.9263367e-05,2.0,40,0.02033233,5.465539e-06,0,-1.4472490484053167e-08,2.0
119,119,1905053.1,585.8982,4243.0522,4283.313,-82.13808,88.02048975406797,0.0032259526,-2.7598584e-05,1.9689498e-05,1.9321098e-05,2.0,40,0.02065634,4.8225147e-06,0,-1.6259333641146512e-08,2.0
