True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,169.20271,1204.6078,1216.4331,-82.00438,2.469485183915822,-0.028214373,2.3516138e-07,1.8874493e-05,1.8509307e-05,1.0,40,0.009936341,8.168424e-06,0,-1.3390921756663627e-09,1.0
1,1,6057573.0,234.71382,1376.5281,1396.3954,-80.32348,3.021502890129341,-0.02817668,-2.5384572e-05,1.9086945e-05,1.8547687e-05,1.0,40,0.01400229,1.0027454e-05,0,-2.9769680399896163e-09,1.0
2,2,5242039.0,218.27605,1599.875,1614.6964,-82.23092,3.437495096557541,-0.028137162,-2.875212e-05,1.8977275e-05,1.8630486e-05,1.0,40,0.019330326,1.1971493e-05,0,-5.557248399592633e-09,1.0
3,3,4536288.0,209.0687,1852.507,1864.2671,-83.561005,4.8055020682222676,-0.02816932,-1.4705051e-05,1.8939114e-05,1.8700925e-05,1.0,40,0.020266067,1.0870796e-05,0,-1.3467438961962823e-08,1.0
4,4,3925558.5,272.97568,2148.8894,2166.1582,-82.76043,5.221495287987636,-0.028218694,-1.8798242e-05,1.8867077e-05,1.8567456e-05,1.0,40,0.018816596,8.686621e-06,0,-1.6783395808686584e-08,1.0
5,5,3397055.0,356.65366,2420.852,2446.9832,-81.61915,5.63748528106953,-0.028207105,-1.9040108e-05,1.9353045e-05,1.8941913e-05,1.0,40,0.019689605,8.0464815e-06,0,-1.8629383778210872e-08,1.0
6,6,2939708.2,362.64877,2789.2722,2812.7485,-82.59221,6.053495540836593,-0.028218191,-2.3412375e-05,1.9409976e-05,1.9087322e-05,1.0,40,0.021464555,7.631167e-06,0,-2.0575375093724485e-08,1.0
7,7,2543924.5,442.79895,3169.8938,3200.6714,-82.047874,6.605497193726478,-0.028252026,-8.58388e-06,1.9736548e-05,1.93588e-05,1.0,40,0.020065416,6.269127e-06,0,-2.7994150179400398e-08,1.0
8,8,2201436.2,540.7034,3637.1438,3677.115,-81.54425,7.157502526621101,-0.028234607,-2.6482265e-05,1.9877123e-05,1.9447334e-05,1.0,40,0.021060562,5.7274688e-06,0,-3.562273425304991e-08,1.0
9,9,1905053.1,604.8754,4164.758,4208.4536,-81.736336,7.709489779459545,-0.02825579,-1.7830758e-05,2.0059646e-05,1.9645257e-05,1.0,40,0.020511549,4.873892e-06,0,-4.227967771565646e-08,1.0
10,10,1648567.4,730.0996,4830.247,4885.1133,-81.40472,8.261491379031213,-0.028260356,-1.4258521e-05,1.998684e-05,1.9540403e-05,1.0,40,0.020024182,4.099021e-06,0,-4.55203877041236e-08,1.0
11,11,1426616.2,746.6786,5616.4136,5665.83,-82.42718,8.980495546507882,-0.028214242,-6.6058255e-06,1.9863413e-05,1.9518433e-05,1.0,41,0.019310158,3.408178e-06,0,-4.665743524494322e-08,1.0
12,12,1234551.2,913.5111,6507.517,6571.3228,-82.00916,9.532478506065672,-0.028197119,-4.384231e-06,1.9810512e-05,1.9427669e-05,1.0,41,0.020731349,3.1548213e-06,0,-4.6675210236388565e-08,1.0
13,13,1068345.5,1138.1227,7479.0674,7565.1685,-81.34743,10.084479892306263,-0.028248673,-2.2092047e-06,1.99187e-05,1.946788e-05,1.0,41,0.020687994,2.7346375e-06,0,-4.768831216303147e-08,1.0
14,14,924510.06,1391.1202,8516.411,8629.28,-80.72291,10.636485571827507,-0.02824232,-1.086311e-06,2.0213982e-05,1.968865e-05,1.0,41,0.020120703,2.331678e-06,0,-4.8116028146239386e-08,1.0
15,15,800039.0,1532.836,9692.729,9813.184,-81.013504,11.18849773137481,-0.028276434,6.287569e-07,2.0524043e-05,2.0023277e-05,1.0,41,0.020741943,2.1136814e-06,0,-4.8354221210006346e-08,1.0
