True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,156.68806,1186.7482,1197.0474,-82.47866,2.4684900905413087,-0.046578478,9.351802e-06,1.9158539e-05,1.8830284e-05,1.0,40,0.009938354,8.30239e-06,0,-2.723113207082406e-09,1.0
1,1,6057573.0,243.30827,1376.6246,1397.9608,-79.976906,3.0204864901315887,-0.046578236,-2.0491358e-05,1.9085606e-05,1.850747e-05,1.0,40,0.013969078,9.992467e-06,0,-5.774493781776376e-09,1.0
2,2,5242039.0,223.03969,1597.0905,1612.5894,-82.04985,3.436502696509706,-0.046527836,-1.0314185e-05,1.9010362e-05,1.8646693e-05,1.0,40,0.019314272,1.1977179e-05,0,-9.382481630660146e-09,1.0
3,3,4536288.0,200.09756,1852.2528,1863.0297,-83.83429,4.804492468159879,-0.046553306,-1.904011e-05,1.8941713e-05,1.8723207e-05,1.0,40,0.018711343,1.0043503e-05,0,-2.3855984587669355e-08,1.0
4,4,3925558.5,278.78705,2136.3447,2154.4585,-82.56508,5.220477901253616,-0.04661932,-2.2296055e-05,1.8977864e-05,1.866009e-05,1.0,40,0.018196417,8.445935e-06,0,-2.5520435557256053e-08,1.0
5,5,3397055.0,320.0035,2423.87,2444.9026,-82.4792,5.636492667690618,-0.04660583,-2.8063725e-05,1.9328947e-05,1.899782e-05,1.0,40,0.019263973,7.87924e-06,0,-2.987948901820895e-08,1.0
6,6,2939708.2,379.82507,2790.7617,2816.4905,-82.24962,6.052489354129648,-0.04659383,-2.2891423e-05,1.9399617e-05,1.9046802e-05,1.0,40,0.021221703,7.534804e-06,0,-3.344924340958894e-08,1.0
7,7,2543924.5,429.75558,3181.0466,3209.945,-82.30599,6.604484553652583,-0.046632975,-1.870521e-05,1.9667352e-05,1.9314824e-05,1.0,40,0.020697728,6.4480005e-06,0,-3.0933557139708984e-08,1.0
8,8,2201436.2,545.27185,3652.0652,3692.5469,-81.50818,7.156491513218498,-0.04664207,-1.079792e-05,1.979591e-05,1.9364243e-05,1.0,40,0.020921,5.665737e-06,0,-3.142862597211307e-08,1.0
9,9,1905053.1,606.8101,4174.248,4218.1235,-81.72886,7.708478312793886,-0.0465798,-3.1040585e-05,2.001404e-05,1.9599847e-05,1.0,40,0.020555211,4.87307e-06,0,-3.79795965471001e-08,1.0
10,10,1648567.4,745.15466,4831.2295,4888.357,-81.23196,8.26048796568648,-0.046597224,-4.2241027e-05,1.9982774e-05,1.951845e-05,1.0,40,0.01997388,4.086011e-06,0,-4.665069035873001e-08,1.0
11,11,1426616.2,729.1186,5649.1177,5695.976,-82.64562,8.979478213150287,-0.046628095,-1.03097e-05,1.974842e-05,1.9424833e-05,1.0,41,0.019407684,3.407262e-06,0,-5.203393112053965e-08,1.0
12,12,1234551.2,954.2829,6452.116,6522.3047,-81.586815,9.531498239346547,-0.046599533,-9.160721e-06,1.9980613e-05,1.9552892e-05,1.0,41,0.020640478,3.1645989e-06,0,-5.304924034026234e-08,1.0
13,13,1068345.5,1144.4795,7456.728,7544.046,-81.27418,10.083492665580707,-0.04664505,-3.4717625e-06,1.9978374e-05,1.9518573e-05,1.0,41,0.020663666,2.7390695e-06,0,-5.2846608524542183e-08,1.0
14,14,924510.06,1494.3679,8505.731,8636.006,-80.03542,10.635496931819944,-0.04661917,-4.129112e-06,2.0239362e-05,1.9633346e-05,1.0,41,0.020090126,2.3263215e-06,0,-5.353084545482211e-08,1.0
