True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,226.08965,1276.7231,1296.5873,-79.95783,82.80147961285547,0.020501725,-7.132574e-06,1.7808372e-05,1.7266892e-05,2.0,40,0.009955115,7.677936e-06,0,-4.162875543375557e-08,2.0
111,111,6057573.0,289.13644,1480.5063,1508.4757,-78.94947,83.35349270570441,0.020537443,-2.3877537e-05,1.7746439e-05,1.709445e-05,2.0,40,0.014069126,9.326717e-06,0,-4.638445031221809e-08,2.0
112,112,5242039.0,296.0796,1712.3823,1737.7906,-80.19026,83.76949744546437,0.0205522,-2.356122e-05,1.7730425e-05,1.7215742e-05,2.0,40,0.019407881,1.1168136e-05,0,-4.829527915453704e-08,2.0
113,113,4536288.0,256.33636,1986.6677,2003.1368,-82.64784,85.13750521713519,0.020519277,-2.2370474e-05,1.7660146e-05,1.7370949e-05,2.0,40,0.01918968,9.579815e-06,0,-6.469470935073909e-08,2.0
114,114,3925558.5,342.7856,2270.055,2295.79,-81.413025,85.55349262352684,0.02050301,-2.8026518e-05,1.7860035e-05,1.7461867e-05,2.0,40,0.018362138,7.998178e-06,0,-6.640193999711524e-08,2.0
115,115,3397055.0,426.4161,2573.9473,2609.0295,-80.59346,85.96949106999091,0.020476162,-1.892848e-05,1.820195e-05,1.7715736e-05,2.0,40,0.019364282,7.4220247e-06,0,-7.081474750651652e-08,2.0
116,116,2939708.2,487.9958,2923.9312,2964.374,-80.524826,86.38548946307856,0.020477038,-3.027776e-05,1.8516068e-05,1.8014285e-05,2.0,40,0.02113568,7.129897e-06,0,-7.508240877923396e-08,2.0
117,117,2543924.5,536.82153,3337.1345,3380.0361,-80.86152,86.93749839594238,0.020455463,-2.9682391e-05,1.8747449e-05,1.827456e-05,2.0,40,0.020186149,5.9721697e-06,0,-8.426384173304511e-08,2.0
118,118,2201436.2,628.6572,3807.3145,3858.867,-80.624016,87.48948330213898,0.020473666,-3.2677857e-05,1.8988701e-05,1.8484732e-05,2.0,40,0.020996578,5.4411253e-06,0,-8.733251808339442e-08,2.0
119,119,1905053.1,768.71155,4366.433,4433.5825,-80.01538,88.04148900837754,0.020463157,-2.5142674e-05,1.9133138e-05,1.8557961e-05,2.0,40,0.020533599,4.6313785e-06,0,-9.230884187420014e-08,2.0
120,120,1648567.4,885.15857,5045.796,5122.847,-80.05013,88.59348524795496,0.020438097,-3.2789492e-05,1.9133031e-05,1.856181e-05,2.0,40,0.019969106,3.8980484e-06,0,-9.318388058595299e-08,2.0
121,121,1426616.2,880.402,5930.1753,5995.172,-81.55547,89.31248242876609,0.020438507,-3.6263384e-06,1.8812454e-05,1.8406756e-05,2.0,41,0.019391736,3.2345588e-06,0,-9.382582971338651e-08,2.0
122,122,1234551.2,1052.3792,6793.3013,6874.332,-81.19406,89.86449576166342,0.020444116,-3.4382438e-06,1.897711e-05,1.8532366e-05,2.0,41,0.020675944,3.0077024e-06,0,-9.532006131564883e-08,2.0
123,123,1068345.5,1206.3569,7818.235,7910.7583,-81.22842,90.41649770786171,0.020451177,-1.7678688e-06,1.9054594e-05,1.861148e-05,2.0,41,0.020827875,2.6328544e-06,0,-9.65381546451363e-08,2.0
124,124,924510.06,1590.028,8792.886,8935.492,-79.7499,90.9684845340962,0.02046994,-2.4869099e-08,1.9578394e-05,1.8958455e-05,2.0,41,0.020135278,2.2534045e-06,0,-9.595341928500881e-08,2.0
125,125,800039.0,2036.9099,9933.805,10140.487,-78.41222,91.52049714696477,0.020478493,-2.250173e-06,2.002596e-05,1.9217943e-05,2.0,41,0.020619504,2.033384e-06,0,-9.642364194194839e-08,2.0
126,126,692334.1,2352.8792,11516.694,11754.586,-78.45328,92.072493973159,0.020455351,-1.4959903e-06,1.9960737e-05,1.9160974e-05,2.0,41,0.020307101,1.7275897e-06,0,-9.716074456434261e-08,2.0
127,127,599122.25,3069.501,13156.281,13509.61,-76.86721,92.62449253271916,0.020481473,-2.294865e-06,2.0191637e-05,1.9149269e-05,2.0,41,0.020546813,1.5209034e-06,0,-9.661464114752387e-08,2.0
128,128,518454.94,3849.6565,14762.531,15256.218,-75.38435,93.17650677225902,0.02042908,1.0421605e-06,2.079449e-05,1.9470459e-05,2.0,41,0.020506293,1.3441269e-06,0,-9.776677201628914e-08,2.0
129,129,448662.03,4826.2407,16923.94,17598.646,-74.08331,93.72848373182933,0.020447452,-6.8780463e-07,2.096039e-05,1.9384015e-05,2.0,41,0.0203344,1.1554525e-06,0,-9.774802860458662e-08,2.0
130,130,388258.97,6180.831,18972.787,19954.18,-71.955765,94.28048711802694,0.02048166,-3.2631986e-06,2.1605658e-05,1.9532688e-05,2.0,41,0.020863893,1.0455901e-06,0,-9.700877576821851e-08,2.0
131,131,335983.9,7019.0547,21071.135,22209.453,-71.57645,94.83248597095371,0.020462543,-1.0248585e-06,2.2480901e-05,2.0235495e-05,2.0,41,0.020317582,9.1481684e-07,0,-9.75296010419038e-08,2.0
132,132,290751.2,9530.96,23746.861,25588.135,-68.131615,95.38448690381483,0.020470666,-9.820283e-07,2.3051141e-05,1.9853065e-05,2.0,41,0.020608213,8.053816e-07,0,-9.773380826430275e-08,2.0
133,133,251605.19,11695.348,26200.705,28692.475,-65.9452,95.936491543398,0.020466773,-1.9336026e-06,2.4142797e-05,2.0131563e-05,2.0,41,0.020440966,7.1241556e-07,0,-9.852582861318501e-08,2.0
134,134,217729.38,14380.717,28851.209,32236.582,-63.506306,96.48848394295783,0.020430068,1.0160894e-06,2.5336061e-05,2.029407e-05,2.0,41,0.020228963,6.2751576e-07,0,-9.971546476151023e-08,2.0
135,135,188418.58,17421.586,30970.912,35534.617,-60.641617,97.04048948912532,0.020483801,-1.3712247e-06,2.7273594e-05,2.0717966e-05,2.0,41,0.020756997,5.8413457e-07,0,-9.982197648765023e-08,2.0
136,136,163051.14,21257.63,33525.79,39697.17,-57.62252,97.59250471534324,0.020471785,-7.6974123e-07,2.9115035e-05,2.076616e-05,2.0,41,0.020390984,5.136634e-07,0,-9.993717638375088e-08,2.0
137,137,141098.2,25144.129,35620.613,43601.094,-54.78223,98.14449044826324,0.020492764,-2.6132996e-06,3.1666295e-05,2.1135147e-05,2.0,41,0.020193473,4.6314142e-07,0,-9.977778926721589e-08,2.0
138,138,122105.11,30260.662,36817.816,47657.73,-50.583126,98.56148678806494,0.020468561,3.531535e-07,3.5402038e-05,2.1128935e-05,2.0,41,0.02190037,4.5953448e-07,0,-9.996007604269508e-08,2.0
139,139,105663.59,33802.33,38518.574,51247.223,-48.731133,99.11350553427474,0.020463958,-2.7306176e-06,3.9104303e-05,2.2091454e-05,2.0,41,0.020502668,4.0007373e-07,0,-9.99027468731764e-08,2.0
