True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,187.54587,1387.7313,1400.347,-82.30335,2.4694970772543456,0.024997825,2.4738456e-05,1.6383836e-05,1.6089962e-05,1.0,40,0.010006122,7.145459e-06,0,4.511487818837799e-09,1.0
1,1,6057573.0,245.1521,1542.7095,1562.0667,-80.97062,3.0214803834969644,0.024998626,6.635299e-06,1.703089e-05,1.6611411e-05,1.0,40,0.014086232,9.017689e-06,0,4.810734109980786e-09,1.0
2,2,5242039.0,223.52245,1821.3008,1834.9656,-83.00326,3.4374998699349817,0.025067972,-6.5000813e-06,1.6670101e-05,1.6422744e-05,1.0,40,0.01950515,1.0629709e-05,0,4.023221292855952e-09,1.0
3,3,4536288.0,187.96786,2111.151,2119.5022,-84.91204,4.805480574868852,0.025035385,-1.9747122e-05,1.6618822e-05,1.6488117e-05,1.0,40,0.018195342,8.584724e-06,0,-1.2796260491016811e-08,1.0
4,4,3925558.5,260.86877,2413.1855,2427.2446,-83.8302,5.357498921133811,0.025002928,-4.4720873e-06,1.6800723e-05,1.660666e-05,1.0,40,0.02053833,8.461582e-06,0,-1.6391330492019228e-08,1.0
5,5,3397055.0,341.39508,2768.4863,2789.4565,-82.97008,5.773492007545428,0.025001327,-1.721678e-05,1.6922915e-05,1.666943e-05,1.0,40,0.02136857,7.660478e-06,0,-1.9003220513316894e-08,1.0
6,6,2939708.2,374.25388,3140.9482,3163.1665,-83.20506,6.325502273772145,0.025006544,-3.52268e-05,1.723674e-05,1.6995446e-05,1.0,40,0.02025911,6.404693e-06,0,-1.9099906120140353e-08,1.0
7,7,2543924.5,439.43875,3623.8906,3650.437,-83.08598,6.877481259958586,0.02495538,-6.3512334e-06,1.7263977e-05,1.7013797e-05,1.0,40,0.02076722,5.688968e-06,0,-2.5753901854879283e-08,1.0
8,8,2201436.2,481.30457,4158.195,4185.957,-83.397484,7.429495259508258,0.024956983,-1.870521e-05,1.7386381e-05,1.7156524e-05,1.0,40,0.020696256,4.9442115e-06,0,-3.020426961682511e-08,1.0
9,9,1905053.1,539.47107,4771.552,4801.951,-83.54954,7.981496352382237,0.02498685,-3.1245243e-05,1.7508679e-05,1.7287699e-05,1.0,40,0.020327218,4.233116e-06,0,-3.765075004313366e-08,1.0
10,10,1648567.4,464.0015,5629.927,5649.015,-85.288506,8.69949979984085,0.024938054,-4.0211216e-06,1.7147891e-05,1.7032198e-05,1.0,41,0.01898145,3.3601343e-06,0,-3.961822217284963e-08,1.0
11,11,1426616.2,591.9405,6461.618,6488.675,-84.765816,9.115488299605204,0.024963541,7.3862515e-07,1.7265203e-05,1.7121518e-05,1.0,41,0.021869024,3.3703375e-06,0,-3.977410490017282e-08,1.0
12,12,1234551.2,683.61005,7493.4717,7524.589,-84.78748,9.667497419141,0.024958437,1.997457e-06,1.720394e-05,1.7061944e-05,1.0,41,0.020961339,2.7857122e-06,0,-4.068875328385325e-08,1.0
13,13,1068345.5,894.9817,8694.103,8740.047,-84.122604,10.219494885386666,0.024991024,-2.3246612e-06,1.7134982e-05,1.6955308e-05,1.0,41,0.020711657,2.369742e-06,0,-4.1590190123075546e-08,1.0
14,14,924510.06,1149.9358,9866.934,9933.717,-83.352486,10.77150269827689,0.024921099,2.591492e-06,1.7447222e-05,1.7213419e-05,1.0,41,0.020302776,2.0438247e-06,0,-4.1061106811134275e-08,1.0
15,15,800039.0,1513.029,11380.588,11480.725,-82.42704,11.323502751154592,0.024999967,-7.3994676e-07,1.7480113e-05,1.7176515e-05,1.0,41,0.020619435,1.7960047e-06,0,-4.1253008895211e-08,1.0
