True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,180.95406,1357.1569,1369.1674,-82.405365,2.4674740105110686,0.040238116,3.0989864e-05,1.6752936e-05,1.6460306e-05,1.0,40,0.009995035,7.3000824e-06,0,3.766911661056977e-09,1.0
1,1,6057573.0,263.87195,1564.0436,1586.1465,-80.42373,3.02048531678156,0.040270947,-4.4036156e-08,1.6798582e-05,1.633367e-05,1.0,40,0.014133121,8.9103505e-06,0,6.957155414650313e-09,1.0
2,2,5242039.0,238.91873,1818.6622,1834.2886,-82.51588,3.4365000031830277,0.04029325,-8.379228e-06,1.6694286e-05,1.6411059e-05,1.0,40,0.019532975,1.0648801e-05,0,6.175244574289233e-09,1.0
3,3,4536288.0,202.96979,2112.7896,2122.5166,-84.512596,4.940479434648296,0.04025984,-2.0695988e-05,1.6605933e-05,1.6454078e-05,1.0,40,0.020559384,9.686324e-06,0,-1.1694390786475297e-08,1.0
4,4,3925558.5,275.54004,2423.0803,2438.6965,-83.51249,5.35647857436561,0.04023143,-6.9838206e-06,1.6732116e-05,1.6518514e-05,1.0,40,0.019285567,7.908146e-06,0,-1.4690306333862837e-08,1.0
5,5,3397055.0,327.07294,2761.2961,2780.5994,-83.24484,5.773481954209274,0.04022968,-1.4128286e-05,1.6966982e-05,1.6732225e-05,1.0,40,0.020323258,7.3089486e-06,0,-1.7246852876869274e-08,1.0
6,6,2939708.2,394.0995,3143.0042,3167.6157,-82.85301,6.325491260417039,0.040247917,-1.9765721e-05,1.7225464e-05,1.695883e-05,1.0,40,0.020472951,6.4632054e-06,0,-2.0451786168690785e-08,1.0
7,7,2543924.5,408.5059,3604.4019,3627.477,-83.53396,6.877501046663383,0.04021164,-2.2519316e-05,1.7357323e-05,1.7137196e-05,1.0,40,0.020699777,5.706384e-06,0,-2.351171695851109e-08,1.0
8,8,2201436.2,476.0593,4161.587,4188.7275,-83.47409,7.4294996061653364,0.0402185,-1.5951615e-05,1.737221e-05,1.7147813e-05,1.0,40,0.020665383,4.9335704e-06,0,-2.8198053477379086e-08,1.0
9,9,1905053.1,550.4739,4792.266,4823.7783,-83.44732,7.981489365716698,0.04022429,-9.365308e-06,1.7433e-05,1.7205975e-05,1.0,40,0.020490404,4.2477914e-06,0,-2.772253490882627e-08,1.0
10,10,1648567.4,475.2757,5654.586,5674.5244,-85.1955,8.700481693231268,0.040220305,1.2302244e-06,1.7073111e-05,1.6953341e-05,1.0,41,0.01895865,3.3410113e-06,0,-2.5739017562078142e-08,1.0
11,11,1426616.2,599.3279,6474.4644,6502.1445,-84.71132,9.116484379657777,0.040215928,2.6827397e-06,1.7230946e-05,1.7084552e-05,1.0,41,0.021820255,3.3558551e-06,0,-2.5724935360160394e-08,1.0
12,12,1234551.2,768.99347,7487.1465,7526.534,-84.1358,9.66848325918545,0.040224142,1.9099346e-06,1.7218474e-05,1.703873e-05,1.0,41,0.021109201,2.8046377e-06,0,-2.658722742929361e-08,1.0
13,13,1068345.5,898.57043,8633.903,8680.536,-84.05835,10.220479072100716,0.040205903,3.178079e-06,1.7254455e-05,1.7069568e-05,1.0,41,0.020605695,2.3737814e-06,0,-2.6354301844451e-08,1.0
14,14,924510.06,1178.4772,9969.631,10039.041,-83.25854,10.77249120498891,0.04018019,4.44436e-06,1.7267497e-05,1.7029548e-05,1.0,41,0.020403069,2.0323723e-06,0,-2.5992081524650402e-08,1.0
15,15,800039.0,1514.1149,11428.046,11527.913,-82.452774,11.324493391177384,0.040226493,2.6268738e-06,1.7407523e-05,1.7107224e-05,1.0,41,0.020663964,1.7925155e-06,0,-2.653529161490711e-08,1.0
16,16,692334.1,1941.2982,13042.292,13185.979,-81.53389,11.876493470714195,0.040195096,3.0346907e-06,1.7625867e-05,1.7243825e-05,1.0,41,0.020398438,1.5469794e-06,0,-2.621822882628698e-08,1.0
17,17,599122.25,2507.5757,15044.724,15252.267,-80.537224,12.428487390308874,0.040216338,1.999319e-06,1.7657145e-05,1.717988e-05,1.0,41,0.020467214,1.3419129e-06,0,-2.6020267878941972e-08,1.0
18,18,518454.94,3055.2466,17232.271,17501.02,-79.94605,12.980479096499039,0.040199734,4.8074853e-06,1.781421e-05,1.7271297e-05,1.0,41,0.020564578,1.1750503e-06,0,-2.4604024220779923e-08,1.0
19,19,448662.03,4126.7627,19654.93,20083.486,-78.14238,13.533491576119559,0.040216282,1.762822e-06,1.804801e-05,1.7285984e-05,1.0,41,0.020247594,1.0081712e-06,0,-2.3080013533798492e-08,1.0
20,20,388258.97,5450.485,22413.535,23066.736,-76.33221,14.085502669011476,0.04020229,4.280489e-06,1.8288929e-05,1.7267788e-05,1.0,41,0.020932911,9.074934e-07,0,-2.31693458309476e-08,1.0
21,21,335983.9,6875.8506,25773.117,26674.537,-75.06232,14.637486695224652,0.040215723,2.3103025e-06,1.8379542e-05,1.7158321e-05,1.0,41,0.020384032,7.641757e-07,0,-2.2926693362849607e-08,1.0
22,22,290751.2,8928.812,28835.387,30186.143,-72.79498,15.189495814760448,0.04023044,1.7795812e-06,1.898335e-05,1.7322443e-05,1.0,41,0.020512784,6.7954306e-07,0,-2.2070142601134218e-08,1.0
23,23,251605.19,11408.059,32420.047,34368.637,-70.61391,15.741486534330761,0.04019465,4.980667e-06,1.9511332e-05,1.7361594e-05,1.0,41,0.02046229,5.9537683e-07,0,-2.05566378359126e-08,1.0
24,24,217729.38,14688.699,35965.08,38849.0,-67.78413,16.29350056053954,0.040187962,5.1054335e-06,2.0324605e-05,1.7419048e-05,1.0,41,0.020258576,5.214697e-07,0,-2.0218512647943498e-08,1.0
25,25,188418.58,18299.463,39683.9,43699.91,-65.244125,16.845500746770995,0.040250953,2.2093685e-07,2.1285412e-05,1.7552931e-05,1.0,41,0.020795418,4.7586866e-07,0,-2.0600972250921108e-08,1.0
26,26,163051.14,22758.629,43352.69,48963.363,-62.302116,17.39750242631999,0.04023551,1.0384324e-06,2.2515429e-05,1.7651024e-05,1.0,41,0.020322839,4.1506215e-07,0,-1.967858871141617e-08,1.0
27,27,141098.2,26551.33,47471.105,54391.902,-60.781033,18.116493500448996,0.040185276,1.251914e-06,2.376125e-05,1.8099205e-05,1.0,42,0.019059919,3.504183e-07,0,-1.914002437279668e-08,1.0
28,28,122105.11,32149.777,52194.375,61301.395,-58.36849,18.532479386863997,0.040206797,1.0075526e-06,2.4972533e-05,1.8103781e-05,1.0,42,0.020564714,3.3546894e-07,0,-1.9034950111206445e-08,1.0
29,29,105663.59,39302.258,54289.35,67022.39,-54.097702,18.94849729994894,0.04024678,9.771937e-07,2.7744705e-05,1.8204115e-05,1.0,42,0.021898381,3.2673233e-07,0,-1.8878473687171116e-08,1.0
30,30,91439.65,47068.457,55866.82,73051.63,-49.885464,19.500503486167872,0.040194966,1.3133769e-06,3.115528e-05,1.8221313e-05,1.0,42,0.020390894,2.791299e-07,0,-1.8728565549384513e-08,1.0
31,31,79127.08,54794.156,57904.65,79720.44,-46.580963,19.916503612621455,0.040172476,1.4186089e-06,3.4736142e-05,1.832606e-05,1.0,42,0.021351852,2.678341e-07,0,-1.8607929396039205e-08,1.0
32,32,68475.36,62860.355,57908.03,85467.914,-42.6518,20.468484918848844,0.04022554,1.033069e-06,4.0137194e-05,1.8425462e-05,1.0,42,0.02025436,2.3698205e-07,0,-1.8399416018942855e-08,1.0
33,33,59252.523,70996.46,57038.656,91070.88,-38.778442,20.884499738604063,0.040171303,1.3964451e-06,4.7091657e-05,1.8472407e-05,1.0,42,0.020904915,2.2954555e-07,0,-1.828502306470349e-08,1.0
34,34,51282.285,78071.79,56513.32,96379.25,-35.899406,21.30048917167005,0.040183283,1.3560286e-06,5.4916385e-05,1.8881501e-05,1.0,42,0.021410858,2.2215215e-07,0,-1.815409013136302e-08,1.0
35,35,44369.8,86586.836,52023.875,101013.68,-30.998667,21.71648855143576,0.040214438,1.0027103e-06,6.894932e-05,1.8288369e-05,1.0,42,0.021828935,2.160988e-07,0,-1.8051210122239227e-08,1.0
36,36,38403.727,92381.84,48570.57,104371.95,-27.733545,22.26848297766992,0.040203724,1.3780063e-06,8.532446e-05,1.847789e-05,1.0,42,0.02022723,1.9379947e-07,0,-1.7892112810387e-08,1.0
