True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,192.95323,1350.1359,1363.854,-81.86671,82.9824831681035,0.035842314,-7.895394e-06,1.6840055e-05,1.650299e-05,2.0,40,0.010010538,7.3398896e-06,0,4.418904925223307e-09,2.0
111,111,6057573.0,253.92293,1577.4932,1597.799,-80.85576,83.53450034096022,0.035856847,-2.5514813e-05,1.665536e-05,1.6234717e-05,2.0,40,0.014128377,8.842399e-06,0,-3.5282252023035216e-10,2.0
112,112,5242039.0,244.77887,1813.989,1830.4297,-82.31496,83.9504899874155,0.03589709,-1.985875e-05,1.6737293e-05,1.643798e-05,2.0,40,0.019544732,1.0677674e-05,0,-9.032605054558237e-10,2.0
113,113,4536288.0,186.98592,2110.6948,2118.9612,-84.9374,85.31848383907345,0.035834618,-8.732731e-06,1.6622413e-05,1.6492973e-05,2.0,40,0.018457301,8.710542e-06,0,-3.370966591597006e-09,2.0
114,114,3925558.5,285.81265,2432.8733,2449.6042,-83.29964,85.87048607858014,0.035834525,-1.883545e-05,1.6664764e-05,1.64379e-05,2.0,40,0.020375675,8.317946e-06,0,-8.145934613846803e-09,2.0
115,115,3397055.0,350.6342,2758.6775,2780.8713,-82.75642,86.28650332501275,0.03582452,-1.49097095e-05,1.6983086e-05,1.6713087e-05,2.0,40,0.021232834,7.635317e-06,0,-1.0447206388044231e-08,2.0
116,116,2939708.2,358.66394,3144.8691,3165.2554,-83.49368,86.83848444456817,0.03581144,-5.4209654e-06,1.7215249e-05,1.6994209e-05,2.0,40,0.02033572,6.42467e-06,0,-1.2071247449600382e-08,2.0
117,117,2543924.5,412.85498,3609.9287,3633.4604,-83.47563,87.39049871082534,0.03583026,-1.2416591e-05,1.7330747e-05,1.7106993e-05,2.0,40,0.020696076,5.6959684e-06,0,-9.08587747778691e-09,2.0
118,118,2201436.2,487.30063,4154.957,4183.435,-83.31081,87.94250628366717,0.035831638,-2.211e-05,1.7399929e-05,1.7163842e-05,2.0,40,0.020729372,4.955108e-06,0,-1.2279424735045828e-08,2.0
119,119,1905053.1,591.7398,4776.945,4813.456,-82.93851,88.49450209658244,0.035827037,-3.4743058e-05,1.7488914e-05,1.7224604e-05,2.0,40,0.020422494,4.2427923e-06,0,-1.3726252710196205e-08,2.0
120,120,1648567.4,478.6427,5652.459,5672.688,-85.15981,89.21349039740744,0.035835866,-2.5779325e-06,1.7079534e-05,1.695794e-05,2.0,41,0.019000418,3.349456e-06,0,-1.9280601577510757e-08,2.0
