True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,177.5608,1362.1936,1373.7173,-82.57342,82.97348047434934,0.009439953,7.3238143e-06,1.6690992e-05,1.6412134e-05,2.0,40,0.010018479,7.29297e-06,0,-1.2310181641108988e-08,2.0
111,111,6057573.0,236.95486,1531.8275,1550.0461,-81.20674,83.52550066055846,0.009508611,-2.0454148e-05,1.7151877e-05,1.6751053e-05,2.0,40,0.014106686,9.100817e-06,0,-1.3006038342118713e-08,2.0
112,112,5242039.0,234.11627,1797.2286,1812.4131,-82.57815,83.94148177365423,0.009479731,-7.91409e-06,1.689338e-05,1.66115e-05,2.0,40,0.019516295,1.0768127e-05,0,-1.3410525359721672e-08,2.0
113,113,4536288.0,201.64401,2091.075,2100.775,-84.49195,85.30949479862466,0.009461248,-2.5291529e-05,1.6778376e-05,1.6623791e-05,2.0,40,0.018229857,8.677682e-06,0,-2.3310756695892012e-08,2.0
114,114,3925558.5,283.02008,2407.832,2424.4082,-83.29613,85.86148319815402,0.009469335,-1.8798239e-05,1.6838076e-05,1.6608614e-05,2.0,40,0.020510899,8.460167e-06,0,-2.6926542961242443e-08,2.0
115,115,3397055.0,326.91138,2743.0334,2762.4453,-83.20361,86.27749775125994,0.009440772,-1.5691137e-05,1.7079945e-05,1.6840744e-05,2.0,40,0.021321783,7.718445e-06,0,-2.889651783160385e-08,2.0
116,116,2939708.2,376.09387,3135.8342,3158.307,-83.16094,86.8294825508201,0.0094099,-1.5579508e-05,1.726485e-05,1.7020031e-05,2.0,40,0.020278499,6.4206865e-06,0,-2.9132175686023467e-08,2.0
117,117,2543924.5,430.42444,3605.8542,3631.453,-83.19291,87.38148980369442,0.009426836,-1.21747225e-05,1.735033e-05,1.7106582e-05,2.0,40,0.020724725,5.7070065e-06,0,-3.402438940582088e-08,2.0
118,118,2201436.2,459.04205,4127.9146,4153.36,-83.65453,87.93348388324375,0.009409304,-2.5738047e-05,1.7513918e-05,1.7299979e-05,2.0,40,0.020768492,5.0004073e-06,0,-3.58582653502343e-08,2.0
119,119,1905053.1,563.1306,4776.525,4809.6055,-83.27612,88.48550585613702,0.009384039,-2.1278122e-06,1.7490449e-05,1.7250679e-05,2.0,40,0.0204133,4.2442775e-06,0,-3.4843883822394436e-08,2.0
120,120,1648567.4,491.72623,5659.951,5681.271,-85.03471,89.20449650360388,0.0094435485,-7.5685734e-06,1.7056926e-05,1.6929149e-05,2.0,41,0.018910434,3.3285569e-06,0,-4.1381062050010207e-08,2.0
121,121,1426616.2,638.0584,6422.7007,6454.3164,-84.32661,89.6205019633926,0.009464305,-4.3060195e-06,1.7369819e-05,1.7200067e-05,2.0,41,0.021762026,3.3717013e-06,0,-4.1823446954339065e-08,2.0
122,122,1234551.2,742.06885,7426.47,7463.4526,-84.29382,90.1725000962906,0.009386703,-1.3190834e-06,1.7359152e-05,1.7187545e-05,2.0,41,0.021018313,2.8161649e-06,0,-4.34228994796274e-08,2.0
123,123,1068345.5,951.36475,8491.97,8545.095,-83.60774,90.72449937582132,0.009380871,3.5315279e-07,1.7542843e-05,1.7325394e-05,2.0,41,0.020699572,2.4223923e-06,0,-4.375556755294142e-08,2.0
124,124,924510.06,1157.3483,9878.016,9945.584,-83.31746,91.27650086869835,0.00939805,-5.4664778e-08,1.7427648e-05,1.7191653e-05,2.0,41,0.020412464,2.0524149e-06,0,-4.4157855272233306e-08,2.0
125,125,800039.0,1328.9557,11240.447,11318.735,-83.25723,91.82849116160651,0.009391845,-1.5894622e-07,1.7698048e-05,1.7454071e-05,2.0,41,0.020695485,1.8284273e-06,0,-4.438053667488361e-08,2.0
126,126,692334.1,1886.8351,12965.579,13102.152,-81.72007,92.38050113446661,0.00937081,-8.442283e-07,1.7730152e-05,1.736245e-05,2.0,41,0.020468093,1.5621932e-06,0,-4.500253361116613e-08,2.0
127,127,599122.25,2397.2373,14904.912,15096.462,-80.86306,92.93249862737139,0.009382194,9.803373e-08,1.7822773e-05,1.7373357e-05,2.0,41,0.020454926,1.3549484e-06,0,-4.499757957210192e-08,2.0
128,128,518454.94,3052.9958,17012.697,17284.463,-79.82633,93.48449908025214,0.009433338,-4.797636e-06,1.804413e-05,1.748117e-05,2.0,41,0.02057608,1.190438e-06,0,-4.457567909870836e-08,2.0
129,129,448662.03,4050.5198,19474.348,19891.127,-78.25043,94.03650201312848,0.009388436,1.1780982e-06,1.8215365e-05,1.7460028e-05,2.0,41,0.020210903,1.0160763e-06,0,-4.429179440626581e-08,2.0
130,130,388258.97,5228.188,22398.92,23000.99,-76.86168,94.5885065193579,0.009378356,-1.2129398e-06,1.8300863e-05,1.7355322e-05,2.0,41,0.020937437,9.102842e-07,0,-4.463351675204288e-08,2.0
131,131,335983.9,6860.8164,25641.322,26543.326,-75.02034,95.14149566562264,0.009448971,-3.790197e-06,1.8474011e-05,1.7239767e-05,2.0,41,0.020339174,7.662632e-07,0,-4.47555330995737e-08,2.0
132,132,290751.2,8386.701,28527.316,29734.568,-73.61727,95.69350779851084,0.009405913,-2.3321104e-06,1.9188354e-05,1.7661852e-05,2.0,41,0.020544942,6.909447e-07,0,-4.418967549676071e-08,2.0
133,133,251605.19,10988.175,31969.945,33805.582,-71.03199,96.24550321136485,0.009424712,-6.300783e-07,1.978603e-05,1.7695613e-05,2.0,41,0.020442102,6.046961e-07,0,-4.401342002196233e-08,2.0
134,134,217729.38,14025.071,35690.86,38347.62,-68.54717,96.79748889096663,0.009423445,-1.3697747e-08,2.0480762e-05,1.7741211e-05,2.0,41,0.020179167,5.262169e-07,0,-4.475673006503023e-08,2.0
135,135,188418.58,17472.7,39690.19,43365.96,-66.2396,97.34948409048957,0.009384672,1.7199917e-06,2.1282038e-05,1.7827138e-05,2.0,41,0.02065957,4.764006e-07,0,-4.4311491756382416e-08,2.0
136,136,163051.14,21924.621,43131.14,48383.72,-63.054646,97.90149118335103,0.009383163,9.564973e-07,2.2631084e-05,1.7984103e-05,2.0,41,0.020372225,4.2105538e-07,0,-4.3982222951112525e-08,2.0
137,137,141098.2,25506.793,48146.516,54485.625,-62.086502,98.62048935084022,0.009421134,-1.3135094e-06,2.3427923e-05,1.8293618e-05,2.0,42,0.019036712,3.4938964e-07,0,-4.412305061470612e-08,2.0
138,138,122105.11,30409.553,51547.027,59848.45,-59.46203,99.03650643725996,0.009381244,-1.0941055e-06,2.5286148e-05,1.8757897e-05,2.0,42,0.02045075,3.4170895e-07,0,-4.422355062024962e-08,2.0
139,139,105663.59,37857.81,55245.816,66972.484,-55.57868,99.4524904837308,0.009395777,-1.167861e-06,2.7264365e-05,1.8552453e-05,2.0,42,0.02187459,3.2662055e-07,0,-4.4364706954114256e-08,2.0
140,140,91439.65,45516.094,57506.81,73339.945,-51.63872,100.00450730990269,0.0094258115,-1.434945e-06,3.0266787e-05,1.8609027e-05,2.0,42,0.020388976,2.780064e-07,0,-4.457193941897566e-08,2.0
141,141,79127.08,53688.89,59343.68,80026.055,-47.864002,100.42049796969513,0.009401627,-9.097168e-07,3.3893823e-05,1.8638315e-05,2.0,42,0.021383649,2.6720858e-07,0,-4.4675906302303523e-08,2.0
142,142,68475.36,61919.062,59848.637,86115.21,-44.02589,100.97249463593471,0.009354414,-6.661002e-07,3.8835737e-05,1.8757732e-05,2.0,42,0.020236827,2.3499713e-07,0,-4.481782444620938e-08,2.0
143,143,59252.523,70083.62,59814.51,92138.42,-40.47988,101.38850844235276,0.009397826,-9.985586e-07,4.4906243e-05,1.8925104e-05,2.0,42,0.020897677,2.2680742e-07,0,-4.495926865803569e-08,2.0
