True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,182.32527,1143.2018,1157.6497,-80.93841,2.4694980106141884,0.035441097,2.8422324e-05,1.9888317e-05,1.9394989e-05,1.0,40,0.009950357,8.595309e-06,0,2.2748713466174625e-09,1.0
1,1,6057573.0,243.26897,1330.8944,1352.9448,-79.64148,3.0214878501428757,0.03544557,-9.38394e-06,1.9741397e-05,1.9103147e-05,1.0,40,0.014005721,1.0352026e-05,0,-2.3183493739351333e-09,1.0
2,2,5242039.0,242.25032,1552.2173,1571.0072,-81.12956,3.4374774432217237,0.03547715,-2.2128605e-05,1.9559933e-05,1.9094841e-05,1.0,40,0.019350313,1.23171385e-05,0,-3.791598604822057e-09,1.0
3,3,4536288.0,224.38828,1805.5205,1819.4104,-82.915665,4.805497614870546,0.03544831,-5.569808e-06,1.9431982e-05,1.9136416e-05,1.0,40,0.018477123,1.0155555e-05,0,-1.4612135685183602e-09,1.0
4,4,3925558.5,307.0007,2064.6294,2087.3293,-81.54236,5.2214885946305,0.0354201,-1.1207245e-05,1.9637064e-05,1.9212275e-05,1.0,40,0.018055428,8.650014e-06,0,1.7589306071859786e-10,1.0
5,5,3397055.0,356.9077,2338.5532,2365.6318,-81.32253,5.637482214398915,0.035406295,3.0072758e-06,2.003412e-05,1.9578098e-05,1.0,40,0.019190237,8.112098e-06,0,-1.4357251954556381e-09,1.0
6,6,2939708.2,411.11652,2673.578,2705.002,-81.258095,6.053480527509237,0.035394948,-1.4021954e-06,2.0249907e-05,1.9782154e-05,1.0,40,0.021089638,7.796533e-06,0,-3.751874704827666e-09,1.0
7,7,2543924.5,498.36093,3068.0266,3108.2393,-80.773636,6.605486873741029,0.035392936,1.6065388e-07,2.0391859e-05,1.9867633e-05,1.0,40,0.020728307,6.6688262e-06,0,-3.7282353812568345e-10,1.0
8,8,2201436.2,554.0558,3529.6716,3572.8923,-81.079025,7.157490713259904,0.035383433,-2.983658e-06,2.0482346e-05,1.99898e-05,1.0,40,0.020990571,5.874952e-06,0,-1.1303780165942752e-09,1.0
9,9,1905053.1,720.4324,4025.8782,4089.831,-79.85429,7.70949052614742,0.03540238,6.802776e-06,2.0751639e-05,2.0107724e-05,1.0,40,0.020477645,5.006966e-06,0,-5.297476615952392e-09,1.0
