True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,194.94894,1118.3616,1135.2258,-80.111755,82.75848014411167,-0.016543416,-5.253422e-06,2.0330064e-05,1.9730525e-05,2.0,40,0.009914176,8.733219e-06,0,-5.16159219852421e-08,2.0
111,111,6057573.0,175.23766,1276.1458,1288.1212,-82.18117,83.31050515701645,-0.016507607,-1.8854076e-05,2.0588333e-05,2.02073e-05,2.0,40,0.013979048,1.0852276e-05,0,-5.507249024410655e-08,2.0
112,112,5242039.0,212.20474,1516.6471,1531.4207,-82.03505,83.72649301678757,-0.01646615,-3.0445208e-05,2.0018677e-05,1.96343e-05,2.0,40,0.01928287,1.2591491e-05,0,-5.577121908331447e-08,2.0
113,113,4536288.0,214.15605,1751.6235,1764.6665,-83.029526,85.09450236175326,-0.016497694,-2.7896265e-05,2.0029898e-05,1.9734904e-05,2.0,40,0.019171078,1.0863853e-05,0,-5.151975353117481e-08,2.0
114,114,3925558.5,275.79105,2032.0865,2050.716,-82.27114,85.51048382147565,-0.01653291,-9.700204e-06,1.9951543e-05,1.9590692e-05,2.0,40,0.018400326,8.9726345e-06,0,-5.153263121864388e-08,2.0
115,115,3397055.0,333.30927,2307.666,2331.6125,-81.78128,85.92650250790757,-0.016527282,-2.9682386e-05,2.030227e-05,1.9887388e-05,2.0,40,0.019428845,8.332793e-06,0,-5.3900523999143446e-08,2.0
116,116,2939708.2,403.59595,2622.0898,2652.969,-81.24962,86.34248418101924,-0.016580867,-3.4240707e-05,2.0647542e-05,2.0169686e-05,2.0,40,0.021331957,8.040786e-06,0,-5.778236345305565e-08,2.0
117,117,2543924.5,453.72806,3025.6545,3059.486,-81.47146,86.89450012726593,-0.016606765,-1.5374842e-05,2.0677431e-05,2.022266e-05,2.0,40,0.020737188,6.777997e-06,0,-6.095631069880842e-08,2.0
118,118,2201436.2,590.6667,3435.6357,3486.0408,-80.24487,87.4464998334588,-0.01657947,-3.0110308e-05,2.1042963e-05,2.0438838e-05,2.0,40,0.02076907,5.957782e-06,0,-6.175777671833435e-08,2.0
119,119,1905053.1,646.3152,3927.0024,3979.833,-80.653915,87.99848153968924,-0.016575351,-3.693849e-05,2.1274132e-05,2.0713072e-05,2.0,40,0.020807445,5.2282207e-06,0,-6.739579626582761e-08,2.0
120,120,1648567.4,787.08246,4551.474,4619.0273,-80.18892,88.55050113922334,-0.01659281,-1.48724985e-05,2.1211012e-05,2.0595126e-05,2.0,40,0.019922413,4.3131186e-06,0,-7.4310476604817e-08,2.0
121,121,1426616.2,914.03143,5163.555,5243.83,-79.96172,89.10248559209867,-0.01659741,-1.3644543e-05,2.1605492e-05,2.0949063e-05,2.0,40,0.02048415,3.9063334e-06,0,-7.978555987244797e-08,2.0
122,122,1234551.2,977.1377,6063.2,6141.4326,-80.845,89.82150349291624,-0.016592698,-5.7436364e-06,2.1262244e-05,2.0723997e-05,2.0,41,0.019640662,3.1980587e-06,0,-8.15873319668737e-08,2.0
123,123,1068345.5,1219.4196,7075.8887,7180.194,-80.22201,90.37349866583827,-0.016609596,-9.28025e-07,2.1053651e-05,2.044641e-05,2.0,41,0.020500887,2.8551997e-06,0,-8.093518225501483e-08,2.0
124,124,924510.06,1498.8497,7932.023,8072.3936,-79.29945,90.92548602537136,-0.016584592,-2.252034e-06,2.1703238e-05,2.0955007e-05,2.0,41,0.020136768,2.4945225e-06,0,-8.178974254734604e-08,2.0
125,125,800039.0,2063.4905,9147.711,9377.559,-77.28829,91.47749237160315,-0.016614106,2.4887305e-07,2.1746859e-05,2.0693875e-05,2.0,41,0.020714521,2.2089462e-06,0,-8.13619664305314e-08,2.0
126,126,692334.1,2411.4104,10272.452,10551.69,-76.789276,92.03049173115869,-0.016563874,-3.7622613e-06,2.2378463e-05,2.1209697e-05,2.0,41,0.020335559,1.9272322e-06,0,-8.308466644919852e-08,2.0
127,127,599122.25,3006.0073,11663.789,12044.918,-75.54814,92.58249818408513,-0.016608553,-2.354454e-06,2.2775348e-05,2.1356824e-05,2.0,41,0.02081169,1.7278398e-06,0,-8.367797382354661e-08,2.0
128,128,518454.94,3792.9668,13171.212,13706.474,-73.934975,93.13450327693135,-0.01655793,-3.0211136e-06,2.3306839e-05,2.1522037e-05,2.0,41,0.020432226,1.490699e-06,0,-8.322739213635681e-08,2.0
129,129,448662.03,4744.2593,14774.3,15517.343,-72.19736,93.68649604983511,-0.016592922,-2.810688e-06,2.4010096e-05,2.1765718e-05,2.0,41,0.020130217,1.2972722e-06,0,-8.303227478550725e-08,2.0
130,130,388258.97,6008.053,16633.098,17684.928,-70.13974,94.23850684941863,-0.016597671,-8.405012e-07,2.464481e-05,2.1800437e-05,2.0,41,0.020940961,1.1841134e-06,0,-8.319744902805306e-08,2.0
131,131,335983.9,7187.936,17685.78,19090.658,-67.881966,94.79049007562571,-0.01662467,-1.4404579e-07,2.6784124e-05,2.2987091e-05,2.0,41,0.020275814,1.0620804e-06,0,-8.294364917299527e-08,2.0
132,132,290751.2,9232.424,20571.088,22547.889,-65.82918,95.34249052850646,-0.016546678,-5.0397166e-06,2.6609785e-05,2.214849e-05,2.0,41,0.020706385,9.1832925e-07,0,-8.259697627069764e-08,2.0
133,133,251605.19,11487.498,22666.463,25411.24,-63.123837,95.89450188804767,-0.016576767,-1.8181461e-06,2.7907234e-05,2.2204069e-05,2.0,41,0.020181354,7.9419004e-07,0,-8.24065825192181e-08,2.0
134,134,217729.38,13891.103,24769.959,28399.184,-60.7161,96.4464932209521,-0.016577661,-1.7566942e-06,2.9510587e-05,2.2450018e-05,2.0,41,0.020437738,7.1965934e-07,0,-8.273558377472806e-08,2.0
135,135,188418.58,16900.21,26465.514,31401.283,-57.43872,96.99849714050652,-0.016620385,1.3456968e-06,3.191656e-05,2.2671587e-05,2.0,41,0.020836532,6.635567e-07,0,-8.23412701238383e-08,2.0
136,136,163051.14,20158.13,28214.457,34675.723,-54.45567,97.55048388670548,-0.016583512,-2.0937491e-06,3.4595898e-05,2.2904296e-05,2.0,41,0.020192467,5.8232285e-07,0,-8.216663943675091e-08,2.0
137,137,141098.2,24259.68,29200.988,37963.53,-50.28078,98.10250071293558,-0.01658709,-1.4032305e-07,3.86279e-05,2.285404e-05,2.0,41,0.020268993,5.33907e-07,0,-8.277290267205354e-08,2.0
138,138,122105.11,26372.184,30654.66,40437.61,-49.294613,98.65450047244667,-0.016585227,-2.0192629e-06,4.2519663e-05,2.4434974e-05,2.0,41,0.020219767,5.000238e-07,0,-8.380726917413462e-08,2.0
139,139,105663.59,31835.621,30295.623,43946.918,-43.580147,99.07048603889416,-0.016585413,-2.3134862e-06,4.971814e-05,2.3627501e-05,2.0,41,0.021716198,4.941461e-07,0,-8.28812215987394e-08,2.0
140,140,91439.65,35880.05,30482.223,47080.188,-40.349865,99.62248761180672,-0.016578369,-2.2669335e-06,5.7100377e-05,2.3936236e-05,2.0,41,0.02040327,4.3337272e-07,0,-8.31618100779422e-08,2.0
