True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,209.20715,1342.7017,1358.9022,-81.14392,82.98950148842414,0.024571773,1.556146e-06,1.6933292e-05,1.6531949e-05,2.0,40,0.009972662,7.338763e-06,0,-6.715441005496765e-09,2.0
111,111,6057573.0,233.35974,1606.6813,1623.5398,-81.73596,83.54149959466304,0.024614979,-3.059408e-05,1.6352787e-05,1.6014941e-05,2.0,40,0.014128268,8.702138e-06,0,-1.09537939576019e-08,2.0
112,112,5242039.0,225.92912,1829.0398,1842.9407,-82.958305,83.95748561443179,0.024648795,-4.2706168e-05,1.6599566e-05,1.6350097e-05,2.0,40,0.019502193,1.05821055e-05,0,-1.6178943452100815e-08,2.0
113,113,4536288.0,196.47626,2097.7527,2106.9336,-84.64927,85.32550061270013,0.024606483,-3.0947558e-05,1.6724965e-05,1.6579526e-05,2.0,40,0.019397492,9.206504e-06,0,-3.650775946219801e-08,2.0
114,114,3925558.5,245.81837,2428.296,2440.7063,-84.21959,85.74149655245128,0.02460883,-3.5394252e-05,1.6696178e-05,1.6526817e-05,2.0,40,0.018363267,7.5237513e-06,0,-3.9035657990464344e-08,2.0
115,115,3397055.0,326.20074,2721.954,2741.4304,-83.16623,86.15750435888185,0.024534602,-1.2918939e-05,1.7212215e-05,1.6968517e-05,2.0,40,0.019229285,7.0143255e-06,0,-4.361613405036567e-08,2.0
116,116,2939708.2,347.87692,3149.6082,3168.7615,-83.69718,86.57349213867565,0.024584927,-5.1301853e-05,1.7189346e-05,1.6982176e-05,2.0,40,0.020965675,6.6163625e-06,0,-4.8779899839941007e-08,2.0
117,117,2543924.5,378.57068,3625.9087,3645.618,-84.039505,87.12550549823209,0.02451515,-1.9045457e-06,1.7254368e-05,1.7068309e-05,2.0,40,0.02052597,5.630313e-06,0,-5.530720119371472e-08,2.0
118,118,2201436.2,438.53067,4203.595,4226.4077,-84.04429,87.67748312445474,0.024522416,-1.9635481e-05,1.7198601e-05,1.7013439e-05,2.0,40,0.020442886,4.8369416e-06,0,-5.9014876177011784e-08,2.0
119,119,1905053.1,482.77722,4853.528,4877.4795,-84.31951,88.22949227064964,0.024525026,-1.7570284e-05,1.7212958e-05,1.7044318e-05,2.0,40,0.020705733,4.2451707e-06,0,-6.220171434011294e-08,2.0
120,120,1648567.4,450.24423,5632.63,5650.596,-85.42978,88.94848731815,0.024570506,-7.5574003e-06,1.713966e-05,1.7030841e-05,2.0,41,0.01900083,3.3626238e-06,0,-6.339939735994429e-08,2.0
121,121,1426616.2,494.91138,6511.471,6530.2524,-85.65353,89.3645075778768,0.024547718,-3.6691533e-06,1.7133018e-05,1.7034608e-05,2.0,41,0.02190891,3.3549866e-06,0,-6.412110545921361e-08,2.0
122,122,1234551.2,612.1282,7364.309,7389.7056,-85.24844,89.91650315080187,0.024505798,-5.7421175e-07,1.750568e-05,1.7385562e-05,2.0,41,0.020930827,2.8324305e-06,0,-6.471931900888193e-08,2.0
123,123,1068345.5,702.2278,8722.967,8751.187,-85.39742,90.46850424367585,0.0245221,4.537107e-07,1.7078284e-05,1.6968317e-05,2.0,41,0.020857127,2.3833486e-06,0,-6.433587126874032e-08,2.0
124,124,924510.06,889.8601,10040.986,10080.34,-84.93552,91.0204832298623,0.024497785,-3.5819966e-07,1.7144788e-05,1.7011183e-05,2.0,41,0.020292252,2.0130524e-06,0,-6.500085047016668e-08,2.0
125,125,800039.0,1613.934,10835.542,10955.079,-81.52818,91.57249549610424,0.024539186,-3.970828e-06,1.8359393e-05,1.796092e-05,2.0,41,0.020612737,1.881569e-06,0,-6.514504427775078e-08,2.0
126,126,692334.1,1509.9899,13109.913,13196.586,-83.429665,92.12449333563563,0.02453,-1.0472061e-06,1.7534952e-05,1.7305376e-05,2.0,41,0.020384178,1.5446553e-06,0,-6.472526061407732e-08,2.0
127,127,599122.25,1905.3832,15175.866,15295.013,-82.84376,92.67649317518226,0.02453231,-6.4311257e-07,1.750456e-05,1.7232906e-05,2.0,41,0.020485446,1.3393546e-06,0,-6.448505661100314e-08,2.0
128,128,518454.94,2346.4966,17462.12,17619.07,-82.34665,93.22848266808433,0.024513977,-1.3563282e-06,1.7579729e-05,1.7267923e-05,2.0,41,0.020570105,1.167491e-06,0,-6.477320689906957e-08,2.0
129,129,448662.03,2939.5771,20033.951,20248.465,-81.652565,93.7805030143063,0.024506617,-1.3917099e-06,1.770656e-05,1.7333377e-05,2.0,41,0.02024347,9.997533e-07,0,-6.44036729230394e-08,2.0
