True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,194.99155,1176.4545,1192.5044,-80.58906,2.4654734770592768,-0.0011694601,3.333415e-05,1.9326171e-05,1.8809451e-05,1.0,40,0.009942976,8.3378945e-06,0,3.477583393558032e-11,1.0
1,1,6057573.0,238.80043,1413.1465,1433.1813,-80.40849,3.017486836615717,-0.0011111056,5.649216e-06,1.859235e-05,1.807617e-05,1.0,40,0.014025483,9.786259e-06,0,-2.24911159736823e-10,1.0
2,2,5242039.0,198.91997,1612.5006,1624.7238,-82.96745,3.4334928297030274,-0.001066948,-1.4816684e-05,1.8828685e-05,1.8546447e-05,1.0,40,0.019370988,1.1922635e-05,0,-4.087353935662779e-10,1.0
3,3,4536288.0,197.84935,1869.688,1880.127,-83.95947,4.801500414701877,-0.0011203281,-1.7849363e-05,1.8765077e-05,1.8557279e-05,1.0,40,0.018836632,1.0018809e-05,0,-6.029792397302774e-09,1.0
4,4,3925558.5,232.15675,2164.3923,2176.8076,-83.877754,5.217494194483152,-0.0011617091,4.8306024e-06,1.8731937e-05,1.8518873e-05,1.0,40,0.018240336,8.3793975e-06,0,-6.74253787190398e-09,1.0
5,5,3397055.0,293.3466,2434.0605,2451.6736,-83.128006,5.633494854235323,-0.0011474185,-6.1651804e-06,1.9248026e-05,1.897246e-05,1.0,40,0.019304736,7.874105e-06,0,-9.530914741143684e-09,1.0
6,6,2939708.2,353.19666,2774.9426,2797.3298,-82.74635,6.049485327297589,-0.0011950412,1.5900814e-05,1.9510207e-05,1.9199175e-05,1.0,40,0.02119313,7.5761996e-06,0,-1.006083322231335e-08,1.0
7,7,2543924.5,378.80975,3196.1047,3218.475,-83.24071,6.601485966850305,-0.0010944671,-2.7263686e-05,1.957469e-05,1.9303525e-05,1.0,40,0.02066563,6.4209385e-06,0,-1.1441688726645477e-08,1.0
8,8,2201436.2,455.59134,3653.0547,3681.3547,-82.89105,7.153498179715825,-0.0011497661,-1.5970218e-05,1.979055e-05,1.9487443e-05,1.0,40,0.0210377,5.7146626e-06,0,-1.7310147407739705e-08,1.0
9,9,1905053.1,434.23373,4224.166,4246.4263,-84.13075,7.705484872654779,-0.0011303519,-3.018473e-05,1.977753e-05,1.9570722e-05,1.0,40,0.020536274,4.8361308e-06,0,-2.1764988880167694e-08,1.0
10,10,1648567.4,580.8578,4908.3394,4942.5894,-83.250946,8.257500765525037,-0.0011828934,-1.0300906e-06,1.9668845e-05,1.9397197e-05,1.0,40,0.019946052,4.035547e-06,0,-1.9035749269650952e-08,1.0
11,11,1426616.2,638.9991,5765.7793,5801.08,-83.675934,8.976496506336844,-0.0011912963,-4.0490527e-06,1.9348841e-05,1.9114075e-05,1.0,41,0.019556371,3.3711603e-06,0,-2.2294122536818704e-08,1.0
12,12,1234551.2,699.88513,6560.568,6597.7944,-83.91068,9.528490132564912,-0.001115111,-5.6616855e-06,1.9650317e-05,1.9429197e-05,1.0,41,0.020642139,3.1286424e-06,0,-2.32330746015508e-08,1.0
13,13,1068345.5,825.69366,7580.952,7625.7856,-83.78403,10.080480292119319,-0.0011892281,7.572471e-07,1.9651e-05,1.9420615e-05,1.0,41,0.020592742,2.7004091e-06,0,-2.4078616106486884e-08,1.0
14,14,924510.06,1097.841,8641.15,8710.61,-82.759476,10.63250309167779,-0.0011779373,-6.5428503e-07,1.9922183e-05,1.9605724e-05,1.0,41,0.020199094,2.3189068e-06,0,-2.578800255850903e-08,1.0
15,15,800039.0,759.43195,9492.385,9522.715,-85.425835,11.184494637855096,-0.0011508653,-1.5723383e-06,2.0957217e-05,2.082393e-05,1.0,41,0.020792687,2.183483e-06,0,-2.655660225372003e-08,1.0
16,16,692334.1,1588.8768,11359.019,11469.6045,-82.03725,11.736503197433194,-0.0011584671,-4.4680282e-06,2.0237814e-05,1.9849444e-05,1.0,41,0.020383786,1.7772005e-06,0,-2.7369007558178282e-08,1.0
17,17,599122.25,2197.8396,13048.172,13231.9795,-80.43882,12.288493090338307,-0.0011784404,-7.418074e-07,2.0358935e-05,1.9797244e-05,1.0,41,0.020597387,1.5566369e-06,0,-2.6459529146655492e-08,1.0
18,18,518454.94,2671.4353,14900.463,15138.044,-79.83569,12.840499676502077,-0.0011685656,-3.7119835e-06,2.0601998e-05,1.9960406e-05,1.0,41,0.020378884,1.3462032e-06,0,-2.6940473246241938e-08,1.0
19,19,448662.03,3436.6116,17013.922,17357.53,-78.580574,13.392478956055129,-0.00116905,-3.0047056e-07,2.0849535e-05,2.0032236e-05,1.0,41,0.020275608,1.168116e-06,0,-2.6514762236716807e-08,1.0
20,20,388258.97,4205.811,19428.64,19878.654,-77.78538,13.944496848940616,-0.001207655,1.9583536e-06,2.1098725e-05,2.0154272e-05,1.0,41,0.020857424,1.0492372e-06,0,-2.6001831353058532e-08,1.0
21,21,335983.9,4783.1206,23509.441,23991.084,-78.49983,14.496483728493331,-0.0011710809,-1.2799768e-06,2.014927e-05,1.9348361e-05,1.0,41,0.020308226,8.4649054e-07,0,-2.61278061068424e-08,1.0
22,22,290751.2,6877.8433,24908.492,25840.621,-74.56387,15.048484421422472,-0.0011956561,5.263367e-07,2.1976128e-05,2.0419267e-05,1.0,41,0.02046286,7.918873e-07,0,-2.7461653474860428e-08,1.0
23,23,251605.19,8928.677,28046.934,29433.854,-72.34125,15.600504207628546,-0.0011506418,-4.0360032e-06,2.2553564e-05,2.0478195e-05,1.0,41,0.020500045,6.964785e-07,0,-2.7419439055326696e-08,1.0
24,24,217729.38,11136.642,31679.195,33579.7,-70.631165,16.15249892717111,-0.0011935694,4.6115963e-07,2.3074324e-05,2.0536369e-05,1.0,41,0.020169685,6.0065116e-07,0,-2.7403310713335967e-08,1.0
25,25,188418.58,13988.673,35346.703,38014.11,-68.408516,16.704490046744468,-0.0012037609,4.779193e-07,2.3897224e-05,2.0661206e-05,1.0,41,0.02081497,5.4755907e-07,0,-2.86992207734329e-08,1.0
26,26,163051.14,17405.277,39012.625,42719.184,-65.956215,17.25647881961777,-0.0011778255,5.133e-07,2.5020221e-05,2.0866788e-05,1.0,41,0.020318804,4.756365e-07,0,-2.8646709618189763e-08,1.0
27,27,141098.2,21618.012,42462.727,47648.94,-63.019104,17.808488819136983,-0.001210785,2.6734276e-06,2.6563834e-05,2.1095993e-05,1.0,41,0.020223074,4.2441812e-07,0,-2.903241351535889e-08,1.0
28,28,122105.11,23532.516,47614.81,53112.61,-63.70018,18.390485966781853,-0.0012094436,-2.1402782e-06,2.737438e-05,2.2000526e-05,1.0,42,0.020387586,3.8385585e-07,0,-2.921472826669142e-08,1.0
29,29,105663.59,30335.672,51277.668,59578.957,-59.3916,18.806488439877285,-0.0011606098,-2.7346055e-06,2.937423e-05,2.1758915e-05,1.0,42,0.021840645,3.665832e-07,0,-2.953398003384638e-08,1.0
30,30,91439.65,36682.45,55529.543,66551.73,-56.551514,19.358494572778,-0.001167224,-2.258175e-06,3.134451e-05,2.1821823e-05,1.0,42,0.0203833,3.0627754e-07,0,-2.9920744966252065e-08,1.0
31,31,79127.08,44203.3,58835.63,73590.51,-53.0824,19.77449112586328,-0.0011438412,-2.6677415e-06,3.4186498e-05,2.185203e-05,1.0,42,0.021416828,2.9102705e-07,0,-3.014874742282498e-08,1.0
32,32,68475.36,52095.023,60986.35,80207.4,-49.495785,20.32650459211436,-0.0011816263,-2.2885342e-06,3.8111244e-05,2.203381e-05,1.0,42,0.020250795,2.524804e-07,0,-3.0561512126623295e-08,1.0
