True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,159.58348,1185.282,1195.9767,-82.33195,82.78948115892126,0.0015742676,1.4821787e-05,1.9182238e-05,1.8840708e-05,2.0,40,0.009917863,8.292689e-06,0,-5.541930272306948e-08,2.0
111,111,6057573.0,234.39941,1398.2552,1417.7661,-80.48359,83.34149179849192,0.0015754602,3.2807748e-07,1.8790357e-05,1.8276742e-05,2.0,40,0.014012475,9.883488e-06,0,-5.740608472558782e-08,2.0
112,112,5242039.0,202.56798,1621.4055,1634.0103,-82.87873,83.7574858715816,0.001659266,-1.9579666e-05,1.8725277e-05,1.8437499e-05,2.0,40,0.019345412,1.1839224e-05,0,-6.074621184161602e-08,2.0
113,113,4536288.0,180.83527,1870.2566,1878.9788,-84.477234,85.1254911365395,0.0016093887,-1.550508e-05,1.8759374e-05,1.8585617e-05,2.0,40,0.020620568,1.0974349e-05,0,-7.194416012153976e-08,2.0
114,114,3925558.5,266.924,2168.9224,2185.2854,-82.984024,85.54150499633397,0.0015821864,-4.0069517e-06,1.8692814e-05,1.8413924e-05,2.0,40,0.018946614,8.670087e-06,0,-7.089638469333319e-08,2.0
115,115,3397055.0,315.47552,2434.6548,2455.0088,-82.61691,85.957493469381,0.0015547232,-1.0760709e-05,1.9243327e-05,1.8925564e-05,2.0,40,0.019774627,8.054809e-06,0,-7.407024817701134e-08,2.0
116,116,2939708.2,353.743,2767.7935,2790.3074,-82.71669,86.37348954248591,0.0015175344,5.8352994e-06,1.95606e-05,1.9246221e-05,2.0,40,0.02151878,7.711975e-06,0,-7.480303919424713e-08,2.0
117,117,2543924.5,363.98218,3223.737,3244.22,-83.55819,86.9254848753626,0.001542799,-2.3114686e-05,1.9406907e-05,1.9162622e-05,2.0,40,0.020789118,6.408048e-06,0,-7.483007224351113e-08,2.0
118,118,2201436.2,460.42416,3682.8499,3711.519,-82.87394,87.47750028825249,0.0015189503,-1.0704892e-05,1.9630439e-05,1.9328343e-05,2.0,40,0.020303987,5.470533e-06,0,-7.897505427144778e-08,2.0
119,119,1905053.1,533.04767,4254.099,4287.365,-82.85794,88.02948394112173,0.0015124851,1.2216947e-05,1.963837e-05,1.9334799e-05,2.0,40,0.020742694,4.838098e-06,0,-8.127862606953764e-08,2.0
120,120,1648567.4,669.67194,4872.2236,4918.0303,-82.17391,88.58148642067681,0.0015565119,-1.4946919e-05,1.9814643e-05,1.9447252e-05,2.0,40,0.019840961,4.0343307e-06,0,-8.206121017632463e-08,2.0
121,121,1426616.2,637.87946,5696.57,5732.1724,-83.61086,89.30048496150994,0.0015387745,-6.834873e-06,1.9583917e-05,1.93414e-05,2.0,41,0.019316152,3.3697786e-06,0,-7.875149740457053e-08,2.0
122,122,1234551.2,692.0584,6549.3403,6585.803,-83.96803,89.8534860277723,0.0015358865,-4.274361e-06,1.9684005e-05,1.9466643e-05,2.0,41,0.020736285,3.148634e-06,0,-7.976187249604333e-08,2.0
123,123,1068345.5,895.2622,7524.1694,7577.2437,-83.21457,90.40549752066727,0.0015394639,5.8034004e-07,1.9799301e-05,1.9522908e-05,2.0,41,0.02057429,2.7152737e-06,0,-8.052320255129509e-08,2.0
124,124,924510.06,1119.3568,8691.3955,8763.18,-82.66132,90.95749536019866,0.0015223227,-1.7417981e-06,1.9807014e-05,1.9483841e-05,2.0,41,0.020225083,2.3079617e-06,0,-8.127684034379435e-08,2.0
125,125,800039.0,1267.3768,9609.912,9693.124,-82.48706,91.50948370646802,0.0015382342,-3.6095637e-06,2.0700914e-05,2.034702e-05,2.0,41,0.020478025,2.112634e-06,0,-8.207169310233988e-08,2.0
126,126,692334.1,1859.5444,11374.201,11525.205,-80.71497,92.0615015993535,0.0015161928,-1.5444064e-06,2.02108e-05,1.9684663e-05,2.0,41,0.02064796,1.7915481e-06,0,-8.358548137764011e-08,2.0
127,127,599122.25,2335.9185,13034.508,13242.164,-79.83986,92.61348386554164,0.0015567541,-2.7213036e-06,2.0380276e-05,1.9746103e-05,2.0,41,0.020605091,1.5560214e-06,0,-8.323920970559545e-08,2.0
128,128,518454.94,2820.5037,14968.686,15232.098,-79.32905,93.1654843450815,0.0015120938,1.5803311e-06,2.0508101e-05,1.9804931e-05,2.0,41,0.02059722,1.3522248e-06,0,-8.272162125042628e-08,2.0
129,129,448662.03,3642.9578,17017.744,17403.297,-77.91716,93.71748613132513,0.0014757061,5.025362e-06,2.0844851e-05,1.9931489e-05,2.0,41,0.020271804,1.1648256e-06,0,-8.342389658672249e-08,2.0
130,130,388258.97,4592.199,19380.574,19917.203,-76.66969,94.26949973087176,0.0015432461,-3.8069536e-06,2.1151054e-05,2.0026662e-05,2.0,41,0.020871533,1.0479149e-06,0,-8.277580347055036e-08,2.0
131,131,335983.9,5760.6616,22077.854,22817.03,-75.37616,94.82149717040011,0.0014576147,4.42574e-06,2.1455802e-05,2.0088166e-05,2.0,41,0.02035831,8.9224187e-07,0,-8.22944301963461e-08,2.0
132,132,290751.2,7479.2837,24698.51,25806.125,-73.152466,95.37350775665254,0.0015149817,7.8704255e-07,2.2162965e-05,2.0301297e-05,2.0,41,0.020537127,7.958237e-07,0,-8.264109699133313e-08,2.0
133,133,251605.19,9537.514,27661.453,29259.531,-70.9761,95.92548831619206,0.0015240927,1.5337756e-06,2.2867862e-05,2.0438114e-05,2.0,41,0.02040236,6.972894e-07,0,-8.199572182970666e-08,2.0
134,134,217729.38,12149.205,30975.076,33272.49,-68.58363,96.4775082890701,0.001506672,2.04215e-06,2.3598845e-05,2.0452431e-05,2.0,41,0.020179871,6.065032e-07,0,-8.289843489721822e-08,2.0
135,135,188418.58,15064.655,34259.246,37425.12,-66.263695,97.02949631531374,0.0015389795,-1.05093e-06,2.465577e-05,2.0660831e-05,2.0,41,0.02082466,5.5643534e-07,0,-8.335716139549376e-08,2.0
136,136,163051.14,18821.982,37915.508,42330.28,-63.59932,97.58148284818162,0.0015526365,-1.4591117e-07,2.57442e-05,2.0654319e-05,2.0,41,0.020354351,4.808461e-07,0,-8.293999351657178e-08,2.0
137,137,141098.2,23221.547,40896.64,47029.516,-60.41163,98.13350196773536,0.0015364083,1.5691551e-06,2.7581062e-05,2.0856683e-05,2.0,41,0.020176973,4.290279e-07,0,-8.36735990917086e-08,2.0
138,138,122105.11,25901.125,43085.918,50271.906,-58.987797,98.54950257416931,0.0015301853,2.3996886e-06,3.0251784e-05,2.2221377e-05,2.0,41,0.021870812,4.350504e-07,0,-8.40394358743117e-08,2.0
139,139,105663.59,31936.027,48740.938,58271.68,-56.766388,99.26948604834615,0.0015605363,-2.0039424e-06,3.0903015e-05,2.162089e-05,2.0,42,0.018900737,3.2435545e-07,0,-8.515208632518147e-08,2.0
140,140,91439.65,38781.91,51754.21,64672.52,-53.154022,99.68550460142433,0.0015720321,-2.1047042e-06,3.3631008e-05,2.1537322e-05,2.0,42,0.020035774,3.098035e-07,0,-8.539035966384192e-08,2.0
141,141,79127.08,45911.35,53326.324,70367.24,-49.273163,100.10148891454446,0.0015684922,-1.9847585e-06,3.7718408e-05,2.1661852e-05,2.0,42,0.02098781,2.9826109e-07,0,-8.555651230132859e-08,2.0
142,142,68475.36,53464.12,54878.06,76616.016,-45.747707,100.51750608094153,0.0015286016,-1.879899e-06,4.235328e-05,2.1729284e-05,2.0,42,0.021850964,2.85201e-07,0,-8.580343750987781e-08,2.0
143,143,59252.523,61061.957,55026.996,82198.13,-42.02412,101.0694889871811,0.0015558226,-1.8143385e-06,4.8813217e-05,2.1875861e-05,2.0,42,0.020250944,2.4636745e-07,0,-8.609864945734941e-08,2.0
144,144,51282.285,68047.1,55085.523,87548.98,-38.99088,101.4854828469397,0.0015518912,-1.5548906e-06,5.6339803e-05,2.2304275e-05,2.0,42,0.020762991,2.3715859e-07,0,-8.633950180937126e-08,2.0
145,145,44369.8,76461.55,51468.562,92170.39,-33.945683,101.90150180002092,0.0015207017,-1.4258184e-06,6.969323e-05,2.1731606e-05,2.0,42,0.02114922,2.2945785e-07,0,-8.653469235909473e-08,2.0
146,146,38403.727,82774.59,49218.625,96302.164,-30.736153,102.31748992644134,0.0015745847,-1.9562617e-06,8.4201005e-05,2.1993996e-05,2.0,42,0.021441894,2.2265225e-07,0,-8.669350249024355e-08,2.0
147,147,33226.32,88404.43,46493.258,99884.766,-27.740578,102.73348709286074,0.0015778267,-1.6677586e-06,0.00010302626,2.2321807e-05,2.0,42,0.021649532,2.1674508e-07,0,-8.68955486503587e-08,2.0
148,148,28754.086,93998.19,42152.117,103016.8,-24.153154,103.14948804597952,0.0015810314,-1.9326076e-06,0.00013131101,2.1984868e-05,2.0,42,0.021797812,2.1159474e-07,0,-8.715293555191215e-08,2.0
149,149,24884.947,97904.36,38475.145,105193.16,-21.454184,103.56548667905736,0.0015546301,-1.8974056e-06,0.0001662276,2.223764e-05,2.0,42,0.021814154,2.0737237e-07,0,-8.744806970277432e-08,2.0
150,150,21553.963,101755.48,34827.547,107550.62,-18.894384,103.98248776551918,0.0014857299,-1.306803e-06,0.0002120167,2.223259e-05,2.0,42,0.021820182,2.028829e-07,0,-8.770450147986884e-08,2.0
151,151,18631.234,104329.734,31170.838,108886.7,-16.63469,104.398506425292,0.0015167146,-1.4889565e-06,0.00027405014,2.245832e-05,2.0,42,0.021733185,1.9959448e-07,0,-8.799490697242263e-08,2.0
152,152,16126.037,106729.95,27347.73,110177.95,-14.371862,104.81449356503435,0.0015153544,-1.4997587e-06,0.00036088694,2.2234346e-05,2.0,42,0.021551823,1.9560922e-07,0,-8.816234419157946e-08,2.0
153,153,13954.87,108759.836,24820.809,111556.15,-12.855684,105.23049073151196,0.0015397806,-1.7882617e-06,0.00045949247,2.2746954e-05,2.0,42,0.021319509,1.9111012e-07,0,-8.829641794834152e-08,2.0
154,154,12080.609,110538.914,21381.94,112587.914,-10.947722,105.64649232456577,0.0015259745,-1.32133e-06,0.0006161467,2.2222597e-05,2.0,42,0.021047106,1.869393e-07,0,-8.846385076835262e-08,2.0
155,155,10447.592,110815.69,17901.068,112252.234,-9.176241,106.06249210433452,0.0015174785,-1.682657e-06,0.000850991,2.1641776e-05,2.0,42,0.020470683,1.8236325e-07,0,-8.857580615674563e-08,2.0
156,156,9045.586,110954.164,15667.181,112054.836,-8.037262,106.63527061152854,0.0015520403,-1.6532293e-06,0.0011230331,2.195397e-05,2.0,42,0.020318981,1.8133069e-07,0,-8.90225776455951e-08,2.0
157,157,7827.7437,111702.22,13518.361,112517.25,-6.900459,107.11592090106569,0.0015485748,-1.5675537e-06,0.0015040403,2.1710477e-05,2.0,42,0.020423315,1.8151275e-07,0,-8.933619600767016e-08,2.0
158,158,6770.8345,112265.56,11275.505,112830.375,-5.7353263,107.654401486594,0.001474644,-1.2892943e-06,0.0020846922,2.0819096e-05,2.0,42,0.02054718,1.821068e-07,0,-8.94422228943057e-08,2.0
159,159,5860.798,112167.28,10244.734,112634.16,-5.2185984,108.26098996878136,0.0016350447,-2.1870244e-06,0.0026507128,2.1929254e-05,2.0,42,0.020573547,1.8265816e-07,0,-8.960567714579702e-08,2.0
160,160,5071.625,112329.86,8715.711,112667.48,-4.4367094,108.94168661447475,0.001554332,-1.7670278e-06,0.003600561,2.1546597e-05,2.0,42,0.020675857,1.835122e-07,0,-9.000171367447467e-08,2.0
161,161,4388.5933,112775.555,8557.567,113099.766,-4.339369,109.62180995344534,0.0015258814,-1.7837901e-06,0.0042378395,2.4261728e-05,2.0,42,0.020743502,1.8340889e-07,0,-9.042624638947435e-08,2.0
162,162,3798.7827,112467.47,7187.2305,112696.88,-3.6565132,110.30181811907096,0.0015372654,-1.6159775e-06,0.0058292695,2.3709012e-05,2.0,42,0.02076133,1.8422276e-07,0,-9.080105187078482e-08,2.0
163,163,3286.0488,112273.29,6622.723,112468.445,-3.3758245,110.98171417803678,0.0015354767,-1.8059536e-06,0.007313235,2.5358371e-05,2.0,42,0.020767424,1.8465111e-07,0,-9.096731348502255e-08,2.0
164,164,2844.088,112565.34,6323.521,112742.82,-3.215294,111.66083271695243,0.0015573876,-1.6854491e-06,0.008849489,2.7839298e-05,2.0,42,0.020827914,1.8473827e-07,0,-9.139980116742979e-08,2.0
165,165,2460.7852,112537.09,5516.2627,112672.21,-2.8062375,112.34068538925203,0.0015162114,-1.6832141e-06,0.011724694,2.8103326e-05,2.0,42,0.020856738,1.8510987e-07,0,-9.158946794847052e-08,2.0
