True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,137.4677,1351.1295,1358.1047,-84.19056,82.91448580488213,0.026813487,-4.7510794e-06,1.682767e-05,1.665526e-05,2.0,40,0.00998364,7.351156e-06,0,-2.3872925807599564e-08,2.0
111,111,6057573.0,260.85995,1553.7649,1575.5105,-80.46955,83.46650212441455,0.026792247,5.885482e-07,1.6909711e-05,1.6446149e-05,2.0,40,0.014042162,8.91277e-06,0,-2.662300992301731e-08,2.0
112,112,5242039.0,211.60303,1807.5265,1819.8702,-83.32291,83.88248939751065,0.026817903,-1.25468305e-05,1.6797136e-05,1.6570046e-05,2.0,40,0.019492721,1.071105e-05,0,-2.7131653808854356e-08,2.0
113,113,4536288.0,178.47311,2088.4998,2096.1116,-85.11565,85.25049300913815,0.026834726,-3.6361733e-05,1.6799064e-05,1.6677277e-05,2.0,40,0.018760085,8.949946e-06,0,-2.7917539712869083e-08,2.0
114,114,3925558.5,235.20413,2456.3826,2467.6174,-84.53048,85.66648457557312,0.026782036,-6.2023983e-06,1.6505272e-05,1.635532e-05,2.0,40,0.01807328,7.324182e-06,0,-2.989968727098032e-08,2.0
115,115,3397055.0,282.98013,2725.0723,2739.7256,-84.07147,86.08249563534628,0.026739165,-3.6720635e-06,1.7192518e-05,1.7009104e-05,2.0,40,0.01899478,6.933096e-06,0,-3.4422436319260696e-08,2.0
116,116,2939708.2,344.37576,3136.8586,3155.7053,-83.73495,86.49848608174943,0.026749114,-1.0369997e-05,1.7259212e-05,1.7053673e-05,2.0,40,0.020741113,6.572576e-06,0,-3.702136756749337e-08,2.0
117,117,2543924.5,346.05844,3638.1123,3654.534,-84.56635,87.05049421466538,0.02676849,-4.592489e-05,1.719649e-05,1.7042292e-05,2.0,40,0.02068816,5.660957e-06,0,-4.2405187910121316e-08,2.0
118,118,2201436.2,422.21768,4156.481,4177.8706,-84.19976,87.60250629417715,0.026766386,-2.4789173e-05,1.739355e-05,1.7215903e-05,2.0,40,0.020677181,4.949215e-06,0,-4.01533119546477e-08,2.0
119,119,1905053.1,412.54236,4856.37,4873.8613,-85.144455,88.15448317377013,0.026738402,-4.0999817e-06,1.7202883e-05,1.707963e-05,2.0,40,0.020390203,4.183583e-06,0,-4.2315032880869117e-08,2.0
120,120,1648567.4,410.35052,5655.7744,5670.641,-85.85022,88.87350211458397,0.02676715,-6.598378e-06,1.7069522e-05,1.6980137e-05,2.0,41,0.018919364,3.3363713e-06,0,-4.317351786507572e-08,2.0
121,121,1426616.2,502.6787,6454.093,6473.6387,-85.54649,89.28949021434528,0.026692493,8.1125074e-07,1.7285334e-05,1.7181112e-05,2.0,41,0.021842338,3.3740434e-06,0,-4.3745031443598214e-08,2.0
122,122,1234551.2,583.886,7468.7974,7491.586,-85.5299,89.84149205390713,0.026726458,3.6432655e-07,1.7260776e-05,1.7155926e-05,2.0,41,0.021010766,2.8045818e-06,0,-4.3254643299023556e-08,2.0
123,123,1068345.5,754.4896,8676.7295,8709.472,-85.03032,90.3934846134216,0.026742369,-1.8702889e-06,1.7169292e-05,1.7040442e-05,2.0,41,0.020800106,2.3882167e-06,0,-4.2963049228696684e-08,2.0
124,124,924510.06,804.3437,9872.42,9905.132,-85.342186,90.9454843729909,0.026719993,-1.0248598e-06,1.7437525e-05,1.732254e-05,2.0,41,0.02020576,2.0399284e-06,0,-4.286895471002872e-08,2.0
125,125,800039.0,1110.27,11394.327,11448.292,-84.43463,91.49749253250775,0.026703876,1.4086461e-07,1.7459037e-05,1.7294828e-05,2.0,41,0.020772357,1.8144502e-06,0,-4.3284013607993625e-08,2.0
126,126,692334.1,1382.1344,13216.331,13288.405,-84.02984,92.04949951873277,0.0267218,-1.4829565e-06,1.739376e-05,1.720559e-05,2.0,41,0.0204523,1.5391087e-06,0,-4.288980416255376e-08,2.0
127,127,599122.25,1622.173,15201.354,15287.661,-83.90888,92.60148234499502,0.026781272,-2.820001e-06,1.7475211e-05,1.7278453e-05,2.0,41,0.020511411,1.3416972e-06,0,-4.3216572925463756e-08,2.0
128,128,518454.94,2136.5469,17439.484,17569.873,-83.01538,93.15350231787306,0.0267414,-1.9708468e-06,1.7602546e-05,1.7342252e-05,2.0,41,0.020558152,1.1700797e-06,0,-4.35509544115384e-08,2.0
129,129,448662.03,2819.3704,20039.854,20237.207,-81.99172,93.70548610409605,0.026779614,-3.3265142e-06,1.7701344e-05,1.7357781e-05,2.0,41,0.02031102,1.0036474e-06,0,-4.458165327368274e-08,2.0
130,130,388258.97,3577.5261,23055.111,23331.027,-81.179596,94.25749762365012,0.026716974,1.6287458e-06,1.7779987e-05,1.7361936e-05,2.0,41,0.020931542,8.9715473e-07,0,-4.504000786381014e-08,2.0
131,131,335983.9,4546.8296,26010.98,26405.393,-80.08464,94.80948367653764,0.026713807,3.2916712e-06,1.8211465e-05,1.7671488e-05,2.0,41,0.020528913,7.7745153e-07,0,-4.504713723028095e-08,2.0
132,132,290751.2,6203.243,30207.428,30837.783,-78.39536,95.36248498279019,0.026734954,1.2544469e-06,1.8121114e-05,1.7387858e-05,2.0,41,0.02047933,6.6409865e-07,0,-4.5521145603098e-08,2.0
133,133,251605.19,8364.59,34048.17,35060.582,-76.19753,95.9145045823243,0.026746413,-2.883316e-06,1.8578334e-05,1.7520888e-05,2.0,41,0.02044028,5.829989e-07,0,-4.528049802783012e-08,2.0
134,134,217729.38,10846.394,38855.7,40341.164,-74.40316,96.46649074190645,0.026741289,-1.7101431e-06,1.8812581e-05,1.7452634e-05,2.0,41,0.020245649,5.018608e-07,0,-4.5039991739631604e-08,2.0
135,135,188418.58,13962.221,43381.723,45573.21,-72.159454,97.01850567475776,0.026772218,-4.021107e-06,1.9471061e-05,1.7643468e-05,2.0,41,0.020821065,4.568707e-07,0,-4.6295739135954075e-08,2.0
136,136,163051.14,17721.477,49103.367,52203.367,-70.15541,97.57049476765678,0.026778962,-3.7417817e-06,1.9878566e-05,1.7587761e-05,2.0,41,0.020301424,3.888911e-07,0,-4.745363164039201e-08,2.0
137,137,141098.2,20364.734,55217.023,58852.715,-69.75539,98.28849368178635,0.026705926,-9.914813e-07,2.042799e-05,1.7982025e-05,2.0,42,0.018997338,3.227946e-07,0,-4.727736238558637e-08,2.0
138,138,122105.11,26989.994,60523.82,66269.09,-65.965996,98.70448452819255,0.026712205,-8.054162e-07,2.153575e-05,1.7963484e-05,2.0,42,0.020478046,3.090135e-07,0,-4.743515059297603e-08,2.0
139,139,105663.59,32945.24,69136.03,76584.46,-64.520905,99.12050206793356,0.026756324,-1.4537563e-06,2.1786642e-05,1.7754886e-05,2.0,42,0.021968774,2.8685682e-07,0,-4.755966282033164e-08,2.0
140,140,91439.65,40172.793,73973.18,84177.695,-61.494835,99.67250076084747,0.02677872,-1.4530115e-06,2.3529425e-05,1.8170456e-05,2.0,42,0.020428604,2.4268428e-07,0,-4.773497353687735e-08,2.0
141,141,79127.08,50225.215,80614.46,94980.336,-58.075863,100.08849510058644,0.026671698,-7.113593e-07,2.4950661e-05,1.7973827e-05,2.0,42,0.0214814,2.2616682e-07,0,-4.789274279485806e-08,2.0
142,142,68475.36,60559.117,84599.945,104041.13,-54.4038,100.64049387347768,0.026748778,-1.2418027e-06,2.747361e-05,1.8165432e-05,2.0,42,0.020217847,1.9432552e-07,0,-4.809628985192951e-08,2.0
143,143,59252.523,72070.62,87804.06,113594.58,-50.620445,101.05648541325354,0.026760722,-1.2011999e-06,3.059135e-05,1.8277327e-05,2.0,42,0.020870777,1.8373039e-07,0,-4.822745103444386e-08,2.0
144,144,51282.285,83713.63,92084.86,124449.164,-47.72627,101.47250017963233,0.02677341,-1.4809491e-06,3.3702687e-05,1.8452578e-05,2.0,42,0.021424903,1.7215787e-07,0,-4.842027248468127e-08,2.0
145,145,44369.8,98790.92,91458.22,134626.34,-42.79276,101.88850115941023,0.026703373,-9.382131e-07,3.922021e-05,1.8100696e-05,2.0,42,0.021850698,1.6230626e-07,0,-4.85093636969069e-08,2.0
146,146,38403.727,111100.12,88126.19,141807.83,-38.421947,102.44050595894805,0.026705274,-9.52927e-07,4.7026406e-05,1.8161483e-05,2.0,42,0.02024816,1.4278591e-07,0,-4.8583024304730194e-08,2.0
147,147,33226.32,123186.945,85045.61,149692.28,-34.62036,102.85649301871308,0.026722247,-1.1363844e-06,5.632303e-05,1.8179879e-05,2.0,42,0.020445842,1.3658581e-07,0,-4.872546240011882e-08,2.0
148,148,28754.086,134022.47,79824.7,155993.61,-30.778318,103.2724869317899,0.026728116,-7.191817e-07,6.9339905e-05,1.8157007e-05,2.0,42,0.020544253,1.3169932e-07,0,-4.878112053240654e-08,2.0
149,149,24884.947,143862.66,74272.55,161903.9,-27.30613,103.68849924489041,0.026757536,-1.3820496e-06,8.6110296e-05,1.8121622e-05,2.0,42,0.020575631,1.2708546e-07,0,-4.897036460299908e-08,2.0
150,150,21553.963,151795.45,67510.09,166130.89,-23.976812,104.10548638473847,0.026704323,-1.1000653e-06,0.00010937656,1.8061795e-05,2.0,42,0.020591995,1.2395043e-07,0,-4.9041118189405706e-08,2.0
151,151,18631.234,158266.11,60961.082,169600.75,-21.065733,104.52149819114129,0.026730314,-1.0374848e-06,0.0001401283,1.8104045e-05,2.0,42,0.020461168,1.2064315e-07,0,-4.9181502497141395e-08,2.0
152,152,16126.037,163837.14,54380.016,172626.17,-18.361784,104.93849162428523,0.026698977,-6.5585607e-07,0.00018149018,1.80102e-05,2.0,42,0.020264503,1.1738951e-07,0,-4.92612814900865e-08,2.0
153,153,13954.87,168303.53,48322.016,175103.1,-16.019424,105.35448457740131,0.026715558,-7.633229e-07,0.00023602026,1.7974291e-05,2.0,42,0.020039083,1.14441626e-07,0,-4.935051513695182e-08,2.0
154,154,12080.609,170841.2,43501.027,176292.53,-14.285561,105.77048470379668,0.026720421,-7.126625e-07,0.00030285292,1.8440087e-05,2.0,42,0.019661414,1.1152721e-07,0,-4.939195511972589e-08,2.0
155,155,10447.592,173698.33,37147.926,177626.23,-12.071687,106.18648499020492,0.026724463,-1.0365533e-06,0.00041008074,1.7935945e-05,2.0,42,0.0191456,1.0778589e-07,0,-4.9447041867198395e-08,2.0
156,156,9045.586,175012.89,32697.34,178041.08,-10.582466,106.61825015742215,0.026672129,-9.2945805e-07,0.0005381099,1.8149114e-05,2.0,42,0.021740502,1.2210947e-07,0,-4.9584337416758435e-08,2.0
157,157,7827.7437,177444.88,28339.947,179693.73,-9.074146,107.09892348691938,0.026704807,-9.82167e-07,0.00071743823,1.7845006e-05,2.0,42,0.021835225,1.2151355e-07,0,-4.974347919866437e-08,2.0
158,158,6770.8345,177394.83,24242.982,179043.7,-7.781901,107.63739993915078,0.02674153,-1.0881438e-06,0.00096959836,1.7776485e-05,2.0,42,0.021862475,1.2210693e-07,0,-4.993947614498633e-08,2.0
