True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,149.79941,1217.4125,1226.5941,-82.98517,82.8084987331822,0.0056017963,-1.669574e-05,1.8675972e-05,1.839742e-05,2.0,40,0.009954554,8.115606e-06,0,-6.494138109016174e-09,2.0
111,111,6057573.0,226.85991,1385.6746,1404.1223,-80.70213,83.36050230605179,0.005585382,-1.0301151e-06,1.8960958e-05,1.8466e-05,2.0,40,0.014007762,9.976169e-06,0,-1.1432690401013208e-08,2.0
112,112,5242039.0,207.93402,1620.8055,1634.0891,-82.68942,83.77648899247288,0.0056076283,-3.6906629e-06,1.873221e-05,1.8428897e-05,2.0,40,0.019350111,1.1841527e-05,0,-1.348068115331892e-08,2.0
113,113,4536288.0,181.24104,1892.7175,1901.3752,-84.530205,85.1444926574768,0.0056251423,-2.4324036e-05,1.8536755e-05,1.836833e-05,2.0,40,0.020276554,1.0664152e-05,0,-1.0616254622028186e-08,2.0
114,114,3925558.5,249.42458,2146.7021,2161.1438,-83.37254,85.56049385052756,0.005560304,-1.2416588e-05,1.88863e-05,1.8634732e-05,2.0,40,0.018803526,8.700728e-06,0,-1.3526316186878755e-08,2.0
115,115,3397055.0,307.67688,2462.5042,2481.6511,-82.878105,85.97648245698656,0.0055992813,-1.898429e-05,1.9025698e-05,1.8733248e-05,2.0,40,0.019712098,7.943138e-06,0,-1.302068988176883e-08,2.0
116,116,2939708.2,344.44318,2832.6497,2853.5146,-83.06701,86.3924827433948,0.0055790474,-3.0333575e-05,1.9112744e-05,1.883426e-05,2.0,40,0.021421308,7.5069906e-06,0,-1.576886324864783e-08,2.0
117,117,2543924.5,376.7087,3213.9915,3235.993,-83.31492,86.94449954296579,0.0055553294,-4.7139565e-06,1.9465751e-05,1.9201958e-05,2.0,40,0.020087844,6.207629e-06,0,-2.0796010958447495e-08,2.0
118,118,2201436.2,439.2411,3675.787,3701.9377,-83.18571,87.49650132915122,0.0055069984,1.2626263e-05,1.9668156e-05,1.9391266e-05,2.0,40,0.02090148,5.6460917e-06,0,-2.287221045548588e-08,2.0
119,119,1905053.1,538.8983,4242.475,4276.565,-82.7608,88.04850308873574,0.0054808953,3.6026522e-06,1.9692177e-05,1.9379484e-05,2.0,40,0.020623978,4.822557e-06,0,-2.505570019944988e-08,2.0
120,120,1648567.4,678.561,4931.2266,4977.6943,-82.16502,88.60050175493234,0.005564198,-2.337516e-05,1.9577556e-05,1.9213741e-05,2.0,40,0.019960582,4.010006e-06,0,-2.576578568369175e-08,2.0
121,121,1426616.2,533.0532,5734.7534,5759.474,-84.68954,89.31950160241104,0.0055772215,-6.8479085e-06,1.9453522e-05,1.9286885e-05,2.0,41,0.019354232,3.3604165e-06,0,-3.0053756489236444e-08,2.0
122,122,1234551.2,737.64325,6633.8857,6674.77,-83.65516,89.87148250863538,0.005544169,-1.7846277e-06,1.943314e-05,1.9195806e-05,2.0,41,0.02048399,3.0688682e-06,0,-3.126211619501065e-08,2.0
123,123,1068345.5,913.74963,7673.2856,7727.4995,-83.20908,90.42349242817727,0.0055624465,-3.4698999e-06,1.9414538e-05,1.914308e-05,2.0,41,0.020914642,2.7065214e-06,0,-3.2222717298367146e-08,2.0
124,124,924510.06,1034.6838,8732.884,8793.966,-83.24302,90.97548962771543,0.0055160164,-2.857244e-06,1.9712914e-05,1.9440016e-05,2.0,41,0.020291284,2.3074099e-06,0,-3.195587987076465e-08,2.0
125,125,800039.0,840.48676,10181.657,10216.289,-85.28098,91.52748632061412,0.0055289096,-4.3823675e-06,1.9538465e-05,1.9406227e-05,2.0,41,0.020680161,2.0242342e-06,0,-3.1916932491030696e-08,2.0
126,126,692334.1,1652.1908,11477.765,11596.069,-81.80871,92.07950592020643,0.0055305865,-2.3563173e-06,2.002844e-05,1.9621857e-05,2.0,41,0.020307038,1.7512001e-06,0,-3.2927324646882045e-08,2.0
127,127,599122.25,2062.3003,13311.699,13470.502,-81.19353,92.63150226642028,0.0055598007,-2.5462593e-06,1.9955894e-05,1.948815e-05,2.0,41,0.020497195,1.5216356e-06,0,-3.2837945495526495e-08,2.0
128,128,518454.94,2713.536,15019.146,15262.308,-79.75875,93.18448871935834,0.0056039207,-6.21289e-06,2.0439198e-05,1.9793106e-05,2.0,41,0.020607978,1.3502531e-06,0,-3.391449175758983e-08,2.0
129,129,448662.03,3273.8022,17347.11,17653.328,-79.31265,93.73649658556678,0.0055047255,2.5259627e-07,2.0449075e-05,1.97458e-05,2.0,41,0.020180698,1.1431669e-06,0,-3.478071529520024e-08,2.0
130,130,388258.97,4176.793,19920.184,20353.361,-78.157974,94.28849493179587,0.0055570435,-2.5499833e-06,2.0578102e-05,1.97115e-05,2.0,41,0.020951755,1.0294002e-06,0,-3.521318987871622e-08,2.0
131,131,335983.9,5219.5522,22481.717,23079.674,-76.929276,94.84049586465699,0.005475809,4.1575863e-06,2.107037e-05,1.9992714e-05,2.0,41,0.020366436,8.8244036e-07,0,-3.5324634109106985e-08,2.0
132,132,290751.2,6829.9526,25350.652,26254.596,-74.92145,95.3924910108617,0.005566415,-6.600224e-06,2.1592827e-05,2.0131545e-05,2.0,41,0.020552952,7.8283256e-07,0,-3.644561788969251e-08,2.0
133,133,251605.19,8813.273,28977.154,30287.773,-73.08309,95.94450117045199,0.0055379644,-2.7566866e-06,2.1829552e-05,1.99812e-05,2.0,41,0.020365454,6.723985e-07,0,-3.649943957425232e-08,2.0
134,134,217729.38,11005.259,32426.63,34243.277,-71.25333,96.49648783661542,0.005500552,1.7032329e-06,2.2542457e-05,2.0214095e-05,2.0,41,0.020193322,5.8970176e-07,0,-3.643901866404538e-08,2.0
135,135,188418.58,14025.229,36204.887,38826.547,-68.82438,97.04850098284078,0.0055589066,-2.15334e-06,2.3330776e-05,2.028645e-05,2.0,41,0.02084793,5.369504e-07,0,-3.875995892832091e-08,2.0
136,136,163051.14,17481.99,40280.32,43910.41,-66.53876,97.60048546243343,0.00557357,-6.1663377e-06,2.4232788e-05,2.0391737e-05,2.0,41,0.02047646,4.663236e-07,0,-3.808406171480922e-08,2.0
137,137,141098.2,21504.592,44259.457,49207.184,-64.08601,98.15249554198817,0.005528947,-4.7026656e-06,2.5485464e-05,2.0618056e-05,2.0,41,0.020162128,4.0973953e-07,0,-3.8672226740808295e-08,2.0
138,138,122105.11,22541.045,48926.793,53869.562,-65.26402,98.73448410295532,0.0055691353,-2.437535e-06,2.664033e-05,2.1975875e-05,2.0,42,0.020319501,3.7719818e-07,0,-3.904971018650332e-08,2.0
139,139,105663.59,30378.604,53765.832,61754.547,-60.532818,99.15049534934224,0.005550932,-2.218876e-06,2.8014856e-05,2.1235537e-05,2.0,42,0.021825945,3.5343058e-07,0,-3.930197209291306e-08,2.0
140,140,91439.65,37085.41,57495.48,68418.26,-57.177402,99.70248697561328,0.005534145,-1.9158456e-06,3.0272751e-05,2.1378404e-05,2.0,42,0.02040766,2.98278e-07,0,-3.969012084353471e-08,2.0
141,141,79127.08,45142.387,60389.477,75397.11,-53.221123,100.11850534201949,0.005599058,-2.3969324e-06,3.3306864e-05,2.1367163e-05,2.0,42,0.021429026,2.842155e-07,0,-3.991375555622333e-08,2.0
142,142,68475.36,53247.68,63453.152,82834.88,-49.997795,100.67149571495247,0.005564552,-1.951047e-06,3.6629637e-05,2.1493765e-05,2.0,42,0.020186739,2.4369854e-07,0,-4.018782725772338e-08,2.0
