True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,191.72618,1112.2471,1128.6508,-80.21962,82.88949225700344,-0.013981514,1.5956713e-05,2.0441827e-05,1.9851945e-05,2.0,40,0.009470062,8.390604e-06,0,-1.375683082127832e-08,2.0
111,111,6057573.0,238.55486,1287.946,1309.8524,-79.50653,83.44148372320342,-0.013988743,-1.0407236e-05,2.0399702e-05,1.9723066e-05,2.0,40,0.01316109,1.00477655e-05,0,-1.1287006174499205e-08,2.0
112,112,5242039.0,248.58307,1495.2463,1515.7688,-80.56097,83.85750272966106,-0.013980581,-1.8673361e-06,2.0305193e-05,1.975908e-05,2.0,40,0.018054746,1.191128e-05,0,-1.1324719571224347e-08,2.0
113,113,4536288.0,227.48883,1724.7836,1739.7211,-82.48639,85.63350508068106,-0.013983544,-8.583881e-06,2.0341591e-05,1.9993779e-05,2.0,40,0.018683266,1.0739231e-05,0,-1.8904062421546778e-10,2.0
114,114,3925558.5,295.46954,1994.3899,2016.1581,-81.57291,86.18548292023479,-0.013993251,8.719134e-06,2.0328653e-05,1.9892052e-05,2.0,40,0.018882155,9.365414e-06,0,1.4192403247736962e-10,2.0
115,115,3397055.0,363.77377,2245.6604,2274.9333,-80.79861,86.60150731334579,-0.014018274,3.6770728e-06,2.086284e-05,2.0329388e-05,2.0,40,0.02008402,8.8284e-06,0,7.766788812321302e-10,2.0
116,116,2939708.2,415.35977,2562.8528,2596.2932,-80.79416,87.15350493954611,-0.014005623,-6.0721513e-06,2.1124783e-05,2.058411e-05,2.0,40,0.02035274,7.839153e-06,0,-2.9952039540171387e-09,2.0
117,117,2543924.5,436.7984,2939.72,2971.9937,-81.54854,87.70549139243667,-0.014022857,-6.765859e-07,2.1281878e-05,2.0822177e-05,2.0,40,0.020516507,6.903281e-06,0,-2.8317092890332143e-09,2.0
118,118,2201436.2,486.24783,3355.5427,3390.5906,-81.75473,88.25750104532926,-0.014040427,5.612035e-06,2.1545236e-05,2.110212e-05,2.0,40,0.020455144,6.032915e-06,0,-4.345755165359399e-09,2.0
119,119,1905053.1,608.5655,3823.8425,3871.9663,-80.9572,88.809503684839,-0.014035974,-5.216302e-06,2.1848069e-05,2.1308353e-05,2.0,40,0.020939915,5.408083e-06,0,2.071579013345944e-10,2.0
120,120,1648567.4,741.19116,4401.197,4463.1714,-80.440704,89.36148704439984,-0.014025112,-2.6673647e-06,2.1935253e-05,2.1330306e-05,2.0,40,0.020012883,4.4840053e-06,0,-4.841053577658331e-09,2.0
121,121,1426616.2,804.85077,5009.111,5073.3594,-80.87189,89.91349997729412,-0.014011958,-6.31402e-06,2.2271646e-05,2.1711126e-05,2.0,40,0.020535853,4.047782e-06,0,-2.490658138595256e-09,2.0
122,122,1234551.2,794.7229,5888.9434,5942.326,-82.31427,90.63250467812759,-0.01404216,-5.611904e-07,2.1891403e-05,2.1499849e-05,2.0,41,0.019217089,3.2339337e-06,0,-6.2381205084522445e-09,2.0
123,123,1068345.5,991.06647,6764.6274,6836.8413,-81.665054,91.18548718441161,-0.0140455505,3.0123467e-06,2.2022394e-05,2.155963e-05,2.0,41,0.02021496,2.9567689e-06,0,-6.856707213419651e-09,2.0
124,124,924510.06,1175.2255,7757.0894,7845.6094,-81.38501,91.73749206392677,-0.014047358,3.0123463e-06,2.2192678e-05,2.1694714e-05,2.0,41,0.020636793,2.6303621e-06,0,-7.901518897293218e-09,2.0
125,125,800039.0,1589.5077,8866.545,9007.894,-79.83653,92.2895067835052,-0.01402908,2.6492212e-06,2.243647e-05,2.1737866e-05,2.0,41,0.020827964,2.3121902e-06,0,-8.803755619636238e-09,2.0
126,126,692334.1,1541.912,10092.969,10210.069,-81.31403,92.84150542304269,-0.014052109,3.2134615e-06,2.2776421e-05,2.2256965e-05,2.0,41,0.02026286,1.9845957e-06,0,-8.26210125668789e-09,2.0
127,127,599122.25,2058.35,11469.24,11652.4795,-79.82561,93.39350678256596,-0.014007766,1.591504e-06,2.316168e-05,2.2438957e-05,2.0,41,0.020604923,1.7682866e-06,0,-7.14421076714474e-09,2.0
128,128,518454.94,2451.1707,13113.319,13340.441,-79.41233,93.94549656883464,-0.014016634,3.2264973e-06,2.3409733e-05,2.2619413e-05,2.0,41,0.02058338,1.5429309e-06,0,-7.026986343675626e-09,2.0
129,129,448662.03,3007.3135,15011.119,15309.396,-78.67139,94.49750294166734,-0.014014436,2.4201734e-06,2.3631306e-05,2.2719445e-05,2.0,41,0.02020885,1.3200292e-06,0,-7.201961865881303e-09,2.0
130,130,388258.97,3770.9736,17089.04,17500.156,-77.556175,95.04950032793568,-0.014026956,1.5021196e-06,2.398728e-05,2.287349e-05,2.0,41,0.020839863,1.1908386e-06,0,-6.9633798989945615e-09,2.0
131,131,335983.9,4437.647,19171.818,19678.703,-76.96742,95.60249648752506,-0.014008604,2.9527566e-06,2.4708042e-05,2.3451574e-05,2.0,41,0.020439364,1.038654e-06,0,-6.979550086134366e-09,2.0
132,132,290751.2,5701.8843,21899.26,22629.385,-75.40599,96.15449080706458,-0.014046463,1.6659907e-06,2.4995923e-05,2.3408984e-05,2.0,41,0.020626526,9.1149303e-07,0,-7.096883980538118e-09,2.0
133,133,251605.19,7186.342,24671.826,25697.13,-73.76036,96.70650784662575,-0.014041526,3.124078e-06,2.5638892e-05,2.3633746e-05,2.0,41,0.02037259,7.927963e-07,0,-7.254432861323225e-09,2.0
134,134,217729.38,8965.633,27896.756,29302.074,-72.18331,97.25848301951191,-0.014020603,3.900606e-06,2.6202903e-05,2.3749806e-05,2.0,41,0.020248624,6.910304e-07,0,-7.1335026399143885e-09,2.0
135,135,188418.58,10971.381,31354.994,33219.074,-70.71462,97.81049656574032,-0.014034204,1.4983945e-06,2.6939508e-05,2.400093e-05,2.0,41,0.020688351,6.227853e-07,0,-6.995644110298886e-09,2.0
136,136,163051.14,13427.95,35128.71,37607.66,-69.08064,98.36250456524431,-0.01402459,1.8820032e-06,2.7786515e-05,2.424409e-05,2.0,41,0.020486364,5.447391e-07,0,-5.893922281134106e-09,2.0
137,137,141098.2,16698.627,38857.293,42293.418,-66.74475,98.91450528483256,-0.014010896,2.3941018e-06,2.90286e-05,2.4503359e-05,2.0,41,0.020124136,4.7582193e-07,0,-5.688882923988478e-09,2.0
138,138,122105.11,20374.84,42932.54,47521.965,-64.612015,99.33049583793036,-0.014036551,3.5635514e-06,3.0359857e-05,2.477902e-05,2.0,41,0.021935185,4.6157993e-07,0,-5.298998815472306e-09,2.0
139,139,105663.59,24617.092,46767.508,52850.742,-62.238953,99.88250821080874,-0.014035061,2.9062005e-06,3.220702e-05,2.5219519e-05,2.0,41,0.020520195,3.8826693e-07,0,-4.655935403436611e-09,2.0
140,140,91439.65,28667.275,53720.82,60891.207,-61.914085,100.46448501179111,-0.013993568,2.4373682e-07,3.2399847e-05,2.521849e-05,2.0,42,0.019994691,3.2836746e-07,0,-4.573102588120431e-09,2.0
141,141,79127.08,34159.965,57761.1,67106.24,-59.399895,100.8804851648456,-0.014015684,1.5415013e-07,3.4822468e-05,2.5799105e-05,2.0,42,0.020980434,3.1264506e-07,0,-4.517480130784691e-09,2.0
142,142,68475.36,41545.39,62031.484,74658.72,-56.187927,101.29650766463601,-0.014055556,5.324262e-07,3.7469134e-05,2.5866455e-05,2.0,42,0.021896027,2.9328157e-07,0,-4.514213759992478e-09,2.0
143,143,59252.523,49533.56,65312.56,81971.36,-52.823032,101.8484958508343,-0.014022466,3.4207753e-07,4.112601e-05,2.6108726e-05,2.0,42,0.020250961,2.4704923e-07,0,-4.3297731441296094e-09,2.0
144,144,51282.285,57057.062,69557.42,89965.234,-50.638412,102.26450477729668,-0.014065933,6.3486436e-07,4.4617915e-05,2.6671461e-05,2.0,42,0.020812154,2.313355e-07,0,-4.227513234892714e-09,2.0
145,145,44369.8,68682.34,70043.67,98098.83,-45.56223,102.68049965039245,-0.014040818,5.9426173e-07,5.1211056e-05,2.6108019e-05,2.0,42,0.021248447,2.1660246e-07,0,-4.181825621699788e-09,2.0
146,146,38403.727,78140.03,70692.6,105372.234,-42.13537,103.09650775013142,-0.014042551,6.726735e-07,5.8623642e-05,2.6385684e-05,2.0,42,0.021583274,2.0482885e-07,0,-4.122948437854805e-09,2.0
147,147,33226.32,87502.59,69921.19,112007.484,-38.6275,103.51250800988055,-0.014014324,3.441266e-07,6.850608e-05,2.6696394e-05,2.0,42,0.021799488,1.9462529e-07,0,-4.07512623144404e-09,2.0
148,148,28754.086,97138.36,68188.555,118682.516,-35.067837,103.92850634964998,-0.0140301045,5.557081e-07,8.117253e-05,2.6795296e-05,2.0,42,0.02196355,1.8506138e-07,0,-3.9884029445592535e-09,2.0
149,149,24884.947,106085.2,64846.395,124334.734,-31.436071,104.48049872255069,-0.01401738,3.6293795e-07,9.8627395e-05,2.6827753e-05,2.0,42,0.020197125,1.6244154e-07,0,-3.7815513051257335e-09,2.0
150,150,21553.963,113523.86,61404.47,129066.555,-28.408726,104.89748860898544,-0.014019019,3.7448564e-07,0.000120252196,2.7218584e-05,2.0,42,0.020199733,1.5650633e-07,0,-3.6891872987364255e-09,2.0
151,151,18631.234,120659.695,56748.91,133338.67,-25.188633,105.3134969221137,-0.014038322,3.5381194e-07,0.00015052927,2.7266147e-05,2.0,42,0.020114917,1.5085584e-07,0,-3.5918915652470358e-09,2.0
152,152,16126.037,127016.305,51509.566,137063.4,-22.07428,105.72949659518781,-0.014042215,4.7841405e-07,0.000191604,2.7060594e-05,2.0,42,0.019934703,1.4544146e-07,0,-3.525146054428034e-09,2.0
153,153,13954.87,133396.22,45584.934,140969.98,-18.866623,106.14550386826159,-0.0140717095,6.94093e-07,0.00025019178,2.6161484e-05,2.0,42,0.019825913,1.4063926e-07,0,-3.526030170115213e-09,2.0
154,154,12080.609,135725.0,42285.266,142159.48,-17.304478,106.56150223469012,-0.01403657,5.752649e-07,0.00031156038,2.7565677e-05,2.0,42,0.019385021,1.3636108e-07,0,-3.4491323684218143e-09,2.0
155,155,10447.592,139067.53,36780.293,143849.11,-14.814274,106.97750204111799,-0.014056991,6.112113e-07,0.00041417964,2.7077263e-05,2.0,42,0.018909592,1.3145436e-07,0,-3.4157148637208066e-09,2.0
156,156,9045.586,141331.1,32253.02,144964.6,-12.855263,107.40926094164024,-0.014022019,4.5513346e-07,0.00054552295,2.7004113e-05,2.0,42,0.021457983,1.4802224e-07,0,-3.3128337883200724e-09,2.0
157,157,7827.7437,143630.16,28408.21,146412.6,-11.187975,107.88993872448918,-0.0140368305,5.5272915e-07,0.00071571424,2.6944526e-05,2.0,42,0.02151184,1.4692615e-07,0,-3.338843970157552e-09,2.0
158,158,6770.8345,145012.95,24716.623,147104.28,-9.672782,108.42839763002121,-0.014024497,4.536437e-07,0.0009510181,2.684828e-05,2.0,42,0.021574581,1.4666182e-07,0,-3.172003362642586e-09,2.0
159,159,5860.798,145479.56,21577.781,147071.08,-8.436702,109.0349801388802,-0.014050228,1.0662237e-06,0.0012585098,2.7090411e-05,2.0,42,0.021588052,1.4678652e-07,0,-3.0081836620268692e-09,2.0
160,160,5071.625,146628.42,19007.816,147855.31,-7.3862076,109.71570505123964,-0.0139786815,3.9106334e-07,0.0016509761,2.7285465e-05,2.0,42,0.021671882,1.4657493e-07,0,-2.991655423951103e-09,2.0
161,161,4388.5933,147682.95,16637.867,148617.2,-6.427803,110.39582593686646,-0.01404283,5.7005093e-07,0.0021797023,2.731834e-05,2.0,42,0.021729222,1.4620933e-07,0,-2.7779278831696372e-09,2.0
162,162,3798.7827,147335.56,14054.672,148004.39,-5.4490857,111.07582775583433,-0.014025782,4.6575025e-07,0.002980952,2.688111e-05,2.0,42,0.021708608,1.4667543e-07,0,-2.5747103406931082e-09,2.0
