True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,163.94528,1115.7427,1127.7233,-81.64088,82.90649591115653,-0.019072203,-5.179004e-06,2.0377782e-05,1.9947107e-05,2.0,40,0.0094495565,8.379322e-06,0,-1.4794515420294294e-09,2.0
111,111,6057573.0,238.34583,1281.248,1303.2288,-79.46194,83.45850015067845,-0.019052211,-1.8742448e-05,2.0506346e-05,1.9820445e-05,2.0,40,0.01312419,1.0070519e-05,0,-6.550390544000232e-09,2.0
112,112,5242039.0,216.0878,1497.2996,1512.8119,-81.787865,84.01048788361368,-0.019011537,-1.7160968e-05,2.027735e-05,1.9863635e-05,2.0,40,0.018030586,1.1918591e-05,0,-7.923451351515866e-09,2.0
113,113,4536288.0,198.69579,1752.595,1763.8223,-83.53186,85.65049214815372,-0.019052882,-1.8686602e-05,2.0018795e-05,1.9764755e-05,2.0,40,0.021868065,1.2398112e-05,0,-1.5238135806351534e-08,2.0
114,114,3925558.5,260.50375,2009.9562,2026.7673,-82.61525,86.06650488791638,-0.019063054,-8.453641e-06,2.0171216e-05,1.983798e-05,2.0,40,0.019026842,9.387778e-06,0,-1.8571592374205456e-08,2.0
115,115,3397055.0,321.08435,2259.6902,2282.388,-81.91286,86.48250082766754,-0.0191041,-1.3384066e-05,2.073331e-05,2.0322987e-05,2.0,40,0.0200016,8.7634535e-06,0,-1.847752978369953e-08,2.0
116,116,2939708.2,345.3947,2606.0059,2628.7952,-82.450134,86.89849639407475,-0.0191071,-1.822147e-05,2.0774974e-05,2.0416335e-05,2.0,40,0.021988317,8.364409e-06,0,-1.8333200507380137e-08,2.0
117,117,2543924.5,390.5639,2981.2378,3006.7124,-82.53634,87.4505061803211,-0.019101677,-1.1095605e-05,2.0985499e-05,2.0631403e-05,2.0,40,0.020766208,6.906616e-06,0,-1.7953575135826306e-08,2.0
118,118,2201436.2,429.0922,3430.0486,3456.7837,-82.86945,88.00249695320963,-0.019122805,-1.4500388e-05,2.107724e-05,2.0752474e-05,2.0,40,0.020952454,6.061257e-06,0,-1.884798870402745e-08,2.0
119,119,1905053.1,486.69794,3930.3625,3960.3818,-82.94098,88.55448417938896,-0.019089231,-8.509455e-06,2.1255946e-05,2.0934931e-05,2.0,40,0.020542052,5.1868865e-06,0,-1.8337354331042652e-08,2.0
120,120,1648567.4,590.059,4554.0186,4592.086,-82.61738,89.10650009897654,-0.019111777,-1.9821533e-05,2.1199161e-05,2.0849144e-05,2.0,40,0.019822633,4.3166947e-06,0,-1.550790198422172e-08,2.0
121,121,1426616.2,702.34705,5186.914,5234.2495,-82.28862,89.65849361850997,-0.019085953,-1.5114369e-05,2.1508193e-05,2.1120937e-05,2.0,40,0.020597916,3.9352185e-06,0,-1.4050500288973725e-08,2.0
122,122,1234551.2,694.3617,6098.5273,6137.929,-83.50443,90.37749981266097,-0.019098697,-3.0267158e-06,2.1139078e-05,2.0868547e-05,2.0,41,0.019653562,3.201986e-06,0,-1.689118607429564e-08,2.0
123,123,1068345.5,809.4066,6990.954,7037.6543,-83.39575,90.92950277219643,-0.0191052,2.5073484e-07,2.1309437e-05,2.1027567e-05,2.0,41,0.020430565,2.9030361e-06,0,-1.621739170834877e-08,2.0
124,124,924510.06,947.2112,8027.6562,8083.3457,-83.270584,91.48148634508834,-0.019087033,-1.1365894e-06,2.1444688e-05,2.1150223e-05,2.0,41,0.020242276,2.5041952e-06,0,-1.6447359596745495e-08,2.0
