True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,157.294,1195.0897,1205.3966,-82.50201,82.78649649213185,0.005836655,-1.1393201e-05,1.9024816e-05,1.8700859e-05,2.0,40,0.009961488,8.2640745e-06,0,2.2420417790348227e-08,2.0
111,111,6057573.0,214.14433,1348.8765,1365.7692,-80.97915,83.33849766498315,0.005848263,-2.1440228e-05,1.9478222e-05,1.8999364e-05,2.0,40,0.01399114,1.0244147e-05,0,1.7761963157656878e-08,2.0
112,112,5242039.0,197.22499,1585.1609,1597.383,-82.90773,83.75448837809381,0.005881148,-2.1700682e-05,1.915343e-05,1.886145e-05,2.0,40,0.019280033,1.2069762e-05,0,1.4815749727960379e-08,2.0
113,113,4536288.0,175.36923,1833.8973,1842.2632,-84.53761,85.12250566974399,0.0058189738,-1.7347018e-05,1.91313e-05,1.8957942e-05,2.0,40,0.019745864,1.0718264e-05,0,2.4403136151919668e-08,2.0
114,114,3925558.5,246.677,2120.147,2134.449,-83.36353,85.53849387614173,0.005827358,-1.907732e-05,1.9122854e-05,1.8867444e-05,2.0,40,0.018656023,8.74044e-06,0,2.1312605214601002e-08,2.0
115,115,3397055.0,269.53217,2392.918,2408.0498,-83.57343,85.95448256257805,0.005789163,-1.5226003e-05,1.9578965e-05,1.9333676e-05,2.0,40,0.019628365,8.151145e-06,0,1.913392539787198e-08,2.0
116,116,2939708.2,311.5552,2737.0688,2754.7437,-83.50608,86.37050756902318,0.005781114,3.4670828e-07,1.9780176e-05,1.9527166e-05,2.0,40,0.02149657,7.803474e-06,0,1.7979514410930067e-08,2.0
117,117,2543924.5,334.9105,3163.4138,3181.093,-83.95661,86.92250143524143,0.0057757855,-4.806985e-06,1.9776977e-05,1.9557763e-05,2.0,40,0.02054946,6.459874e-06,0,1.1115693948783288e-08,2.0
118,118,2201436.2,410.73706,3597.8726,3621.2417,-83.48724,87.47448828813503,0.005778524,-2.1979758e-05,2.0094087e-05,1.9835574e-05,2.0,40,0.0208375,5.754242e-06,0,1.1677952088955044e-08,2.0
119,119,1905053.1,456.82315,4160.318,4185.323,-83.73375,88.0264910076803,0.0057450803,-1.3067776e-05,2.0081055e-05,1.9841822e-05,2.0,40,0.02065092,4.934128e-06,0,8.306496079753126e-09,2.0
120,120,1648567.4,554.5471,4753.369,4785.6074,-83.345726,88.5784992738918,0.0057679415,-2.1179727e-05,2.0310092e-05,2.0037376e-05,2.0,40,0.019897364,4.157751e-06,0,4.640521978293479e-09,2.0
121,121,1426616.2,499.53018,5622.563,5644.7095,-84.92295,89.29749432139215,0.005743236,-2.1328708e-06,1.984169e-05,1.96863e-05,2.0,41,0.019418381,3.4401028e-06,0,1.643359006509668e-09,2.0
122,122,1234551.2,574.75836,6460.1704,6485.688,-84.91581,89.84949330761447,0.005809434,-1.9354645e-06,1.9955703e-05,1.9798983e-05,2.0,41,0.020693129,3.1905836e-06,0,1.7648359461668564e-09,2.0
123,123,1068345.5,713.96796,7462.1943,7496.272,-84.53469,90.40150434712996,0.0057635442,1.4645165e-07,1.9963738e-05,1.9782643e-05,2.0,41,0.020734297,2.7659478e-06,0,2.71436173691776e-09,2.0
124,124,924510.06,899.46124,8583.465,8630.464,-84.01781,90.95350173334009,0.0057645133,5.3342486e-08,2.0056072e-05,1.9838226e-05,2.0,41,0.020226926,2.3436662e-06,0,3.2752039139000526e-09,2.0
125,125,800039.0,1019.8362,9664.781,9718.439,-83.97639,91.50550013288739,0.005753781,2.643635e-06,2.0583391e-05,2.0356725e-05,2.0,41,0.020775206,2.1377102e-06,0,3.561361297676492e-09,2.0
126,126,692334.1,1178.8552,11356.692,11417.713,-84.07377,92.05749677246786,0.005745732,5.3378545e-07,2.024196e-05,2.0026177e-05,2.0,41,0.020378739,1.7848355e-06,0,3.944825459797525e-09,2.0
127,127,599122.25,1649.0076,12956.415,13060.931,-82.746765,92.60948850537534,0.0057317773,8.727018e-07,2.0503114e-05,2.0176289e-05,2.0,41,0.020439362,1.5649239e-06,0,3.2421045285077177e-09,2.0
128,128,518454.94,2137.2605,14896.258,15048.8,-81.83514,93.16150445156381,0.005784151,5.2074995e-07,2.0607815e-05,2.019215e-05,2.0,41,0.020676626,1.3739717e-06,0,2.4192228528193818e-09,2.0
129,129,448662.03,2518.8872,16790.367,16978.258,-81.468124,93.71348693114123,0.0057538557,1.5915027e-06,2.1127134e-05,2.0662113e-05,2.0,41,0.020096797,1.1836785e-06,0,2.9503982744836477e-09,2.0
130,130,388258.97,3339.9226,19482.014,19766.232,-80.271996,94.26548805067432,0.005783089,2.4704518e-06,2.1040923e-05,2.0440179e-05,2.0,41,0.020821609,1.0533929e-06,0,1.9794905424063024e-09,2.0
131,131,335983.9,4599.497,22237.854,22708.533,-78.314186,94.81750522358925,0.0057610665,1.5468107e-06,2.130143e-05,2.0427553e-05,2.0,41,0.020551216,9.049997e-07,0,2.091187223916238e-09,2.0
132,132,290751.2,5104.703,25512.576,26018.254,-78.68534,95.36948740980006,0.005768407,7.3490037e-07,2.145578e-05,2.0629877e-05,2.0,41,0.020487921,7.8744415e-07,0,2.3757949471452376e-09,2.0
133,133,251605.19,6619.9775,28780.57,29532.107,-77.046394,95.92148314267979,0.0057416894,2.647359e-06,2.1978656e-05,2.0874259e-05,2.0,41,0.02034377,6.8886953e-07,0,3.4647887937483782e-09,2.0
134,134,217729.38,8191.6436,32603.38,33616.715,-75.89629,96.47349252886488,0.0057424717,3.5188582e-06,2.242025e-05,2.1088963e-05,2.0,41,0.020211153,6.0122335e-07,0,3.820508933611756e-09,2.0
135,135,188418.58,10271.886,36940.043,38341.6,-74.460396,97.02548343510716,0.005767215,1.2376883e-06,2.2866463e-05,2.1225273e-05,2.0,41,0.020692367,5.396845e-07,0,4.824580101642637e-09,2.0
136,136,163051.14,13029.472,41770.92,43755.88,-72.675896,97.5775003946328,0.005764737,2.4834858e-06,2.3368037e-05,2.1295975e-05,2.0,41,0.020333882,4.64712e-07,0,5.052318578965043e-09,2.0
137,137,141098.2,16651.434,46495.527,49387.29,-70.29604,98.12950466087204,0.00578253,9.304283e-07,2.4259813e-05,2.1502028e-05,2.0,41,0.020340938,4.1186584e-07,0,5.216030105850441e-09,2.0
138,138,122105.11,18972.781,52749.477,56057.77,-70.2175,98.8484966683609,0.0057620537,4.674242e-07,2.4709738e-05,2.187927e-05,2.0,42,0.018805869,3.35473e-07,0,6.210274771483368e-09,2.0
139,139,105663.59,22780.176,59198.918,63430.656,-68.95291,99.26450538143399,0.0057609733,5.5645233e-07,2.5443742e-05,2.216206e-05,2.0,42,0.02012961,3.1734828e-07,0,6.269161523131098e-09,2.0
140,140,91439.65,26755.219,65772.66,71006.23,-67.86433,99.68049772121594,0.0057883617,4.5345553e-07,2.6463069e-05,2.2705868e-05,2.0,42,0.021361666,3.0084215e-07,0,6.275989255886177e-09,2.0
141,141,79127.08,35769.168,72353.04,80711.805,-63.693592,100.23250870741322,0.005790337,3.761613e-07,2.779958e-05,2.2339716e-05,2.0,42,0.020260584,2.510238e-07,0,6.3262783513230325e-09,2.0
142,142,68475.36,43430.586,78972.8,90127.234,-61.191685,100.64849435383803,0.005780574,3.891989e-07,2.9431221e-05,2.2597023e-05,2.0,42,0.021087194,2.3397138e-07,0,6.431369992614104e-09,2.0
143,143,59252.523,52406.273,84923.74,99792.08,-58.321346,101.06450525359833,0.005798386,3.8100393e-07,3.1628904e-05,2.2906053e-05,2.0,42,0.021813132,2.1858581e-07,0,6.4243920178018104e-09,2.0
144,144,51282.285,62048.83,92839.73,111665.89,-56.24347,101.61648551982944,0.0057712765,5.592462e-07,3.3428656e-05,2.3107106e-05,2.0,42,0.02027642,1.8158114e-07,0,6.568724936021021e-09,2.0
