True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,215.54114,1342.8254,1360.014,-80.88106,82.83648393451585,0.050399926,1.9026602e-05,1.6931732e-05,1.6506452e-05,2.0,40,0.010021376,7.368583e-06,0,-1.7465879854440975e-08,2.0
111,111,6057573.0,272.07166,1515.1205,1539.3547,-79.81984,83.38849169402965,0.050449487,-4.360482e-06,1.7341008e-05,1.6799302e-05,2.0,40,0.014052232,9.128651e-06,0,-1.985829925066322e-08,2.0
112,112,5242039.0,245.2952,1750.523,1767.6256,-82.02326,83.80448363380856,0.050419528,3.6770664e-06,1.7344113e-05,1.701011e-05,2.0,40,0.019384136,1.09662005e-05,0,-2.1805713735344925e-08,2.0
113,113,4536288.0,220.33804,2020.9133,2032.8894,-83.77768,85.17250164542929,0.05039918,8.923796e-06,1.7360884e-05,1.7156935e-05,2.0,40,0.020773323,1.02186195e-05,0,-2.1807299943116474e-08,2.0
114,114,3925558.5,283.63406,2351.6743,2368.717,-83.12281,85.58849073186866,0.050369874,1.9653705e-06,1.7240169e-05,1.6992977e-05,2.0,40,0.01898728,8.01585e-06,0,-2.0931818308107037e-08,2.0
115,115,3397055.0,336.6028,2663.847,2685.0293,-82.798294,86.00450403164723,0.0503671,4.625945e-06,1.758767e-05,1.7311264e-05,2.0,40,0.019854618,7.394563e-06,0,-2.0583626315209912e-08,2.0
116,116,2939708.2,393.0847,3037.7651,3063.092,-82.62694,86.42049679803313,0.05037623,6.746962e-06,1.7822216e-05,1.7528711e-05,2.0,40,0.02160536,7.0534475e-06,0,-1.8742813198193412e-08,2.0
117,117,2543924.5,444.50748,3506.9348,3534.9934,-82.77622,86.97250717095449,0.05033056,1.1175044e-05,1.7839728e-05,1.755765e-05,2.0,40,0.020734802,5.865584e-06,0,-1.7839130303572168e-08,2.0
118,118,2201436.2,487.9401,3979.6995,4009.5005,-83.01001,87.52448282382102,0.050327897,1.2886737e-05,1.8166185e-05,1.7897144e-05,2.0,40,0.020324621,5.0691156e-06,0,-1.5070670614042808e-08,2.0
119,119,1905053.1,592.5856,4639.5615,4677.2524,-82.72134,88.0764943966933,0.050356496,2.722864e-07,1.8006782e-05,1.771774e-05,2.0,40,0.020597558,4.403773e-06,0,-8.810218202643149e-09,2.0
