True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,167.5761,1314.0815,1324.7234,-82.73267,82.72948574271868,-0.039392233,6.486572e-06,1.7302093e-05,1.7025226e-05,2.0,40,0.009996029,7.545748e-06,0,6.689317023586483e-08,2.0
111,111,6057573.0,235.83615,1549.4053,1567.2509,-81.3454,83.28149350229069,-0.039367583,-1.5244636e-05,1.695729e-05,1.657332e-05,2.0,40,0.014070061,8.977542e-06,0,6.568365192928067e-08,2.0
112,112,5242039.0,205.09872,1774.9434,1786.7539,-83.40858,83.6974882420327,-0.0393611,-1.0630478e-05,1.7105485e-05,1.6880096e-05,2.0,40,0.019384343,1.0848916e-05,0,6.664307478648605e-08,2.0
113,113,4536288.0,162.99763,2033.682,2040.2036,-85.417595,85.06550401370623,-0.039379302,-1.5882499e-06,1.7251881e-05,1.7141765e-05,2.0,40,0.020794708,1.0192467e-05,0,6.339852681289512e-08,2.0
114,114,3925558.5,214.39256,2374.661,2384.3193,-84.841125,85.48148904679692,-0.039395362,-1.1746799e-05,1.7073284e-05,1.6935242e-05,2.0,40,0.018975152,7.95831e-06,0,5.968430684727919e-08,2.0
115,115,3397055.0,268.49222,2690.1648,2703.53,-84.30046,85.8974853065738,-0.039421633,3.751492e-06,1.7415608e-05,1.7243843e-05,2.0,40,0.019828726,7.334383e-06,0,5.914737446400172e-08,2.0
116,116,2939708.2,284.22223,3062.5452,3075.7056,-84.6978,86.31348617965705,-0.039429106,-6.9838165e-06,1.767801e-05,1.7527052e-05,2.0,40,0.021620715,7.0295137e-06,0,5.5998281868452203e-08,2.0
117,117,2543924.5,335.66672,3558.9622,3574.7563,-84.61204,86.86548783254693,-0.03944755,-1.2719593e-06,1.7578934e-05,1.7423941e-05,2.0,40,0.020785928,5.814642e-06,0,5.315511201433212e-08,2.0
118,118,2201436.2,376.4621,4067.523,4084.9072,-84.71216,87.41749129872187,-0.039444495,-7.728032e-06,1.7773951e-05,1.7622991e-05,2.0,40,0.020800669,5.0920785e-06,0,5.671137354783993e-08,2.0
119,119,1905053.1,406.6096,4686.363,4703.969,-85.04118,87.96949148495332,-0.03943598,-1.6788857e-05,1.7826953e-05,1.7693754e-05,2.0,40,0.02030348,4.3162445e-06,0,5.599825102610999e-08,2.0
120,120,1648567.4,297.1583,5558.055,5565.993,-86.93963,88.68849855908775,-0.039444253,-2.0974899e-06,1.7369632e-05,1.7320122e-05,2.0,41,0.018941488,3.4030743e-06,0,5.383468609303321e-08,2.0
