True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,137.57446,1162.0889,1170.204,-83.248436,82.78850147887715,0.0023066308,2.7994402e-05,1.956508e-05,1.929466e-05,2.0,40,0.009967957,8.518136e-06,0,3.249024939785188e-08,2.0
111,111,6057573.0,180.61427,1345.3706,1357.4401,-82.35383,83.3404911851103,0.0023357149,4.6259192e-06,1.952898e-05,1.9183246e-05,2.0,40,0.013961847,1.0285425e-05,0,2.962290269334976e-08,2.0
112,112,5242039.0,174.34196,1543.3013,1553.1174,-83.554794,83.75650685818982,0.0023386404,1.7979246e-06,1.9672936e-05,1.9425044e-05,2.0,40,0.019218905,1.2374406e-05,0,2.833599047759192e-08,2.0
113,113,4536288.0,150.34117,1808.4535,1814.6919,-85.24779,85.12448500315077,0.002323381,5.388768e-06,1.9400466e-05,1.9267309e-05,2.0,40,0.019718891,1.0866247e-05,0,3.2550680034959434e-08,2.0
114,114,3925558.5,195.20511,2092.8167,2101.9006,-84.67122,85.54049648958608,0.0023228033,3.435198e-06,1.9372581e-05,1.9205494e-05,2.0,40,0.01861581,8.856656e-06,0,3.063286186399949e-08,2.0
115,115,3397055.0,238.4359,2370.9885,2382.9475,-84.257416,85.95648274934501,0.0022689577,1.17518075e-05,1.9760053e-05,1.9562216e-05,2.0,40,0.019608993,8.228882e-06,0,2.9109424511939923e-08,2.0
116,116,2939708.2,279.33212,2730.9214,2745.17,-84.15981,86.3724826357502,0.0022892104,8.049338e-06,1.9824703e-05,1.9619441e-05,2.0,40,0.021517193,7.838201e-06,0,3.060676975670794e-08,2.0
117,117,2543924.5,275.53394,3157.8022,3169.8003,-85.01329,86.92449895534082,0.0022694608,-1.2453799e-05,1.9812122e-05,1.9662424e-05,2.0,40,0.020575697,6.491165e-06,0,2.93552194762733e-08,2.0
118,118,2201436.2,346.5523,3594.3179,3610.9858,-84.49275,87.4764917815628,0.0022811801,7.4911763e-06,2.0113957e-05,1.9928699e-05,2.0,40,0.020969065,5.8070195e-06,0,3.04816745040447e-08,2.0
119,119,1905053.1,379.48376,4150.895,4168.2056,-84.77642,88.02849010107457,0.0022973712,1.0909237e-06,2.0126641e-05,1.9959816e-05,2.0,40,0.020456368,4.9077157e-06,0,3.2148058994035326e-08,2.0
120,120,1648567.4,385.14487,4809.405,4824.802,-85.42143,88.58049868731177,0.0022488167,8.514476e-06,2.0073454e-05,1.994554e-05,2.0,40,0.020015424,4.148445e-06,0,3.4925061657325784e-08,2.0
121,121,1426616.2,297.4583,5605.9976,5613.884,-86.96269,89.29950072147767,0.0023164314,-3.4978482e-06,1.990032e-05,1.9844449e-05,2.0,41,0.01930062,3.4380155e-06,0,3.122522137344753e-08,2.0
122,122,1234551.2,377.3893,6468.2173,6479.2173,-86.66085,89.85148181437398,0.0022437302,1.2209294e-06,1.9930876e-05,1.9863259e-05,2.0,41,0.020464815,3.158532e-06,0,3.122882153344383e-08,2.0
123,123,1068345.5,445.7853,7504.5596,7517.788,-86.60052,90.40349578726455,0.0022602007,1.2730707e-06,1.9851039e-05,1.9781239e-05,2.0,41,0.020857705,2.774447e-06,0,3.158954872611651e-08,2.0
124,124,924510.06,492.09085,8653.512,8667.492,-86.74532,90.95550426680711,0.0022597536,1.6324701e-06,1.9893725e-05,1.98296e-05,2.0,41,0.020240076,2.3351708e-06,0,3.177785329524438e-08,2.0
125,125,800039.0,336.24387,9616.407,9622.284,-87.99743,91.5074883463385,0.0022414387,8.2056107e-07,2.0686934e-05,2.0661671e-05,2.0,41,0.020724677,2.1538208e-06,0,3.26967600065389e-08,2.0
126,126,692334.1,733.8568,11521.093,11544.441,-86.35536,92.05950146590476,0.0022548349,1.124096e-06,1.9953117e-05,1.9872487e-05,2.0,41,0.02042316,1.7690904e-06,0,3.239373957626965e-08,2.0
127,127,599122.25,1010.2164,13214.378,13252.937,-85.62834,92.61148223877535,0.0022611322,2.0160803e-06,2.0102865e-05,1.998606e-05,2.0,41,0.020510837,1.5476447e-06,0,3.2815133014025045e-08,2.0
128,128,518454.94,1190.8414,15144.579,15191.326,-85.504,93.16349770498346,0.0022194905,1.790756e-06,2.0269914e-05,2.0145355e-05,2.0,41,0.020542338,1.3522413e-06,0,3.4065260018216745e-08,2.0
129,129,448662.03,1638.2137,17418.03,17494.898,-84.626976,93.71548407789669,0.0022026286,6.939329e-07,2.0365815e-05,2.018724e-05,2.0,41,0.020206891,1.1550162e-06,0,3.537289982306962e-08,2.0
130,130,388258.97,2204.7434,20158.16,20278.371,-83.75824,94.26748373077135,0.0022640575,-9.950643e-07,2.0335168e-05,2.0094787e-05,2.0,41,0.02083665,1.0275307e-06,0,3.6421248792312295e-08,2.0
131,131,335983.9,2794.152,22394.27,22567.91,-82.88791,94.81950807696558,0.0022389418,2.4369324e-06,2.1152648e-05,2.0828396e-05,2.0,41,0.020205483,8.9531915e-07,0,3.678293908806138e-08,2.0
132,132,290751.2,3328.8958,26483.775,26692.17,-82.83574,95.37148572984734,0.002243637,1.2935536e-06,2.0668966e-05,2.0347486e-05,2.0,41,0.020508587,7.683372e-07,0,3.698317897483842e-08,2.0
133,133,251605.19,4329.415,30341.613,30648.938,-81.87934,95.92349220943288,0.0022875522,-5.3510666e-07,2.0847878e-05,2.0431882e-05,2.0,41,0.020386096,6.6514855e-07,0,3.7790313175319866e-08,2.0
134,134,217729.38,5555.279,34562.754,35006.36,-80.868935,96.4754840489768,0.0022410287,1.1147841e-06,2.114924e-05,2.0616624e-05,2.0,41,0.020262804,5.788321e-07,0,3.868020080108418e-08,2.0
135,135,188418.58,7317.2104,39381.902,40055.91,-79.474396,97.02749119521468,0.0022686596,7.03243e-07,2.1448637e-05,2.0732892e-05,2.0,41,0.02090579,5.2191524e-07,0,3.9795348126049466e-08,2.0
136,136,163051.14,9097.211,44971.56,45882.46,-78.564064,97.57950639477349,0.002255133,1.7274409e-06,2.170493e-05,2.085167e-05,2.0,41,0.020262891,4.416261e-07,0,3.845642500869199e-08,2.0
137,137,141098.2,11927.999,51290.51,52659.223,-76.908134,98.13150639427477,0.002291912,3.958331e-06,2.1991842e-05,2.0863481e-05,2.0,41,0.020248033,3.8451068e-07,0,3.919509843278648e-08,2.0
138,138,122105.11,12252.593,58685.277,59950.71,-78.206924,98.85050421513733,0.0022318806,3.860324e-07,2.221044e-05,2.1282704e-05,2.0,42,0.018781222,3.1327772e-07,0,3.919800691377557e-08,2.0
139,139,105663.59,15816.492,65976.52,67845.875,-76.51894,99.26748692823458,0.0023033146,2.3256163e-07,2.2829969e-05,2.1589236e-05,2.0,42,0.02009895,2.9624425e-07,0,3.92801383153759e-08,2.0
140,140,91439.65,20294.95,75926.31,78591.92,-75.03482,99.68349233470508,0.0022570894,4.6295432e-07,2.2924152e-05,2.1395483e-05,2.0,42,0.021362498,2.7181545e-07,0,3.935692182419477e-08,2.0
141,141,79127.08,25503.684,86311.52,90000.65,-73.53843,100.2354902542138,0.0022488914,3.5828108e-07,2.3303772e-05,2.1432485e-05,2.0,42,0.020276755,2.2529565e-07,0,3.946831653729493e-08,2.0
142,142,68475.36,32883.535,97014.875,102436.38,-71.27573,100.65148432730348,0.0022802672,5.9575143e-07,2.395783e-05,2.1488973e-05,2.0,42,0.021133976,2.0631317e-07,0,3.952379618746546e-08,2.0
143,143,59252.523,40738.055,107854.7,115291.914,-69.30783,101.06749773377669,0.002277435,2.625481e-07,2.4904291e-05,2.179489e-05,2.0,42,0.021816885,1.892317e-07,0,3.956200493899371e-08,2.0
144,144,51282.285,49084.066,120959.25,130538.83,-67.91317,101.61949786663172,0.0022661444,3.5585987e-07,2.5657462e-05,2.2029895e-05,2.0,42,0.020250037,1.5512654e-07,0,3.969808505428496e-08,2.0
145,145,44369.8,65751.43,132936.3,148308.16,-63.682606,102.03550644640927,0.0023092767,3.5287985e-07,2.6982927e-05,2.1679345e-05,2.0,42,0.020645592,1.392074e-07,0,3.980385008035587e-08,2.0
146,146,38403.727,82746.195,143691.72,165813.88,-60.064117,102.45150350613403,0.002303594,2.303266e-07,2.8841314e-05,2.1658918e-05,2.0,42,0.020958856,1.263999e-07,0,3.990455332789544e-08,2.0
147,147,33226.32,100379.44,154543.38,184281.55,-56.99536,102.86748893922777,0.002268641,4.4190787e-07,3.0994703e-05,2.1798398e-05,2.0,42,0.021194488,1.1501145e-07,0,3.9966452233969896e-08,2.0
148,148,28754.086,121748.5,164021.55,204268.86,-53.41456,103.2834831456712,0.0022652315,4.439567e-07,3.3745793e-05,2.1757909e-05,2.0,42,0.021314248,1.0434409e-07,0,4.000845847094069e-08,2.0
149,149,24884.947,144836.4,170187.17,223475.4,-49.600826,103.6994827920862,0.0023036872,4.1415657e-07,3.7579983e-05,2.1794693e-05,2.0,42,0.021386683,9.5700386e-08,0,4.009872783843744e-08,2.0
150,150,21553.963,169759.55,171101.98,241027.38,-45.22565,104.11649739855784,0.002286807,3.8528768e-07,4.3155676e-05,2.1747797e-05,2.0,42,0.021329349,8.849347e-08,0,4.0166538673598415e-08,2.0
151,151,18631.234,193233.27,172844.06,259256.95,-41.812122,104.53249016500195,0.0022829128,3.9255136e-07,4.9422422e-05,2.196707e-05,2.0,42,0.021223957,8.186456e-08,0,4.015957294434615e-08,2.0
152,152,16126.037,217514.33,167820.27,274729.2,-37.6515,104.94850834473618,0.0022654736,5.538449e-07,5.8809575e-05,2.194458e-05,2.0,42,0.021022705,7.652156e-08,0,4.024649106021104e-08,2.0
153,153,13954.87,238405.56,153116.56,283340.6,-32.710705,105.36448399120127,0.002260443,5.696762e-07,7.448558e-05,2.1751986e-05,2.0,42,0.020749765,7.3232584e-08,0,4.035664892759744e-08,2.0
154,154,12080.609,258321.58,152454.45,299954.0,-30.547962,105.78048502429738,0.0022868442,5.9277136e-07,8.6415406e-05,2.232349e-05,2.0,42,0.020366466,6.789863e-08,0,4.045942430971077e-08,2.0
155,155,10447.592,277036.88,140599.66,310672.97,-26.90836,106.19650731069851,0.0022584866,3.7597502e-07,0.00010834769,2.2191223e-05,2.0,42,0.01982864,6.38248e-08,0,4.056350338845485e-08,2.0
156,156,9045.586,291228.12,128475.33,318307.6,-23.804682,106.76925152455806,0.0022478292,5.3261226e-07,0.00013695052,2.2310493e-05,2.0,42,0.020216955,6.3513895e-08,0,4.0560727039163936e-08,2.0
157,157,7827.7437,304261.94,114510.914,325097.03,-20.624147,107.24993970742798,0.0022916326,4.2719418e-07,0.00017755653,2.2029488e-05,2.0,42,0.02024826,6.2283746e-08,0,4.066809699566528e-08,2.0
158,158,6770.8345,314913.16,105153.29,332005.28,-18.464785,107.78840802630293,0.0022561762,4.7617826e-07,0.00022353992,2.2423883e-05,2.0,42,0.020264149,6.103562e-08,0,4.0744668869469406e-08,2.0
159,159,5860.798,322658.0,93620.66,335965.78,-16.180323,108.39396192177082,0.0023027929,3.5679122e-07,0.00029006257,2.2523971e-05,2.0,42,0.020279204,6.0360925e-08,0,4.0896660119776073e-08,2.0
