True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,182.49194,1354.7104,1366.9469,-82.32792,2.471494784025708,-0.017584683,1.9008e-05,1.6783188e-05,1.6484059e-05,1.0,40,0.00999412,7.311272e-06,0,1.3019346961679428e-08,1.0
1,1,6057573.0,212.7834,1534.56,1549.2422,-82.10566,3.023486276884796,-0.017601674,-1.1821244e-05,1.7121334e-05,1.6798354e-05,1.0,40,0.014056579,9.073196e-06,0,7.114480821687468e-09,1.0
2,2,5242039.0,205.11058,1792.8002,1804.4951,-83.47328,3.43949037665152,-0.017607357,8.272597e-06,1.693511e-05,1.6716307e-05,1.0,40,0.019407904,1.075531e-05,0,5.7690321960421895e-09,1.0
3,3,4536288.0,147.39577,2088.2693,2093.4646,-85.9626,5.0794905612419825,-0.017617531,1.2700685e-05,1.6800917e-05,1.6717633e-05,1.0,40,0.020937098,1.0001171e-05,0,4.1292425833856014e-10,1.0
4,4,3925558.5,216.50092,2423.419,2433.0706,-84.89492,5.495487727661384,-0.017642273,1.332789e-06,1.6729779e-05,1.6597312e-05,1.0,40,0.019022286,7.818222e-06,0,-1.1164509027771096e-10,1.0
5,5,3397055.0,267.9624,2732.8074,2745.9133,-84.399826,5.911501560738543,-0.017615555,5.109687e-06,1.7143857e-05,1.6980595e-05,1.0,40,0.01986456,7.234227e-06,0,-1.1183864537416512e-09,1.0
6,6,2939708.2,295.65808,3112.508,3126.5188,-84.57374,6.327478113846155,-0.017653974,2.6537782e-06,1.7394239e-05,1.7238692e-05,1.0,40,0.021631887,6.9188413e-06,0,-1.9100190438052776e-09,1.0
7,7,2543924.5,273.15283,3599.661,3610.0098,-85.660545,6.879486006713705,-0.017637094,8.92379e-06,1.7380182e-05,1.7280678e-05,1.0,40,0.02073969,5.7450507e-06,0,-6.1676225496967165e-09,1.0
8,8,2201436.2,297.88947,4128.0767,4138.811,-85.87259,7.4314940329350065,-0.017643616,2.5793536e-06,1.751323e-05,1.7422504e-05,1.0,40,0.020320265,4.9096866e-06,0,-1.431814408003144e-09,1.0
9,9,1905053.1,353.84097,4817.221,4830.199,-85.79898,7.983492485858733,-0.017659917,1.0691303e-05,1.7342689e-05,1.724962e-05,1.0,40,0.020704687,4.2865076e-06,0,1.1304659618645018e-09,1.0
10,10,1648567.4,184.5991,5664.17,5667.1772,-88.133354,8.703486493352102,-0.01762802,-4.7739405e-07,1.7044222e-05,1.7026137e-05,1.0,41,0.018991064,3.3510623e-06,0,-1.1730050622165638e-09,1.0
11,11,1426616.2,140.2464,6533.187,6534.6924,-88.77023,9.119489633099874,-0.017653098,1.2283782e-06,1.7076069e-05,1.7068201e-05,1.0,41,0.021899233,3.3512263e-06,0,-1.0169046347875287e-09,1.0
12,12,1234551.2,125.40818,7502.4062,7503.454,-89.04235,9.671485099330312,-0.017641528,3.6250026e-06,1.7183453e-05,1.7178652e-05,1.0,41,0.021057928,2.8064312e-06,0,2.3741653183467152e-11,1.0
13,13,1068345.5,211.49062,8638.965,8641.553,-88.59762,10.223503152228659,-0.01763497,2.4145857e-06,1.7244345e-05,1.7234019e-05,1.0,41,0.020782802,2.4049848e-06,0,4.489576568652688e-10,1.0
