True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,183.20593,1881.9775,1890.8738,-84.43991,35.340461491869064,-0.2329105,-3.7463878e-06,1.2081101e-05,1.196769e-05,2.0,40,0.009425395,4.984677e-06,0,8.294613560050716e-10,2.0
111,111,6057573.0,281.23407,2010.6506,2030.2238,-82.037575,35.62646022546687,-0.23300107,1.497052e-05,1.306727e-05,1.2816526e-05,2.0,40,0.013154787,6.4794763e-06,0,-1.503753834542919e-09,2.0
112,112,5242039.0,264.92105,2423.875,2438.3096,-83.76253,35.776178579282714,-0.23292203,1.379839e-05,1.2525921e-05,1.23780555e-05,2.0,40,0.018425478,7.5566604e-06,0,9.81234586658787e-10,2.0
113,113,4536288.0,236.55026,2831.5898,2841.4534,-85.22462,37.01447333142278,-0.2328984,-1.781216e-05,1.239051e-05,1.2304637e-05,2.0,40,0.01932896,6.8024906e-06,0,-1.5002964526657218e-08,2.0
114,114,3925558.5,197.13058,3191.5386,3197.6208,-86.46552,37.16417608517804,-0.23299497,2.6115156e-05,1.2703359e-05,1.26550785e-05,2.0,40,0.01839968,5.7541783e-06,0,-1.645571459173518e-08,2.0
115,115,3397055.0,281.56387,3674.1719,3684.9446,-85.6178,37.31418075898546,-0.23290199,-5.158094e-05,1.2751407e-05,1.2676959e-05,2.0,40,0.019635215,5.3284966e-06,0,-1.5561705559551953e-08,2.0
116,116,2939708.2,286.10593,4190.744,4200.499,-86.09443,37.46416031275294,-0.2329741,-1.867331e-06,1.2918877e-05,1.2858943e-05,2.0,40,0.021688344,5.163278e-06,0,-1.602619358737625e-08,2.0
117,117,2543924.5,302.4908,4780.862,4790.422,-86.379654,37.75046384634334,-0.23300587,-3.3929816e-06,1.3086084e-05,1.3033906e-05,2.0,40,0.020700758,4.321281e-06,0,-1.7308465819007444e-08,2.0
118,118,2201436.2,12.9086685,5666.247,5666.2617,-89.86947,38.20345024121343,-0.23296092,-2.5183422e-06,1.2759055e-05,1.2758989e-05,2.0,41,0.020189973,3.5631908e-06,0,-2.205053136693586e-08,2.0
119,119,1905053.1,56.86326,6547.618,6547.865,-89.502426,38.48945708145038,-0.23299901,3.0086198e-06,1.2759383e-05,1.2758421e-05,2.0,41,0.020305881,3.1011452e-06,0,-2.231929850293124e-08,2.0
120,120,1648567.4,85.80532,7683.67,7684.149,-89.36019,38.775472535024164,-0.23288713,-8.90188e-06,1.25644865e-05,1.256292e-05,2.0,41,0.02016616,2.6243845e-06,0,-2.1449930325111962e-08,2.0
121,121,1426616.2,-125.48298,8671.534,8672.442,-90.82905,39.061462068610126,-0.23289026,-3.6505337e-06,1.28652155e-05,1.2862521e-05,2.0,41,0.020239638,2.3337875e-06,0,-2.079648369611448e-08,2.0
122,122,1234551.2,-0.085898794,10240.235,10240.235,-90.00048,39.34745285552344,-0.23290402,-2.7343406e-06,1.2589285e-05,1.2589285e-05,2.0,41,0.020783164,2.0295593e-06,0,-2.0637908105483544e-08,2.0
123,123,1068345.5,-188.56514,11697.009,11698.528,-90.92358,39.633454495779006,-0.2328637,-9.099271e-06,1.2736017e-05,1.2732708e-05,2.0,41,0.020655239,1.7656271e-06,0,-2.1464016667554277e-08,2.0
124,124,924510.06,-304.6327,13436.627,13440.08,-91.298775,39.91946146936971,-0.23299721,1.0328474e-06,1.2812038e-05,1.2805455e-05,2.0,41,0.020343155,1.5136186e-06,0,-2.147015964376949e-08,2.0
125,125,800039.0,4293.9155,13859.913,14509.821,-72.78659,40.2054722563189,-0.23288324,-1.076406e-05,1.4353191e-05,1.3096201e-05,2.0,41,0.020231582,1.3943371e-06,0,-2.2549879993654838e-08,2.0
126,126,692334.1,200.04314,17994.67,17995.781,-89.36308,40.4914654699096,-0.23290715,-7.0080437e-06,1.2774989e-05,1.2773411e-05,2.0,41,0.020299943,1.128039e-06,0,-2.270439027642092e-08,2.0
127,127,599122.25,-451.2056,20245.734,20250.762,-91.27671,40.77746079015196,-0.23290725,-6.101162e-06,1.3121128e-05,1.31146135e-05,2.0,41,0.020685012,1.0214436e-06,0,-2.2336459559100438e-08,2.0
128,128,518454.94,464.23257,23640.031,23644.59,-88.87499,41.06345976373996,-0.23293658,-4.4345115e-06,1.2985572e-05,1.2980565e-05,2.0,41,0.020364948,8.612942e-07,0,-2.2483043652878107e-08,2.0
129,129,448662.03,531.43726,27241.613,27246.797,-88.8824,41.34945065728971,-0.23302412,1.7255779e-06,1.3021709e-05,1.3016755e-05,2.0,41,0.020123173,7.385519e-07,0,-2.3061963729395668e-08,2.0
130,130,388258.97,1085.4603,30903.64,30922.697,-87.988365,41.635471177549334,-0.23294502,1.8555643e-07,1.3264443e-05,1.3248098e-05,2.0,41,0.020786747,6.722165e-07,0,-2.172633269241084e-08,2.0
131,131,335983.9,-755.0389,39813.105,39820.266,-91.086464,41.92146932447213,-0.23300344,3.645485e-06,1.1898044e-05,1.1893766e-05,2.0,41,0.020375399,5.1168416e-07,0,-2.106613606396706e-08,2.0
132,132,290751.2,-949.096,43270.273,43280.68,-91.25653,42.20747131141252,-0.23281252,-1.3112268e-05,1.2650537e-05,1.2644455e-05,2.0,41,0.020558905,4.7501345e-07,0,-2.1407792044164035e-08,2.0
133,133,251605.19,1800.748,49061.945,49094.98,-87.89799,42.49346207160852,-0.2328863,-8.5089605e-06,1.2893053e-05,1.2875708e-05,2.0,41,0.020361273,4.1473228e-07,0,-2.148247486049362e-08,2.0
134,134,217729.38,1118.6437,55112.633,55123.984,-88.837204,42.94644833312486,-0.2329496,-9.052469e-07,1.3263311e-05,1.3257849e-05,2.0,42,0.019462768,3.5307258e-07,0,-2.0668510961801545e-08,2.0
135,135,188418.58,895.11285,66838.12,66844.11,-89.23273,43.09618044694071,-0.23301083,-1.501846e-07,1.263782e-05,1.2635555e-05,2.0,42,0.021680998,3.2435165e-07,0,-2.0668044596969556e-08,2.0
136,136,163051.14,1444.7742,75852.57,75866.33,-88.90881,43.382464700524,-0.23287277,-1.2261577e-06,1.2868443e-05,1.2863776e-05,2.0,42,0.02082662,2.745173e-07,0,-2.078835791448509e-08,2.0
137,137,141098.2,-342.18542,85561.36,85562.05,-90.22914,43.66845450075925,-0.23299314,-1.6359469e-07,1.3183204e-05,1.3182992e-05,2.0,42,0.020298932,2.3724225e-07,0,-2.0742009225679148e-08,2.0
138,138,122105.11,-3996.3064,100629.21,100708.53,-92.2742,43.818164241238264,-0.23302382,5.6554203e-08,1.2952758e-05,1.2932362e-05,2.0,42,0.021975914,2.1821303e-07,0,-2.0766737960841335e-08,2.0
139,139,105663.59,534.9361,116009.93,116011.164,-89.7358,44.10446764147491,-0.23297827,-4.0385876e-07,1.2983734e-05,1.2983457e-05,2.0,42,0.020438246,1.7617482e-07,0,-2.0849683758313297e-08,2.0
140,140,91439.65,1810.3448,128267.33,128280.1,-89.19139,44.254167221923126,-0.2329615,-6.6163034e-07,1.3569677e-05,1.3566976e-05,2.0,42,0.021577714,1.682078e-07,0,-2.0899108823848698e-08,2.0
141,141,79127.08,1708.7615,151370.52,151380.16,-89.35324,44.5404693155142,-0.23297568,-1.7290725e-07,1.32878195e-05,1.3286127e-05,2.0,42,0.020307636,1.3414991e-07,0,-2.079547042427363e-08,2.0
142,142,68475.36,-4411.986,175641.52,175696.92,-91.43893,44.69018246929045,-0.2328834,-5.414983e-07,1.3233009e-05,1.3224665e-05,2.0,42,0.021164699,1.2046141e-07,0,-2.0790555003971335e-08,2.0
