True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
96,96,7000018.5,184.01859,1539.5521,1550.5107,-83.18392,325.3495035332453,-0.17725529,2.6729242e-05,1.4768165e-05,1.4560148e-05,3.0,40,0.00936149,6.0376815e-06,0,-3.8154177975310905e-08,8.337957,0.7245453,39.826626,71.560196,4.7430887,508.1377,0.00019778936,2.8145878e-05,0.00027987626,0.0006918895,1.9144363e-05,9.740389e-05,8.445033e-07,2.7351783e-07,7.6352194e-07,3.992407e-06,2.3062786e-07,1.0602007e-06,3.0
97,97,4766293.0,63.535175,2372.6404,2373.491,-88.46609,327.23551786280586,-0.17715481,-4.4162684e-06,1.4073673e-05,1.4063588e-05,3.0,40,0.022025825,9.279928e-06,0,-3.4860752876239e-08,5.1157446,0.37492895,15.174035,37.68718,5.182506,180.69244,0.0010876424,0.00017100382,6.2703104e-05,4.34356e-05,0.00020658021,6.836869e-05,3.2020464e-06,8.8550104e-07,6.8674444e-07,3.0964586e-07,6.710647e-07,2.0310253e-07,3.0
98,98,3245370.0,243.16312,3358.1885,3366.9805,-85.8585,328.22250660302234,-0.17727807,1.2142516e-05,1.46032935e-05,1.4527128e-05,3.0,40,0.019283677,5.727291e-06,0,-2.9130124338664822e-08,3.7694669,0.23356003,18.43077,29.388884,2.405718,232.31201,0.00070782215,5.6104444e-05,0.0001276662,5.8140624e-05,2.410198e-05,3.3916498e-05,1.4544767e-06,2.3015139e-07,4.3935657e-07,5.0302094e-07,1.634639e-07,3.2927213e-07,3.0
99,99,2209768.5,179.96066,4813.7974,4817.16,-87.85903,329.0735077634745,-0.17730491,3.24224e-05,1.4961858e-05,1.4940977e-05,3.0,40,0.020946825,4.3483765e-06,0,-2.9462829290858454e-08,0.8860925,0.13272107,16.727037,21.869524,1.7053788,208.59827,0.00013383478,1.7466815e-05,0.00010535666,4.0947405e-05,2.2248196e-05,3.2497257e-05,7.914714e-08,1.1668443e-07,7.741975e-07,3.0770494e-07,1.7771018e-07,3.6494276e-07,3.0
100,100,1504630.0,87.66545,7290.665,7291.192,-89.31109,330.09051077175536,-0.17735511,5.7553216e-06,1.4508525e-05,1.4506429e-05,3.0,41,0.020396963,2.79748e-06,0,-3.1383437483475263e-08,0.79749346,0.27866888,23.009033,23.918951,1.9285994,209.02666,6.233924e-05,0.00013082982,2.9377612e-05,5.2513315e-05,3.4009085e-05,1.9585825e-05,7.6068666e-08,5.8363895e-07,1.515693e-07,4.2373657e-07,2.221072e-07,9.113993e-08,3.0
101,101,1024504.5,14.160485,10454.151,10454.161,-89.92239,330.9414962255105,-0.17728831,3.0440035e-06,1.4859956e-05,1.48599265e-05,3.0,41,0.021395255,2.046578e-06,0,-2.9812840377485255e-08,0.53255,0.23949064,20.579832,17.793373,1.3884509,185.83377,3.382112e-05,5.6390352e-05,3.11441e-05,5.4984546e-05,3.427928e-05,4.0572817e-05,3.5024136e-08,1.5422718e-07,9.565323e-08,2.2074693e-07,2.6945668e-07,1.2642299e-07,3.0
102,102,697585.75,71.89179,15663.027,15663.192,-89.73702,331.79251917262445,-0.17722045,-4.559276e-06,1.4566218e-05,1.4565911e-05,3.0,41,0.021483453,1.3715884e-06,0,-2.955035665218553e-08,1.1887918,0.17372778,20.524343,64.03641,1.0703111,224.05943,3.6657013e-05,2.1148398e-05,0.00024497494,2.8318726e-05,2.2700404e-05,1.1800859e-05,5.3092744e-08,7.107675e-08,8.5783853e-07,9.122998e-08,7.298114e-08,6.675814e-08,3.0
103,103,474985.16,30.724577,22569.574,22569.596,-89.922005,332.64351558635826,-0.17723775,-2.3600433e-06,1.4846248e-05,1.484622e-05,3.0,41,0.021214185,9.3994527e-07,0,-2.929761467461193e-08,0.5256477,0.2039746,16.673899,17.258507,1.4849072,180.80782,6.3621774e-05,4.8678485e-05,4.663105e-05,2.72357e-05,2.552929e-05,1.841738e-05,4.5244253e-08,8.023896e-08,7.1894654e-08,3.6527275e-08,7.108789e-08,4.7886417e-08,3.0
104,104,323420.8,218.31767,33327.887,33328.6,-89.62469,333.4945065068023,-0.17732768,6.6529055e-06,1.4765371e-05,1.4764739e-05,3.0,41,0.021353029,6.4068183e-07,0,-2.9688166998687037e-08,0.5143561,0.20391107,20.123138,11.251699,1.0579286,149.59802,6.119579e-05,4.2124226e-05,1.7444667e-05,3.897999e-05,2.4807248e-05,5.8378213e-05,4.2091617e-08,3.3976285e-08,1.7039048e-08,1.6682137e-08,5.0355617e-08,7.007803e-08,3.0
105,105,220216.0,1976.261,50086.004,50124.977,-87.74043,334.3455092405493,-0.17726192,-1.1738347e-06,1.4429621e-05,1.440719e-05,3.0,41,0.02134151,4.25766e-07,0,-2.9586119644918676e-08,0.6321146,0.5004355,21.064213,12.926495,3.0691152,134.4124,3.4934434e-05,3.7873906e-05,3.275229e-05,5.0317572e-05,6.5876295e-05,6.807371e-05,6.1539134e-09,2.1874389e-08,2.2837812e-08,4.7870586e-08,3.315462e-08,5.8574365e-08,3.0
