True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,143.17046,1106.9587,1116.179,-82.63046,2.4684760638920125,-0.038241673,2.736182e-05,2.0539484e-05,2.0201553e-05,1.0,40,0.009916064,8.883938e-06,0,1.0386899247868719e-08,1.0
1,1,6057573.0,212.59715,1312.2899,1329.3993,-80.79776,3.0204909167659935,-0.038203925,-3.045072e-07,2.0021274e-05,1.9509242e-05,1.0,40,0.013990006,1.0523555e-05,0,1.1141261685742797e-08,1.0
2,2,5242039.0,206.8059,1511.7506,1525.8304,-82.21035,3.436478003190132,-0.03816733,-3.932538e-06,2.0083517e-05,1.9714578e-05,1.0,40,0.019279452,1.2635383e-05,0,1.3381673420953336e-08,1.0
3,3,4536288.0,186.46852,1751.1938,1761.0935,-83.922005,4.80448030817206,-0.0382236,-1.3835936e-06,2.0034813e-05,1.9810203e-05,1.0,40,0.01946273,1.1051503e-05,0,-2.6112317447086754e-09,1.0
4,4,3925558.5,244.61635,2018.0748,2032.8461,-83.08874,5.220499927905621,-0.038214434,-4.137191e-06,2.0090069e-05,1.9799169e-05,1.0,40,0.018555384,9.127786e-06,0,-3.811430565412542e-09,1.0
5,5,3397055.0,292.3942,2281.6367,2300.2957,-82.69729,5.636496294377139,-0.03825911,-4.3418504e-06,2.0533882e-05,2.020211e-05,1.0,40,0.019572776,8.508809e-06,0,-1.2203922277838803e-09,1.0
6,6,2939708.2,306.62854,2621.9443,2639.813,-83.32973,6.052493034134386,-0.038265333,-8.230378e-06,2.0648686e-05,2.0370095e-05,1.0,40,0.021417262,8.113174e-06,0,4.3814431717079416e-10,1.0
7,7,2543924.5,385.20865,2995.3586,3020.0264,-82.67188,6.604493087012088,-0.038276028,1.3500719e-05,2.0886568e-05,2.0546757e-05,1.0,40,0.02058804,6.8171726e-06,0,1.8373090428996066e-09,1.0
8,8,2201436.2,411.08487,3444.4976,3468.9414,-83.19421,7.156494499911787,-0.03826196,9.928482e-06,2.0988824e-05,2.0694073e-05,1.0,40,0.020785613,5.991918e-06,0,-1.5480213171485956e-09,1.0
9,9,1905053.1,467.50833,4048.1711,4075.0771,-83.41231,7.708500339445891,-0.038283538,-2.4440972e-06,2.063736e-05,2.0365742e-05,1.0,40,0.020718874,5.08429e-06,0,-6.7735047084119695e-09,1.0
10,10,1648567.4,537.9434,4561.332,4592.944,-83.27386,8.260489592299564,-0.03827804,-3.2255296e-06,2.116517e-05,2.0874826e-05,1.0,40,0.019857388,4.3234554e-06,0,-5.062216814028236e-09,1.0
11,11,1426616.2,485.38193,5351.8003,5373.766,-84.81773,8.979481893155025,-0.038242027,-3.361909e-06,2.0845537e-05,2.0675468e-05,1.0,41,0.019428924,3.6155134e-06,0,-5.457713285472386e-09,1.0
12,12,1234551.2,636.11536,6172.4536,6205.145,-84.116035,9.531486826046603,-0.03827709,1.0198146e-06,2.0885898e-05,2.0666406e-05,1.0,41,0.020468794,3.298681e-06,0,-4.950243207536195e-09,1.0
13,13,1068345.5,728.07117,7119.2837,7156.416,-84.160805,10.083501892251661,-0.038299,1.3568691e-06,2.0925321e-05,2.0708734e-05,1.0,41,0.020197332,2.8222692e-06,0,-4.595782959117716e-09,1.0
14,14,924510.06,836.6524,8161.19,8203.963,-84.14671,10.63550247848616,-0.038264643,7.6097183e-07,2.1093809e-05,2.087443e-05,1.0,41,0.020734247,2.5273453e-06,0,-4.658407218821973e-09,1.0
15,15,800039.0,992.77985,9518.603,9570.235,-84.04564,11.187481198023306,-0.03829805,1.9658016e-06,2.0899493e-05,2.067459e-05,1.0,41,0.020696696,2.162611e-06,0,-4.935469794288691e-09,1.0
16,16,692334.1,1377.4714,10714.212,10802.396,-82.673965,11.73948653091793,-0.038257863,-5.946947e-07,2.1455773e-05,2.1106898e-05,1.0,41,0.020352509,1.8840734e-06,0,-5.239508342702789e-09,1.0
17,17,599122.25,1667.99,12355.481,12467.5625,-82.311554,12.291492530464893,-0.038301684,6.138592e-07,2.1500324e-05,2.1115495e-05,1.0,41,0.020477751,1.6424824e-06,0,-4.278411270547622e-09,1.0
18,18,518454.94,2139.4414,13993.944,14156.542,-81.30773,12.843496769986814,-0.03827504,-7.142275e-08,2.1936583e-05,2.1435562e-05,1.0,41,0.020612465,1.4560381e-06,0,-4.000940238442909e-09,1.0
19,19,448662.03,2588.3525,16099.435,16306.176,-80.866554,13.39548260954325,-0.038253672,5.226127e-07,2.2033839e-05,2.147866e-05,1.0,41,0.020171875,1.2370697e-06,0,-3.380452407899131e-09,1.0
20,20,388258.97,3450.0293,18432.553,18752.645,-79.39858,13.947492022445658,-0.038267925,6.1013543e-07,2.2238892e-05,2.1486174e-05,1.0,41,0.020947227,1.1170279e-06,0,-3.432589787855199e-09,1.0
21,21,335983.9,5162.531,20302.53,20948.613,-75.73318,14.49949639532133,-0.038275898,-2.1108592e-07,2.3331973e-05,2.1914988e-05,1.0,41,0.020296115,9.688524e-07,0,-3.364096566116359e-09,1.0
22,22,290751.2,5237.4316,23765.557,24335.824,-77.57187,15.051487061573425,-0.03828065,1.1650643e-06,2.3033006e-05,2.1966178e-05,1.0,41,0.020491302,8.420221e-07,0,-2.3945538563086503e-09,1.0
23,23,251605.19,6757.7803,27153.49,27981.773,-76.02453,15.603482687758515,-0.0382718,4.4812487e-07,2.3295652e-05,2.1936925e-05,1.0,41,0.020535903,7.339028e-07,0,-1.8914895299373157e-09,1.0
24,24,217729.38,8566.078,30847.611,32014.885,-74.48055,16.155489087308524,-0.038240537,-4.162844e-08,2.3696355e-05,2.1999904e-05,1.0,41,0.020298198,6.3402376e-07,0,-1.5966294754434783e-09,1.0
25,25,188418.58,10692.182,34688.453,36298.918,-72.86889,16.70848538025166,-0.038242735,-1.6673108e-06,2.4350702e-05,2.223791e-05,1.0,41,0.020670649,5.6945635e-07,0,-7.554513498556995e-10,1.0
26,26,163051.14,13311.064,39177.957,41377.492,-71.234344,17.260479406482773,-0.038244653,-2.5667446e-06,2.4914634e-05,2.2336224e-05,1.0,41,0.020304611,4.9071633e-07,0,-1.5999606326507396e-10,1.0
27,27,141098.2,16898.166,43522.867,46688.2,-68.78082,17.81248572599725,-0.038287356,1.9732493e-06,2.5916786e-05,2.2521737e-05,1.0,41,0.02013719,4.313122e-07,0,-1.2077982703652247e-11,1.0
28,28,122105.11,18866.502,49822.457,53274.97,-69.25959,18.394486126984702,-0.038257826,-1.6619852e-06,2.6161411e-05,2.2880475e-05,1.0,42,0.020356147,3.820959e-07,0,1.885795995342221e-10,1.0
29,29,105663.59,23789.37,54673.832,59625.18,-66.48545,18.810480893444037,-0.03823815,-1.5498618e-06,2.7549597e-05,2.316407e-05,1.0,42,0.021799274,3.6560516e-07,0,1.1870678809897425e-11,1.0
30,30,91439.65,29354.348,60189.3,66965.88,-64.00149,19.3625028662791,-0.038303323,-1.3898723e-06,2.8917868e-05,2.3361337e-05,1.0,42,0.020476017,3.057679e-07,0,-2.049617773638188e-10,1.0
31,31,79127.08,36315.047,65834.81,75186.47,-61.118492,19.778501126071205,-0.038306437,-1.5897197e-06,3.0551982e-05,2.3424549e-05,1.0,42,0.02150931,2.8607954e-07,0,-3.462535372287492e-10,1.0
32,32,68475.36,44633.87,70866.414,83751.01,-57.796,20.330489605636103,-0.038256895,-1.4334549e-06,3.279785e-05,2.34826e-05,1.0,42,0.020239089,2.4165786e-07,0,-5.728484816919356e-10,1.0
33,33,59252.523,53607.11,75646.734,92715.43,-54.67668,20.74650111873052,-0.038265705,-1.4500313e-06,3.5507743e-05,2.3637385e-05,1.0,42,0.020908989,2.255179e-07,0,-7.058207440909175e-10,1.0
34,34,51282.285,61682.117,80348.82,101294.7,-52.4873,21.162486925109988,-0.0383132,-1.2812877e-06,3.8625425e-05,2.4302939e-05,1.0,42,0.021446832,2.1172708e-07,0,-8.613789213924861e-10,1.0
35,35,44369.8,75339.17,80767.336,110450.68,-46.991497,21.57848171822843,-0.038290095,-1.2166583e-06,4.441165e-05,2.374825e-05,1.0,42,0.021867044,1.9798017e-07,0,-1.0216614983842299e-09,1.0
36,36,38403.727,86223.52,82052.57,119025.71,-43.58014,22.130494864453794,-0.038296543,-1.3533669e-06,5.0507348e-05,2.400255e-05,1.0,42,0.020191371,1.6963874e-07,0,-1.3043573479691872e-09,1.0
37,37,33226.32,98244.14,81221.625,127471.03,-39.581646,22.546504004189046,-0.03825326,-1.5154053e-06,5.897477e-05,2.3943441e-05,1.0,42,0.020425308,1.602349e-07,0,-1.5112793417847807e-09,1.0
38,38,28754.086,109345.3,79073.87,134940.98,-35.872852,22.962486023985548,-0.03827042,-1.4263771e-06,6.9998314e-05,2.4036199e-05,1.0,42,0.02053743,1.5219564e-07,0,-1.7289843995240201e-09,1.0
39,39,24884.947,120250.2,75437.336,141953.88,-32.101547,23.378501083730953,-0.038241543,-1.5103765e-06,8.478071e-05,2.3942817e-05,1.0,42,0.02060311,1.4513947e-07,0,-1.9254945575583173e-09,1.0
40,40,21553.963,129944.18,70292.805,147738.17,-28.411001,23.79550430350355,-0.038253333,-1.5263939e-06,0.00010504663,2.378036e-05,1.0,42,0.020598356,1.3942474e-07,0,-2.077171543862259e-09,1.0
41,41,18631.234,137291.47,65453.016,152095.52,-25.489237,24.211495443276362,-0.0383009,-1.2257844e-06,0.00013051151,2.4169927e-05,1.0,42,0.020504106,1.3481072e-07,0,-2.1851148985621264e-09,1.0
42,42,16126.037,144113.28,59857.57,156049.89,-22.555595,24.62748018305865,-0.03830569,-1.2188931e-06,0.00016488206,2.4259654e-05,1.0,42,0.020306692,1.3012948e-07,0,-2.322685942229915e-09,1.0
43,43,13954.87,147493.25,55601.312,157625.39,-20.655205,25.04350284280372,-0.038271427,-1.2518593e-06,0.00020512062,2.5522726e-05,1.0,42,0.019971676,1.2670343e-07,0,-2.393189971264636e-09,1.0
44,44,12080.609,154320.4,47802.66,161554.58,-17.211016,25.459493742586346,-0.038315266,-1.2740231e-06,0.0002756,2.4129304e-05,1.0,42,0.019703178,1.2195989e-07,0,-2.53666884426688e-09,1.0
45,45,10447.592,157776.84,42577.27,163420.8,-15.101967,25.875486802338855,-0.038281005,-1.2002677e-06,0.0003577883,2.428662e-05,1.0,42,0.019193854,1.17450504e-07,0,-2.62519838016178e-09,1.0
46,46,9045.586,160149.16,37786.074,164546.47,-13.2757435,26.307246956188465,-0.03832082,-1.1188752e-06,0.0004656415,2.4554894e-05,1.0,42,0.021823404,1.326276e-07,0,-2.7649249319539295e-09,1.0
47,47,7827.7437,162903.31,33026.867,166217.52,-11.460754,26.786928632325726,-0.03828162,-1.189837e-06,0.0006156249,2.4305096e-05,1.0,42,0.02188705,1.3167715e-07,0,-2.8631828167636147e-09,1.0
48,48,6770.8345,164665.28,28859.605,167175.16,-9.940823,27.32541975119966,-0.038271073,-1.2756985e-06,0.0008144934,2.4273078e-05,1.0,42,0.021956772,1.3133992e-07,0,-3.026703451351883e-09,1.0
49,49,5860.798,165579.72,25465.646,167526.55,-8.743404,27.931975806714036,-0.038281154,-1.1386177e-06,0.0010663718,2.4640573e-05,1.0,42,0.021982556,1.3121834e-07,0,-3.1707724543094982e-09,1.0
50,50,5071.625,166682.33,21982.283,168125.61,-7.512886,28.612699652388983,-0.0382609,-1.3321325e-06,0.0014275792,2.4404957e-05,1.0,42,0.022031287,1.3104064e-07,0,-3.335524552834812e-09,1.0
51,51,4388.5933,167080.22,20209.38,168298.0,-6.896774,29.51384222850902,-0.038275935,-1.0739885e-06,0.0017944931,2.587557e-05,1.0,42,0.020138409,1.1965923e-07,0,-3.502848792701722e-09,1.0
52,52,3798.7827,168350.95,16884.932,169195.58,-5.727386,30.193835700818454,-0.038251415,-1.2527896e-06,0.0024812834,2.4711379e-05,1.0,42,0.020191498,1.1933821e-07,0,-3.825721044659108e-09,1.0
53,53,3286.0488,168254.72,16180.585,169030.95,-5.4930825,30.873676906441688,-0.038267814,-1.2967449e-06,0.0029933115,2.7428867e-05,1.0,42,0.020194642,1.1947304e-07,0,-4.134556976847787e-09,1.0
