True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,116.17281,1141.369,1147.266,-84.18823,2.4684923572058324,0.017224051,2.0515039e-05,1.9920253e-05,1.9715999e-05,1.0,40,0.00997537,8.694906e-06,0,1.2584194651506348e-08,1.0
1,1,6057573.0,165.97804,1275.9768,1286.7267,-82.58862,3.020480063423747,0.017251123,-8.453663e-06,2.059106e-05,2.0248444e-05,1.0,40,0.01399684,1.0877866e-05,0,8.282801812520624e-09,1.0
2,2,5242039.0,191.27184,1488.9636,1501.1987,-82.67989,3.436499363189796,0.017283412,-1.556367e-07,2.0390873e-05,2.0059846e-05,1.0,40,0.019265484,1.28334e-05,0,8.020514876660754e-09,1.0
3,3,4536288.0,173.23795,1739.2196,1747.8262,-84.31172,4.804478521487908,0.017271394,-4.0255586e-06,2.0172749e-05,1.9974572e-05,1.0,40,0.019806823,1.1332261e-05,0,1.4806097390848864e-08,1.0
4,4,3925558.5,211.6578,1998.635,2009.8112,-83.95484,5.22049942126614,0.017256638,5.1654993e-06,2.0285475e-05,2.0060495e-05,1.0,40,0.018638376,9.2736955e-06,0,1.231582661063789e-08,1.0
5,5,3397055.0,271.9106,2262.7769,2279.0557,-83.147804,5.636501547676744,0.017211773,1.0165031e-06,2.0705029e-05,2.0410302e-05,1.0,40,0.019617056,8.607537e-06,0,1.2502846782455081e-08,1.0
6,6,2939708.2,313.29028,2606.0273,2624.7913,-83.144936,6.052488127461402,0.017221013,-6.6117045e-06,2.0774803e-05,2.0478838e-05,1.0,40,0.02148329,8.184761e-06,0,1.4310660184979915e-08,1.0
7,7,2543924.5,345.5051,2968.0378,2988.08,-83.36016,6.604501433641417,0.017196048,-4.099981e-06,2.107883e-05,2.079701e-05,1.0,40,0.02060789,6.8966997e-06,0,1.878788456466888e-08,1.0
8,8,2201436.2,414.8387,3428.2866,3453.2942,-83.10049,7.156477593205636,0.017211959,-1.1970058e-05,2.1088072e-05,2.0783753e-05,1.0,40,0.02082508,6.030497e-06,0,1.7451091527814494e-08,1.0
9,9,1905053.1,492.73575,3938.661,3969.3625,-82.86921,7.708501619432354,0.017210785,1.9281667e-06,2.121116e-05,2.0884308e-05,1.0,40,0.020666188,5.2064247e-06,0,9.873166677939102e-09,1.0
