True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,118.87967,1109.9147,1116.263,-83.88653,82.65648064596462,0.0005595101,4.6632467e-06,2.0484784e-05,2.0252448e-05,2.0,40,0.009947502,8.911433e-06,0,-3.123790033634336e-08,2.0
111,111,6057573.0,206.15434,1272.4841,1289.0754,-80.7975,83.20850395216257,0.0005862281,-3.5301244e-05,2.0647578e-05,2.0119502e-05,2.0,40,0.0139649175,1.08332815e-05,0,-3.549769484428837e-08,2.0
112,112,5242039.0,185.99332,1483.069,1494.6863,-82.85179,83.62449621190899,0.00061220094,-3.0687082e-05,2.0471918e-05,2.0154923e-05,2.0,40,0.019257557,1.2884012e-05,0,-4.0984041036521203e-08,2.0
113,113,4536288.0,176.84724,1728.4231,1737.4468,-84.15799,84.99249494358082,0.0005862656,-1.5933005e-05,2.0298758e-05,2.0088455e-05,2.0,40,0.019462392,1.120172e-05,0,-4.009241712638584e-08,2.0
114,114,3925558.5,237.36078,1995.4521,2009.5197,-83.21649,85.40949224334327,0.0005569578,-2.7598588e-05,2.0317832e-05,2.003436e-05,2.0,40,0.01854241,9.227285e-06,0,-4.138402664448027e-08,2.0
115,115,3397055.0,278.22894,2254.3042,2271.409,-82.964066,85.82550594312488,0.0005783098,-4.186892e-05,2.0782845e-05,2.0471018e-05,2.0,40,0.019559603,8.61122e-06,0,-4.660498161605394e-08,2.0
116,116,2939708.2,330.85086,2574.085,2595.2603,-82.67585,86.24149801619933,0.0005595477,-3.8222264e-05,2.1032602e-05,2.0690784e-05,2.0,40,0.021383606,8.2394845e-06,0,-4.864922520636049e-08,2.0
117,117,2543924.5,351.6977,2968.562,2989.323,-83.24343,86.79348444243078,0.00054611417,-2.9961468e-05,2.1075108e-05,2.078339e-05,2.0,40,0.020648468,6.9074063e-06,0,-4.6861394616692725e-08,2.0
118,118,2201436.2,396.7412,3431.4155,3454.2751,-83.40473,87.34549180199974,0.00054849905,-2.968239e-05,2.1068843e-05,2.0790909e-05,2.0,40,0.020821905,6.0278653e-06,0,-5.613564886716678e-08,2.0
119,119,1905053.1,514.1011,3842.3633,3876.6035,-82.37919,87.89749785486492,0.0005722359,-4.5199282e-05,2.1742757e-05,2.1360365e-05,2.0,40,0.0206419,5.3247386e-06,0,-5.992956765395343e-08,2.0
120,120,1648567.4,537.08093,4497.886,4529.8384,-83.1907,88.44949033440207,0.00053622073,-2.7170661e-05,2.146372e-05,2.116199e-05,2.0,40,0.01994279,4.402539e-06,0,-6.641567693168879e-08,2.0
121,121,1426616.2,688.5446,5131.8604,5177.8457,-82.35823,89.00150081395986,0.00053344463,-1.6119056e-05,2.173893e-05,2.135451e-05,2.0,40,0.02049666,3.9585307e-06,0,-6.600323955528688e-08,2.0
122,122,1234551.2,656.4407,6098.5703,6133.798,-83.85642,89.7204894881288,0.0005316932,-6.4382293e-06,2.1138927e-05,2.0896816e-05,2.0,41,0.019578122,3.1918432e-06,0,-6.54349793594575e-08,2.0
123,123,1068345.5,798.85913,6932.955,6978.828,-83.427,90.27249084771029,0.00051427254,-2.3879732e-06,2.1487705e-05,2.120615e-05,2.0,41,0.02053509,2.942484e-06,0,-6.559179595138944e-08,2.0
124,124,924510.06,1012.8136,8031.2188,8094.8296,-82.81239,90.82448252724134,0.00055835524,-3.1458817e-06,2.1435175e-05,2.1099615e-05,2.0,41,0.020220004,2.4978913e-06,0,-6.468137502045027e-08,2.0
125,125,800039.0,1194.9049,9395.461,9471.14,-82.75209,91.3764945534349,0.0005492257,-1.6542756e-06,2.1173413e-05,2.0836394e-05,2.0,41,0.020698352,2.185413e-06,0,-6.49703335671611e-08,2.0
126,126,692334.1,1427.5172,10555.324,10651.417,-82.297966,91.92850271300995,0.0005307057,-3.9428937e-06,2.1778744e-05,2.138756e-05,2.0,41,0.020247325,1.9009044e-06,0,-6.460371670101199e-08,2.0
127,127,599122.25,1950.2195,12132.528,12288.2705,-80.86822,92.4804935392167,0.00049653515,7.4235004e-07,2.1895425e-05,2.1343934e-05,2.0,41,0.020640913,1.6797248e-06,0,-6.457061365762149e-08,2.0
128,128,518454.94,2471.5474,13751.91,13972.243,-79.81135,93.03248516542953,0.00048483443,1.9824203e-08,2.2322667e-05,2.1624192e-05,2.0,41,0.020518221,1.4684987e-06,0,-6.438281784942588e-08,2.0
129,129,448662.03,3138.042,15707.476,16017.868,-78.70218,93.58448281834717,0.00051492464,-9.0567914e-07,2.2583665e-05,2.1716896e-05,2.0,41,0.020111315,1.255555e-06,0,-6.3628284387258e-08,2.0
130,130,388258.97,3904.1194,17983.223,18402.13,-77.75128,94.1365049778542,0.00053912733,-1.793938e-06,2.2794555e-05,2.1768572e-05,2.0,41,0.020879792,1.1346399e-06,0,-6.253786516174624e-08,2.0
131,131,335983.9,4250.578,22145.832,22550.062,-79.135025,94.6884901507583,0.00054872263,-2.3041762e-06,2.1389944e-05,2.0629948e-05,2.0,41,0.020566568,9.120404e-07,0,-6.2673021900183e-08,2.0
132,132,290751.2,5972.1123,23027.91,23789.72,-75.46108,95.24048519032658,0.00052927114,-1.2725283e-06,2.3770817e-05,2.2272781e-05,2.0,41,0.020714916,8.7075074e-07,0,-6.334086658778028e-08,2.0
133,133,251605.19,8101.9062,26139.34,27366.146,-72.779144,95.79249430986238,0.0005242778,-1.929878e-06,2.4199475e-05,2.2078413e-05,2.0,41,0.020521568,7.4988884e-07,0,-6.331346103050588e-08,2.0
134,134,217729.38,10130.57,29322.691,31023.357,-70.940704,96.34449718942051,0.0005311529,-1.4032385e-07,2.492868e-05,2.2270468e-05,2.0,41,0.020158112,6.497721e-07,0,-6.248794210347578e-08,2.0
135,135,188418.58,12667.587,32391.168,34780.1,-68.64045,96.8964848423202,0.0005302213,-2.2129295e-06,2.607773e-05,2.2618371e-05,2.0,41,0.020672973,5.943908e-07,0,-6.379055162518199e-08,2.0
136,136,163051.14,15886.625,36139.56,39477.242,-66.27014,97.44850644186954,0.00051989936,-6.4125027e-07,2.7009308e-05,2.2635262e-05,2.0,41,0.020404125,5.168579e-07,0,-6.491632155636198e-08,2.0
137,137,141098.2,19367.793,39514.957,44006.17,-63.888756,98.00049238806241,0.0005496915,-1.1831453e-06,2.8545464e-05,2.3016166e-05,2.0,41,0.020147685,4.5783773e-07,0,-6.487899078495553e-08,2.0
138,138,122105.11,23307.68,43453.28,49309.59,-61.79157,98.41649328786298,0.00055295206,-2.2483107e-06,2.9996025e-05,2.329411e-05,2.0,41,0.02197858,4.4572627e-07,0,-6.49200198286045e-08,2.0
139,139,105663.59,27226.094,48182.875,55343.02,-60.531055,99.13550494864467,0.0004961438,-8.365201e-07,3.126094e-05,2.3695276e-05,2.0,42,0.018852197,3.406427e-07,0,-6.577795767510805e-08,2.0
140,140,91439.65,33631.176,51640.652,61626.4,-56.92566,99.55150760841207,0.00048518842,-8.769365e-07,3.3704964e-05,2.3667028e-05,2.0,42,0.019985128,3.2429492e-07,0,-6.584764134575928e-08,2.0
141,141,79127.08,40348.453,54804.59,68055.42,-53.63861,99.9675023748132,0.0004776985,-8.1174846e-07,3.6701014e-05,2.3800521e-05,2.0,42,0.02098385,3.0833473e-07,0,-6.599742729317113e-08,2.0
142,142,68475.36,48017.75,57460.227,74882.45,-50.11553,100.38349922126508,0.0005162289,-7.6518563e-07,4.0449995e-05,2.3817327e-05,2.0,42,0.021863407,2.9196968e-07,0,-6.608137841660818e-08,2.0
143,143,59252.523,55930.145,59014.85,81307.65,-46.537243,100.93548647416173,0.00051239075,-9.231267e-07,4.5514727e-05,2.3977935e-05,2.0,42,0.02028814,2.4952314e-07,0,-6.630372807955985e-08,2.0
