True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,141.92163,1657.2006,1663.2665,-85.10517,2.4774767043127213,-0.29122812,3.1045685e-05,1.3719739e-05,1.3619851e-05,1.0,40,0.0099103525,5.958367e-06,0,5.689830427621069e-09,8.61311,0.83294386,30.848282,86.16384,4.2259316,418.30368,0.0002027984,6.647429e-05,0.000321678,0.000738842,3.416724e-05,0.00016688973,9.846929e-07,3.5255215e-07,9.086096e-07,4.1887847e-06,1.6953055e-07,2.5576503e-06,1.0
1,1,4766293.0,84.8884,2414.5457,2416.0374,-87.98647,4.499496667034691,-0.2911071,-2.9719595e-05,1.3829421e-05,1.3812349e-05,1.0,40,0.02159447,8.93797e-06,0,-1.1775393691237134e-08,3.3806107,0.4062902,14.186583,24.960108,5.5338955,178.76436,0.00070624857,8.703918e-05,1.686347e-05,1.6812011e-05,4.621267e-05,0.00015261232,1.993499e-06,4.281274e-07,1.727047e-07,1.6927216e-07,2.7641642e-07,8.182273e-07,1.0
2,2,3245370.0,202.07057,3468.718,3474.5989,-86.66599,5.2134838209312875,-0.2912023,-1.4928311e-05,1.4137965e-05,1.40901475e-05,1.0,40,0.021922939,6.3094876e-06,0,-1.4929713675700086e-08,2.6529076,0.17227188,13.549768,25.5823,1.5161791,171.99321,0.0005567984,0.000110396475,0.00011429896,1.7033592e-05,4.296106e-05,1.1627691e-05,1.5397018e-06,1.5515262e-07,1.8887748e-07,2.239058e-07,2.872799e-07,9.769591e-08,1.0
3,3,2209768.5,259.85995,5078.382,5085.026,-87.07074,6.2004961611528415,-0.29118097,-2.9645187e-05,1.4182343e-05,1.41453065e-05,1.0,40,0.019817604,3.8972476e-06,0,-1.5095365451922287e-08,1.2445272,0.16517755,14.860429,48.75826,0.74556917,187.73781,0.0001422397,2.686084e-05,0.00019345083,2.2110566e-05,1.9935993e-05,3.781987e-05,7.1377634e-08,9.06882e-08,1.8655101e-06,6.1370294e-08,1.3838248e-07,2.7691138e-07,1.0
4,4,1504630.0,-19.368732,7540.4272,7540.452,-90.14717,7.218493356165709,-0.29123268,-1.5034545e-06,1.4027958e-05,1.4027865e-05,1.0,41,0.0198727,2.6354787e-06,0,-1.6960255732137676e-08,0.5609033,0.2689502,19.654427,12.817542,3.0072882,189.41083,5.3354837e-05,2.1722257e-05,5.3511718e-05,5.27587e-05,1.2871494e-05,3.778594e-05,5.466306e-08,7.109612e-08,2.5507381e-07,2.4941917e-07,7.555706e-08,1.1458195e-07,1.0
5,5,1024504.5,-39.94585,11052.331,11052.403,-90.20708,8.069484303268837,-0.29115173,-5.7939014e-06,1.4055697e-05,1.4055513e-05,1.0,41,0.021360172,1.932627e-06,0,-1.7300793843599788e-08,0.6499052,0.396702,17.003304,12.74643,1.4790462,161.60414,5.090819e-05,5.552163e-05,1.1440073e-05,0.00010164739,1.7829494e-05,3.4350945e-05,6.7326035e-08,3.783802e-08,3.8015823e-08,2.2880225e-07,7.580962e-08,1.0693677e-07,1.0
6,6,697585.75,82.53593,16184.99,16185.2,-89.70782,8.92047869032831,-0.2912726,4.1985522e-06,1.4096461e-05,1.4096096e-05,1.0,41,0.021252211,1.3130644e-06,0,-1.722910056263692e-08,0.9369011,0.1183334,16.901499,54.023373,1.7511038,187.69627,2.411221e-05,1.5863703e-05,0.00018220357,2.7504833e-05,1.19722645e-05,3.5264096e-05,1.3217904e-08,2.1998446e-08,6.7383695e-07,5.171043e-08,5.1371504e-08,1.550836e-07,1.0
7,7,474985.16,132.25153,23796.73,23797.098,-89.68158,9.772483450797154,-0.29119918,-2.1589274e-06,1.4080654e-05,1.40802185e-05,1.0,41,0.021254137,8.931399e-07,0,-1.660453706248038e-08,0.36576718,0.2953331,16.487469,14.952788,1.8852708,185.7511,2.9222534e-05,8.990495e-06,3.268651e-05,4.0239054e-05,2.238007e-05,2.4570463e-05,2.709333e-08,3.076229e-08,4.9514913e-08,4.1776545e-08,7.175012e-08,4.3018364e-08,1.0
8,8,323420.8,920.9338,34836.188,34848.36,-88.48567,10.6234873845533,-0.29120967,-2.8404854e-06,1.4126077e-05,1.411621e-05,1.0,41,0.021415876,6.145448e-07,0,-1.650974008729299e-08,0.5282587,0.44631818,17.742186,8.494464,1.4428904,138.32306,1.6251526e-05,9.0398986e-05,1.5036692e-05,3.878283e-05,1.9624857e-05,3.9785933e-05,1.517858e-08,2.4474089e-08,4.3775144e-09,3.913785e-08,2.2969566e-08,5.110927e-08,1.0
9,9,220216.0,1096.8972,52013.797,52025.363,-88.79189,11.474482998339226,-0.29121196,-2.183137e-06,1.3894814e-05,1.3888636e-05,1.0,41,0.021233566,4.0813873e-07,0,-1.6011189181186737e-08,0.44288048,0.40021324,18.235277,10.147259,2.9173734,120.28792,4.5561832e-05,3.6046396e-05,2.8666997e-05,4.229683e-05,2.3112176e-05,3.092859e-05,6.507707e-09,3.391594e-08,1.9392907e-08,2.2358664e-08,3.2001257e-08,4.5551634e-08,1.0
