True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),THD_Ewe,NSD_Ewe,NSR_Ewe,THD_I,NSD_I,NSR_I,Ewe_h2,Ewe_h3,Ewe_h4,Ewe_h5,Ewe_h6,Ewe_h7,I_h2,I_h3,I_h4,I_h5,I_h6,I_h7,cycle
0,0,7000018.5,222.83368,1832.1448,1845.646,-83.06549,2.476481877587503,-0.08360874,2.5426858e-05,1.2409697e-05,1.2228803e-05,1.0,40,0.009937529,5.3843096e-06,0,3.4207564970643035e-09,8.121868,0.49228594,29.267221,80.37772,5.0704794,428.01544,0.00022774936,4.670054e-05,0.0002864334,0.0007109084,2.7973983e-05,9.314743e-05,9.646012e-07,2.074582e-07,7.405987e-07,3.9766996e-06,1.9632337e-07,1.137592e-06,1.0
1,1,4766293.0,155.00787,2627.514,2632.0823,-86.6238,4.498481600283412,-0.083580755,-5.5884066e-06,1.2708502e-05,1.2664425e-05,1.0,40,0.021881836,8.313507e-06,0,1.0377793837607087e-08,3.4035022,0.29641506,13.622725,27.227571,3.250701,169.65651,0.00072891644,0.00012373783,2.6561485e-05,3.1072585e-05,5.9522987e-05,4.8623748e-05,2.0646407e-06,6.836993e-07,2.1053081e-07,1.3255969e-07,4.1427148e-07,3.759936e-07,1.0
2,2,3245370.0,289.23187,3839.1704,3850.05,-85.69164,5.212490460864501,-0.083615616,-1.7961e-05,1.2773752e-05,1.2701662e-05,1.0,40,0.021815095,5.6661847e-06,0,9.63718241349751e-09,2.550292,0.10387917,11.905138,22.302973,2.2599955,155.02483,0.0005384617,7.865365e-05,0.00010094439,3.8861115e-05,1.3435458e-05,1.3584641e-05,1.1021658e-06,1.3786476e-07,3.2457714e-07,2.484905e-07,2.4169566e-07,1.5849335e-07,1.0
3,3,2209768.5,132.82587,5596.135,5597.711,-88.64032,6.22850365578779,-0.08366251,-1.8498205e-06,1.2870197e-05,1.286295e-05,1.0,41,0.020845175,3.723875e-06,0,9.635335805569411e-09,0.8702221,0.12057471,15.978019,25.3192,1.664719,190.29045,0.00014395699,4.289434e-06,8.5999716e-05,3.1853295e-05,2.3953762e-05,2.1430813e-05,1.02557856e-07,1.04712406e-07,8.014058e-07,2.8084006e-07,1.574043e-07,8.3020424e-08,1.0
4,4,1504630.0,185.3049,8148.657,8150.764,-88.69729,7.07949305625516,-0.08364768,1.3829371e-06,1.2980888e-05,1.2974177e-05,1.0,41,0.02115422,2.5953664e-06,0,9.738925318586667e-09,0.6520221,0.14481314,16.402473,19.450901,1.4707242,163.01482,9.030049e-05,4.5940407e-05,2.7304908e-05,7.010442e-05,2.2892651e-05,3.9927854e-05,7.7406945e-08,2.5425821e-08,1.3739712e-07,5.5253514e-07,1.1221727e-07,1.536066e-07,1.0
5,5,1024504.5,112.269394,11983.519,11984.045,-89.463234,7.930483949981863,-0.08369664,3.7311452e-06,1.2963489e-05,1.296235e-05,1.0,41,0.021357844,1.7821899e-06,0,9.977116167396123e-09,0.6036384,0.26068342,15.464654,18.506222,0.6602353,149.59616,2.7806744e-05,3.9017876e-05,2.0056315e-05,0.000113747505,4.804705e-06,1.7003795e-05,4.3121915e-08,3.9570246e-08,5.9453193e-08,3.0548262e-07,9.5358324e-08,2.1191438e-07,1.0
6,6,697585.75,117.83757,17598.719,17599.113,-89.61636,8.781484097096836,-0.08370205,3.3289139e-06,1.2964073e-05,1.2963492e-05,1.0,41,0.021253148,1.207626e-06,0,9.042329987348946e-09,0.78967017,0.1504832,15.450537,38.24516,1.4272248,179.869,2.081147e-05,1.7266953e-05,0.00015698824,1.3357917e-05,3.604924e-05,1.6664722e-05,1.994128e-08,2.0224126e-08,4.358657e-07,4.62705e-08,6.2378454e-08,6.557662e-08,1.0
7,7,474985.16,300.20154,26079.094,26080.822,-89.340485,9.633484724181471,-0.083617985,-1.3917104e-06,1.2848357e-05,1.28466545e-05,1.0,41,0.021307256,8.1697027e-07,0,8.74183446224366e-09,0.76513666,0.19449703,15.422981,18.783358,1.9576812,179.51718,0.00011279707,4.414955e-05,3.4272176e-05,8.5077496e-05,2.931209e-05,3.3750694e-05,3.6436344e-08,3.2447826e-08,5.2030227e-08,4.8562423e-08,6.6846894e-08,8.5125734e-08,1.0
8,8,323420.8,596.8962,38934.86,38939.434,-89.12169,10.484485911292722,-0.08361729,-9.149927e-07,1.2639024e-05,1.26360555e-05,1.0,41,0.021461282,5.511452e-07,0,9.127285614735254e-09,0.6686365,0.32242104,15.103694,10.543104,0.9480801,115.19528,2.4922554e-05,0.00013108097,1.9744573e-05,2.7563472e-05,2.820931e-05,2.127324e-05,1.1197112e-08,4.2291344e-08,2.8276403e-08,3.209994e-08,6.079168e-08,3.01665e-08,1.0
9,9,220216.0,997.99304,54682.934,54692.04,-88.95444,11.50249870630796,-0.08364051,-4.927006e-07,1.3216592e-05,1.3212191e-05,1.0,42,0.020342916,3.719539e-07,0,9.544362530996627e-09,0.550054,0.4370179,15.888385,27.942617,4.6518,179.34401,5.6274777e-05,1.922026e-05,2.0348045e-05,4.6943052e-05,4.6234716e-05,6.0874205e-05,5.484881e-09,7.041008e-09,2.313829e-08,3.8709892e-08,3.7238735e-08,8.40947e-08,1.0
10,10,149940.62,232.33899,77514.445,77514.8,-89.82826,12.353485226718476,-0.08366661,-9.673062e-08,1.3693617e-05,1.3693492e-05,1.0,42,0.020945081,2.7020752e-07,0,9.527953120811893e-09,0.49773332,0.6620741,15.999583,15.835887,6.447391,173.32115,6.8437796e-05,3.644149e-05,5.312851e-05,3.179435e-05,2.5528712e-05,1.1915439e-05,9.655639e-09,1.453746e-08,2.7170643e-08,1.22874155e-08,1.6266428e-08,1.8422332e-08,1.0
11,11,102100.66,3721.7402,116332.26,116391.77,-88.1676,13.203484200435923,-0.083624,-2.9322567e-07,1.3399589e-05,1.3385888e-05,1.0,42,0.02054741,1.7653662e-07,0,9.529586574003663e-09,0.4150119,0.63682604,15.656827,15.669251,6.501029,168.65337,1.7531094e-05,2.0821579e-05,3.1295276e-05,2.9469933e-05,3.7292066e-05,5.0015744e-05,7.0991186e-09,5.2588223e-09,8.590076e-09,5.663072e-09,2.110557e-08,1.4088787e-08,1.0
12,12,69514.55,275.40924,172081.14,172081.36,-89.9083,14.054493627540069,-0.08364505,-1.0529824e-07,1.3304886e-05,1.33048525e-05,1.0,42,0.02041757,1.18650675e-07,0,9.628873581351745e-09,1.8557688,0.14313906,16.440214,93.861984,1.2670573,165.09291,1.5630183e-05,1.371765e-05,0.0003754838,2.0637139e-05,2.2939843e-05,3.2631375e-05,1.6309898e-09,2.018161e-09,1.2409525e-07,8.54929e-09,1.4435378e-08,1.7092232e-08,1.0
13,13,47338.926,1890.2665,258417.81,258424.72,-89.5809,14.769491421495331,-0.08361569,-4.3943274e-07,1.3010059e-05,1.3009364e-05,1.0,42,0.021973113,8.502713e-08,0,9.669465180260339e-09,0.69540745,0.29311457,15.79796,50.005524,2.7685418,188.49988,2.2741577e-05,8.039893e-05,4.263378e-05,3.3597815e-05,0.00010611558,3.1602962e-05,1.6826496e-09,1.6215603e-08,3.1224785e-09,2.196385e-09,3.7918472e-08,9.2117425e-09,1.0
14,14,32233.521,13391.786,373431.44,373671.5,-87.946175,15.620485568564618,-0.0836679,1.4222957e-07,1.3222132e-05,1.3205149e-05,1.0,42,0.02024677,5.418334e-08,0,9.640903292600614e-09,0.59098196,0.15158418,16.003052,12.4985695,1.3007303,131.04358,2.6082052e-05,5.7641257e-05,1.996824e-05,3.871549e-05,7.15822e-05,5.30088e-05,2.0935036e-09,5.5567924e-09,1.9745305e-09,2.2579323e-09,5.250119e-09,4.881766e-09,1.0
15,15,21943.658,23416.023,517078.66,517608.6,-87.40712,16.502487343823304,-0.08366149,-1.0584061e-07,1.40266675e-05,1.3997959e-05,1.0,43,0.019965036,3.8571685e-08,0,9.635425550210389e-09,0.7370106,1.608147,14.99628,16.891376,18.217815,159.01393,0.00011300805,2.7515422e-05,2.9285644e-05,3.8123886e-05,5.471815e-05,5.0371695e-05,1.4548883e-09,2.2172089e-09,1.974425e-09,2.2776079e-09,2.531065e-09,4.507277e-09,1.0
16,16,14938.392,25547.494,788831.9,789245.44,-88.14504,17.21649743107264,-0.08364468,-1.1243313e-07,1.3506159e-05,1.3492008e-05,1.0,43,0.01964957,2.4896654e-08,0,9.615847509328103e-09,0.57681215,0.060333945,16.786581,21.266127,1.6009659,191.55782,6.98495e-05,4.596892e-05,2.4222405e-05,4.9316157e-05,3.1464577e-05,1.333722e-05,8.835845e-10,2.0206226e-09,2.3938665e-10,3.439595e-09,2.0525723e-09,1.2818222e-09,1.0
17,17,10178.521,48656.867,1208850.8,1209829.6,-87.69506,17.9305004516209,-0.08366488,-1.13643615e-07,1.293489e-05,1.2913968e-05,1.0,43,0.01857004,1.53493e-08,0,9.594981796802207e-09,0.5197555,0.3156504,17.450754,13.592025,2.6227455,205.64792,5.0225553e-05,3.417636e-05,2.9994608e-05,4.142029e-05,3.074627e-05,2.0040523e-05,5.6653116e-10,3.394565e-10,9.619491e-10,6.288845e-10,1.0652738e-09,9.147278e-10,1.0
18,18,6928.7046,82686.98,1759319.9,1761261.9,-87.30911,18.673948860290693,-0.0836504,-9.6026326e-08,1.3056395e-05,1.3027618e-05,1.0,43,0.021122925,1.1993063e-08,0,9.571955244035966e-09,0.6954149,0.29788363,15.486875,47.95827,3.8728654,182.57573,3.7802536e-05,2.9206532e-05,2.677425e-05,6.6955174e-05,6.2380626e-05,9.198821e-05,3.2081832e-10,5.17363e-10,6.11045e-10,1.84077e-09,1.5988342e-09,5.1262106e-09,1.0
19,19,4716.5083,209898.06,2540854.5,2549509.5,-85.277565,19.446699803687807,-0.08364664,-8.4684984e-08,1.3280663e-05,1.3190646e-05,1.0,43,0.021156022,8.298075e-09,0,9.54786507090889e-09,0.5913945,0.2687612,14.916457,28.946167,2.111865,172.52245,2.5900175e-05,5.6405028e-05,1.9984893e-05,3.8825594e-05,7.26318e-05,6.2081665e-05,2.1463716e-10,7.4615913e-10,1.341129e-10,1.3196377e-09,1.5220278e-09,9.63981e-10,1.0
20,20,3211.0288,317402.34,3697509.2,3711107.5,-85.09363,20.194697999220807,-0.08372729,-7.613707e-08,1.3404996e-05,1.3306938e-05,1.0,43,0.021111747,5.6887997e-09,0,9.526387570224171e-09,0.34507725,0.22167669,14.948305,12.693814,2.4618888,175.35321,3.2627795e-05,2.0400263e-05,2.2929811e-05,2.2741917e-05,4.3740558e-05,1.9059273e-05,1.6686977e-10,6.4781625e-11,3.1090508e-10,2.7995084e-10,4.835264e-10,1.7904574e-10,1.0
21,21,2187.103,570867.2,5391289.0,5421428.5,-83.95565,20.942590914695757,-0.083667636,-1.0001164e-07,1.34976535e-05,1.3347995e-05,1.0,43,0.021151917,3.9015395e-09,0,9.502916994760642e-09,0.56888014,0.23688175,15.825601,22.680548,2.0626502,187.96454,4.2792075e-05,3.205502e-05,6.28835e-05,2.1768747e-05,4.5560537e-05,5.366169e-05,2.2678831e-10,1.3548733e-10,3.6843018e-10,2.8008362e-10,1.5157202e-10,6.1658634e-10,1.0
22,22,1489.52,1082619.8,7896073.5,7969946.0,-82.19293,21.690815483612823,-0.083652504,-1.05170194e-07,1.3532019e-05,1.3282328e-05,1.0,43,0.021175446,2.656912e-09,0,9.48092529553731e-09,0.39871228,0.33964017,15.731678,15.16166,4.096826,202.782,1.353211e-05,5.0056176e-05,2.1516269e-05,2.140055e-05,4.8180616e-05,6.5691083e-06,9.2615283e-11,1.3094356e-10,7.765192e-11,1.335712e-10,1.9850879e-10,2.4420058e-10,1.0
23,23,1014.02405,2254663.5,11202568.0,11427206.0,-78.6205,22.43896890580072,-0.083645426,-9.340054e-08,1.4010522e-05,1.3465094e-05,1.0,43,0.021143448,1.8502727e-09,0,9.46067481134236e-09,0.4176935,0.2634346,15.856235,20.810228,2.921294,221.26936,2.4902243e-05,4.6448593e-05,1.4829871e-05,3.5988014e-05,3.6113852e-05,4.4599816e-05,4.0040263e-11,8.4986726e-11,9.8537865e-11,1.715692e-10,2.2899446e-10,2.080212e-10,1.0
24,24,690.22107,4035573.8,15384471.0,15904962.0,-75.30163,23.186686114662734,-0.08363548,-1.12489026e-07,1.4988195e-05,1.4023267e-05,1.0,43,0.021129685,1.3284964e-09,0,9.436554936794763e-09,0.35853806,0.29919764,15.487186,19.43375,6.7442474,251.92642,1.5960386e-05,2.8864544e-05,3.3265555e-05,2.1507287e-05,1.7080984e-05,4.90956e-05,2.0412025e-11,7.803064e-11,1.587302e-10,1.0167197e-10,8.591748e-11,1.108946e-10,1.0
25,25,470.15027,6473969.0,21361590.0,22321062.0,-73.13973,23.934688416862627,-0.08364811,-9.19666e-08,1.5847103e-05,1.4514007e-05,1.0,43,0.021119703,9.461782e-10,0,9.414721585274542e-09,0.52163106,0.3439234,14.7196865,29.433931,6.313288,292.4476,2.2184382e-05,3.1894735e-05,1.7320051e-05,3.9291925e-05,3.595931e-05,8.3403e-05,2.4853892e-11,5.6216455e-11,3.2041227e-11,4.4825692e-11,1.1177814e-10,2.3984834e-10,1.0
26,26,320.10226,11177616.0,29420370.0,31472166.0,-69.19682,24.682702879057615,-0.08362903,-1.0559857e-07,1.6899867e-05,1.4768155e-05,1.0,43,0.021154389,6.721618e-10,0,9.396500339260008e-09,1.0022238,0.23686692,16.918663,54.586815,3.6985214,426.91058,3.112451e-05,3.1550157e-05,3.669752e-05,0.00017050104,0.00010388847,3.6075366e-05,4.2973836e-11,2.6757298e-11,4.8446105e-11,3.3961484e-10,1.0285899e-10,4.7870766e-11,1.0
27,27,217.97717,19476974.0,36263180.0,41162736.0,-61.75973,25.433594381349394,-0.083634675,-1.1347608e-07,2.013461e-05,1.5626674e-05,1.0,43,0.021122817,5.1315385e-10,0,9.373041568481202e-09,0.7329942,0.44869798,15.8834915,40.033684,9.375741,505.53983,4.2798438e-05,5.0509625e-05,5.940686e-05,6.0710678e-05,5.701795e-05,8.264029e-05,3.5979397e-11,1.9654915e-11,9.2951355e-11,1.0170282e-10,8.60307e-11,9.913304e-11,1.0
28,28,148.43271,29503256.0,45352080.0,54104096.0,-56.954464,26.183896097005345,-0.08366996,-1.0680908e-07,2.3642497e-05,1.6612212e-05,1.0,43,0.021124795,3.9044723e-10,0,9.352550565552262e-09,0.76942056,0.25423798,16.067898,36.43244,7.226397,654.9996,5.5247827e-05,2.7333017e-05,4.051206e-05,0.00013792954,1.8897159e-05,3.6968893e-05,3.9364914e-11,2.7555206e-11,3.4576515e-11,1.2176563e-10,2.2598463e-11,3.2535995e-11,1.0
29,29,101.06712,48089012.0,49492460.0,69007656.0,-45.82399,26.926669838969246,-0.083627686,-9.241358e-08,3.1817875e-05,1.6366459e-05,1.0,43,0.021088282,3.0559336e-10,0,9.335302166849413e-09,0.995034,0.25127837,15.894552,60.87086,14.459766,813.21497,3.6953952e-05,5.5589153e-05,4.7296766e-05,0.0001688434,7.134102e-05,5.3532785e-05,1.6525543e-11,2.1051768e-11,2.1521526e-11,1.7839469e-10,3.6006344e-11,1.4798072e-11,1.0
30,30,68.789276,62683028.0,51595348.0,81186460.0,-39.458313,27.68127763477969,-0.08367962,-8.429399e-08,4.48424e-05,1.8111012e-05,1.0,43,0.021128077,2.6024138e-10,0,9.313269320523688e-09,1.0524762,0.27031133,15.679217,73.9231,13.934277,943.4749,0.00011379034,4.2759224e-05,2.6695792e-05,3.279329e-05,2.8160839e-05,0.0001695943,9.350808e-11,1.8097942e-11,3.700098e-11,2.7779447e-11,2.864627e-11,1.577212e-10,1.0
31,31,46.84374,76908344.0,44396360.0,88802760.0,-29.996262,28.41389972291654,-0.08364958,-8.932218e-08,7.652815e-05,1.9127712e-05,1.0,43,0.021125894,2.378968e-10,0,9.294691882188516e-09,0.71331036,0.2950882,15.694105,42.254406,13.448796,1032.8595,4.801198e-05,7.8114914e-05,1.7983652e-05,4.0200903e-05,7.98491e-05,7.098486e-05,3.6939767e-11,6.7032664e-11,2.1729575e-11,1.6720713e-11,3.6204605e-11,4.166733e-11,1.0
32,32,31.88774,84419176.0,35534964.0,91593290.0,-22.827917,29.14293674423243,-0.08361578,-1.1416513e-07,0.00014045608,2.1140975e-05,1.0,43,0.021108476,2.3045876e-10,0,9.272176166279635e-09,0.65883034,0.3992138,16.166681,41.84184,19.36057,1092.9377,4.3337735e-05,5.2212887e-05,1.9190431e-05,0.00010156026,1.799114e-05,2.5609146e-05,3.8589007e-11,2.4492356e-11,9.868437e-12,7.564352e-11,1.4767675e-11,2.7660107e-11,1.0
33,33,21.716505,80684350.0,40151860.0,90122900.0,-26.45683,29.867942191980546,-0.083647795,-9.986274e-08,0.00018252592,3.6229772e-05,1.0,43,0.021104967,2.3417987e-10,0,9.25372365684787e-09,0.7175861,0.24070345,15.773691,40.680897,12.921938,1054.6434,8.3320505e-05,4.544574e-05,5.5115866e-05,5.7370933e-05,6.59829e-05,2.6890544e-05,5.776011e-11,3.1324308e-11,1.8179892e-11,4.4859682e-11,3.6700403e-11,2.4428648e-11,1.0
34,34,14.787093,136923340.0,29055278.0,139972180.0,-11.980511,30.625640387999738,-0.08363302,-1.1410927e-07,0.0003704352,1.5961692e-05,1.0,43,0.021129847,1.5095747e-10,0,9.231998567039515e-09,0.5540596,1.4526759,15.6142235,93.3485,170.17792,1619.1675,3.6835034e-05,5.309814e-05,5.5939152e-05,2.6866903e-05,3.6647296e-05,6.277765e-05,3.0528538e-11,3.642513e-11,1.2658796e-10,9.087644e-12,2.869394e-11,2.369626e-11,1.0
35,35,10.067672,117044220.0,42942180.0,124673096.0,-20.147507,31.370425169967348,-0.08363678,-1.07554e-07,0.0003681349,4.3674678e-05,1.0,43,0.021180244,1.6988624e-10,0,9.211484035054044e-09,0.43276188,0.2960288,15.624959,91.583374,17.247612,1471.4685,2.2311102e-05,5.049946e-05,2.0976304e-05,2.950132e-05,5.4102406e-05,1.1406729e-05,9.832795e-12,1.502952e-11,1.6953997e-11,3.0832725e-11,1.4324411e-10,2.4324556e-11,1.0
36,36,6.8590865,119077780.0,26987612.0,122097700.0,-12.76971,32.27743710638606,-0.08369031,-7.225428e-08,0.000859784,4.200523e-05,1.0,43,0.02111364,1.7292415e-10,0,9.187922237522776e-09,0.5252624,1.0152947,11.106108,50.50351,110.98739,1136.2474,4.6064513e-05,5.0689894e-05,5.378964e-05,2.7191078e-05,3.7642352e-05,3.6843496e-05,4.1759905e-11,2.1538748e-11,2.6769436e-11,1.535057e-11,3.819199e-11,2.2879377e-11,1.0
37,37,4.6669617,115140504.0,30680112.0,119157896.0,-14.920257,33.425439294282114,-0.08365725,-1.0917418e-07,0.0011115499,7.368807e-05,1.0,43,0.02112242,1.7726412e-10,0,9.156882083072279e-09,0.9184914,0.18871827,9.095106,70.58664,16.952494,827.87634,2.4867197e-05,1.918612e-05,0.00018668333,2.1446882e-05,1.939275e-05,2.8517581e-05,1.2102312e-11,1.800872e-11,1.2200436e-10,9.896986e-12,1.0489063e-11,9.0332455e-12,1.0
38,38,3.1790435,131754210.0,37239804.0,136915940.0,-15.782735,34.97008523432305,-0.0836426,-9.679368e-08,0.001344362,9.945418e-05,1.0,43,0.021120934,1.5426206e-10,0,9.115415978907107e-09,0.25704825,0.1640405,7.3595743,23.28659,13.472661,718.95844,7.1964714e-06,3.1609077e-05,1.695305e-05,1.4559613e-05,3.2871783e-05,1.5592337e-05,2.4651312e-12,3.3777861e-12,1.665429e-11,9.659407e-12,2.8196662e-11,8.4209514e-12,1.0
39,39,2.165325,125602216.0,31797402.0,129564620.0,-14.206497,37.10991898929933,-0.08365198,-9.383359e-08,0.0023115613,0.00013922455,1.0,43,0.021103902,1.628832e-10,0,9.052247621659928e-09,0.23075137,0.15541996,5.711517,10.880493,15.834917,541.20667,1.8026352e-05,2.0698964e-05,8.884268e-06,2.8438133e-05,8.765519e-06,2.0262098e-05,7.31811e-12,5.681582e-12,6.910195e-12,5.993745e-12,3.9841862e-12,8.841901e-12,1.0
40,40,1.4729426,141817950.0,67831800.0,157205230.0,-25.561878,40.13328969289432,-0.08366271,-1.0267016e-07,0.0015929458,0.0002965744,1.0,43,0.021132685,1.3442737e-10,0,8.974823254419957e-09,0.1739042,0.07963984,4.3807955,9.543068,5.8767557,523.2666,1.3108281e-05,2.3735944e-05,6.5406853e-06,1.188509e-05,1.4664975e-05,1.1758067e-05,5.0393934e-12,3.878246e-12,2.4897987e-12,3.373846e-12,9.69108e-12,2.4449804e-12,1.0
41,41,1.0035336,162816930.0,107265620.0,194975040.0,-33.37734,44.45595469820546,-0.08366804,-9.5041486e-08,0.0014785217,0.00044749762,1.0,43,0.021130448,1.0837514e-10,0,8.850382127523106e-09,0.19857393,0.03142575,4.1253715,15.487412,11.692325,600.41974,7.733821e-06,3.4751367e-05,1.19532e-05,1.3749013e-05,5.828627e-06,7.131671e-06,7.147411e-12,4.6591203e-12,1.077626e-11,6.5169523e-12,4.722305e-12,3.0723592e-12,1.0
42,42,0.6832391,171772540.0,114098980.0,206214420.0,-33.593884,50.68176702060737,-0.08366719,-9.5175295e-08,0.0020415767,0.000625016,1.0,43,0.021132007,1.02475896e-10,0,8.686286679876303e-09,0.15764843,0.057192836,3.158938,7.0485783,2.0618763,495.0136,1.1045151e-05,2.2841747e-05,1.0525912e-05,1.6079797e-05,7.116956e-06,2.897763e-06,1.8832204e-12,3.5921119e-12,1.2590202e-12,2.6386209e-12,2.7207548e-12,4.0581943e-12,1.0
43,43,0.4653208,199969180.0,139823870.0,244004900.0,-34.96229,59.70768672932172,-0.08367245,-9.186399e-08,0.0024461683,0.0008032522,1.0,43,0.021131448,8.660256e-11,0,8.461250477184996e-09,0.13308701,0.053194396,2.072773,8.644652,6.466384,369.43283,8.190491e-06,1.881368e-05,9.363007e-06,1.4612436e-05,5.5825985e-06,4.084532e-06,9.990095e-13,1.2493776e-12,6.8331135e-12,5.938554e-13,1.8994285e-12,1.1029653e-12,1.0
44,44,0.31693727,232384510.0,179033040.0,293352000.0,-37.61128,72.86173532743123,-0.08366283,-8.2633676e-08,0.0028048758,0.0010447248,1.0,43,0.021136021,7.205003e-11,0,8.165664991025063e-09,0.21699995,0.065564536,1.7307458,38.12821,9.798083,362.06772,1.029373e-05,2.0798663e-05,1.3903544e-05,3.5869052e-05,4.201624e-06,6.07987e-06,3.3306923e-12,5.2723472e-12,8.602612e-12,2.4632e-11,4.575013e-12,3.387743e-12,1.0
45,45,0.21577924,277425820.0,216023870.0,351612580.0,-37.90691,92.08356090702,-0.08368154,-8.691008e-08,0.0034143555,0.0012887937,1.0,43,0.021132931,6.010289e-11,0,7.688949725706293e-09,0.12483167,0.036723677,3.169418,9.241314,5.1424556,873.8887,1.0740181e-05,1.7524833e-05,2.5789793e-06,1.5488487e-05,2.1449791e-06,3.914025e-06,2.8914757e-12,2.462748e-12,1.5903281e-12,1.4298744e-12,1.6332699e-12,2.580039e-12,1.0
46,46,0.14692917,228130530.0,56160684.0,234941620.0,-13.829948,120.21657285661786,-0.0836827,-7.831652e-08,0.019287668,0.0011021091,1.0,43,0.021132654,8.9948535e-11,0,7.008136304668122e-09,0.31773588,0.6606052,0.87321967,19.25457,122.24917,162.99829,5.4989392e-05,3.1336396e-05,8.334839e-06,1.5830545e-05,7.5521107e-06,6.4451856e-06,1.5981935e-11,3.3892095e-12,1.8583678e-12,3.964451e-12,2.58201e-12,1.8187752e-12,1.0
