True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,128.86963,1193.2627,1200.2013,-83.836075,163.03049230351462,0.021530736,3.3687676e-05,1.9053945e-05,1.8834273e-05,3.0,40,0.009973602,8.309941e-06,0,-2.3959273210126538e-08,3.0
221,221,6057573.0,226.55298,1496.9766,1514.0228,-81.39414,163.5825032897119,0.021482816,3.5678324e-05,1.7551187e-05,1.7158198e-05,3.0,40,0.014062007,9.287844e-06,0,-2.806124213145939e-08,3.0
222,222,5242039.0,210.64113,1697.9482,1710.964,-82.92823,163.99851032279548,0.021610163,-1.5914386e-05,1.788115e-05,1.7610131e-05,3.0,40,0.019288328,1.1273369e-05,0,-3.048500174644866e-08,3.0
223,223,4536288.0,144.72858,1970.6462,1975.9537,-85.799614,165.36648996113217,0.021550225,-1.1374671e-05,1.7803724e-05,1.770821e-05,3.0,40,0.018719917,9.473864e-06,0,-3.745548116092401e-08,3.0
224,224,3925558.5,192.573,2275.504,2283.638,-85.16266,165.7825064342178,0.021600755,-2.0695974e-05,1.7817267e-05,1.7690567e-05,3.0,40,0.018182563,7.962104e-06,0,-4.080696109716304e-08,3.0
225,225,3397055.0,299.63452,2589.0618,2606.3425,-83.398476,166.19849898733082,0.021664158,-5.0539016e-05,1.809569e-05,1.7856526e-05,3.0,40,0.019301042,7.405413e-06,0,-4.2937827252209875e-08,3.0
226,226,2939708.2,395.48135,2939.4758,2965.961,-82.33736,166.61450100704678,0.021567926,-1.1114188e-05,1.841815e-05,1.809068e-05,3.0,40,0.02121871,7.154076e-06,0,-4.5310449001140895e-08,3.0
227,227,2543924.5,352.48148,3385.6968,3403.9956,-84.056404,167.16649743329617,0.02174746,-9.597336e-05,1.8478548e-05,1.8280412e-05,3.0,40,0.020565137,6.04147e-06,0,-4.92249566253352e-08,3.0
228,228,2201436.2,186.19864,3703.4695,3708.1472,-87.12177,167.71850436614477,0.021559969,-1.3867786e-05,1.9521143e-05,1.9471923e-05,3.0,40,0.020828642,5.6169943e-06,0,-6.933121111990737e-08,3.0
229,229,1905053.1,514.16565,4138.3857,4170.204,-82.917694,168.27050084571238,0.021505062,5.835324e-06,2.018748e-05,1.9880596e-05,3.0,40,0.020314693,4.871391e-06,0,-7.237210588721056e-08,3.0
230,230,1648567.4,205.01508,5074.1646,5078.3047,-87.686295,168.98951106655295,0.021558385,-2.8591169e-06,1.9026062e-05,1.8995052e-05,3.0,41,0.018964227,3.7343618e-06,0,-8.099579382223235e-08,3.0
231,231,1426616.2,417.63074,6079.9263,6094.253,-86.07052,169.4054998063075,0.021539008,1.4164623e-06,1.8349096e-05,1.8262925e-05,3.0,41,0.021969387,3.6049353e-06,0,-8.109529814347679e-08,3.0
232,232,1234551.2,251.7069,7302.0815,7306.4185,-88.025764,169.9575098058267,0.021582682,2.7423346e-06,1.7654862e-05,1.7633909e-05,3.0,41,0.021116516,2.8901322e-06,0,-7.898930072153969e-08,3.0
233,233,1068345.5,547.7507,8248.684,8266.851,-86.200874,170.5095002054295,0.021564925,-7.819949e-06,1.8060251e-05,1.7980961e-05,3.0,41,0.020669539,2.5002919e-06,0,-7.921158063964206e-08,3.0
234,234,924510.06,379.22366,9306.814,9314.537,-87.666664,171.06150015161256,0.02158283,-1.3730833e-06,1.8497261e-05,1.8466602e-05,3.0,41,0.020184947,2.167037e-06,0,-7.908001771733314e-08,3.0
235,235,800039.0,-142.5352,9015.882,9017.009,-90.90573,171.61348860451835,0.021447843,4.7758326e-06,2.2064838e-05,2.2059323e-05,3.0,41,0.019920183,2.2091788e-06,0,-8.043654540898279e-08,3.0
236,236,692334.1,773.8022,12394.82,12418.951,-86.42769,172.1654909773788,0.021453805,7.9303645e-06,1.8546594e-05,1.847459e-05,3.0,41,0.02042628,1.6447669e-06,0,-8.003795958484458e-08,3.0
237,237,599122.25,1296.4794,14302.754,14361.394,-84.82056,172.71750209692982,0.021493174,3.4276154e-06,1.8573126e-05,1.8421762e-05,3.0,41,0.020502921,1.4276415e-06,0,-7.918761856076036e-08,3.0
238,238,518454.94,1875.3284,15910.505,16020.644,-83.27772,173.2695056431403,0.021472903,1.9695292e-06,1.9294128e-05,1.9029752e-05,3.0,41,0.02054717,1.2825434e-06,0,-7.855239123286179e-08,3.0
239,239,448662.03,1938.2777,18636.412,18736.936,-84.06231,173.82149318940355,0.021506198,8.8574035e-07,1.903437e-05,1.8830679e-05,3.0,41,0.020112362,1.0734072e-06,0,-7.816095612192026e-08,3.0
240,240,388258.97,2219.5776,21620.324,21733.959,-84.13846,174.37349206893123,0.021531817,3.1724962e-06,1.8959916e-05,1.8762174e-05,3.0,41,0.020658031,9.504956e-07,0,-7.811612042933823e-08,3.0
241,241,335983.9,-2107.3088,22431.74,22530.506,-95.3668,174.9254955884826,0.02145077,9.317688e-06,2.1117314e-05,2.0932577e-05,3.0,41,0.020378899,9.045025e-07,0,-7.874470641418795e-08,3.0
242,242,290751.2,4836.0093,29579.516,29972.232,-80.71476,175.47750241469475,0.021510633,3.8745384e-06,1.8505787e-05,1.8024013e-05,3.0,41,0.02071276,6.9106494e-07,0,-7.845652422931022e-08,3.0
243,243,251605.19,5552.534,32759.205,33226.438,-80.38006,176.02949014757178,0.021534871,1.7758607e-06,1.930933e-05,1.877009e-05,3.0,41,0.020435816,6.150468e-07,0,-7.850035518005467e-08,3.0
244,244,217729.38,7507.0474,37273.184,38021.652,-78.612625,176.58150033382117,0.021484492,4.5151273e-06,1.961131e-05,1.88468e-05,3.0,41,0.02028183,5.334284e-07,0,-7.686955568905655e-08,3.0
245,245,188418.58,10641.143,41993.426,43320.684,-75.78055,177.13350806667586,0.021772651,-1.3242615e-05,2.011477e-05,1.89011e-05,3.0,41,0.020675052,4.772559e-07,0,-7.633057352837487e-08,3.0
246,246,163051.14,12886.899,47713.7,49423.367,-74.88572,177.68549265290494,0.02153461,3.6548004e-06,2.0457532e-05,1.9066665e-05,3.0,41,0.020307783,4.1089436e-07,0,-7.580708107935843e-08,3.0
247,247,141098.2,12740.453,55925.234,57358.094,-77.16634,178.4044871403894,0.021462506,1.941975e-06,2.01693e-05,1.917419e-05,3.0,42,0.019065354,3.323917e-07,0,-7.58514505218623e-08,3.0
248,248,122105.11,23212.52,65903.2,69871.69,-70.59664,178.82050126683316,0.021565242,1.0021516e-06,1.9777883e-05,1.7595044e-05,3.0,42,0.020760925,2.971293e-07,0,-7.576506840905771e-08,3.0
249,249,105663.59,20296.574,70664.08,73521.17,-73.97455,179.23649981993367,0.021561665,2.033206e-07,2.1315525e-05,1.9691039e-05,3.0,42,0.022057613,3.0001715e-07,0,-7.56856901290727e-08,3.0
250,250,91439.65,25462.025,77950.195,82003.336,-71.910645,179.78850360613433,0.021540722,6.626159e-07,2.2328953e-05,2.0176218e-05,3.0,42,0.020385407,2.485924e-07,0,-7.54019101005924e-08,3.0
251,251,79127.08,31906.488,88066.234,93667.95,-70.084496,180.20449674586416,0.021577818,9.770077e-07,2.2839446e-05,2.018935e-05,3.0,42,0.021413585,2.2861165e-07,0,-7.529648650710858e-08,3.0
252,252,68475.36,42173.37,100779.805,109248.17,-67.29213,180.75650554543245,0.021618994,7.179324e-07,2.3062814e-05,1.9625963e-05,3.0,42,0.020320524,1.8600333e-07,0,-7.513160859243347e-08,3.0
