True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,119.35458,1373.4263,1378.6027,-85.03332,82.4255020749697,-0.059519526,2.7324631e-05,1.6554482e-05,1.6430398e-05,2.0,40,0.010030819,7.276077e-06,0,1.0876199161066009e-07,2.0
111,111,6057573.0,301.30878,1580.8129,1609.272,-79.20865,82.97749370118254,-0.05932272,-3.4910503e-05,1.6620383e-05,1.6037737e-05,2.0,40,0.014010702,8.706236e-06,0,1.1127165356787966e-07,2.0
112,112,5242039.0,235.93018,1943.693,1957.9595,-83.079155,83.39350556096178,-0.05935737,-3.6678004e-05,1.5620402e-05,1.5393598e-05,2.0,40,0.0193874,9.901839e-06,0,1.0968548757621003e-07,2.0
113,113,4536288.0,240.75278,2255.7534,2268.5647,-83.90798,84.76149751924095,-0.05950935,-7.151252e-06,1.555349e-05,1.5378317e-05,2.0,40,0.01858207,8.191113e-06,0,1.0162770463148579e-07,2.0
114,114,3925558.5,222.15979,2593.4402,2602.9382,-85.10387,85.17748721901444,-0.05950542,-6.94235e-05,1.5633004e-05,1.5519123e-05,2.0,40,0.01818937,6.988015e-06,0,9.927860146015632e-08,2.0
115,115,3397055.0,302.77032,2902.0112,2917.7627,-84.04381,85.59348601210513,-0.059478216,-4.1199117e-05,1.6144273e-05,1.5970434e-05,2.0,40,0.019298967,6.6143034e-06,0,9.591111840200345e-08,2.0
116,116,2939708.2,307.45563,3323.183,3337.3755,-84.714134,86.01048891191022,-0.059418168,-5.3794953e-05,1.629152e-05,1.6153253e-05,2.0,40,0.021251656,6.367775e-06,0,9.053250627913043e-08,2.0
117,117,2543924.5,236.37186,3857.117,3864.3528,-86.49319,86.56249667148222,-0.05955634,-1.1225829e-05,1.6220085e-05,1.6159398e-05,2.0,40,0.020473832,5.2981272e-06,0,8.74040356844369e-08,2.0
118,118,2201436.2,159.50325,4324.0586,4326.9995,-87.88747,87.11449672435992,-0.05955496,-8.280075e-05,1.6719468e-05,1.6696747e-05,2.0,40,0.020824797,4.812757e-06,0,8.932296087960228e-08,2.0
119,119,1905053.1,432.3678,5138.7095,5156.867,-85.1905,87.66649960391806,-0.059574936,5.3515746e-06,1.6257694e-05,1.6143407e-05,2.0,40,0.020563543,3.9876036e-06,0,8.082003962653377e-08,2.0
120,120,1648567.4,184.01749,5895.1343,5898.006,-88.21208,88.38549953137408,-0.05962701,1.2325092e-05,1.6376449e-05,1.6360507e-05,2.0,41,0.018874265,3.2001096e-06,0,7.34922369716047e-08,2.0
121,121,1426616.2,229.46292,7016.527,7020.278,-88.126915,88.8014940044668,-0.059550583,7.3475035e-06,1.5899768e-05,1.5882782e-05,2.0,41,0.021833496,3.1100615e-06,0,7.427883865665308e-08,2.0
122,122,1234551.2,-52.666954,8001.469,8001.6426,-90.37712,89.35349875068641,-0.05966936,1.5699377e-05,1.6111697e-05,1.6110998e-05,2.0,41,0.021072404,2.63351e-06,0,7.617320010112315e-08,2.0
123,123,1068345.5,294.66074,9571.314,9575.849,-88.23666,89.90549552356242,-0.059494242,-1.1477595e-06,1.556456e-05,1.5549824e-05,2.0,41,0.020613622,2.152668e-06,0,7.776543188687886e-08,2.0
124,124,924510.06,313.05722,10559.219,10563.858,-88.3018,90.45750424315338,-0.059406914,-5.7864495e-06,1.6303344e-05,1.6289026e-05,2.0,41,0.020449322,1.9357815e-06,0,7.885126144421406e-08,2.0
125,125,800039.0,326.5572,13944.0625,13947.886,-88.65843,91.00948424267699,-0.059495155,1.2693489e-06,1.4266572e-05,1.4258752e-05,2.0,41,0.02052059,1.4712331e-06,0,7.878083036502738e-08,2.0
126,126,692334.1,-1049.1162,14347.069,14385.376,-94.18226,91.56149728226592,-0.059590008,7.673383e-06,1.6022903e-05,1.5937683e-05,2.0,41,0.020155085,1.4010816e-06,0,7.944834532404204e-08,2.0
127,127,599122.25,1222.9501,16209.751,16255.818,-85.68548,92.11348968176753,-0.059642475,7.4536474e-06,1.638809e-05,1.6295338e-05,2.0,41,0.020654978,1.2706206e-06,0,7.889173740810584e-08,2.0
128,128,518454.94,816.058,18162.934,18181.258,-87.42744,92.66549749465776,-0.059538137,7.744146e-06,1.6901417e-05,1.6867365e-05,2.0,41,0.020503787,1.1277431e-06,0,8.00501168097409e-08,2.0
129,129,448662.03,1417.2067,21799.805,21845.822,-86.28043,93.21750586756389,-0.059524108,-2.259817e-07,1.6272272e-05,1.620379e-05,2.0,41,0.020244554,9.267014e-07,0,8.386276394860993e-08,2.0
130,130,388258.97,2221.2637,25882.281,25977.422,-85.094795,93.76950096045039,-0.05951958,3.5039636e-06,1.5837844e-05,1.5722047e-05,2.0,41,0.02082588,8.0169156e-07,0,8.576243994348055e-08,2.0
131,131,335983.9,13967.957,24275.084,28006.848,-60.083748,94.3215013066947,-0.05948623,-4.8832912e-06,1.9513756e-05,1.4659999e-05,2.0,41,0.020576475,7.346944e-07,0,8.615427452258473e-08,2.0
132,132,290751.2,3812.8364,33380.902,33597.953,-83.483795,94.87350805287133,-0.059415784,-6.013636e-06,1.6398366e-05,1.6187174e-05,2.0,41,0.020665843,6.150923e-07,0,8.705463871279386e-08,2.0
133,133,251605.19,3944.4292,38622.73,38823.625,-84.16876,95.42548933243961,-0.059686463,1.5967531e-05,1.6377875e-05,1.6208818e-05,2.0,41,0.020398863,5.2542396e-07,0,8.847164074836656e-08,2.0
134,134,217729.38,5633.729,44185.992,44543.695,-82.73397,95.977488531993,-0.059545126,4.85963e-06,1.6543161e-05,1.6278533e-05,2.0,41,0.020243851,4.5447177e-07,0,8.896297741692808e-08,2.0
135,135,188418.58,5319.498,50923.12,51200.207,-84.03644,96.5294869315403,-0.05942931,-4.82929e-06,1.6587517e-05,1.6408465e-05,2.0,41,0.020721156,4.0470846e-07,0,8.987340578339815e-08,2.0
136,136,163051.14,5417.4775,58030.984,58283.31,-84.66662,97.2484897923714,-0.059433986,2.2794618e-06,1.68204e-05,1.6675076e-05,2.0,42,0.019269189,3.3061247e-07,0,9.030211714557485e-08,2.0
137,137,141098.2,6764.8525,66569.18,66912.02,-84.19744,97.66448967877659,-0.059590604,4.052014e-06,1.694437e-05,1.6771175e-05,2.0,42,0.020971598,3.1342046e-07,0,9.060137179349108e-08,2.0
138,138,122105.11,5474.498,77549.31,77742.305,-85.961975,98.21649703834555,-0.059522953,3.070098e-06,1.6807702e-05,1.6724358e-05,2.0,42,0.020156272,2.592703e-07,0,9.103516315636915e-08,2.0
139,139,105663.59,16717.74,86219.664,87825.47,-79.02668,98.63248588473652,-0.059534263,3.2613782e-06,1.746982e-05,1.6836822e-05,2.0,42,0.021492168,2.4471453e-07,0,9.138691862029368e-08,2.0
140,140,91439.65,19979.455,101377.734,103327.75,-78.85107,99.18448361763149,-0.059511866,3.16192e-06,1.716892e-05,1.6527007e-05,2.0,42,0.020243105,1.959116e-07,0,9.191628201741904e-08,2.0
141,141,79127.08,22142.676,116748.695,118829.945,-79.26078,99.60049918407458,-0.059602138,3.52809e-06,1.7228322e-05,1.6630114e-05,2.0,42,0.021232085,1.7867622e-07,0,9.223966795384323e-08,2.0
142,142,68475.36,29912.283,133679.47,136985.2,-77.38719,100.1525072902732,-0.05952366,2.9004234e-06,1.7386858e-05,1.6557822e-05,2.0,42,0.02028275,1.4806525e-07,0,9.269897897759982e-08,2.0
143,143,59252.523,39891.492,152614.44,157741.88,-75.35135,100.568484083371,-0.059588294,2.2988322e-06,1.7600201e-05,1.64746e-05,2.0,42,0.020960892,1.3288096e-07,0,9.299065247290134e-08,2.0
144,144,51282.285,42794.734,175147.88,180300.22,-76.26965,100.98450436981511,-0.059550863,2.8028278e-06,1.7719354e-05,1.6721111e-05,2.0,42,0.021560399,1.1958055e-07,0,9.325621416667574e-08,2.0
145,145,44369.8,75664.92,184133.44,199073.61,-67.66104,101.53648999604047,-0.05954391,3.2889432e-06,1.9480494e-05,1.666625e-05,2.0,42,0.020094492,1.0094001e-07,0,9.377295875466826e-08,2.0
146,146,38403.727,76618.81,219883.52,232850.17,-70.78902,101.9525034824328,-0.059583746,3.197494e-06,1.8847515e-05,1.6806849e-05,2.0,42,0.020466223,8.7894385e-08,0,9.405525883218442e-08,2.0
147,147,33226.32,106845.69,240109.08,262808.62,-66.011505,102.36949067559908,-0.059506726,2.5715037e-06,1.9949375e-05,1.6652033e-05,2.0,42,0.020617057,7.8448934e-08,0,9.435936601106103e-08,2.0
148,148,28754.086,141680.8,267291.66,302519.88,-62.073696,102.78550802866812,-0.059440546,2.0965633e-06,2.0707857e-05,1.6165835e-05,2.0,42,0.020781297,6.869399e-08,0,9.467836951259972e-08,2.0
149,149,24884.947,170012.3,277540.25,325473.16,-58.509697,103.20148527508718,-0.059651215,3.704656e-06,2.3043976e-05,1.6756336e-05,2.0,42,0.020716928,6.3651726e-08,0,9.501750044323268e-08,2.0
150,150,21553.963,200937.05,300577.3,361555.56,-56.23713,103.6184838548943,-0.059517566,3.1919064e-06,2.4566132e-05,1.697849e-05,2.0,42,0.020715944,5.7296713e-08,0,9.511390420628866e-08,2.0
151,151,18631.234,240413.14,312432.8,394224.22,-52.422165,104.03450384803,-0.05950734,3.1319335e-06,2.7341468e-05,1.7173094e-05,2.0,42,0.02054983,5.2127263e-08,0,9.545003534838909e-08,2.0
152,152,16126.037,281760.75,327626.03,432120.28,-49.30423,104.45050120112137,-0.059470635,2.2410943e-06,3.0124098e-05,1.7316557e-05,2.0,42,0.020390606,4.718734e-08,0,9.578474492921155e-08,2.0
153,153,13954.87,306807.62,411464.9,513258.5,-53.290054,105.03249733542907,-0.059576407,3.0390472e-06,2.7717977e-05,1.7813729e-05,2.0,43,0.019723544,3.842809e-08,0,9.624790387053572e-08,2.0
154,154,12080.609,375578.9,338540.34,505637.3,-42.030952,105.44849071514909,-0.059644412,3.0519898e-06,3.8915343e-05,1.74447e-05,2.0,43,0.019371806,3.831166e-08,0,9.6598215444242e-08,2.0
155,155,10447.592,449146.22,326691.25,555391.3,-36.030666,105.86450753491954,-0.059587996,3.0296237e-06,4.663011e-05,1.6134045e-05,2.0,43,0.019000128,3.4210345e-08,0,9.693855178049522e-08,2.0
156,156,9045.586,465998.28,310591.88,560019.4,-33.6838,106.29625035545905,-0.059495043,2.969956e-06,5.6649144e-05,1.7424783e-05,2.0,43,0.021462096,3.8323847e-08,0,9.728256684810373e-08,2.0
157,157,7827.7437,528173.8,303966.28,609395.7,-29.92061,106.77592160491622,-0.059563197,3.0629963e-06,6.688953e-05,1.664218e-05,2.0,43,0.02154328,3.5351874e-08,0,9.767391055455457e-08,2.0
158,158,6770.8345,570102.75,271961.38,631648.75,-25.502974,107.31440848382772,-0.05946922,3.286769e-06,8.643123e-05,1.6022634e-05,2.0,43,0.021593751,3.418633e-08,0,9.815398545888795e-08,2.0
159,159,5860.798,586759.1,249646.27,637659.44,-23.04812,107.92098525931942,-0.059886385,3.2495045e-06,0.00010877731,1.667289e-05,2.0,43,0.021502161,3.3720447e-08,0,9.870634865874667e-08,2.0
160,160,5071.625,626058.3,240164.6,670543.1,-20.987501,108.60170067832951,-0.059563346,3.153727e-06,0.00013066643,1.6762106e-05,2.0,43,0.021561282,3.215495e-08,0,9.92890872310248e-08,2.0
161,161,4388.5933,642494.56,202495.64,673649.56,-17.49334,109.2818503906019,-0.05956901,3.1907307e-06,0.00017909321,1.6182381e-05,2.0,43,0.021618053,3.209095e-08,0,9.988911199336473e-08,2.0
162,162,3798.7827,659184.0,175335.31,682104.1,-14.89513,109.9618535429181,-0.059443172,3.019158e-06,0.00023894961,1.5788604e-05,2.0,43,0.021645837,3.173392e-08,0,1.0047498272987059e-07,2.0
163,163,3286.0488,667332.06,150087.7,684001.75,-12.675317,110.64171581521805,-0.059471305,3.107356e-06,0.00032270153,1.5537345e-05,2.0,43,0.021605833,3.1587394e-08,0,1.0105623788880279e-07,2.0
164,164,2844.088,673708.8,137357.78,687568.7,-11.523695,111.32183971418999,-0.059687413,3.215853e-06,0.00040740264,1.6259164e-05,2.0,43,0.021546796,3.1337663e-08,0,1.0165311185440324e-07,2.0
165,165,2460.7852,688968.8,126217.555,700434.8,-10.381343,112.00169001315226,-0.059567798,2.9411465e-06,0.0005124207,1.6639135e-05,2.0,43,0.02165621,3.0918237e-08,0,1.0222788898978645e-07,2.0
166,166,2129.3164,685779.2,103880.11,693602.3,-8.613539,112.68080868539982,-0.059489544,2.7584372e-06,0.0007195277,1.6139544e-05,2.0,43,0.021556819,3.107951e-08,0,1.0274032511415143e-07,2.0
167,167,1843.2289,694910.25,71151.36,698543.3,-5.8461013,113.36093943769811,-0.059510544,2.8394097e-06,0.00121355,1.2590338e-05,2.0,43,0.021736741,3.1117242e-08,0,1.032831908567946e-07,2.0
168,168,1594.4913,695491.9,71938.016,699202.44,-5.905373,114.04085242998553,-0.059620097,2.9275147e-06,0.0013875208,1.4687591e-05,2.0,43,0.021631254,3.093704e-08,0,1.0383412199798572e-07,2.0
169,169,1380.4436,694591.0,58950.99,697088.1,-4.851154,114.72069120896049,-0.05952856,2.882224e-06,0.0019557367,1.3986762e-05,2.0,43,0.021628732,3.1027255e-08,0,1.0437669853836339e-07,2.0
170,170,1194.6187,691400.1,53546.14,693470.5,-4.4284863,115.40085073458613,-0.059550397,2.9194882e-06,0.0024880704,1.4834162e-05,2.0,43,0.0215752,3.111192e-08,0,1.0493340203003202e-07,2.0
171,171,1033.3434,698269.25,41220.074,699484.8,-3.3783512,116.08109839356621,-0.05955854,2.944797e-06,0.0037365146,1.2975606e-05,2.0,43,0.021681173,3.0995917e-08,0,1.0549749030650683e-07,2.0
172,172,894.71045,702422.9,30052.076,703065.44,-2.4498172,116.76084922585869,-0.059500035,2.7759431e-06,0.0059192018,1.0814853e-05,2.0,43,0.021795133,3.100015e-08,0,1.059953771719076e-07,2.0
173,173,774.2569,698407.6,34462.34,699257.4,-2.824921,117.44095376480254,-0.05970109,2.9246655e-06,0.005964723,1.44879095e-05,2.0,43,0.021724947,3.10686e-08,0,1.0651875778537158e-07,2.0
