True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,195.04805,1124.8612,1141.6464,-80.16287,2.4664863304642495,0.022264436,6.0028533e-06,2.0212592e-05,1.9622606e-05,1.0,40,0.009911792,8.682016e-06,0,1.6332985831594567e-08,1.0
1,1,6057573.0,216.08,1353.8912,1371.0259,-80.93211,3.018498596647987,0.022294134,1.8821856e-05,1.9406076e-05,1.8924045e-05,1.0,40,0.014014917,1.0222212e-05,0,1.983846625910246e-08,1.0
2,2,5242039.0,236.16743,1624.7976,1641.8716,-81.729866,3.434497123089386,0.022288451,-4.2301954e-06,1.8686185e-05,1.8299566e-05,1.0,40,0.019256312,1.172827e-05,0,2.0446328683116616e-08,1.0
3,3,4536288.0,187.56665,1872.6083,1881.9785,-84.28014,4.80249550807639,0.022253219,6.133004e-06,1.8735815e-05,1.854971e-05,1.0,40,0.019476954,1.034919e-05,0,-1.8650507027157598e-09,1.0
4,4,3925558.5,291.6201,2169.9639,2189.4714,-82.34592,5.218492807849543,0.022270303,-1.6026012e-05,1.8683842e-05,1.835239e-05,1.0,40,0.018547373,8.471165e-06,0,-3.929323288679775e-09,1.0
5,5,3397055.0,349.54883,2440.3088,2465.2163,-81.84843,5.6344898675743025,0.022253536,-7.1326467e-06,1.9198742e-05,1.881275e-05,1.0,40,0.019564461,7.936204e-06,0,-5.3448735274186114e-09,1.0
6,6,2939708.2,439.61215,2791.037,2825.4463,-81.048965,6.050486660707975,0.022266783,1.3258862e-05,1.9397701e-05,1.8928116e-05,1.0,40,0.021456512,7.5940256e-06,0,-5.41547310134168e-09,1.0
7,7,2543924.5,506.65146,3107.2373,3148.2725,-80.73912,6.602490553545067,0.022306785,-1.3049147e-05,2.013453e-05,1.9613077e-05,1.0,40,0.020585602,6.538698e-06,0,-1.0384780266703172e-08,1.0
8,8,2201436.2,584.8965,3644.0938,3690.7349,-80.88149,7.154498046467779,0.022149831,2.9166467e-05,1.9839214e-05,1.9340952e-05,1.0,40,0.020787891,5.632453e-06,0,-1.0495947279328751e-08,1.0
9,9,1905053.1,659.87134,4149.8745,4202.0103,-80.96504,7.706492152676219,0.022253014,-1.1151406e-05,2.013159e-05,1.963513e-05,1.0,40,0.020551605,4.8908983e-06,0,-7.946183135970842e-09,1.0
10,10,1648567.4,747.5734,4803.801,4861.622,-81.15451,8.2584935122577,0.022197044,1.325886e-05,2.0096872e-05,1.9621673e-05,1.0,40,0.019858722,4.0847935e-06,0,-7.448577289235598e-09,1.0
11,11,1426616.2,711.794,5641.184,5685.913,-82.80853,8.977478853048524,0.022267863,-5.060213e-06,1.9776193e-05,1.9466273e-05,1.0,41,0.019372242,3.407059e-06,0,-1.454148044565626e-08,1.0
12,12,1234551.2,1011.4052,6425.5386,6504.6514,-81.05481,9.529488612577552,0.0223281,-8.50523e-06,2.0063258e-05,1.9578187e-05,1.0,41,0.0206372,3.1726834e-06,0,-1.4582929588744224e-08,1.0
13,13,1068345.5,1010.5741,7089.0674,7160.736,-81.886925,10.081498052139068,0.022155402,4.086828e-06,2.1014512e-05,2.0595968e-05,1.0,41,0.020441454,2.8546583e-06,0,-1.4497547676777837e-08,1.0
14,14,924510.06,1315.6519,8218.354,8322.997,-80.90486,10.633482185046887,0.022211503,6.1259125e-06,2.0947089e-05,2.0423671e-05,1.0,41,0.019908154,2.3919454e-06,0,-1.4914017677742523e-08,1.0
15,15,800039.0,2099.6355,11057.432,11255.011,-79.24842,11.185490237927297,0.022245338,-9.96881e-09,1.7990975e-05,1.7364864e-05,1.0,41,0.020535912,1.8246018e-06,0,-1.556298204717008e-08,1.0
16,16,692334.1,2438.7568,10666.63,10941.87,-77.12158,11.738494317542063,0.022348743,-6.4344867e-06,2.1551485e-05,2.0480875e-05,1.0,41,0.020330008,1.8580012e-06,0,-1.454114849000929e-08,1.0
17,17,599122.25,2692.0525,12805.3,13085.215,-78.127625,12.290482557058567,0.022323256,-3.3023011e-06,2.0745072e-05,1.986702e-05,1.0,41,0.02051577,1.5678588e-06,0,-1.5542495541729868e-08,1.0
