True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,383.91406,1920.3457,1958.3456,-78.69452,68.97845492963097,-0.1731613,1.6756749e-05,1.1839723e-05,1.1384703e-05,3.0,40,0.009553459,4.8783313e-06,0,-7.118664293243408e-09,3.0
221,221,6057573.0,407.42307,2242.6023,2279.311,-79.70314,69.26447126318817,-0.17316705,3.1747045e-06,1.1715727e-05,1.1341397e-05,3.0,40,0.013430118,5.892183e-06,0,-6.028656127941901e-09,3.0
222,222,5242039.0,486.52893,2502.7983,2549.649,-78.999245,69.41417956366786,-0.17313653,-4.248838e-06,1.2130929e-05,1.1689205e-05,3.0,40,0.018545583,7.273779e-06,0,-8.419926087844389e-09,3.0
223,223,4536288.0,495.17065,2886.0488,2928.22,-80.264336,70.65247079575784,-0.1730633,-3.5543097e-05,1.2156704e-05,1.1809073e-05,3.0,40,0.018789249,6.416611e-06,0,-9.268745613227164e-09,3.0
224,224,3925558.5,679.12646,3373.6086,3441.286,-78.61816,70.80218114957097,-0.17310354,-3.7831567e-05,1.2017773e-05,1.15497305e-05,3.0,40,0.018151704,5.2746864e-06,0,-1.0604613563956317e-08,3.0
225,225,3397055.0,792.0755,3705.1855,3788.9026,-77.93323,70.9521828633442,-0.17308374,-3.7719925e-05,1.2644673e-05,1.20920695e-05,3.0,40,0.019326769,5.1008883e-06,0,-1.2200195293962127e-08,3.0
226,226,2939708.2,831.0258,4159.046,4241.258,-78.70045,71.10217937713605,-0.17312233,-2.5179887e-05,1.3017338e-05,1.2517577e-05,3.0,40,0.021350196,5.03393e-06,0,-1.2742021518245316e-08,3.0
227,227,2543924.5,943.0493,4693.18,4786.9907,-78.63827,71.38845795075758,-0.17317031,-1.5895803e-05,1.3330568e-05,1.2813211e-05,3.0,40,0.020627309,4.3090345e-06,0,-1.6920778683712397e-08,3.0
228,228,2201436.2,971.9502,5607.8735,5691.479,-80.167244,71.84145381223061,-0.17319317,-1.5272408e-05,1.2891866e-05,1.2515896e-05,3.0,41,0.020093916,3.5305263e-06,0,-1.7639463097904775e-08,3.0
229,229,1905053.1,1368.3873,6475.89,6618.885,-78.068634,72.12746739920112,-0.17324147,-8.704488e-06,1.29007085e-05,1.2349315e-05,3.0,41,0.020399626,3.0820338e-06,0,-1.918908477926785e-08,3.0
