True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,375.4008,1948.4113,1984.246,-79.094444,69.03744871905656,-0.24051645,3.2608543e-05,1.166918e-05,1.1251504e-05,3.0,40,0.009547438,4.81162e-06,0,-2.8232023579957874e-09,3.0
221,221,6057573.0,533.23584,2228.8127,2291.7126,-76.54509,69.32345651931246,-0.2404605,-2.2165841e-05,1.1788211e-05,1.1149997e-05,3.0,40,0.013369514,5.833853e-06,0,-4.7523247371168665e-09,3.0
222,222,5242039.0,431.45737,2463.4702,2500.968,-80.06586,69.47316532643163,-0.240424,-2.9310295e-05,1.2324593e-05,1.195779e-05,3.0,40,0.018512886,7.4022882e-06,0,-6.593467714251646e-09,3.0
223,223,4536288.0,464.86533,2859.7864,2897.3225,-80.76718,70.71145951861399,-0.24044919,-7.0024303e-06,1.2268343e-05,1.1952518e-05,3.0,40,0.01975235,6.8174495e-06,0,-9.707990159525318e-09,3.0
224,224,3925558.5,559.4596,3208.8896,3257.2944,-80.11007,70.8611789123679,-0.24044083,-3.6157086e-05,1.26346695e-05,1.2261947e-05,3.0,40,0.018559089,5.6977005e-06,0,-1.04668179708089e-08,3.0
225,225,3397055.0,729.3969,3657.9702,3729.982,-78.72316,71.01118339950335,-0.2405028,1.19936685e-05,1.2807885e-05,1.2318115e-05,3.0,40,0.01967308,5.2743094e-06,0,-1.079105143177333e-08,3.0
226,226,2939708.2,814.5271,4050.2761,4131.3667,-78.62926,71.16116441992926,-0.24049824,-1.9045468e-06,1.3366917e-05,1.2847335e-05,3.0,40,0.02170052,5.2526248e-06,0,-1.2034344008571038e-08,3.0
227,227,2543924.5,1008.8667,4699.4434,4806.514,-77.88376,71.44746627353015,-0.24049132,-2.5421767e-05,1.3312802e-05,1.2726292e-05,3.0,40,0.020545512,4.274514e-06,0,-1.4016213961500768e-08,3.0
228,228,2201436.2,814.89215,5596.464,5655.4805,-81.71548,71.90044954841142,-0.24054518,-1.3419541e-05,1.2918149e-05,1.2649947e-05,3.0,41,0.02014557,3.5621326e-06,0,-1.7154271642094364e-08,3.0
229,229,1905053.1,1193.5803,6113.596,6229.02,-78.95289,72.18646948199603,-0.24060778,-3.5201815e-06,1.3665209e-05,1.3163468e-05,3.0,41,0.020269785,3.254089e-06,0,-1.7414288269257443e-08,3.0
