True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,479.56882,2089.1555,2143.4917,-77.07164,2.1604562092397828,-0.31398124,-1.4760778e-05,1.0883039e-05,1.0338276e-05,1.0,40,0.010014801,4.6721902e-06,0,1.4516916923968084e-09,1.0
1,1,6057573.0,500.2507,2095.737,2154.6147,-76.57476,2.446448036149377,-0.31398225,-8.528085e-06,1.2536742e-05,1.1860938e-05,1.0,40,0.01422737,6.603208e-06,0,1.595706163710828e-09,1.0
2,2,5242039.0,479.28284,2561.1687,2605.628,-79.40058,2.596164576621959,-0.31396705,-6.928012e-06,1.1854458e-05,1.145337e-05,1.0,40,0.019856045,7.620445e-06,0,3.5633587768618074e-09,1.0
3,3,4536288.0,435.7677,2837.9277,2871.1892,-81.27034,3.562467742507579,-0.31401747,-1.7424318e-07,1.2362838e-05,1.2078061e-05,1.0,40,0.020781474,7.2379326e-06,0,4.698865260782744e-09,1.0
4,4,3925558.5,570.559,3306.4788,3355.345,-80.20957,3.7121583629923407,-0.31405684,3.602642e-06,1.2261764e-05,1.1907211e-05,1.0,40,0.01956808,5.831913e-06,0,3.280606878951807e-09,1.0
5,5,3397055.0,775.237,3747.0896,3826.4438,-78.31097,3.862160796736134,-0.31405532,-1.5598116e-05,1.2503267e-05,1.1990049e-05,1.0,40,0.020637859,5.3934828e-06,0,1.1680133534607901e-09,1.0
6,6,2939708.2,774.4772,4313.531,4382.5063,-79.82123,4.148459290358005,-0.31406432,8.905181e-06,1.2551135e-05,1.2159163e-05,1.0,40,0.020483706,4.6739706e-06,0,1.5578460502499386e-09,1.0
7,7,2543924.5,917.22705,4819.4766,4905.982,-79.22452,4.43447071724222,-0.3140628,-1.4984137e-05,1.2981236e-05,1.25274855e-05,1.0,40,0.020604117,4.1997946e-06,0,5.396630581654133e-09,1.0
8,8,2201436.2,667.17334,5677.4927,5716.5586,-83.2978,4.887458178767702,-0.31400016,-1.9203471e-05,1.27337835e-05,1.25603365e-05,1.0,41,0.020058079,3.5087683e-06,0,-4.409948208607122e-09,1.0
9,9,1905053.1,907.23456,6469.365,6532.669,-82.01716,5.173453899013111,-0.31403053,-1.5888778e-05,1.291372e-05,1.2664656e-05,1.0,41,0.02044601,3.1298096e-06,0,-6.133133135894771e-09,1.0
10,10,1648567.4,1263.12,7340.5254,7448.408,-80.23645,5.459470739267999,-0.31405112,-1.3782652e-05,1.3151834e-05,1.277361e-05,1.0,41,0.019878332,2.6688026e-06,0,-7.035999768150861e-09,1.0
11,11,1426616.2,1676.2457,8380.207,8546.208,-78.68872,5.7454516061989125,-0.3141532,-5.4940915e-06,1.3312458e-05,1.2800319e-05,1.0,41,0.0206117,2.4117949e-06,0,-8.047442163189089e-09,1.0
12,12,1234551.2,1836.2545,9610.097,9783.956,-79.18256,6.031467993132537,-0.31405395,-1.2428848e-05,1.341477e-05,1.294225e-05,1.0,41,0.020424964,2.0875977e-06,0,-8.034030328269006e-09,1.0
13,13,1068345.5,1210.6282,10511.865,10581.349,-83.43031,6.317464086721884,-0.31408787,-9.285488e-06,1.4171918e-05,1.3986407e-05,1.0,41,0.020675268,1.953935e-06,0,-8.510669228112672e-09,1.0
14,14,924510.06,2708.2732,12458.641,12749.606,-77.73579,6.60345223362674,-0.31409723,-7.259436e-06,1.3817766e-05,1.3194277e-05,1.0,41,0.02022955,1.5866804e-06,0,-9.305524107017188e-09,1.0
15,15,800039.0,3022.4004,11428.657,11821.553,-75.18679,6.889461953862337,-0.3141402,-5.400982e-06,1.7406592e-05,1.6268785e-05,1.0,41,0.019970126,1.6892981e-06,0,-9.595222662189448e-09,1.0
16,16,692334.1,3932.7927,16325.057,16792.092,-76.45523,7.175447274144972,-0.31413123,-6.9112098e-06,1.40815255e-05,1.3309125e-05,1.0,41,0.020457134,1.21826e-06,0,-9.521643639584137e-09,1.0
17,17,599122.25,5107.1675,18146.074,18851.078,-74.280876,7.46146446102648,-0.31402865,-1.3272414e-05,1.4639358e-05,1.356485e-05,1.0,41,0.020762144,1.1013769e-06,0,-1.023413855979369e-08,1.0
18,18,518454.94,6060.0205,20638.8,21510.09,-73.636566,7.747462661267491,-0.31417298,-3.2836833e-06,1.4873894e-05,1.3693331e-05,1.0,41,0.020412058,9.489527e-07,0,-1.1181132099267188e-08,1.0
19,19,448662.03,7491.0737,23043.352,24230.398,-71.99138,8.033455608208897,-0.31408483,-1.0328308e-05,1.5394131e-05,1.392276e-05,1.0,41,0.020207264,8.339633e-07,0,-1.162208695679586e-08,1.0
20,20,388258.97,9976.351,24918.332,26841.215,-68.18072,8.319451275136089,-0.31406468,-1.01402275e-05,1.6450522e-05,1.4177945e-05,1.0,41,0.020775527,7.740159e-07,0,-1.2567921397795266e-08,1.0
21,21,335983.9,20067.568,22815.326,30384.97,-48.666264,8.605466115375748,-0.31406662,-9.557367e-06,2.0762276e-05,1.1706058e-05,1.0,41,0.020447753,6.7295616e-07,0,-1.2860123037607234e-08,1.0
22,22,290751.2,14653.884,32057.182,35247.684,-65.43405,8.891471382317832,-0.3140278,-1.2697002e-05,1.7075494e-05,1.4124165e-05,1.0,41,0.020634115,5.854034e-07,0,-1.2500490526930561e-08,1.0
23,23,251605.19,17290.53,35392.215,39389.99,-63.96262,9.177453582553426,-0.31407797,-1.0603912e-05,1.787281e-05,1.4429012e-05,1.0,41,0.020433154,5.187398e-07,0,-1.2737333853234389e-08,1.0
24,24,217729.38,22412.078,37651.016,43816.668,-59.236427,9.463461782812374,-0.31402972,-1.27528665e-05,1.9414509e-05,1.4335113e-05,1.0,41,0.020131959,4.594589e-07,0,-1.3170668222691183e-08,1.0
25,25,188418.58,26124.531,41027.83,48639.223,-57.512993,9.749462303036125,-0.31404594,-1.24865755e-05,2.0588175e-05,1.4648787e-05,1.0,41,0.02076705,4.2696098e-07,0,-1.4291588274223462e-08,1.0
26,26,163051.14,30078.18,44422.586,53647.582,-55.898384,10.202467551251175,-0.31403697,-1.2861082e-05,2.1973157e-05,1.5066065e-05,1.0,42,0.019358015,3.6083668e-07,0,-1.5359422288778884e-08,1.0
27,27,141098.2,35675.7,47238.383,59196.457,-52.938915,10.352159611677052,-0.31407186,-1.2510556e-05,2.3878312e-05,1.5205554e-05,1.0,42,0.020999882,3.5474898e-07,0,-1.5827833155085278e-08,1.0
28,28,122105.11,39365.324,44543.75,59445.56,-48.531517,10.638466851931298,-0.3140618,-1.2699602e-05,2.9261697e-05,1.6429874e-05,1.0,42,0.02005675,3.3739695e-07,0,-1.6899405814231303e-08,1.0
29,29,105663.59,47601.156,48987.992,68305.88,-45.8226,10.788178699061973,-0.31403348,-1.27241865e-05,3.0747167e-05,1.5814963e-05,1.0,42,0.021583023,3.1597605e-07,0,-1.744107175448168e-08,1.0
30,30,91439.65,54332.92,50150.92,73940.39,-42.70794,11.074464525998337,-0.31403983,-1.2602006e-05,3.470617e-05,1.596618e-05,1.0,42,0.020313885,2.7473325e-07,0,-1.836527219856728e-08,1.0
31,31,79127.08,61465.543,50422.45,79501.17,-39.363293,11.224157679796917,-0.31404018,-1.2842456e-05,3.9890645e-05,1.6046188e-05,1.0,42,0.021273721,2.6759002e-07,0,-1.8839679168502798e-08,1.0
32,32,68475.36,71594.016,49786.12,87202.984,-34.81456,11.510462120029842,-0.31409818,-1.218946e-05,4.6685018e-05,1.5217082e-05,1.0,42,0.020328477,2.3311675e-07,0,-1.9886094875865804e-08,1.0
33,33,59252.523,75454.6,45758.684,88245.42,-31.234295,11.660175513796275,-0.31403098,-1.27973835e-05,5.870022e-05,1.5783467e-05,1.0,42,0.02086639,2.3645862e-07,0,-2.0411145510799146e-08,1.0
34,34,51282.285,80542.484,44705.105,92117.52,-29.032463,11.810169147589477,-0.3140777,-1.27485855e-05,6.942177e-05,1.6350288e-05,1.0,42,0.021417104,2.3249761e-07,0,-2.091390784821259e-08,1.0
35,35,44369.8,85978.586,42121.992,95742.26,-26.100815,11.960171821381664,-0.31405,-1.2864993e-05,8.515767e-05,1.6482922e-05,1.0,42,0.021742158,2.270905e-07,0,-2.1460103467939955e-08,1.0
36,36,38403.727,90889.78,39458.227,99085.336,-23.467241,12.246461248287233,-0.31411135,-1.224552e-05,0.000105028994,1.6655802e-05,1.0,42,0.020238286,2.0425107e-07,0,-2.2480225663411248e-08,1.0
37,37,33226.32,92257.48,32600.47,97848.01,-19.461575,12.396173415443627,-0.3140655,-1.2587292e-05,0.0001469312,1.6310143e-05,1.0,42,0.020382516,2.0830794e-07,0,-2.3042528326465227e-08,1.0
38,38,28754.086,97317.414,31211.975,102200.13,-17.782263,12.546178489254089,-0.3140144,-1.3176218e-05,0.00017733699,1.6540129e-05,1.0,42,0.020556029,2.0113505e-07,0,-2.3508420233653293e-08,1.0
39,39,24884.947,100464.08,28217.361,104351.57,-15.688468,12.696178843005328,-0.31406382,-1.2764975e-05,0.00022665589,1.6573027e-05,1.0,42,0.020585073,1.9726654e-07,0,-2.3945940933046422e-08,1.0
40,40,21553.963,102143.09,24699.336,105086.96,-13.59381,12.846161383466097,-0.3141021,-1.2301396e-05,0.0002989563,1.6515078e-05,1.0,42,0.020584913,1.9588455e-07,0,-2.4456513699804134e-08,1.0
41,41,18631.234,104059.9,22245.918,106411.2,-12.067047,12.996158883936005,-0.3140107,-1.2776894e-05,0.00038399728,1.6782402e-05,1.0,42,0.020516299,1.9280206e-07,0,-2.4893868831726372e-08,1.0
42,42,16126.037,104892.625,19019.736,106603.06,-10.2775345,13.146161371056223,-0.31406265,-1.2527317e-05,0.0005189051,1.6518004e-05,1.0,42,0.02039845,1.9134956e-07,0,-2.5321005611136667e-08,1.0
43,43,13954.87,100178.22,16176.716,101475.914,-9.172904,13.296163938153768,-0.31404394,-1.2697179e-05,0.00070502417,1.7916731e-05,1.0,42,0.01973679,1.9449728e-07,0,-2.5810661905944363e-08,1.0
44,44,12080.609,107107.17,15089.001,108164.805,-8.01892,13.446169598639244,-0.31414798,-1.1810064e-05,0.00087311363,1.6991034e-05,1.0,42,0.019766675,1.8274591e-07,0,-2.6386537258637154e-08,1.0
