True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,151.40027,1249.3104,1258.4508,-83.09019,83.18449688437977,-0.053530328,4.4585886e-06,1.8199127e-05,1.7935721e-05,2.0,40,0.009506682,7.5542735e-06,0,-5.884567907700195e-08,2.0
111,111,6057573.0,255.11641,1472.0631,1494.0061,-80.16799,83.73648736390169,-0.053475793,-2.681719e-05,1.7848226e-05,1.732779e-05,2.0,40,0.013248668,8.867881e-06,0,-5.6794797224370384e-08,2.0
112,112,5242039.0,229.8351,1692.7587,1708.2904,-82.26792,84.15248666369007,-0.053489767,-1.1337479e-05,1.7935969e-05,1.7611304e-05,2.0,40,0.018248811,1.0682499e-05,0,-5.753568184870072e-08,2.0
113,113,4536288.0,210.95636,1957.3783,1968.7134,-83.848694,85.65648852175218,-0.05348002,-1.5951608e-05,1.7924405e-05,1.7718596e-05,2.0,40,0.021727433,1.1036362e-05,0,-6.630024904443548e-08,2.0
114,114,3925558.5,300.50928,2258.5715,2278.4756,-82.42115,86.07250264819595,-0.05347613,-2.960797e-05,1.795084e-05,1.7638586e-05,2.0,40,0.01917062,8.413792e-06,0,-6.940157127725893e-08,2.0
115,115,3397055.0,355.9022,2552.548,2577.2405,-82.062416,86.48849506795523,-0.05360506,9.909876e-06,1.8354545e-05,1.8004523e-05,2.0,40,0.020404266,7.917099e-06,0,-7.066116761468007e-08,2.0
116,116,2939708.2,375.56448,2914.2942,2938.394,-82.65678,87.04048576086643,-0.053564407,-1.4518997e-05,1.8577295e-05,1.8273815e-05,2.0,40,0.020402249,6.943333e-06,0,-7.844755409437079e-08,2.0
117,117,2543924.5,389.6393,3401.7947,3424.0364,-83.46585,87.59250448041712,-0.053541023,-3.28453e-05,1.8391105e-05,1.8152952e-05,2.0,40,0.020747583,6.0593934e-06,0,-8.233964290575911e-08,2.0
118,118,2201436.2,583.871,3892.4185,3935.9658,-81.46912,88.14448397330125,-0.053584136,-9.5513515e-06,1.8573532e-05,1.8164812e-05,2.0,40,0.020872405,5.3029944e-06,0,-8.251724821621388e-08,2.0
119,119,1905053.1,545.22906,4556.449,4588.9546,-83.17638,88.69649343952187,-0.053589877,-1.2956135e-05,1.8335235e-05,1.8076404e-05,2.0,40,0.02071222,4.513494e-06,0,-8.028663883057005e-08,2.0
120,120,1648567.4,579.70135,5054.717,5087.8496,-83.4576,89.24848309237859,-0.05354339,-3.187783e-05,1.9099263e-05,1.8851319e-05,2.0,40,0.019796878,3.8910107e-06,0,-8.342726948447105e-08,2.0
121,121,1426616.2,624.3105,5959.539,5992.151,-84.019615,89.96749080650625,-0.053551942,-6.2687714e-06,1.8719762e-05,1.8516554e-05,2.0,41,0.01932399,3.2248836e-06,0,-7.750650023950495e-08,2.0
122,122,1234551.2,671.23645,6824.0933,6857.026,-84.3823,90.51950149939512,-0.053571336,-1.4140527e-06,1.8891484e-05,1.8710456e-05,2.0,41,0.020532414,2.9943615e-06,0,-7.636860219298056e-08,2.0
123,123,1068345.5,903.5115,7960.7603,8011.8687,-83.52489,91.07148344561574,-0.053569827,-1.3954332e-06,1.871345e-05,1.8475463e-05,2.0,41,0.020624632,2.57426e-06,0,-7.559604266471512e-08,2.0
124,124,924510.06,1131.8975,9159.768,9229.438,-82.95551,91.62348472516169,-0.05356161,-8.2001964e-07,1.879421e-05,1.8511533e-05,2.0,41,0.020208798,2.1896021e-06,0,-7.542010037596312e-08,2.0
125,125,800039.0,876.64636,10344.351,10381.431,-85.15597,92.1755004847364,-0.053556114,-6.207637e-07,1.923117e-05,1.9094037e-05,2.0,41,0.020904439,2.0136376e-06,0,-7.47559548144352e-08,2.0
126,126,692334.1,1756.3607,12171.092,12297.165,-81.78857,92.72749792426475,-0.05354378,-1.7064168e-06,1.8887516e-05,1.8502224e-05,2.0,41,0.020253925,1.6470402e-06,0,-7.597006701102297e-08,2.0
127,127,599122.25,2054.6394,13866.183,14017.58,-81.57146,93.27950285715633,-0.053624902,8.354591e-07,1.9157895e-05,1.8746297e-05,2.0,41,0.020720717,1.478195e-06,0,-7.710281707477407e-08,2.0
128,128,518454.94,2519.4446,15813.49,16012.935,-80.94758,93.83148296337458,-0.053549126,-2.1067856e-06,1.9412497e-05,1.8931934e-05,2.0,41,0.020377837,1.272586e-06,0,-7.722707081933638e-08,2.0
129,129,448662.03,3470.8057,18243.865,18571.082,-79.22848,94.38350402962533,-0.053531315,-3.391687e-06,1.9443925e-05,1.876477e-05,2.0,41,0.020133497,1.0841317e-06,0,-7.720279391251792e-08,2.0
130,130,388258.97,4348.692,21137.094,21579.803,-78.37433,94.93548376249964,-0.053568915,-2.7439899e-07,1.9393374e-05,1.8605828e-05,2.0,41,0.021013582,9.737615e-07,0,-7.790960565551883e-08,2.0
131,131,335983.9,2038.0781,24709.541,24793.451,-85.284836,95.48749269536347,-0.053606924,6.10135e-07,1.9170655e-05,1.9041114e-05,2.0,41,0.01998428,8.060306e-07,0,-7.712342228219566e-08,2.0
