True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,323.92676,1850.3011,1878.4417,-80.07003,59.164480223465944,-0.08560084,1.6347427e-05,1.2287924e-05,1.1922517e-05,2.0,40,0.010064033,5.35765e-06,0,8.720069471571396e-09,2.0
111,111,6057573.0,406.73093,2163.5378,2201.4373,-79.353035,59.58350448336569,-0.085541666,-1.6807484e-05,1.2143867e-05,1.1729334e-05,2.0,40,0.01438775,6.5356166e-06,0,1.1459855853413062e-08,2.0
112,112,5242039.0,385.88562,2443.9084,2474.186,-81.02725,59.86648481679731,-0.085543826,-6.8349814e-06,1.2423243e-05,1.2121047e-05,2.0,40,0.01997257,8.07238e-06,0,9.285235193859956e-09,2.0
113,113,4536288.0,379.9615,2791.423,2817.164,-82.24868,60.96548998900107,-0.08556428,-7.4675672e-06,1.25688e-05,1.2340163e-05,2.0,40,0.019887531,7.059415e-06,0,1.9956874143148714e-09,2.0
114,114,3925558.5,449.9971,3274.8188,3305.5916,-82.17591,61.24848698909045,-0.08558267,1.7234926e-06,1.23803065e-05,1.2150876e-05,2.0,40,0.01911163,5.7816064e-06,0,1.864133007206941e-09,2.0
115,115,3397055.0,555.71216,3713.3496,3754.7012,-81.48871,61.53149244256201,-0.08560132,-1.160341e-06,1.26168725e-05,1.2340497e-05,2.0,40,0.020143572,5.3648937e-06,0,3.1196415913660797e-09,2.0
116,116,2939708.2,682.703,4191.066,4246.306,-80.74808,61.95050480912323,-0.08563348,5.1654933e-06,1.2917884e-05,1.2583973e-05,2.0,40,0.020205295,4.7583226e-06,0,-2.5622079550720045e-09,2.0
117,117,2543924.5,882.80945,4826.1987,4906.2764,-79.63404,62.369484695693245,-0.0856087,-6.2023996e-06,1.2963155e-05,1.2543453e-05,2.0,40,0.020627957,4.2044016e-06,0,-8.626317259029983e-09,2.0
118,118,2201436.2,902.058,5671.5234,5742.8115,-80.96278,62.95550616350374,-0.08564078,-1.276269e-06,1.2747185e-05,1.2432676e-05,2.0,41,0.020033212,3.488398e-06,0,-8.122207356005835e-09,2.0
119,119,1905053.1,896.69666,6499.069,6560.637,-82.144325,63.374482716753846,-0.08564279,3.1035906e-06,1.2854698e-05,1.2614561e-05,2.0,41,0.02034014,3.10033e-06,0,-8.171445811877614e-09,2.0
120,120,1648567.4,1383.5416,7550.3296,7676.045,-79.61617,63.79350102998433,-0.08559325,-1.3041877e-06,1.2786378e-05,1.2370987e-05,2.0,41,0.019943846,2.598193e-06,0,-7.336584922174656e-09,2.0
121,121,1426616.2,1565.2507,8610.995,8752.1,-79.69763,64.21249062326388,-0.08563236,-1.1425465e-07,1.2955662e-05,1.2541279e-05,2.0,41,0.020579152,2.351339e-06,0,-7.144562356628192e-09,2.0
122,122,1234551.2,2209.0166,9842.088,10086.944,-77.34984,64.63148469649605,-0.085606486,-7.23188e-07,1.3098566e-05,1.247036e-05,2.0,41,0.02039285,2.0217074e-06,0,-6.710072657656379e-09,2.0
123,123,1068345.5,2788.53,11349.182,11686.737,-76.1957,65.0505023697333,-0.08559622,-8.963705e-07,1.3126347e-05,1.2379024e-05,2.0,41,0.020675575,1.7691486e-06,0,-7.496086516031693e-09,2.0
124,124,924510.06,3543.188,12602.617,13091.224,-74.29683,65.46950574961375,-0.08561673,9.6170794e-08,1.3659907e-05,1.2659272e-05,2.0,41,0.020255255,1.5472392e-06,0,-7.97701596328901e-09,2.0
125,125,800039.0,3486.1892,13508.731,13951.32,-75.52945,65.88850275616278,-0.085602604,-1.6133099e-06,1.4726325e-05,1.3806796e-05,2.0,41,0.02027709,1.4534173e-06,0,-7.314742026997322e-09,2.0
126,126,692334.1,6280.403,15840.156,17039.777,-68.37236,66.3074884293892,-0.08565163,2.2991298e-06,1.45125905e-05,1.2541112e-05,2.0,41,0.02032093,1.1925584e-06,0,-6.6977277399401635e-09,2.0
127,127,599122.25,8041.888,17577.549,19329.826,-65.415474,66.72650647597038,-0.08563098,1.1203707e-06,1.5112851e-05,1.2497038e-05,2.0,41,0.02074759,1.073346e-06,0,-6.282883581825851e-09,2.0
128,128,518454.94,9415.707,19419.805,21582.037,-64.13354,67.1454995891836,-0.0856163,5.0957516e-07,1.5807538e-05,1.2798795e-05,2.0,41,0.02042901,9.465747e-07,0,-6.481555467073383e-09,2.0
129,129,448662.03,12304.588,21381.79,24669.49,-60.080845,67.56449710243032,-0.0856321,3.0663473e-06,1.6590397e-05,1.2463054e-05,2.0,41,0.020086894,8.142403e-07,0,-6.12115356446837e-09,2.0
130,130,388258.97,14043.971,22345.354,26392.195,-57.850796,67.98348645566148,-0.08561872,1.621297e-06,1.8344734e-05,1.3150275e-05,2.0,41,0.020820936,7.88905e-07,0,-4.867325825258284e-09,2.0
131,131,335983.9,21591.766,24623.398,32749.291,-48.753124,68.40248239555513,-0.085620254,-3.693736e-07,1.9237721e-05,1.0875415e-05,2.0,41,0.020722901,6.3277406e-07,0,-4.856653055302769e-09,2.0
132,132,290751.2,21634.041,24384.81,32598.324,-48.420776,68.82149550880422,-0.08559883,-1.6039987e-06,2.2448083e-05,1.2561094e-05,2.0,41,0.020522201,6.2954774e-07,0,-5.496022225003018e-09,2.0
133,133,251605.19,25154.602,24895.88,35391.508,-44.70383,69.2404901420523,-0.08562469,-4.2337723e-07,2.5408151e-05,1.2572739e-05,2.0,41,0.02040364,5.765123e-07,0,-4.9188539110541404e-09,2.0
134,134,217729.38,28772.412,24483.545,37779.566,-40.39573,69.65949850864126,-0.08561615,-4.5503387e-07,2.9855808e-05,1.2539016e-05,2.0,41,0.020241722,5.357849e-07,0,-4.921984921749889e-09,2.0
135,135,188418.58,31862.975,23411.107,39538.957,-36.306335,70.07849242186057,-0.08560898,6.4513515e-08,3.6080655e-05,1.2649342e-05,2.0,41,0.020704329,5.236438e-07,0,-4.790715106857826e-09,2.0
136,136,163051.14,35579.273,21875.016,41766.027,-31.584225,70.4974877484201,-0.08560063,-3.2840592e-07,4.4621887e-05,1.2240477e-05,2.0,41,0.020339465,4.8698587e-07,0,-3.85390878022513e-09,2.0
137,137,141098.2,37762.14,20464.764,42950.97,-28.454977,70.91648952834657,-0.08564453,1.3401079e-06,5.5117802e-05,1.2512942e-05,2.0,41,0.020245036,4.7135225e-07,0,-4.286988848605924e-09,2.0
138,138,122105.11,39653.86,18668.564,43828.574,-25.210499,71.19950082179275,-0.08564305,1.7963425e-06,6.981928e-05,1.2667256e-05,2.0,41,0.021815486,4.9774576e-07,0,-3.836960230555439e-09,2.0
139,139,105663.59,41798.31,17745.584,45409.297,-23.003782,71.61848412166,-0.085596815,-2.1853727e-07,8.487982e-05,1.2962701e-05,2.0,41,0.020453552,4.504265e-07,0,-3.204357019756681e-09,2.0
140,140,91439.65,43244.043,16040.611,46123.188,-20.351444,71.90150016176631,-0.08563991,2.4425187e-06,0.00010850873,1.312405e-05,2.0,41,0.021646947,4.6932894e-07,0,-3.494798707747826e-09,2.0
141,141,79127.08,44865.5,14320.6,47095.57,-17.702541,72.32049644834478,-0.08559447,-9.969281e-07,0.00014045389,1.29866185e-05,2.0,41,0.020276345,4.3053615e-07,0,-2.3845661740350287e-09,2.0
142,142,68475.36,45648.215,12949.282,47449.38,-15.837342,72.60350184843992,-0.08561345,1.1445794e-06,0.00017948994,1.3368123e-05,2.0,41,0.02111023,4.449e-07,0,-2.364208628324032e-09,2.0
143,143,59252.523,46473.76,11337.609,47836.723,-13.709923,72.88649820853607,-0.085617475,1.2227914e-06,0.00023691458,1.3307973e-05,2.0,41,0.02179311,4.5557283e-07,0,-2.1768089546116483e-09,2.0
144,144,51282.285,46690.984,10701.151,47901.594,-12.908731,73.30548508177162,-0.085593574,7.3676136e-07,0.0002900162,1.4473826e-05,2.0,41,0.020196566,4.216262e-07,0,-2.4595237033807986e-09,2.0
145,145,44369.8,47393.04,9236.632,48284.734,-11.028373,73.58849493521848,-0.085582204,-1.313498e-06,0.00038834618,1.4211064e-05,2.0,41,0.020595558,4.265439e-07,0,-2.027472723042045e-09,2.0
146,146,38403.727,48656.293,9141.948,49507.676,-10.641146,74.03750626320834,-0.08560404,-9.3802566e-07,0.00045332324,1.5457543e-05,2.0,42,0.018809786,3.7993675e-07,0,-2.314611333131131e-09,2.0
147,147,33226.32,49191.723,8193.304,49869.387,-9.456297,74.32048136999947,-0.08561647,-8.771212e-07,0.000584627,1.5780795e-05,2.0,42,0.019027105,3.8153877e-07,0,-2.410764344791557e-09,2.0
148,148,28754.086,49482.824,7694.4004,50077.477,-8.838505,74.60348789012642,-0.085609145,-9.486413e-07,0.0007193592,1.6982845e-05,2.0,42,0.019092146,3.8125216e-07,0,-2.5656066534748157e-09,2.0
149,149,24884.947,49990.168,7068.662,50487.453,-8.0483265,74.88649014357361,-0.08561669,-7.972189e-07,0.0009047867,1.773592e-05,2.0,42,0.019186815,3.8003137e-07,0,-2.5539287716630377e-09,2.0
150,150,21553.963,50149.07,6489.107,50567.16,-7.372898,75.16948186364607,-0.08562947,-7.0688674e-07,0.0011379104,1.8738758e-05,2.0,42,0.01919103,3.7951568e-07,0,-2.6108936937820658e-09,2.0
151,151,18631.234,50211.117,6209.7935,50593.652,-7.0501804,75.45248937045108,-0.085626826,-7.8585646e-07,0.001375629,2.0723523e-05,2.0,42,0.019171316,3.789273e-07,0,-2.754806289741316e-09,2.0
152,152,16126.037,50579.023,5845.255,50915.66,-6.592245,75.73548799721175,-0.085591614,-9.762044e-07,0.0016884531,2.2253234e-05,2.0,42,0.019127412,3.7566855e-07,0,-2.641117579761401e-09,2.0
153,153,13954.87,50380.867,8035.3276,51017.63,-9.061875,76.01849889065488,-0.085606575,-7.3258747e-07,0.0014193541,3.52093e-05,2.0,42,0.018748323,3.6748713e-07,0,-2.880002104906095e-09,2.0
154,154,12080.609,50904.242,5942.5234,51249.93,-6.658529,76.30148215740337,-0.08563445,-5.0722326e-07,0.0022169729,2.9806819e-05,2.0,42,0.018807793,3.6698182e-07,0,-3.022141088554105e-09,2.0
