True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,234.413,1552.7506,1570.3452,-81.4151,116.31749155142461,-0.023395179,2.0217385e-05,1.46426355e-05,1.43163525e-05,3.0,40,0.010056873,6.4042433e-06,0,9.013710028375735e-09,3.0
221,221,6057573.0,478.06754,1955.1481,2012.7476,-76.259796,116.73649106468656,-0.023454316,-2.6538066e-05,1.3438223e-05,1.2680096e-05,3.0,40,0.014216439,7.0632e-06,0,2.831966606634811e-09,3.0
222,222,5242039.0,198.46664,2168.6887,2177.751,-84.771164,117.01950491810567,-0.02332259,-4.4027125e-05,1.3999827e-05,1.3883555e-05,3.0,40,0.01977453,9.080253e-06,0,2.3906051809833667e-09,3.0
223,223,4536288.0,296.5353,2694.615,2710.8823,-83.72002,118.11850323693943,-0.023378523,-1.414687e-05,1.3020353e-05,1.2864559e-05,3.0,40,0.02154303,7.94687e-06,0,-4.9151917603629e-09,3.0
224,224,3925558.5,257.1479,2969.4285,2980.542,-85.05062,118.40150514376,-0.023376286,-3.3459262e-05,1.3653556e-05,1.3551927e-05,3.0,40,0.01986794,6.6658818e-06,0,-7.616373557854594e-09,3.0
225,225,3397055.0,512.83514,3333.1077,3372.3296,-81.253006,118.68450171718723,-0.023590663,6.641447e-05,1.4056209e-05,1.3731149e-05,3.0,40,0.02088861,6.1941187e-06,0,-5.635995795090862e-09,3.0
226,226,2939708.2,970.70575,4264.7646,4373.8413,-77.17733,119.10349005708122,-0.023458062,1.9468005e-06,1.26946525e-05,1.20693785e-05,3.0,40,0.020394469,4.662828e-06,0,-8.558571394755256e-09,3.0
227,227,2543924.5,606.1376,4457.807,4498.827,-82.25686,119.52249541031779,-0.023450013,-2.391469e-05,1.4034426e-05,1.3779662e-05,3.0,40,0.020620149,4.58345e-06,0,8.482241505806737e-10,3.0
228,228,2201436.2,682.96655,5046.9585,5092.959,-82.29341,119.94149644355639,-0.0234502,-1.1393278e-05,1.4324658e-05,1.4067062e-05,3.0,40,0.020834003,4.090746e-06,0,1.5187488347025004e-09,3.0
229,229,1905053.1,709.477,5717.5483,5761.399,-82.92646,120.52750151135842,-0.023368927,-1.1913029e-05,1.4611782e-05,1.4390205e-05,3.0,41,0.019534776,3.3906306e-06,0,3.724708959195213e-09,3.0
