True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
220,220,7000018.5,95.30153,1637.3562,1640.1273,-86.668884,116.61648159226752,-0.021333057,4.194848e-05,1.38860205e-05,1.3839137e-05,3.0,40,0.010021281,6.110063e-06,0,-4.948533775334773e-09,3.0
221,221,6057573.0,180.00523,1869.8579,1878.5022,-84.50127,117.03550467887544,-0.021239301,-1.1746801e-05,1.4051184e-05,1.3922162e-05,3.0,40,0.014351335,7.6397755e-06,0,-9.154541243935851e-09,3.0
222,222,5242039.0,315.1031,2234.4114,2256.5203,-81.972916,117.31848543896922,-0.021140665,-5.3534477e-05,1.3588038e-05,1.3323077e-05,3.0,40,0.019769963,8.761261e-06,0,-1.111288914830381e-08,3.0
223,223,4536288.0,200.72786,2702.898,2710.341,-85.752785,118.55348480431712,-0.021237513,-4.2129384e-05,1.2980453e-05,1.2909258e-05,3.0,40,0.018034061,6.6537978e-06,0,-7.332975848671788e-09,3.0
224,224,3925558.5,373.88052,3165.3723,3187.3765,-83.26367,118.97248586421483,-0.021202914,-4.7003967e-05,1.280837e-05,1.2632135e-05,3.0,40,0.020113599,6.310393e-06,0,-1.1100586623528307e-08,3.0
225,225,3397055.0,488.71487,3446.7927,3481.2673,-81.929924,119.25549710428459,-0.021270435,-1.1039774e-05,1.3592595e-05,1.3324717e-05,3.0,40,0.021015057,6.036611e-06,0,-1.0500184352037539e-08,3.0
226,226,2939708.2,661.9733,3824.4355,3881.3035,-80.17995,119.6745031242317,-0.021218807,-5.420425e-05,1.41562605e-05,1.3744471e-05,3.0,40,0.020541945,5.292538e-06,0,-8.9290283630854e-09,3.0
227,227,2543924.5,661.159,4570.797,4618.367,-81.76934,120.09348973075976,-0.02134854,5.3701883e-06,1.3687496e-05,1.3406979e-05,3.0,40,0.020656312,4.472644e-06,0,-9.490394710151822e-09,3.0
228,228,2201436.2,626.6226,4956.7266,4996.1777,-82.79497,120.51250329733011,-0.021183537,-6.0325427e-05,1.4585424e-05,1.4355992e-05,3.0,40,0.02071249,4.145667e-06,0,-1.2285628092635904e-08,3.0
229,229,1905053.1,731.2164,5835.8574,5881.489,-82.85822,121.0984898051538,-0.021250537,-8.942859e-06,1.4315561e-05,1.4094288e-05,3.0,41,0.019449404,3.3068843e-06,0,-1.2668110027406421e-08,3.0
230,230,1648567.4,1212.6298,6812.121,6919.21,-79.90647,121.51749286506674,-0.02133613,2.0589114e-06,1.4171998e-05,1.37367115e-05,3.0,41,0.019983778,2.8881589e-06,0,-1.2746792278812258e-08,3.0
231,231,1426616.2,1548.067,7685.3203,7839.685,-78.61121,121.93649035165436,-0.021298643,1.4369442e-06,1.4516135e-05,1.3950113e-05,3.0,41,0.020587659,2.6260823e-06,0,-1.378046656918672e-08,3.0
232,232,1234551.2,1755.0968,9096.134,9263.909,-79.079,122.3554895982088,-0.02123917,-5.214758e-06,1.4172751e-05,1.3664044e-05,3.0,41,0.020603936,2.2241081e-06,0,-1.3155679514736778e-08,3.0
233,233,1068345.5,2941.8386,10462.549,10868.272,-74.29518,122.77450391146704,-0.021334883,6.1538453e-06,1.4238719e-05,1.319547e-05,3.0,41,0.020753155,1.9095173e-06,0,-1.2004795390212486e-08,3.0
234,234,924510.06,3059.1418,12011.504,12394.941,-75.71143,123.1934988113644,-0.021428004,8.945252e-06,1.4332142e-05,1.3459128e-05,3.0,41,0.020330144,1.6401968e-06,0,-1.1778006369397964e-08,3.0
235,235,800039.0,7037.0854,12851.618,14652.121,-61.296467,123.61249851124012,-0.021331249,2.9434473e-06,1.5479294e-05,1.1908739e-05,3.0,41,0.02160352,1.4744295e-06,0,-1.2650399510078378e-08,3.0
236,236,692334.1,4948.212,15068.3955,15860.055,-71.82068,124.0314956511429,-0.021298513,-5.3432505e-06,1.5255885e-05,1.3770891e-05,3.0,41,0.020523885,1.2940615e-06,0,-1.3238022664520048e-08,3.0
237,237,599122.25,6848.252,17101.107,18421.357,-68.17604,124.45049015103723,-0.021316381,2.1054705e-06,1.5533898e-05,1.3387074e-05,3.0,41,0.020792639,1.1287245e-06,0,-1.3975855013185187e-08,3.0
238,238,518454.94,8532.225,19146.086,20961.19,-65.98042,124.86948737097555,-0.021147912,-1.2518225e-05,1.6033528e-05,1.3376955e-05,3.0,41,0.020494074,9.777152e-07,0,-1.3557991871932136e-08,3.0
239,239,448662.03,11134.998,21510.666,24221.828,-62.631653,125.28850248418166,-0.021321636,3.5672801e-06,1.6490998e-05,1.30059125e-05,3.0,41,0.020325819,8.3915296e-07,0,-1.3558809238862817e-08,3.0
240,240,388258.97,13941.843,21815.365,25889.865,-57.41802,125.70749133077334,-0.021413285,9.226442e-06,1.8790406e-05,1.3341404e-05,3.0,41,0.020860204,8.057286e-07,0,-1.373610151454437e-08,3.0
