True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,159.44254,1263.4706,1273.4912,-82.80763,2.47148777070106,0.0012880471,-3.3742826e-06,1.7995164e-05,1.7713084e-05,1.0,40,0.010009799,7.860124e-06,0,-8.619773541972285e-10,1.0
1,1,6057573.0,235.1555,1427.6896,1446.9263,-80.64676,3.023491130239563,0.0013753554,-4.1217758e-05,1.8402961e-05,1.7916884e-05,1.0,40,0.014007428,9.680816e-06,0,-6.073919504141637e-09,1.0
2,2,5242039.0,211.97314,1640.4323,1654.0709,-82.63716,3.4394810433441307,0.001373362,-5.0818115e-05,1.850809e-05,1.820413e-05,1.0,40,0.019253373,1.1639992e-05,0,-5.69082951307741e-09,1.0
3,3,4536288.0,197.2693,1906.7269,1916.9044,-84.093216,4.807495961635141,0.0013245841,-2.8789329e-05,1.8400558e-05,1.8205688e-05,1.0,40,0.019509435,1.0177573e-05,0,-1.7290290545399027e-08,1.0
4,4,3925558.5,241.1549,2188.0627,2201.312,-83.710594,5.2234963547380175,0.0012839669,-2.2649558e-05,1.8529296e-05,1.8306919e-05,1.0,40,0.018553093,8.428198e-06,0,-2.04288872460615e-08,1.0
5,5,3397055.0,272.3645,2483.6416,2498.5312,-83.74176,5.639482587837847,0.0012806691,-3.9883494e-06,1.8863775e-05,1.8639614e-05,1.0,40,0.019616699,7.851292e-06,0,-2.0981664753492168e-08,1.0
6,6,2939708.2,313.2319,2857.8037,2874.9185,-83.74502,6.055498874251498,0.0012696206,-3.124524e-05,1.8944515e-05,1.871963e-05,1.0,40,0.021515355,7.483814e-06,0,-2.5559173152739985e-08,1.0
7,7,2543924.5,325.62067,3250.3037,3266.5735,-84.279106,6.607500607118709,0.0012859605,-4.004559e-05,1.9248282e-05,1.905702e-05,1.0,40,0.020631626,6.315984e-06,0,-3.3130800076517313e-08,1.0
8,8,2201436.2,373.6908,3761.802,3780.3174,-84.32695,7.1594863133796025,0.0012686331,-2.6500868e-05,1.9218438e-05,1.9030642e-05,1.0,40,0.020910062,5.531298e-06,0,-3.8292798895377524e-08,1.0
9,9,1905053.1,430.55814,4324.683,4346.063,-84.31446,7.7114839662390295,0.0012246436,-1.2509617e-05,1.9317848e-05,1.9128252e-05,1.0,40,0.020527039,4.723134e-06,0,-4.13794677081872e-08,1.0
10,10,1648567.4,521.3128,4996.9644,5024.084,-84.04411,8.26449460585718,0.0012260781,-1.4208051e-06,1.9320003e-05,1.911199e-05,1.0,40,0.020049995,3.9907763e-06,0,-4.229926600167902e-08,1.0
11,11,1426616.2,375.41867,5887.1235,5899.0815,-86.35122,8.98349112001597,0.001202155,-3.7869802e-07,1.8950026e-05,1.8873277e-05,1.0,41,0.01933105,3.2769592e-06,0,-4.266857059983901e-08,1.0
12,12,1234551.2,466.63718,6722.0317,6738.209,-86.02895,9.535498292854754,0.0012294692,1.0719552e-06,1.9178315e-05,1.9086337e-05,1.0,41,0.020730857,3.0766123e-06,0,-4.286174710831385e-08,1.0
13,13,1068345.5,539.0565,7784.9707,7803.6113,-86.03898,10.0874802924518,0.0012571932,-1.1291415e-06,1.9136012e-05,1.90447e-05,1.0,41,0.020490553,2.6257783e-06,0,-4.3943835886861075e-08,1.0
14,14,924510.06,622.47845,8961.956,8983.548,-86.02674,10.639490958681563,0.0012091233,2.0589093e-06,1.9209041e-05,1.9116815e-05,1.0,41,0.020165678,2.2447343e-06,0,-4.503768185401056e-08,1.0
15,15,800039.0,776.07196,10086.934,10116.744,-85.600426,11.191496344894404,0.001310983,-3.3544447e-06,1.9721947e-05,1.9605892e-05,1.0,41,0.020864343,2.0623575e-06,0,-4.4725860024530876e-08,1.0
16,16,692334.1,1049.025,11804.065,11850.587,-84.92148,11.743483464437304,0.0012402383,1.4518392e-06,1.947479e-05,1.9322188e-05,1.0,41,0.020354642,1.7176062e-06,0,-4.536966604112851e-08,1.0
17,17,599122.25,1180.2064,13713.142,13763.835,-85.081024,12.295498690655222,0.0012178429,1.5151536e-06,1.93717e-05,1.9229268e-05,1.0,41,0.020519331,1.490815e-06,0,-4.429608341794417e-08,1.0
18,18,518454.94,1402.2285,15786.867,15849.02,-84.92417,12.847492503555259,0.0012443373,2.0700832e-06,1.9445233e-05,1.9293022e-05,1.0,41,0.020589873,1.299126e-06,0,-4.3831226166537996e-08,1.0
19,19,448662.03,1742.6738,18060.535,18144.416,-84.488556,13.39950135644176,0.001217787,3.0030342e-06,1.9641298e-05,1.9460116e-05,1.0,41,0.02014419,1.1102143e-06,0,-4.4035473651755787e-08,1.0
20,20,388258.97,2370.5955,20944.797,21078.525,-83.54257,13.951496209279867,0.0012501504,2.127811e-06,1.9571427e-05,1.9323881e-05,1.0,41,0.02092333,9.926373e-07,0,-4.353712408529652e-08,1.0
21,21,335983.9,2921.1748,23288.725,23471.215,-82.850555,14.503497115540085,0.0012243454,1.7442015e-06,2.0340234e-05,2.0025169e-05,1.0,41,0.020306608,8.651707e-07,0,-4.374363211523284e-08,1.0
22,22,290751.2,3592.4563,27092.07,27329.215,-82.44654,15.055497328430647,0.0012510819,-1.7417982e-06,2.0204887e-05,1.985576e-05,1.0,41,0.02061133,7.541867e-07,0,-4.433186399048357e-08,1.0
23,23,251605.19,4414.1675,31162.488,31473.568,-81.93769,15.607502741302596,0.0012031985,3.1911143e-06,2.0298708e-05,1.9899433e-05,1.0,41,0.020313263,6.4540706e-07,0,-4.354188098459449e-08,1.0
24,24,217729.38,5551.944,35661.316,36090.906,-81.150925,16.159501887479564,0.0011993789,3.5896203e-06,2.0497728e-05,2.0012663e-05,1.0,41,0.020341126,5.6360807e-07,0,-4.414977318780997e-08,1.0
25,25,188418.58,6967.2725,40362.277,40959.203,-80.20621,16.711483487073565,0.0013055239,-2.9037988e-06,2.0927662e-05,2.0322123e-05,1.0,41,0.0207696,5.070802e-07,0,-4.4919816990310816e-08,1.0
26,26,163051.14,8904.16,46143.36,46994.613,-79.07803,17.263492899917765,0.001280427,-2.985736e-06,2.1153737e-05,2.0394325e-05,1.0,41,0.02036645,4.333784e-07,0,-4.528436504127361e-08,1.0
27,27,141098.2,9289.712,52458.906,53275.094,-79.957855,17.98248365407926,0.0012790668,-1.2103263e-06,2.1502028e-05,2.0848242e-05,1.0,42,0.018979173,3.562485e-07,0,-4.528821456491035e-08,1.0
28,28,122105.11,9873.745,59418.785,60233.57,-80.565254,18.398486900521675,0.0012144706,-4.1261254e-07,2.193626e-05,2.1346805e-05,1.0,42,0.02045817,3.396473e-07,0,-4.537910332474403e-08,1.0
29,29,105663.59,13508.369,68165.45,69491.04,-78.7909,18.81449516027351,0.001230289,-6.6144395e-07,2.2096854e-05,2.126187e-05,1.0,42,0.021935927,3.1566555e-07,0,-4.53782256060692e-08,1.0
30,30,91439.65,19927.912,74862.914,77469.85,-75.09398,19.36650003984687,0.0012578267,-3.9752612e-07,2.324978e-05,2.1711352e-05,1.0,42,0.020372383,2.6297175e-07,0,-4.548338014582202e-08,1.0
31,31,79127.08,21132.836,88475.664,90964.5,-76.56632,19.782500966248335,0.0012306989,-5.141193e-07,2.2733755e-05,2.150676e-05,1.0,42,0.021480694,2.361437e-07,0,-4.555799267193371e-08,1.0
32,32,68475.36,26498.74,100294.914,103736.46,-75.20017,20.33450248578447,0.0012081172,-1.3174568e-07,2.3174314e-05,2.1662165e-05,1.0,42,0.020248562,1.9519234e-07,0,-4.5623861302047433e-08,1.0
33,33,59252.523,32759.791,113288.14,117929.67,-73.8716,20.750490772217745,0.0013402721,-1.1214843e-06,2.370985e-05,2.1880212e-05,1.0,42,0.020981947,1.7791915e-07,0,-4.5627617151710414e-08,1.0
34,34,51282.285,36818.594,127678.36,132881.05,-73.91403,21.166487111971946,0.0012266744,-4.1913114e-07,2.430723e-05,2.2441092e-05,1.0,42,0.021547794,1.6215851e-07,0,-4.572504413300729e-08,1.0
35,35,44369.8,52126.52,143941.31,153089.11,-70.09279,21.582481825113064,0.0011950191,-3.079392e-07,2.4919951e-05,2.2030761e-05,1.0,42,0.021987483,1.4362539e-07,0,-4.5788589684011734e-08,1.0
36,36,38403.727,63549.25,160471.2,172596.39,-68.395615,22.134495904640062,0.0013023192,-8.128661e-07,2.5825555e-05,2.2324433e-05,1.0,42,0.02026391,1.1740634e-07,0,-4.590410930996076e-08,1.0
37,37,33226.32,78341.17,175889.11,192546.92,-65.99177,22.55048747107503,0.0012956305,-8.4564635e-07,2.7233216e-05,2.272499e-05,1.0,42,0.020445095,1.06182405e-07,0,-4.590131067867355e-08,1.0
38,38,28754.086,97917.29,194579.61,217827.95,-63.287323,22.966487624129513,0.0012319658,-3.1054677e-07,2.8446133e-05,2.2698161e-05,1.0,42,0.02060444,9.4590426e-08,0,-4.594450677176553e-08,1.0
39,39,24884.947,118151.28,213848.05,244316.83,-61.0793,23.382485217269277,0.001205602,-2.4837487e-08,2.9907364e-05,2.2912998e-05,1.0,42,0.020658655,8.4556824e-08,0,-4.6022628854635804e-08,1.0
40,40,21553.963,142814.31,229069.08,269941.78,-58.058308,23.799495370389195,0.0012398843,-3.068218e-07,3.2234915e-05,2.3212357e-05,1.0,42,0.020621127,7.639101e-08,0,-4.60363233228826e-08,1.0
41,41,18631.234,168627.72,242705.31,295535.4,-55.209053,24.215485710155917,0.0012056951,-1.03249235e-07,3.5196477e-05,2.3737706e-05,1.0,42,0.02049018,6.933241e-08,0,-4.60256619812779e-08,1.0
42,42,16126.037,200889.44,256451.66,325766.8,-51.9269,24.631495089881355,0.0012731606,-8.134249e-07,3.8484595e-05,2.3849776e-05,1.0,42,0.020333461,6.241723e-08,0,-4.6103607205060804e-08,1.0
43,43,13954.87,216972.77,288956.9,361349.25,-53.097748,25.047495589678874,0.0012905067,-9.618672e-07,3.946947e-05,2.5239056e-05,1.0,42,0.020026617,5.5421776e-08,0,-4.616409144372251e-08,1.0
44,44,12080.609,269420.5,274079.4,384326.6,-45.49113,25.46349134275806,0.0012281463,-5.3591083e-07,4.806787e-05,2.4445942e-05,1.0,42,0.01967131,5.1183836e-08,0,-4.622192847828998e-08,1.0
45,45,10447.592,302284.9,275071.34,408705.78,-42.301373,25.879487415862968,0.0012223518,-9.412306e-08,5.538072e-05,2.5085787e-05,1.0,42,0.01908536,4.6697064e-08,0,-4.6240936075532896e-08,1.0
46,46,9045.586,339571.88,292071.2,447900.25,-40.699352,26.483251311205095,0.0012569696,-4.9591597e-07,6.0241353e-05,2.5615895e-05,1.0,43,0.021409428,4.7799546e-08,0,-4.626523002509359e-08,1.0
47,47,7827.7437,388441.8,291110.9,485420.03,-36.849083,26.96294138734811,0.0012559821,-3.2929677e-07,6.984335e-05,2.5119247e-05,1.0,43,0.021415971,4.4118433e-08,0,-4.63082742530721e-08,1.0
48,48,6770.8345,426603.06,286669.4,513974.25,-33.900375,27.501394612860167,0.001267273,-3.1806715e-07,8.199674e-05,2.550801e-05,1.0,43,0.021421203,4.167758e-08,0,-4.6357128666190226e-08,1.0
49,49,5860.798,465187.44,274451.4,540113.8,-30.539766,28.107985441718483,0.0013162744,-2.2292271e-07,9.894593e-05,2.5548079e-05,1.0,43,0.021502992,3.9811965e-08,0,-4.642038450140055e-08,1.0
50,50,5071.625,499276.5,260328.83,563070.25,-27.538082,28.788721820747014,0.0012686144,-3.4764028e-07,0.000120545425,2.5767371e-05,1.0,43,0.021481909,3.8151384e-08,0,-4.6480147650808865e-08,1.0
51,51,4388.5933,526445.6,244484.16,580445.94,-24.910406,29.468842333037173,0.0012794209,-3.5471703e-07,0.00014833515,2.6316127e-05,1.0,43,0.021461515,3.6974185e-08,0,-4.6549097069358304e-08,1.0
52,52,3798.7827,555532.56,225592.9,599590.4,-22.101284,30.14883191201079,0.001263379,-3.4799413e-07,0.0001857164,2.6290076e-05,1.0,43,0.021538856,3.5922618e-08,0,-4.6629848019120954e-08,1.0
53,53,3286.0488,576014.1,206961.06,612066.3,-19.76329,30.828677330973733,0.0012550692,-3.536182e-07,0.00023402243,2.6757025e-05,1.0,43,0.021502674,3.5131283e-08,0,-4.6698379521296194e-08,1.0
54,54,2844.088,597781.06,191862.88,627816.5,-17.794472,31.508818696602248,0.0012628759,-3.3978137e-07,0.00029166625,2.7239717e-05,1.0,43,0.021505727,3.4254796e-08,0,-4.674930906801755e-08,1.0
55,55,2460.7852,610423.6,171401.48,634031.1,-15.684266,32.188709262234624,0.0012558331,-3.4302172e-07,0.00037733914,2.7576545e-05,1.0,43,0.021494633,3.3901543e-08,0,-4.68220775025541e-08,1.0
56,56,2129.3164,626269.0,150616.72,644125.94,-13.522735,32.86783734781784,0.0012660247,-3.364292e-07,0.0004962571,2.7133858e-05,1.0,43,0.021522947,3.341419e-08,0,-4.688170323686444e-08,1.0
57,57,1843.2289,638766.4,134014.86,652673.3,-11.8489485,33.547952020104276,0.0012998226,-3.5568524e-07,0.00064429967,2.7164524e-05,1.0,43,0.021574462,3.3055528e-08,0,-4.6959283782166454e-08,1.0
58,58,1594.4913,644047.25,116580.945,654513.56,-10.260184,34.227812159078894,0.001283259,-3.5123432e-07,0.0008561905,2.7163658e-05,1.0,43,0.021505391,3.285706e-08,0,-4.701948737225623e-08,1.0
59,59,1380.4436,648664.25,104314.914,656998.44,-9.135798,34.907716698049626,0.0012413563,-3.6157002e-07,0.0011052361,2.7862443e-05,1.0,43,0.021525757,3.2763786e-08,0,-4.7064704682114114e-08,1.0
60,60,1194.6187,656669.7,89075.266,662683.56,-7.7248507,35.58784646366257,0.00125002,-3.4466038e-07,0.001495663,2.7023125e-05,1.0,43,0.021584049,3.257067e-08,0,-4.7143248048314e-08,1.0
61,61,1033.3434,660243.25,73322.24,664302.1,-6.336924,36.26809473594767,0.0012519205,-3.1897932e-07,0.0021005825,2.5590567e-05,1.0,43,0.02158277,3.248939e-08,0,-4.722395258033075e-08,1.0
62,62,894.71045,663409.56,62416.254,666339.25,-5.374797,36.947831114943256,0.0012878238,-3.501354e-07,0.0028499677,2.5006018e-05,1.0,43,0.021614669,3.2437935e-08,0,-4.728376674527339e-08,1.0
63,63,774.2569,662619.94,53605.98,664784.75,-4.6251583,37.62795245391317,0.0012204142,-3.540089e-07,0.0038346155,2.493367e-05,1.0,43,0.021584606,3.2468563e-08,0,-4.732186802343996e-08,1.0
64,64,669.7856,664467.5,46073.414,666062.94,-3.9664748,38.30782501953945,0.0012591123,-3.4618728e-07,0.005157437,2.4677674e-05,1.0,43,0.021631671,3.247692e-08,0,-4.739784310216777e-08,1.0
65,65,579.81464,663118.0,39301.62,664281.6,-3.3918338,38.9878401451715,0.0012360648,-3.3395202e-07,0.0069842613,2.444764e-05,1.0,43,0.02161569,3.2539948e-08,0,-4.74779181946467e-08,1.0
66,66,501.44418,661384.3,34528.555,662285.0,-2.9884984,39.66519655063166,0.0012462005,-3.6214706e-07,0.009192193,2.4985387e-05,1.0,43,0.021587653,3.2595715e-08,0,-4.7545204115148185e-08,1.0
67,67,434.02762,661712.9,27851.617,662298.75,-2.4101675,40.34521764962119,0.001223563,-3.600054e-07,0.0131659545,2.3283343e-05,1.0,43,0.021654807,3.2696434e-08,0,-4.7580833937820087e-08,1.0
68,68,375.6009,663007.25,24466.656,663458.56,-2.1134012,41.024436028528726,0.0012513056,-3.3713644e-07,0.017318845,2.3552691e-05,1.0,43,0.021668732,3.2660264e-08,0,-4.763772036182424e-08,1.0
69,69,325.10385,662071.94,21626.096,662425.06,-1.8708595,41.70369827417744,0.0012206937,-3.401347e-07,0.022637052,2.412696e-05,1.0,43,0.02167712,3.2723882e-08,0,-4.770344201106496e-08,1.0
70,70,281.3503,658694.94,22744.328,659087.5,-1.9776021,42.38079465299961,0.001268484,-3.2909134e-07,0.024871366,2.9618272e-05,1.0,43,0.021643683,3.2838862e-08,0,-4.7749528067502904e-08,1.0
71,71,243.36427,662045.75,19571.031,662334.94,-1.693253,43.06411047207075,0.0012269167,-3.457588e-07,0.033415627,2.9175728e-05,1.0,43,0.021669855,3.2717367e-08,0,-4.786037311949423e-08,1.0
72,72,210.60631,660068.9,18484.293,660327.6,-1.6040679,43.74117378421943,0.001270105,-3.2715454e-07,0.0408833,3.2035587e-05,1.0,43,0.021658115,3.2799043e-08,0,-4.7932494502841454e-08,1.0
73,73,182.27473,647110.75,13765.413,647257.1,-1.2186185,44.4132695228036,0.0012320403,-3.3104666e-07,0.06343141,2.868991e-05,1.0,43,0.021661209,3.3466158e-08,0,-4.799919989007388e-08,1.0
74,74,157.72879,663908.25,19638.871,664198.6,-1.6943554,45.10163286223906,0.0012525353,-3.1791754e-07,0.051379826,4.4918965e-05,1.0,43,0.021693734,3.2661518e-08,0,-4.808948140621262e-08,1.0
75,75,136.52892,661168.06,18439.896,661425.1,-1.5975583,45.77354161409312,0.0012350588,-3.419038e-07,0.06321745,4.9135186e-05,1.0,43,0.02171638,3.2832713e-08,0,-4.812485206349493e-08,1.0
76,76,118.14758,659342.2,17143.246,659565.0,-1.4893851,46.46188170014648,0.0012371641,-4.1922615e-07,0.078578226,5.3085165e-05,1.0,43,0.021676376,3.2864655e-08,0,-4.8178763962382196e-08,1.0
77,77,102.25773,662048.94,22747.328,662439.6,-1.9678504,47.12835559845553,0.0012600624,-2.4620073e-07,0.068421654,8.067924e-05,1.0,43,0.02165936,3.2696352e-08,0,-4.823477652940427e-08,1.0
78,78,88.4436,663357.0,18014.066,663601.56,-1.555537,47.81730488452013,0.0012465545,-3.5289133e-07,0.099894576,7.361234e-05,1.0,43,0.021753239,3.2780573e-08,0,-4.8315442641906444e-08,1.0
79,79,76.54279,660629.8,23959.824,661064.2,-2.0771017,48.48471696958586,0.0012556468,-4.8625003e-07,0.08678251,0.00011400192,1.0,43,0.021692185,3.2814036e-08,0,-4.8368713121320085e-08,1.0
80,80,66.250786,660818.25,22537.7,661202.5,-1.9533582,49.15296380131622,0.0012173959,-4.7014123e-07,0.106590755,0.0001238425,1.0,43,0.021619847,3.269777e-08,0,-4.843611827833813e-08,1.0
81,81,57.329906,647811.2,9281.706,647877.7,-0.820866,49.80764140576139,0.0012571187,-1.8478217e-07,0.29909635,6.13876e-05,1.0,43,0.021661758,3.343495e-08,0,-4.850225830976848e-08,1.0
