True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,106.15937,1117.7227,1122.7528,-84.574425,82.78648739881464,-0.0036366929,8.961092e-06,2.0341684e-05,2.0159823e-05,2.0,40,0.009955145,8.866729e-06,0,5.663434296178317e-08,2.0
111,111,6057573.0,187.43745,1290.2837,1303.827,-81.73455,83.33849518498755,-0.003613664,-3.52324e-06,2.0362742e-05,1.994191e-05,2.0,40,0.013927049,1.0681669e-05,0,5.5150899616808856e-08,2.0
112,112,5242039.0,171.39095,1504.6678,1514.3976,-83.50166,83.75449995140661,-0.0035889954,-7.4861623e-06,2.0178053e-05,1.9919604e-05,2.0,40,0.019179031,1.2664463e-05,0,5.384900508072003e-08,2.0
113,113,4536288.0,141.49196,1753.3085,1759.0084,-85.38623,85.122502123093,-0.0036244702,-8.90017e-06,2.001065e-05,1.9881174e-05,2.0,40,0.021389456,1.2159951e-05,0,4.4900343015914504e-08,2.0
114,114,3925558.5,197.22653,2017.3151,2026.9332,-84.416115,85.5384940628137,-0.0036326123,4.583415e-07,2.0097634e-05,1.9907353e-05,2.0,40,0.019219395,9.482007e-06,0,4.353897486379034e-08,2.0
115,115,3397055.0,246.71645,2291.7253,2304.9673,-83.85547,85.95450317594805,-0.0036785023,-8.9985144e-07,2.0443487e-05,2.0209269e-05,2.0,40,0.020119991,8.72897e-06,0,4.621887432670925e-08,2.0
116,116,2939708.2,256.08786,2622.721,2635.1938,-84.4232,86.37048914234038,-0.003664044,-1.8859364e-06,2.0642572e-05,2.0447624e-05,2.0,40,0.02196799,8.336385e-06,0,4.794259609308485e-08,2.0
117,117,2543924.5,258.96826,3067.0132,3077.927,-85.173584,86.92249076857115,-0.003665069,-1.5374848e-05,2.0398596e-05,2.0254192e-05,2.0,40,0.02056563,6.68165e-06,0,5.278886008914875e-08,2.0
118,118,2201436.2,313.47153,3493.6038,3507.6392,-84.872734,87.47449543481343,-0.003681651,-5.551202e-06,2.0693806e-05,2.0528529e-05,2.0,40,0.020820454,5.935746e-06,0,5.345381345867434e-08,2.0
119,119,1905053.1,378.9899,3991.1643,4009.118,-84.575615,88.02649132764782,-0.0036494555,1.7979281e-06,2.0932132e-05,2.0745074e-05,2.0,40,0.020663451,5.154114e-06,0,5.7106803689575336e-08,2.0
