True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,145.06862,1229.2904,1237.8206,-83.26965,2.468474010558566,-0.006273046,4.8758015e-05,1.8495517e-05,1.824148e-05,1.0,40,0.009993791,8.073699e-06,0,1.882166892928202e-08,1.0
1,1,6057573.0,216.26193,1360.9525,1378.028,-80.97092,3.0205036367697176,-0.006233323,9.295872e-06,1.9305387e-05,1.8829916e-05,1.0,40,0.013972285,1.0139333e-05,0,2.201283279306507e-08,1.0
2,2,5242039.0,197.36238,1566.894,1579.2748,-82.82096,3.436500829848228,-0.0062101264,9.779639e-06,1.9376721e-05,1.9074103e-05,1.0,40,0.01918597,1.2148595e-05,0,2.3672712524962156e-08,1.0
3,3,4536288.0,166.08157,1816.1768,1823.7546,-84.77508,4.804497534845723,-0.0062519177,1.9510258e-05,1.9317966e-05,1.9157764e-05,1.0,40,0.019457854,1.0669119e-05,0,3.125950140393899e-08,1.0
4,4,3925558.5,215.43791,2097.7046,2108.7385,-84.136185,5.220485874597216,-0.0062646614,8.7935505e-06,1.9327439e-05,1.9125708e-05,1.0,40,0.018542772,8.793301e-06,0,3.355781194482195e-08,1.0
5,5,3397055.0,274.6437,2388.4294,2404.1682,-83.440414,5.6364997610508,-0.006268388,1.2905346e-05,1.961576e-05,1.9359773e-05,1.0,40,0.019575417,8.142282e-06,0,3.680779381795673e-08,1.0
6,6,2939708.2,293.6851,2735.3442,2751.0652,-83.87181,6.052502847422147,-0.006277294,3.2305438e-06,1.979265e-05,1.9567084e-05,1.0,40,0.021470493,7.804429e-06,0,3.65247781667727e-08,1.0
7,7,2543924.5,336.37305,3160.476,3178.326,-83.92481,6.604484847019194,-0.006297472,1.6682241e-05,1.9795361e-05,1.9573637e-05,1.0,40,0.020663356,6.5013332e-06,0,3.334958874366597e-08,1.0
8,8,2201436.2,349.90656,3627.26,3644.098,-84.48997,7.156484819861362,-0.0062601715,-9.556692e-07,1.9931287e-05,1.9747524e-05,1.0,40,0.020915965,5.7396824e-06,0,3.530283318360085e-08,1.0
9,9,1905053.1,414.06512,4156.543,4177.116,-84.3111,7.708481966081308,-0.006325494,1.3314663e-05,2.0099293e-05,1.9901792e-05,1.0,40,0.020451583,4.896101e-06,0,3.601263675159316e-08,1.0
10,10,1648567.4,482.74887,4750.831,4775.295,-84.19788,8.2614949256822,-0.006316942,4.756188e-06,2.0320942e-05,2.0113268e-05,1.0,40,0.019963475,4.1805743e-06,0,3.9598236887021205e-08,1.0
11,11,1426616.2,391.70172,5638.393,5651.9824,-86.026024,8.980496479867725,-0.006296131,1.3866487e-06,1.9785983e-05,1.9690953e-05,1.0,41,0.01935331,3.4241632e-06,0,4.529141198301861e-08,1.0
12,12,1234551.2,415.53223,6517.766,6530.9985,-86.35211,9.53250213272986,-0.0062645683,2.9155128e-06,1.977936e-05,1.9699291e-05,1.0,41,0.02060381,3.1547718e-06,0,4.572440029762209e-08,1.0
13,13,1068345.5,519.14594,7538.883,7556.7363,-86.06069,10.084487118961988,-0.0063017015,5.881965e-06,1.976066e-05,1.9667397e-05,1.0,41,0.020710982,2.7407311e-06,0,4.6793981842469636e-08,1.0
14,14,924510.06,602.28876,8681.852,8702.718,-86.03156,10.636495198501507,-0.006285827,1.91366e-06,1.9828785e-05,1.9733814e-05,1.0,41,0.0201271,2.3127375e-06,0,4.795058045975667e-08,1.0
15,15,800039.0,569.5332,9694.739,9711.454,-86.63793,11.18850418474176,-0.0062886034,3.6529366e-06,2.0519785e-05,2.0449212e-05,1.0,41,0.020573724,2.1185008e-06,0,4.8057678649456645e-08,1.0
16,16,692334.1,1080.2699,11416.746,11467.74,-84.59468,11.740480797627242,-0.0063348846,5.8186506e-06,2.0135483e-05,1.9956808e-05,1.0,41,0.020452041,1.7834412e-06,0,4.988151594862068e-08,1.0
17,17,599122.25,1200.8153,13222.336,13276.751,-84.81079,12.292495623842115,-0.006346548,9.155676e-06,2.0090767e-05,1.992642e-05,1.0,41,0.02047124,1.5418863e-06,0,5.001521388221874e-08,1.0
18,18,518454.94,1533.9164,15150.571,15228.023,-84.2188,12.844495223398553,-0.0062756916,2.4201734e-06,2.0261896e-05,2.005631e-05,1.0,41,0.020564385,1.3504304e-06,0,5.094803949910758e-08,1.0
19,19,448662.03,2086.4468,17406.717,17531.316,-83.16488,13.396492102910997,-0.006254507,1.6268847e-06,2.037905e-05,2.0090401e-05,1.0,41,0.020190602,1.1516877e-06,0,5.1715809801799475e-08,1.0
20,20,388258.97,2681.081,20089.393,20267.508,-82.39836,13.948486235836754,-0.0063032107,5.0570193e-06,2.0404777e-05,2.004771e-05,1.0,41,0.020891307,1.0307783e-06,0,5.1869966265456926e-08,1.0
21,21,335983.9,2648.08,22570.303,22725.115,-83.30832,14.500491915357998,-0.0063104024,5.917346e-06,2.098767e-05,2.0702693e-05,1.0,41,0.020348951,8.9543886e-07,0,5.298863142445814e-08,1.0
22,22,290751.2,4607.055,26187.518,26589.68,-80.02231,15.052480741607724,-0.0062533705,2.1352598e-06,2.0902791e-05,2.0275274e-05,1.0,41,0.020468751,7.698006e-07,0,5.4409956081822014e-08,1.0
23,23,251605.19,5641.208,30069.08,30593.672,-79.37435,15.604496181156719,-0.0063034156,4.2320726e-06,2.1036834e-05,2.032158e-05,1.0,41,0.020471172,6.6913094e-07,0,5.377953982592645e-08,1.0
24,24,217729.38,7145.0283,34222.406,34960.33,-78.20707,16.156479247350944,-0.0063151163,5.5318737e-06,2.1359574e-05,2.0467398e-05,1.0,41,0.020216828,5.782791e-07,0,5.509297784507636e-08,1.0
25,25,188418.58,9315.411,39376.992,40463.867,-76.69024,16.70850079358206,-0.006281989,2.60639e-06,2.1451311e-05,2.0314408e-05,1.0,41,0.020744197,5.1265977e-07,0,5.570545114325398e-08,1.0
26,26,163051.14,11936.35,44148.625,45733.77,-74.870804,17.260483193123946,-0.0063185073,6.310264e-06,2.210951e-05,2.0603427e-05,1.0,41,0.020405147,4.4617244e-07,0,5.687642740608586e-08,1.0
27,27,141098.2,15027.218,49775.695,51994.586,-73.201004,17.81249087266042,-0.00627081,2.2469878e-06,2.2661116e-05,2.076824e-05,1.0,41,0.020297969,3.903862e-07,0,5.7576318562512245e-08,1.0
28,28,122105.11,16155.023,57808.83,60023.707,-74.38666,18.531497066811426,-0.0063068066,9.933974e-07,2.2547176e-05,2.091389e-05,1.0,42,0.018846927,3.139914e-07,0,5.761672516078578e-08,1.0
