True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,352.10648,1770.3326,1805.0088,-78.751076,59.67350227429415,-0.07977442,-1.154202e-05,1.2842988e-05,1.2354273e-05,2.0,40,0.009969508,5.5232463e-06,0,5.616831475456033e-09,2.0
111,111,6057573.0,523.2625,2031.8685,2098.1643,-75.55855,60.09248925422435,-0.079883836,2.5854692e-05,1.2930815e-05,1.2126574e-05,2.0,40,0.0140165845,6.6804037e-06,0,2.314866647166427e-09,2.0
112,112,5242039.0,246.34987,2279.0579,2292.3335,-83.83069,60.37549289429444,-0.07974837,-1.52445955e-05,1.332185e-05,1.3167994e-05,2.0,40,0.019738143,8.610503e-06,0,3.4441304798171756e-09,2.0
113,113,4536288.0,103.68127,2611.103,2613.1606,-87.726105,61.746482959453715,-0.07976147,-3.911531e-05,1.3436789e-05,1.3415637e-05,2.0,40,0.01888735,7.22778e-06,0,-2.8910148456987706e-09,2.0
114,114,3925558.5,319.93463,3121.421,3137.7742,-84.14782,62.02948995956103,-0.07975649,-6.778621e-05,1.2988719e-05,1.2853685e-05,2.0,40,0.018410906,5.867505e-06,0,-6.099073738977347e-09,2.0
115,115,3397055.0,337.71927,3449.857,3466.348,-84.40892,62.31250061301398,-0.079803,-5.519037e-05,1.3580523e-05,1.3451612e-05,2.0,40,0.019640654,5.6660942e-06,0,-5.85615907869139e-09,2.0
116,116,2939708.2,356.74142,3957.3074,3973.3545,-84.848854,62.59548454641481,-0.079788014,-5.697647e-05,1.3680945e-05,1.3570662e-05,2.0,40,0.021600047,5.4362245e-06,0,-1.7645209374646716e-09,2.0
117,117,2543924.5,300.375,4558.005,4567.8916,-86.22963,63.01449515300919,-0.079934984,1.3072813e-05,1.372591e-05,1.3666558e-05,2.0,40,0.021261789,4.654618e-06,0,-4.754885630874068e-09,2.0
118,118,2201436.2,369.04092,5194.54,5207.633,-85.93631,63.43348717290792,-0.0798985,9.979154e-07,1.3917682e-05,1.3847788e-05,2.0,40,0.02046744,3.930277e-06,0,-7.073135104319543e-09,2.0
119,119,1905053.1,-178.96895,6329.966,6332.495,-91.61951,64.01949576076004,-0.079875454,-2.8851873e-06,1.3198108e-05,1.3187567e-05,2.0,41,0.01987756,3.1389777e-06,0,-1.0025561009151257e-08,2.0
120,120,1648567.4,531.4888,7099.8433,7119.709,-85.718864,64.43849679394043,-0.07977083,-9.581571e-06,1.3597676e-05,1.35219e-05,2.0,41,0.019907754,2.796147e-06,0,-9.310635541515369e-09,2.0
121,121,1426616.2,33.634872,8816.963,8817.027,-89.78143,64.85749238720746,-0.07978845,-9.890693e-06,1.2653014e-05,1.2652828e-05,2.0,41,0.02061144,2.3376858e-06,0,-8.99861895818985e-09,2.0
122,122,1234551.2,165.35768,9408.431,9409.884,-88.9931,65.27650440708385,-0.07991233,1.4872243e-06,1.3702311e-05,1.3698079e-05,2.0,41,0.020515056,2.1801604e-06,0,-8.848772276238432e-09,2.0
123,123,1068345.5,-828.4357,11343.848,11374.058,-94.176865,65.6954901603458,-0.07985913,3.9971107e-07,1.313252e-05,1.30628505e-05,2.0,41,0.020987723,1.8452274e-06,0,-8.813052715028943e-09,2.0
124,124,924510.06,-56.946568,12810.26,12810.387,-90.2547,66.11448831358575,-0.07983368,-6.5275963e-06,1.3438493e-05,1.3438226e-05,2.0,41,0.020336397,1.5874929e-06,0,-8.675928114408057e-09,2.0
125,125,800039.0,-1162.5709,15695.45,15738.447,-94.2362,66.53349180016085,-0.079740785,-9.57971e-06,1.2674626e-05,1.2605467e-05,2.0,41,0.021334058,1.3555376e-06,0,-9.395478273715933e-09,2.0
126,126,692334.1,157.90671,16752.47,16753.215,-89.45995,66.95248302005348,-0.079859875,-5.3696476e-07,1.3722256e-05,1.3721037e-05,2.0,41,0.020344121,1.2143414e-06,0,-8.710260118268722e-09,2.0
127,127,599122.25,-71.72592,19330.79,19330.922,-90.21259,67.37150519996067,-0.079806946,-6.0471543e-06,1.3742164e-05,1.3741975e-05,2.0,41,0.020757817,1.0738141e-06,0,-9.357120335649012e-09,2.0
128,128,518454.94,348.30276,21641.451,21644.254,-89.07795,67.79049329986447,-0.07984285,-1.1626582e-06,1.4184784e-05,1.4181111e-05,2.0,41,0.020371111,9.411787e-07,0,-8.730759755096469e-09,2.0
129,129,448662.03,176.58537,25340.703,25341.318,-89.600746,68.20948569310713,-0.079866715,1.8093813e-06,1.3998521e-05,1.3997841e-05,2.0,41,0.02014463,7.949322e-07,0,-8.121713118901555e-09,2.0
130,130,388258.97,1599.3483,31943.2,31983.213,-87.13368,68.62850035299198,-0.07982435,-7.0642375e-07,1.2832765e-05,1.2800675e-05,2.0,41,0.021274552,6.651787e-07,0,-7.83457985383704e-09,2.0
131,131,335983.9,-8516.67,21026.775,22686.096,-112.04988,69.04750437286566,-0.07981127,-7.2724683e-06,2.2528327e-05,1.9353289e-05,2.0,41,0.019425856,8.562891e-07,0,-7.363332973204153e-09,2.0
132,132,290751.2,1097.6062,41021.055,41035.74,-88.46729,69.46649713945226,-0.079735346,-1.0590874e-05,1.3344177e-05,1.3334629e-05,2.0,41,0.020493805,4.994136e-07,0,-7.499592529386787e-09,2.0
133,133,251605.19,857.917,47358.664,47366.434,-88.96218,69.88549294605036,-0.07995742,8.109133e-06,1.3356759e-05,1.3352378e-05,2.0,41,0.020362148,4.298856e-07,0,-6.342952271576429e-09,2.0
