True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
0,0,7000018.5,158.92648,1464.8234,1473.4196,-83.8079,2.3134927231876645,-0.06653456,-2.577515e-05,1.5521571e-05,1.534099e-05,1.0,40,0.009944939,6.749564e-06,0,-2.1834749099096167e-09,1.0
1,1,6057573.0,30.39352,2033.7367,2033.9637,-89.1438,2.7324925030989107,-0.0666056,6.9144094e-06,1.2918937e-05,1.2916053e-05,1.0,40,0.01429503,7.028164e-06,0,-1.6160244867933216e-09,1.0
2,2,5242039.0,167.61497,2114.1228,2120.7568,-85.46687,3.0154946765105706,-0.066593155,4.421295e-06,1.4361165e-05,1.4271458e-05,1.0,40,0.019607842,9.245681e-06,0,-2.750084246388143e-09,1.0
3,3,4536288.0,99.15546,2371.3215,2373.3938,-87.605606,4.114500915427925,-0.06660815,3.072933e-05,1.479548e-05,1.4769655e-05,1.0,40,0.021353954,8.997224e-06,0,-5.153256160711964e-09,1.0
4,4,3925558.5,291.78815,2695.7368,2711.4824,-83.82232,4.3975035155017395,-0.06657487,2.523564e-06,1.5039769e-05,1.48656045e-05,1.0,40,0.01980919,7.305668e-06,0,-6.2438369248714785e-09,1.0
5,5,3397055.0,285.24615,3102.2039,3115.2903,-84.74645,4.680497635592474,-0.06665944,1.2583828e-06,1.5102443e-05,1.4975828e-05,1.0,40,0.02100381,6.742168e-06,0,-8.706026498392324e-09,1.0
6,6,2939708.2,171.78423,3640.3442,3644.3953,-87.29827,5.099489548854763,-0.0665601,-4.0789786e-05,1.487214e-05,1.4839095e-05,1.0,40,0.02099337,5.760454e-06,0,-7.637005485283528e-09,1.0
7,7,2543924.5,237.12433,4190.924,4197.627,-86.761635,5.518488688772777,-0.06656142,-1.9281948e-05,1.4928155e-05,1.4880517e-05,1.0,40,0.020493409,4.8821416e-06,0,-3.3986995543955345e-09,1.0
8,8,2201436.2,151.24548,4858.054,4860.408,-88.21679,5.937497055303538,-0.06671551,3.3371296e-05,1.4881671e-05,1.4867258e-05,1.0,40,0.020883601,4.2966763e-06,0,-4.369992350433449e-09,1.0
9,9,1905053.1,640.80255,6313.326,6345.7637,-84.20433,6.522491989802802,-0.06665989,3.2246248e-06,1.3232893e-05,1.3097954e-05,1.0,41,0.019683309,3.101803e-06,0,-1.0152579364295712e-08,1.0
