True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,167.23671,1698.0907,1706.306,-84.37536,58.9314886390639,-0.070167765,9.109956e-06,1.3389368e-05,1.3260747e-05,2.0,40,0.009929051,5.8190326e-06,0,1.3235793880633315e-08,2.0
111,111,6057573.0,626.4611,2098.0205,2189.5532,-73.37457,59.35048769894638,-0.07016881,-1.2900335e-05,1.2523098e-05,1.1497945e-05,2.0,40,0.014051317,6.417436e-06,0,1.1793204137831323e-08,2.0
112,112,5242039.0,244.99342,2280.1338,2293.2578,-83.86727,59.633505712408805,-0.07018131,-7.597784e-06,1.3315564e-05,1.3163593e-05,2.0,40,0.019696824,8.589014e-06,0,1.5554760606534342e-08,2.0
113,113,4536288.0,140.82262,2568.891,2572.748,-86.862274,61.004498070891714,-0.07016733,-1.6714412e-05,1.3657582e-05,1.3616664e-05,2.0,40,0.02097667,8.15341e-06,0,1.5440548962074412e-08,2.0
114,114,3925558.5,198.50897,3076.2546,3082.6528,-86.30785,61.287503390951315,-0.070145756,-4.0882824e-05,1.3179422e-05,1.3124771e-05,2.0,40,0.019509317,6.328743e-06,0,1.2873687677840905e-08,2.0
115,115,3397055.0,275.53445,3407.0217,3418.1453,-85.37641,61.570493724400876,-0.07024942,2.1142432e-06,1.3751264e-05,1.366191e-05,2.0,40,0.020545917,6.0108378e-06,0,7.4115201160196675e-09,2.0
116,116,2939708.2,389.36188,4010.481,4029.3374,-84.45476,61.98950174430502,-0.070203066,-1.1914224e-05,1.3499555e-05,1.33735e-05,2.0,40,0.020432558,5.0709473e-06,0,5.007355884683287e-09,2.0
117,117,2543924.5,304.20377,4519.646,4529.872,-86.1494,62.40848909752094,-0.070234634,-2.7207858e-05,1.3842404e-05,1.3779976e-05,2.0,40,0.020537354,4.53376e-06,0,3.7243892648054377e-09,2.0
118,118,2201436.2,251.42934,5088.0625,5094.271,-87.171,62.82749119747314,-0.07026535,5.5004202e-06,1.4208937e-05,1.4174324e-05,2.0,40,0.02068097,4.0596524e-06,0,1.4772544396379612e-08,2.0
119,119,1905053.1,-71.95192,6640.595,6640.985,-90.62078,63.412482451909455,-0.07023698,-2.3544676e-06,1.25807355e-05,1.2579259e-05,2.0,41,0.019779611,2.9784153e-06,0,2.0268765966079923e-08,2.0
120,120,1648567.4,88.32874,7128.068,7128.615,-89.29005,63.83149257846526,-0.07020952,-6.3395178e-06,1.3543834e-05,1.3541754e-05,2.0,41,0.019921986,2.7946503e-06,0,2.1001497618198053e-08,2.0
121,121,1426616.2,315.6639,7958.8994,7965.1567,-87.72874,64.25048593172687,-0.070201874,-3.140292e-06,1.4017158e-05,1.3995143e-05,2.0,41,0.020615613,2.5882243e-06,0,2.1196494069013226e-08,2.0
122,122,1234551.2,113.14031,9316.16,9316.847,-89.30421,64.66949792494415,-0.07019638,-5.9354243e-06,1.3838024e-05,1.3835984e-05,2.0,41,0.020475052,2.1976375e-06,0,2.138991787079695e-08,2.0
