True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,89.29499,1283.0369,1286.1404,-86.01883,82.7774864117091,0.016139906,-3.9510323e-06,1.7720738e-05,1.763532e-05,2.0,40,0.010111056,7.861549e-06,0,4.70293528606382e-08,2.0
111,111,6057573.0,174.9177,1427.177,1437.8562,-83.012566,83.32948622459662,0.016150173,-2.6035734e-05,1.840957e-05,1.8137123e-05,2.0,40,0.014160267,9.8481805e-06,0,4.0117465413402543e-08,2.0
112,112,5242039.0,216.78052,1573.2228,1588.088,-82.154396,83.74550125768292,0.016181733,-6.0251034e-05,1.9298772e-05,1.8939172e-05,2.0,40,0.019336727,1.2176105e-05,0,3.697811240014135e-08,2.0
113,113,4536288.0,249.2654,1776.8674,1794.2662,-82.01445,85.11349780266755,0.016179815,-1.885403e-05,1.9745334e-05,1.9364254e-05,2.0,40,0.01885368,1.0507738e-05,0,3.8058572148603235e-08,2.0
114,114,3925558.5,222.58757,2052.164,2064.2002,-83.80962,85.5294928890944,0.016203925,-3.961765e-05,1.9756344e-05,1.9526622e-05,2.0,40,0.018167332,8.801148e-06,0,3.639020284666758e-08,2.0
115,115,3397055.0,315.49997,2318.8784,2340.243,-82.252075,85.94648669552407,0.016065324,1.6607824e-05,2.0204103e-05,1.9836893e-05,2.0,40,0.019225147,8.215022e-06,0,3.1468766540800587e-08,2.0
116,116,2939708.2,316.11478,2692.5483,2711.0413,-83.303925,86.36348858199199,0.016140949,-3.4445355e-05,2.0107236e-05,1.9833855e-05,2.0,40,0.021069704,7.771812e-06,0,2.3832946148690286e-08,2.0
117,117,2543924.5,327.51028,3026.6152,3044.2837,-83.82405,86.91550583488424,0.016056528,1.3142044e-06,2.0670868e-05,2.0431624e-05,2.0,40,0.020595333,6.7652477e-06,0,1.904515705955618e-08,2.0
118,118,2201436.2,482.48416,3436.2512,3469.9587,-82.00735,87.46748218112043,0.01618261,-7.003746e-05,2.1039195e-05,2.0632426e-05,2.0,40,0.020906394,6.024969e-06,0,1.6533615565369648e-08,2.0
119,119,1905053.1,446.149,3972.6592,3997.633,-83.592255,88.0194859939802,0.016050624,-1.7235374e-05,2.1029633e-05,2.0767704e-05,2.0,40,0.020496178,5.1270786e-06,0,-1.6844999192727133e-10,2.0
120,120,1648567.4,688.0742,4606.019,4657.13,-81.50365,88.57150703357183,0.016087681,1.6607835e-05,2.0959827e-05,2.0502295e-05,2.0,40,0.020038636,4.3027867e-06,0,7.917153402781097e-10,2.0
121,121,1426616.2,592.4824,5529.8735,5561.523,-83.88454,89.29149109442369,0.016087644,-3.6970976e-06,2.0174268e-05,1.9945306e-05,2.0,41,0.019445337,3.4964053e-06,0,-1.9427418032193067e-09,2.0
122,122,1234551.2,719.76904,6407.7207,6448.019,-83.59092,89.84350016064127,0.01612172,-2.8926218e-06,2.0119049e-05,1.9868357e-05,2.0,41,0.020553594,3.1875827e-06,0,-2.0860114040845483e-09,2.0
123,123,1068345.5,911.80145,7241.2114,7298.392,-82.82318,90.3955016535183,0.01604168,1.930106e-07,2.057298e-05,2.0251877e-05,2.0,41,0.020617338,2.824915e-06,0,5.22790952206679e-10,2.0
124,124,924510.06,1220.8723,8095.6377,8187.1777,-81.424065,90.94749917308218,0.016145663,-7.514505e-08,2.126461e-05,2.0791753e-05,2.0,41,0.020143494,2.460371e-06,0,-2.044868364543046e-11,2.0
125,125,800039.0,2272.5303,9980.693,10236.144,-77.17286,91.49949194598594,0.016005926,8.185484e-06,1.993188e-05,1.8949464e-05,2.0,41,0.02204325,2.1534722e-06,0,-1.753451975300043e-10,2.0
126,126,692334.1,1343.8845,10875.007,10957.728,-82.95536,92.05150146552478,0.016029494,8.235764e-06,2.1138534e-05,2.0820586e-05,2.0,41,0.020242427,1.8473197e-06,0,9.141063107987395e-10,2.0
127,127,599122.25,2172.4033,12420.931,12609.475,-80.07939,92.60350245176232,0.016114157,-2.5760514e-06,2.1387035e-05,2.0752233e-05,2.0,41,0.020451462,1.6219122e-06,0,8.155405243982135e-10,2.0
128,128,518454.94,2276.8188,14201.426,14382.781,-80.89166,93.155490344594,0.016142609,-3.354443e-06,2.1616092e-05,2.1074404e-05,2.0,41,0.02057639,1.4306266e-06,0,1.2533106218895659e-09,2.0
129,129,448662.03,3138.6362,16366.296,16664.533,-79.14394,93.70750663752551,0.016041921,8.595163e-06,2.1674565e-05,2.0905709e-05,2.0,41,0.0202814,1.2170399e-06,0,2.2666940045484985e-09,2.0
130,130,388258.97,3953.4768,18692.887,19106.387,-78.058136,94.25948247706401,0.016133068,-1.7920739e-06,2.1929174e-05,2.0990263e-05,2.0,41,0.020876586,1.0926497e-06,0,3.273924673628513e-09,2.0
131,131,335983.9,5707.25,23470.283,24154.232,-76.332695,94.81149562328937,0.016061503,2.738608e-06,2.0182888e-05,1.9056077e-05,2.0,41,0.0200958,8.319784e-07,0,2.943823640211877e-09,2.0
132,132,290751.2,6626.587,24032.564,24929.416,-74.58468,95.36348420949071,0.015943136,1.669192e-05,2.2777103e-05,2.1167742e-05,2.0,41,0.020430546,8.1953567e-07,0,3.4324565640166207e-09,2.0
133,133,251605.19,8825.174,26325.998,27765.84,-71.467476,95.91550551573164,0.016299188,-1.308247e-05,2.4027893e-05,2.1600497e-05,2.0,41,0.02029441,7.3091286e-07,0,4.4750173338521135e-09,2.0
134,134,217729.38,10814.689,30201.176,32079.098,-70.29814,96.46750727525796,0.016113263,-2.468047e-06,2.420356e-05,2.1452735e-05,2.0,41,0.020124465,6.2733886e-07,0,4.980530895216637e-09,2.0
135,135,188418.58,13597.624,33423.473,36083.566,-67.86211,97.01950527480221,0.016089955,3.5021021e-06,2.5272304e-05,2.1683483e-05,2.0,41,0.02079235,5.762277e-07,0,4.5670023672023975e-09,2.0
136,136,163051.14,16981.13,36934.01,40650.707,-65.30847,97.57150764772086,0.016115032,1.4086659e-07,2.6428335e-05,2.1816575e-05,2.0,41,0.02036257,5.009155e-07,0,3.853969002127261e-09,2.0
137,137,141098.2,21823.65,40253.945,45789.21,-61.535694,98.1235067139205,0.016116356,4.435051e-06,2.8021424e-05,2.1656126e-05,2.0,41,0.02033307,4.440581e-07,0,3.7718197984637e-09,2.0
138,138,122105.11,28434.252,40412.13,49413.023,-54.86952,98.53948465365102,0.016095152,3.2879523e-06,3.225333e-05,2.157323e-05,2.0,41,0.021829195,4.4177008e-07,0,3.664881250014456e-09,2.0
139,139,105663.59,30481.365,49039.88,57741.004,-58.13645,99.25750306111877,0.016103761,2.4690326e-07,3.0714637e-05,2.215519e-05,2.0,42,0.018903736,3.2738842e-07,0,4.540304309630865e-09,2.0
140,140,91439.65,38410.844,51917.71,64582.055,-53.50445,99.67348649419728,0.016206998,-4.3067854e-07,3.35251e-05,2.1665934e-05,2.0,42,0.020102791,3.112752e-07,0,4.5992509104554696e-09,2.0
141,141,79127.08,44881.316,55391.438,71291.96,-50.983627,100.08949187395046,0.016089711,6.8477965e-07,3.6312184e-05,2.1920807e-05,2.0,42,0.02105554,2.953424e-07,0,4.5905806574115555e-09,2.0
142,142,68475.36,52131.59,56204.934,76659.62,-47.153248,100.50548514703405,0.016074415,7.4624285e-07,4.1353414e-05,2.222936e-05,2.0,42,0.021849101,2.850145e-07,0,4.6787143857677116e-09,2.0
143,143,59252.523,59483.426,56721.664,82192.61,-43.63855,101.05748882659827,0.01606113,5.298188e-07,4.7354835e-05,2.2552604e-05,2.0,42,0.020306643,2.4706168e-07,0,4.78573847582009e-09,2.0
144,144,51282.285,67969.07,55623.395,87827.99,-39.295635,101.47350671302411,0.016154662,7.033723e-08,5.5795004e-05,2.2379189e-05,2.0,42,0.020843016,2.3731633e-07,0,4.880841800270671e-09,2.0
