True,index,freq,Re,Im,Z,Phase,time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,130.02283,1250.4985,1257.24,-84.063896,82.65949643278145,-0.007312436,1.8877783e-05,1.8181838e-05,1.7987375e-05,2.0,40,0.010098797,8.0325135e-06,0,-5.589570367855086e-08,2.0
111,111,6057573.0,206.6591,1455.7533,1470.3489,-81.920265,83.21148739228374,-0.00731687,-4.5093097e-06,1.8048193e-05,1.7691656e-05,2.0,40,0.014187121,9.648813e-06,0,-5.876099333876716e-08,2.0
112,112,5242039.0,224.31552,1611.0135,1626.5553,-82.07317,83.62748453204404,-0.0072653536,-3.0835916e-05,1.8846065e-05,1.8487637e-05,2.0,40,0.01941442,1.1935911e-05,0,-5.730137613158131e-08,2.0
113,113,4536288.0,246.70874,1854.9575,1871.2917,-82.42414,84.99549094369286,-0.007408799,2.5854702e-05,1.8914094e-05,1.8585339e-05,2.0,40,0.018639594,9.960817e-06,0,-7.206853466589634e-08,2.0
114,114,3925558.5,251.83289,2118.8652,2133.7783,-83.22204,85.41148181681638,-0.0073956265,2.896181e-05,1.913442e-05,1.8867893e-05,2.0,40,0.018129723,8.496536e-06,0,-7.528093469900278e-08,2.0
115,115,3397055.0,323.37515,2389.1758,2410.961,-82.291855,85.82749855655129,-0.0073247515,-2.642643e-05,1.9609632e-05,1.9256853e-05,2.0,40,0.01919547,7.96175e-06,0,-8.305524695285902e-08,2.0
116,116,2939708.2,347.0151,2760.7168,2782.4407,-82.83564,86.24349044301198,-0.0073776096,7.9325866e-07,1.9610741e-05,1.9305717e-05,2.0,40,0.021133592,7.595343e-06,0,-8.859289798660245e-08,2.0
117,117,2543924.5,408.67975,3164.8174,3191.0952,-82.64199,86.79548217586125,-0.007236735,-6.678152e-05,1.9768206e-05,1.9443974e-05,2.0,40,0.020646658,6.4700853e-06,0,-8.685715738228497e-08,2.0
118,118,2201436.2,370.75427,3536.963,3556.3416,-84.01595,87.34749476207071,-0.007202583,-0.00010116428,2.0440124e-05,2.0217973e-05,2.0,40,0.020947715,5.890243e-06,0,-8.476736892908182e-08,2.0
119,119,1905053.1,584.3325,4051.151,4093.0757,-81.79234,87.89948222829844,-0.0072654095,-5.8148613e-05,2.0622183e-05,2.0201885e-05,2.0,40,0.020366928,4.975947e-06,0,-8.451558049598083e-08,2.0
120,120,1648567.4,661.0095,5025.966,5069.247,-82.50752,88.45150036117411,-0.007302505,-3.14871e-05,1.920852e-05,1.8881916e-05,2.0,40,0.020110726,3.967202e-06,0,-9.301876774498257e-08,2.0
121,121,1426616.2,425.71555,5580.7886,5597.0024,-85.637794,89.16948290195432,-0.007231574,-1.6201635e-05,1.9990213e-05,1.9874562e-05,2.0,41,0.019344794,3.4562775e-06,0,-9.190380809575535e-08,2.0
122,122,1234551.2,693.11566,6675.5684,6711.4546,-84.072296,89.7214870081807,-0.0072718933,-9.777101e-06,1.93118e-05,1.9105832e-05,2.0,41,0.020677136,3.0808726e-06,0,-9.246734421943378e-08,2.0
123,123,1068345.5,765.38727,7496.4263,7535.398,-84.17029,90.27349812773173,-0.0072722845,-6.2519944e-06,1.9872576e-05,1.9667552e-05,2.0,41,0.020615632,2.7358385e-06,0,-9.33925637199214e-08,2.0
