True,index,freq,Re(Z),Im(Z),Z,Phase(Z),time,Ewe_meas,I_meas,Cs,Cp,cycle_number,I_Range,Ewe,I,Ns,(QQo),cycle
110,110,7000018.5,234.88028,1275.474,1296.9204,-79.5658,82.72950139609748,0.02914562,1.9026624e-05,1.7825814e-05,1.7241138e-05,2.0,40,0.009981062,7.695971e-06,0,-2.0011108075813903e-08,2.0
111,111,6057573.0,244.46179,1619.518,1637.8645,-81.41616,83.28149062229204,0.029209826,-4.3320157e-05,1.622317e-05,1.5861759e-05,2.0,40,0.014208291,8.674888e-06,0,-1.9473585775533486e-08,2.0
112,112,5242039.0,260.8074,1794.81,1813.6603,-81.73211,83.69750056203338,0.02920107,-3.095276e-06,1.6916145e-05,1.6566337e-05,2.0,40,0.019507725,1.0755997e-05,0,-2.55160241388031e-08,2.0
113,113,4536288.0,270.53067,2058.3972,2076.0986,-82.51266,85.06548926702817,0.029176587,-5.0408784e-05,1.7044738e-05,1.675532e-05,2.0,40,0.020356243,9.805046e-06,0,-2.167034516707912e-08,2.0
114,114,3925558.5,301.7076,2382.772,2401.797,-82.783585,85.48148880680674,0.029131107,1.0579689e-05,1.7015167e-05,1.6746671e-05,2.0,40,0.018823018,7.837056e-06,0,-2.700365599370939e-08,2.0
115,115,3397055.0,340.44827,2694.011,2715.4375,-82.797585,85.89749874654808,0.029066343,-9.049002e-06,1.7390745e-05,1.711738e-05,2.0,40,0.01973043,7.2660223e-06,0,-2.797115703155178e-08,2.0
116,116,2939708.2,334.47705,3043.5789,3061.9026,-83.72859,86.31348849963979,0.029066436,1.383563e-05,1.7788172e-05,1.7575905e-05,2.0,40,0.021486476,7.017361e-06,0,-2.8814801444245752e-08,2.0
117,117,2543924.5,399.63995,3405.1345,3428.5059,-83.30617,86.86549247251241,0.029091198,-4.2259624e-05,1.8373066e-05,1.812343e-05,2.0,40,0.020594493,6.006842e-06,0,-3.699181757147082e-08,2.0
118,118,2201436.2,615.4587,3990.6768,4037.8572,-81.23268,87.41748828542768,0.029209603,-6.0232433e-05,1.8116216e-05,1.7695329e-05,2.0,40,0.02042631,5.0587005e-06,0,-3.846442911736039e-08,2.0
119,119,1905053.1,507.3339,4502.891,4531.3813,-83.57168,87.97049463170697,0.029155739,-2.4268207e-05,1.8553317e-05,1.832075e-05,2.0,40,0.020584056,4.542557e-06,0,-3.5309031945061224e-08,2.0
